lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.161139956018299e-11,1.781164900588581e-11,2.1633226678726555e-11,2.463481768954548e-11
1,971.6244310048473,0.36625663400749947,2.0529748986526578e-11,1.69501016824367e-11,1.957239120042177e-11,2.3867652856560523e-11
2,956.7542402749618,0.5001096160252074,2.0351437689010976e-11,1.6755889782975742e-11,1.9563222042660832e-11,2.3911606198019547e-11
3,941.8841473755075,0.6358236496946832,2.0317600831505693e-11,1.6672012745880294e-11,1.9956911490015877e-11,2.4053824384613033e-11
4,927.0137936180281,0.7737023136984883,2.0384197223970413e-11,1.6743800089116854e-11,2.0035741694672314e-11,2.4194743012505078e-11
5,912.1431877107561,0.9140599557728831,2.0412540769346483e-11,1.6776857203225172e-11,2.0108546966161596e-11,2.4362745075682866e-11
6,897.2725265381572,1.056517394691973,2.0297933039530638e-11,1.6597266973208317e-11,1.9791388349320657e-11,2.410998016067541e-11
7,882.4015480213002,1.200972749516894,1.9971796009071088e-11,1.6211262128277314e-11,1.9496538996826343e-11,2.3583095083320017e-11
8,867.5303567964003,1.3475120190675405,1.9340079843926637e-11,1.570873429945235e-11,1.9542311817514904e-11,2.2694244541446184e-11
9,852.6592652163091,1.4962539028284811,1.8295177912108767e-11,1.489776252135376e-11,1.889573669259605e-11,2.1350503225332366e-11
10,837.7879949747113,1.6472308870137926,1.6874541561502252e-11,1.3768248184333112e-11,1.756093191685184e-11,1.9995031853028174e-11
11,822.9164001887356,1.8005751816165532,1.5126047678861878e-11,1.247133251675689e-11,1.5448925775243644e-11,1.7459761426949546e-11
12,805.5656263644386,1.9827939680123745,1.3060236655488039e-11,1.0861807341902171e-11,1.3062171368090412e-11,1.501262976049387e-11
13,783.256871457526,2.2224936871622756,1.0602247297322138e-11,8.942804846705764e-12,1.0345831073626509e-11,1.2637032138746702e-11
14,758.4695103909143,2.4962949930620897,8.254068925565644e-12,7.082178705717814e-12,7.846651761337522e-12,9.560544208626485e-12
15,733.6809880795391,2.77814138452743,6.403506571259895e-12,5.4710535532830805e-12,5.936816143088798e-12,7.394887700005817e-12
16,708.8908488634015,3.067972755313559,4.95930613475998e-12,4.206976829759747e-12,4.786898840536789e-12,5.6246021528988194e-12
17,684.1004760822683,3.3661126328894038,3.8714329944319956e-12,3.384857734668447e-12,3.808915132308483e-12,4.332812069164971e-12
18,653.1112285285492,3.753393324301299,2.991136411039833e-12,2.6441474210211594e-12,2.9676276750763638e-12,3.3084722004036936e-12
19,615.9205705120047,4.2379797038361025,2.2523037821586954e-12,1.9704806337690813e-12,2.2239927743163353e-12,2.454730893832009e-12
20,578.7272043823215,4.752775529501931,1.7951667025929208e-12,1.5645679964423187e-12,1.7013069132234118e-12,1.95526642681051e-12
21,541.5297974405477,5.293982624262083,1.5166429875878316e-12,1.3250343068316103e-12,1.4187090081077396e-12,1.647297666091285e-12
22,504.3267976709419,5.866525051820845,1.3615302503899287e-12,1.1781082097260336e-12,1.319813039685546e-12,1.4756415887594345e-12
23,467.1182254346348,6.4783499666903825,1.3225968554298135e-12,1.1396743955758534e-12,1.276927221109669e-12,1.5002417089497893e-12
24,429.9018516259439,7.130616001171602,1.3960925348157147e-12,1.2007203858036056e-12,1.3101627824238157e-12,1.6729376761757946e-12
25,392.6748148107893,7.8276962056910495,1.5020932357148343e-12,1.255358099538266e-12,1.3815828266792514e-12,1.7833823002151277e-12
26,355.4364121658684,8.582381437087088,1.5408386682489381e-12,1.205099671562007e-12,1.4403723300894054e-12,1.7143583858730608e-12
27,312.2568471757569,9.510262026437415,1.4232013875541975e-12,1.0856057515660912e-12,1.4169305727438508e-12,1.6144020397740678e-12
28,266.2024287155883,10.602168136966553,1.2404734583784733e-12,9.423551484227443e-13,1.2620476336388418e-12,1.4478505549224523e-12
29,226.40807678064118,11.660990898666412,1.0229410741906766e-12,7.47043268949563e-13,1.0405957822428769e-12,1.2275475435848033e-12
30,192.52002788560424,12.736811932907898,8.934426940365577e-13,6.661438796265312e-13,8.194681889532437e-13,1.0876309702454448e-12
31,163.6614990234374,13.78656633117675,8.944180802808568e-13,7.11874728289065e-13,8.201225489058174e-13,1.0115644163458962e-12
32,139.11500549316403,14.787671064298221,1.0054301511530702e-12,8.493618559981242e-13,9.81565673360823e-13,1.1008862586463558e-12
33,118.25,15.906170270258151,1.1350191780206694e-12,1.0270143265069895e-12,1.1254486638309797e-12,1.1776917977688845e-12
34,100.51435089111324,17.24273064490245,1.100658049026318e-12,1.058731015305346e-12,1.10306906811191e-12,1.1313601157879838e-12
35,85.43901824951189,18.813372559902348,7.956161547566195e-13,7.558007468906978e-13,7.954614629615652e-13,8.301694603729787e-13
36,72.55786132812501,20.65052603534648,4.803332877825387e-13,4.552656661047734e-13,4.685874917921796e-13,4.945442965905625e-13
37,61.495662689209006,22.74331462627693,3.3320433868452815e-13,3.2410181350884075e-13,3.344141449452325e-13,3.4527094014628845e-13
38,52.015911102294844,24.86505040859316,2.6801342510246124e-13,2.6523068154389904e-13,2.6788252317715915e-13,2.7008595693681295e-13
39,43.90966415405282,27.052485734519244,2.442249726064223e-13,2.419565646529362e-13,2.4419123209127373e-13,2.4637265684129753e-13
40,36.9927101135254,29.32647120258809,2.31126738977142e-13,2.298743218291685e-13,2.311088008868993e-13,2.3210017670944663e-13
41,31.08891105651863,31.748905700260213,2.2092241408656989e-13,2.1999553622684236e-13,2.2063255746518785e-13,2.2123125468501523e-13
42,26.049108505249027,34.31199278898532,2.1223562157717682e-13,2.1110962522842002e-13,2.1200259152209135e-13,2.1335938152189802e-13
43,21.76100349426269,37.02114906529215,2.0588691982917225e-13,2.040422681392942e-13,2.06239692567788e-13,2.079948382554825e-13
44,18.124349594116172,40.00166859906441,2.0079036883434825e-13,1.9998590012222807e-13,2.008912694133831e-13,2.0200434956071992e-13
45,15.05025005340576,43.13537659190267,1.971647677927838e-13,1.9670489943150277e-13,1.9724761058046042e-13,1.9758563263581982e-13
46,12.460150718688988,46.41231625206779,1.953786900716776e-13,1.9519758177149273e-13,1.953305342471102e-13,1.9557671106104511e-13
47,10.284920692443848,49.82768019095182,1.9452289010473714e-13,1.943534286731122e-13,1.9453604470203214e-13,1.9466767008169011e-13
48,8.45639133453367,53.56635280817698,1.9400007512851168e-13,1.9388964485274017e-13,1.9397654609724633e-13,1.941271916676166e-13
49,6.9183211326599094,57.94668908538693,1.9370268628778278e-13,1.9362193398925895e-13,1.936988814177774e-13,1.937921978761057e-13
50,5.631801128387452,62.66958728955136,1.9350174553651338e-13,1.934565598000344e-13,1.9349358221469334e-13,1.9355898697102462e-13
51,4.561686038970957,67.91525438663359,1.9332153237423347e-13,1.9324313528983284e-13,1.9332294814386854e-13,1.9340168869239933e-13
52,3.6765010356903076,73.3631121633128,1.931668827337548e-13,1.9308802306612474e-13,1.9318764415925893e-13,1.9325493027596414e-13
53,2.948321104049681,79.34230382171329,1.930492169889773e-13,1.9297217695126023e-13,1.9308632303799144e-13,1.9313776329210374e-13
54,2.352590560913084,86.018857705306,1.92988849338207e-13,1.928989061233351e-13,1.9298286050731306e-13,1.9308638665980682e-13
55,1.867879986762998,93.22960225320968,1.9295258023934004e-13,1.928604316702534e-13,1.9297288883825599e-13,1.93074722179758e-13
56,1.475649952888488,100.60502256166222,1.9287022402129788e-13,1.9272648066050042e-13,1.9290174187592444e-13,1.93063875035203e-13
57,1.159975051879883,107.73082344928824,1.9276412887969718e-13,1.925769562143061e-13,1.9284701430658333e-13,1.9299425744299294e-13
