lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.132857396844684e-10,3.6484185333304975e-10,4.080107779941459e-10,4.5925299325042413e-10
1,971.6244310048473,0.36625663400749947,4.0928850069708245e-10,3.619666647751328e-10,4.0676902746021183e-10,4.562648081281371e-10
2,956.7542402749618,0.5001096160252074,4.1249519176680185e-10,3.696264506924016e-10,4.0857305984681075e-10,4.5827483738717277e-10
3,941.8841473755075,0.6358236496946832,4.1351191475873106e-10,3.6951264905142413e-10,4.077120283886969e-10,4.6268696192793905e-10
4,927.0137936180281,0.7737023136984883,4.0872063975392893e-10,3.6169952511886994e-10,4.0348404819164606e-10,4.561863224497116e-10
5,912.1431877107561,0.9140599557728831,3.942515925785876e-10,3.474020358856866e-10,3.937843238227105e-10,4.3259753037879614e-10
6,897.2725265381572,1.056517394691973,3.737141308321404e-10,3.3040129533488314e-10,3.7412718500159563e-10,4.04956887235358e-10
7,882.4015480213002,1.200972749516894,3.507277082846475e-10,3.1302962848020137e-10,3.506514077268294e-10,3.778728340666602e-10
8,867.5303567964003,1.3475120190675405,3.2732594624770034e-10,2.9377032979812676e-10,3.2661562078132687e-10,3.5240743807288925e-10
9,852.6592652163091,1.4962539028284811,3.009265555770806e-10,2.711099579013962e-10,3.004417536028184e-10,3.2289899033167465e-10
10,837.7879949747113,1.6472308870137926,2.721516319552526e-10,2.450446384977271e-10,2.702808594251782e-10,2.9196930170415203e-10
11,822.9164001887356,1.8005751816165532,2.4184618338027615e-10,2.162490842175073e-10,2.3961116893343374e-10,2.6134587335879907e-10
12,805.5656263644386,1.9827939680123745,2.0931179360940504e-10,1.886094152585537e-10,2.0648521426911455e-10,2.2720300899727705e-10
13,783.256871457526,2.2224936871622756,1.726323445597156e-10,1.5761756336353662e-10,1.689840301949287e-10,1.8689236491578262e-10
14,758.4695103909143,2.4962949930620897,1.3896951118237218e-10,1.2537739851976718e-10,1.3421007049611444e-10,1.507091613558103e-10
15,733.6809880795391,2.77814138452743,1.132274704013145e-10,9.937834713777446e-11,1.0977978659801736e-10,1.2017912368782793e-10
16,708.8908488634015,3.067972755313559,9.455897093687208e-11,8.123352098349839e-11,9.274199359885851e-11,1.0213642857015801e-10
17,684.1004760822683,3.3661126328894038,8.087382171836141e-11,6.670961179249885e-11,8.119479918340325e-11,8.759115831851918e-11
18,653.1112285285492,3.753393324301299,6.991602410240255e-11,5.7563012884307806e-11,7.019729717902648e-11,7.636411976063751e-11
