time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,3.291910772346932e-11,2.2754531017744815e-12,3.8959579888635804e-13,1.7240215109501925e-12
2022-07-20 01:00:00,3.272793637127712e-11,2.4208890826897558e-12,3.078746352299255e-13,1.7669208586044416e-12
2022-07-20 02:00:00,3.269502214155797e-11,2.6144452585181215e-12,2.5386438105891814e-13,1.8268782518504864e-12
2022-07-20 03:00:00,3.272676128504098e-11,2.8801882568033274e-12,2.1790779362755702e-13,1.8961822334595173e-12
2022-07-20 04:00:00,3.2806597170897254e-11,3.1497690825986117e-12,1.8976569505815438e-13,1.966236192078892e-12
2022-07-20 05:00:00,3.2879791653053144e-11,3.337782807125948e-12,1.6737360092374517e-13,2.036944747162499e-12
2022-07-20 06:00:00,3.275078078440272e-11,3.4762355031733043e-12,1.6320519233997419e-13,2.109349589076943e-12
2022-07-20 07:00:00,3.250331424977914e-11,3.5549625438139834e-12,1.6436598624633457e-13,2.1876800232868987e-12
2022-07-20 08:00:00,3.2280454700844556e-11,3.55336655954456e-12,1.6762057713624651e-13,2.2721802958437764e-12
2022-07-20 09:00:00,3.223561010390707e-11,3.5055505680504716e-12,1.9099620349102522e-13,2.368186599258318e-12
2022-07-20 10:00:00,3.226566107596111e-11,3.4538272653819264e-12,2.485020445871096e-13,2.4670676597347148e-12
2022-07-20 11:00:00,3.227236019531612e-11,3.3946845050022475e-12,3.0667266220671436e-13,2.55784210367209e-12
2022-07-20 12:00:00,3.249205449922028e-11,3.3000954815482536e-12,3.210319833068055e-13,2.6589437292555083e-12
2022-07-20 13:00:00,3.276883881925248e-11,3.1710527690843475e-12,3.0783102250879725e-13,2.7542717857219595e-12
2022-07-20 14:00:00,3.2898152276856605e-11,3.027923714112227e-12,2.909358821848358e-13,2.8270770723938504e-12
2022-07-20 15:00:00,3.2870905608569466e-11,2.8810701017911478e-12,2.6625163591666714e-13,2.8614650227814167e-12
2022-07-20 16:00:00,3.255439737374349e-11,2.762486336953786e-12,2.3826914575164457e-13,2.8463147510049717e-12
2022-07-20 17:00:00,3.190115963299927e-11,2.6863291304211824e-12,2.1429834332241274e-13,2.788895562916987e-12
2022-07-20 18:00:00,3.1311786348779416e-11,2.6266372096879117e-12,1.9891084185332488e-13,2.7200366500677406e-12
2022-07-20 19:00:00,3.083550927621388e-11,2.561117122795906e-12,1.8784165150570316e-13,2.6495173383587903e-12
2022-07-20 20:00:00,3.029203308369363e-11,2.486504487820441e-12,1.7964839626989222e-13,2.5688190216108356e-12
2022-07-20 21:00:00,3.0051201011180274e-11,2.4251808676231872e-12,1.9530334095280964e-13,2.516205355869539e-12
2022-07-20 22:00:00,3.0043380412379017e-11,2.38747697053771e-12,1.9820347231899007e-13,2.4879178469003985e-12
2022-07-20 23:00:00,3.003851678654714e-11,2.3509071453637344e-12,1.8048006225457297e-13,2.459522313072837e-12
2022-07-21 00:00:00,2.9797248262212155e-11,2.3295808584025773e-12,2.0039267096028417e-13,2.422937465534398e-12
2022-07-21 01:00:00,2.932680012777822e-11,2.353394258904357e-12,2.339090215126162e-13,2.3728379207587217e-12
2022-07-21 02:00:00,2.8796508514393813e-11,2.4163883827349165e-12,2.6563110564936876e-13,2.3126034352122527e-12
2022-07-21 03:00:00,2.813746244917788e-11,2.5502778266482283e-12,2.835516093415982e-13,2.2484928766333843e-12
2022-07-21 04:00:00,2.7376704720298774e-11,2.732887538333078e-12,2.819965719759636e-13,2.178563976651415e-12
2022-07-21 05:00:00,2.6591510652555e-11,2.908298120210377e-12,2.809198217474917e-13,2.1049097106272033e-12
2022-07-21 06:00:00,2.5953497012634335e-11,3.09961119340961e-12,2.7445611109004995e-13,2.0415153284901635e-12
