time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,4.768414633370335e-10,3.3490484975468444e-10,1.1036338767494105e-10,2.656914126319984e-11
2022-07-20 01:00:00,4.889311051057558e-10,3.281509921066628e-10,1.0499617415118005e-10,2.7087636211271463e-11
2022-07-20 02:00:00,4.977475273779465e-10,3.226765832164035e-10,9.894555401282484e-11,2.7508554884382723e-11
2022-07-20 03:00:00,4.966651985295377e-10,3.134443269502282e-10,9.411034801372676e-11,2.6787204196484476e-11
2022-07-20 04:00:00,4.981976621414075e-10,3.0339425110480645e-10,9.271301912978584e-11,2.5938658410163727e-11
2022-07-20 05:00:00,4.965635268522113e-10,2.9485133507737657e-10,9.353859257033446e-11,2.5198559213719588e-11
2022-07-20 06:00:00,4.900424939042926e-10,2.867443335527556e-10,1.0101260309342672e-10,2.4293953536223624e-11
2022-07-20 07:00:00,4.787450664474098e-10,2.795740531875731e-10,1.1282231563656876e-10,2.3306456624727173e-11
2022-07-20 08:00:00,4.678246102143559e-10,2.805687396234667e-10,1.2828266927332956e-10,2.261333682772977e-11
2022-07-20 09:00:00,4.5089336976387814e-10,2.8068475681998635e-10,1.4142708665478036e-10,2.167100654582388e-11
2022-07-20 10:00:00,4.3306874918675376e-10,2.8968755156730853e-10,1.5026632904147782e-10,2.0801322447077882e-11
2022-07-20 11:00:00,4.1405668866013745e-10,3.058028041311825e-10,1.4882103136584075e-10,1.9937389104739234e-11
2022-07-20 12:00:00,3.9216344551539004e-10,3.170644743762113e-10,1.5284505631236106e-10,1.8965254117085952e-11
2022-07-20 13:00:00,3.695133703145696e-10,3.147906394557233e-10,1.6238283279361165e-10,1.8177968814431642e-11
2022-07-20 14:00:00,3.4939074525959293e-10,3.1193368204878796e-10,1.7429140535228188e-10,1.758103923403649e-11
2022-07-20 15:00:00,3.3020216390626275e-10,3.109558233007571e-10,1.9124784522123757e-10,1.7591487149299625e-11
2022-07-20 16:00:00,3.047322766743617e-10,3.1460655488173e-10,2.068066998770437e-10,1.755318937299023e-11
2022-07-20 17:00:00,2.7128049346668534e-10,3.122695410635894e-10,2.1784493194791404e-10,1.674661119347505e-11
2022-07-20 18:00:00,2.4541840248028667e-10,3.183981456721754e-10,2.2430295688910497e-10,1.6517819589895123e-11
2022-07-20 19:00:00,2.3253181706705065e-10,3.2455290735716246e-10,2.2118643396590737e-10,1.6734461369965075e-11
2022-07-20 20:00:00,2.2404265510034742e-10,3.3925641235530245e-10,2.123242340764634e-10,1.5983607490897344e-11
2022-07-20 21:00:00,2.298345312422052e-10,3.2304394474623944e-10,2.2054676824163724e-10,1.5630558870133737e-11
2022-07-20 22:00:00,2.3854834807733443e-10,2.897774526606331e-10,2.4643072870111296e-10,1.5621040969773434e-11
