lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.9109751656158744e-11,4.7037978420083114e-12,1.7055173477645686e-11,3.385234232493093e-11
1,971.6244310048473,0.36625663400749947,1.9199290621705245e-11,4.5866837079053366e-12,1.727704262222937e-11,3.386698317962289e-11
2,956.7542402749618,0.5001096160252074,1.9590219851353406e-11,4.470254794484495e-12,1.7590838392420974e-11,3.389614955480521e-11
3,941.8841473755075,0.6358236496946832,1.9919560413294798e-11,4.339772013365308e-12,1.694399371662123e-11,3.474091531314135e-11
4,927.0137936180281,0.7737023136984883,2.0612588322796372e-11,3.901838485255303e-12,1.6459356384280638e-11,3.5921931502547785e-11
5,912.1431877107561,0.9140599557728831,2.0861461956182553e-11,3.388890548283974e-12,1.6082872579049863e-11,3.7269140870882424e-11
6,897.2725265381572,1.056517394691973,2.085400870131184e-11,2.921402382900438e-12,1.5962100151825902e-11,3.641023649591966e-11
7,882.4015480213002,1.200972749516894,2.0391576730492807e-11,2.5411841026020673e-12,1.5857258238997764e-11,3.5773533781319755e-11
8,867.5303567964003,1.3475120190675405,1.9562258124005185e-11,2.449896277491033e-12,1.5578312704005788e-11,3.396635941268581e-11
9,852.6592652163091,1.4962539028284811,1.8333649966495456e-11,2.3568934898236118e-12,1.5216499004463262e-11,3.1755802277397315e-11
10,837.7879949747113,1.6472308870137926,1.6852463186645394e-11,2.0077784957090782e-12,1.417615681693222e-11,2.964696806576285e-11
11,822.9164001887356,1.8005751816165532,1.520744715431224e-11,1.698981469266566e-12,1.2485288211151989e-11,2.8133224927053192e-11
12,805.5656263644386,1.9827939680123745,1.3425860600682694e-11,1.452573150716351e-12,1.2434938672311068e-11,2.4875606244080984e-11
13,783.256871457526,2.2224936871622756,1.0787437742867769e-11,1.1331011285699014e-12,8.951576192612787e-12,1.9891017632943083e-11
14,758.4695103909143,2.4962949930620897,7.738526249910402e-12,8.367602265380688e-13,4.480715785041325e-12,1.4468304588371382e-11
15,733.6809880795391,2.77814138452743,5.266385191265728e-12,7.023240980336221e-13,2.6738863871217365e-12,1.0022169357164016e-11
16,708.8908488634015,3.067972755313559,3.440413908284456e-12,5.773823255208066e-13,1.5283704564851208e-12,5.6531030941414295e-12
17,684.1004760822683,3.3661126328894038,2.3575215573505046e-12,5.16631371372257e-13,1.087992261782471e-12,3.877617639170124e-12
18,653.1112285285492,3.753393324301299,1.7948024773351787e-12,5.265446685706616e-13,8.099699539367501e-13,3.0526401210245016e-12
19,615.9205705120047,4.2379797038361025,1.4867741468331662e-12,5.113797698720733e-13,6.962863187946754e-13,2.613699458706392e-12
20,578.7272043823215,4.752775529501931,1.3352222945279958e-12,5.404570874496372e-13,6.744755510269022e-13,2.187138966779845e-12
21,541.5297974405477,5.293982624262083,1.2055250159600706e-12,5.540446539659217e-13,6.853533832947012e-13,1.9613346983678704e-12
22,504.3267976709419,5.866525051820845,1.1934881144150012e-12,5.209789630602861e-13,7.246864240034281e-13,2.038074637178122e-12
23,467.1182254346348,6.4783499666903825,1.3526311012564469e-12,5.107347303533277e-13,8.481501224126255e-13,2.0775522218018183e-12
24,429.9018516259439,7.130616001171602,1.7806418408935479e-12,5.289362929170476e-13,9.36681498575758e-13,2.5688189262602567e-12
25,392.6748148107893,7.8276962056910495,2.620212327506932e-12,7.116090056284184e-13,1.267766899594907e-12,3.3361524751489695e-12
26,355.4364121658684,8.582381437087088,2.8507807111445847e-12,6.8888618556592e-13,1.3051319008106023e-12,3.3386250530073834e-12
27,312.2568471757569,9.510262026437415,1.8072752166194536e-12,4.652751199362259e-13,9.0943947125966e-13,1.9568284666647693e-12
28,266.2024287155883,10.602168136966553,1.113560078161628e-12,2.9268312655327556e-13,7.41266884908416e-13,1.5208412378180898e-12
29,226.40807678064118,11.660990898666412,8.423834981415694e-13,2.0556443629580607e-13,6.145011365660985e-13,1.0986373206772934e-12
30,192.52002788560424,12.736811932907898,7.331781802046699e-13,1.2652046391434e-13,5.657728302921568e-13,9.840501190049539e-13
31,163.6614990234374,13.78656633117675,7.980731333583977e-13,1.135511862252591e-13,7.130624654727427e-13,1.320235312159367e-12
