lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,5.560499366416347e-10,2.4330565812842524e-10,4.0949300185678806e-10,9.121961997190638e-10
1,971.6244310048473,0.36625663400749947,5.560779883954981e-10,2.4466295224500905e-10,4.0542199642070155e-10,9.107913818208978e-10
2,956.7542402749618,0.5001096160252074,5.564743795410046e-10,2.469459509689428e-10,4.128475684061219e-10,9.089602624580052e-10
3,941.8841473755075,0.6358236496946832,5.514794965079131e-10,2.3805812019059834e-10,4.1151078504900253e-10,9.098915801638021e-10
4,927.0137936180281,0.7737023136984883,5.310821481335598e-10,2.3781647949661825e-10,4.0141081652730936e-10,8.747497531875248e-10
5,912.1431877107561,0.9140599557728831,4.802068559048745e-10,2.1749680183539351e-10,3.672939555842939e-10,7.717282348054626e-10
6,897.2725265381572,1.056517394691973,4.20187582514603e-10,1.7176731599340858e-10,3.414894607176098e-10,6.539473116904445e-10
7,882.4015480213002,1.200972749516894,3.6606506603768913e-10,1.1629935821566145e-10,3.112874378693713e-10,6.080345779898924e-10
8,867.5303567964003,1.3475120190675405,3.228015244736998e-10,1.0472075969787086e-10,2.746122441428661e-10,5.590637955000993e-10
9,852.6592652163091,1.4962539028284811,2.858313890201845e-10,9.012675809972118e-11,2.212217873549106e-10,4.764228519478159e-10
10,837.7879949747113,1.6472308870137926,2.512964552503888e-10,7.25028310639276e-11,1.7484838156086566e-10,4.16986663148749e-10
11,822.9164001887356,1.8005751816165532,2.1899736962799223e-10,5.946393058617609e-11,1.5241567764977752e-10,3.794387157361276e-10
12,805.5656263644386,1.9827939680123745,1.8482147019618015e-10,4.672388938636837e-11,1.3105381886973342e-10,3.231678307954239e-10
13,783.256871457526,2.2224936871622756,1.4204185102958432e-10,3.87356709915971e-11,9.981211121069611e-11,2.4508379312564885e-10
14,758.4695103909143,2.4962949930620897,1.0192745527130238e-10,2.873175298056177e-11,6.128158493496866e-11,1.7597758874795638e-10
15,733.6809880795391,2.77814138452743,7.533575195034485e-11,2.327432386611988e-11,4.108951100283209e-11,1.3186779497201465e-10
16,708.8908488634015,3.067972755313559,5.7383712698764665e-11,2.0328450947101244e-11,3.269382720915378e-11,9.980330714779303e-11
17,684.1004760822683,3.3661126328894038,4.8324568902254854e-11,2.074489904110253e-11,2.7980593523714073e-11,7.589685679877054e-11
18,653.1112285285492,3.753393324301299,4.4108472058607995e-11,2.0254377605866967e-11,2.494688817671167e-11,6.581092445827951e-11
19,615.9205705120047,4.2379797038361025,4.0204790461050964e-11,1.9692752236983708e-11,2.5652430589083055e-11,5.4534847976791624e-11
20,578.7272043823215,4.752775529501931,3.645684167298827e-11,1.9763471303951146e-11,2.5948771484795402e-11,4.738092652796061e-11
21,541.5297974405477,5.293982624262083,3.316605115415626e-11,1.818830378964861e-11,2.5833881993836485e-11,4.55396575169909e-11
22,504.3267976709419,5.866525051820845,3.090870685331357e-11,1.5473467943981908e-11,2.5447076032014344e-11,3.9894662780031673e-11
23,467.1182254346348,6.4783499666903825,3.3545944144448186e-11,1.4034796262776322e-11,2.560560173393776e-11,3.9838899910915724e-11
24,429.9018516259439,7.130616001171602,4.0814465348294463e-11,1.4416878885224682e-11,2.9582981983735515e-11,4.7414031696429144e-11
25,392.6748148107893,7.8276962056910495,4.8709532282631395e-11,1.6480491750880445e-11,3.5613032123944574e-11,5.260367087048413e-11
26,355.4364121658684,8.582381437087088,4.55047392375947e-11,1.4731632460450646e-11,3.64001771939653e-11,5.4870281881548513e-11
27,312.2568471757569,9.510262026437415,3.177361163020687e-11,1.3202677289987881e-11,2.820884501836209e-11,3.917130095923225e-11
28,266.2024287155883,10.602168136966553,2.2080671361942615e-11,1.2348485717730408e-11,1.8816693721771688e-11,2.7978179754817772e-11
29,226.40807678064118,11.660990898666412,1.669834374716429e-11,1.1041534479968366e-11,1.3598428463078222e-11,2.2901495012455463e-11
30,192.52002788560424,12.736811932907898,1.4107920740951207e-11,8.054989756938845e-12,1.1819988084540793e-11,2.0700757950841136e-11
31,163.6614990234374,13.78656633117675,1.5696529232627103e-11,6.8696012205911835e-12,1.5923061008781334e-11,2.0525281886180862e-11
32,139.11500549316403,14.787671064298221,2.1508504313159866e-11,1.0553849925164999e-11,2.5422345959885047e-11,2.892354190032191e-11
33,118.25,15.906170270258151,3.2337399998958567e-11,2.7734959599306135e-11,3.589341163826915e-11,3.858100847174119e-11
34,100.51435089111324,17.24273064490245,4.790431547159747e-11,4.6072603332594466e-11,4.7878301814937876e-11,4.983983025801235e-11
35,85.43901824951189,18.813372559902348,6.835067103299044e-11,6.643005544756874e-11,6.888172456073783e-11,7.10699221725557e-11
36,72.55786132812501,20.65052603534648,1.0261931278292695e-10,9.881027387514612e-11,1.0197940708014345e-10,1.0589962094368258e-10
37,61.495662689209006,22.74331462627693,1.4520557210930847e-10,1.4192969111175826e-10,1.4552703453073598e-10,1.4913499575975366e-10
38,52.015911102294844,24.86505040859316,1.6578085592158454e-10,1.6188669455767583e-10,1.652357907081347e-10,1.6984341878358176e-10
39,43.90966415405282,27.052485734519244,1.8543422776101585e-10,1.7872843862668147e-10,1.865878776760598e-10,1.9042582277839928e-10
40,36.9927101135254,29.32647120258809,2.0652692474342955e-10,2.0357266631919525e-10,2.0828462471807591e-10,2.1043336015378615e-10
41,31.08891105651863,31.748905700260213,2.309376161874157e-10,2.241908495155925e-10,2.3295351835189544e-10,2.3635327524328734e-10
42,26.049108505249027,34.31199278898532,2.5053194310011073e-10,2.4791999392783867e-10,2.521302706568963e-10,2.5395037374779724e-10
43,21.76100349426269,37.02114906529215,2.682606584903787e-10,2.626320415991812e-10,2.6900591125894683e-10,2.722600030229946e-10
44,18.124349594116172,40.00166859906441,2.812084104883061e-10,2.7421824147935253e-10,2.787031975666289e-10,2.8721391233330123e-10
45,15.05025005340576,43.13537659190267,2.874912102048584e-10,2.7776671452378665e-10,2.8531927349117363e-10,2.929764402424686e-10
46,12.460150718688988,46.41231625206779,2.878856279985219e-10,2.7522668831107243e-10,2.844462564179851e-10,2.997809156410507e-10
47,10.284920692443848,49.82768019095182,2.826462583139787e-10,2.6527564960798675e-10,2.789394067526429e-10,2.9524221185259416e-10
48,8.45639133453367,53.56635280817698,2.616527171216107e-10,2.4381273525804317e-10,2.588584067852794e-10,2.780341930027677e-10
49,6.9183211326599094,57.94668908538693,2.270797338024258e-10,2.020137147601309e-10,2.2714972214245993e-10,2.454279966971432e-10
50,5.631801128387452,62.66958728955136,1.8948320975672608e-10,1.6367408295779448e-10,1.8399102982007389e-10,2.095471414171782e-10
51,4.561686038970957,67.91525438663359,1.6062611999014528e-10,1.436756771416913e-10,1.5987090430320364e-10,1.7456847196018278e-10
52,3.6765010356903076,73.3631121633128,1.5152468131162866e-10,1.4208668452105895e-10,1.497517233620491e-10,1.6133855665412745e-10
53,2.948321104049681,79.34230382171329,1.4911995264802838e-10,1.4405349668222262e-10,1.480963178175735e-10,1.5444424433083924e-10
54,2.352590560913084,86.018857705306,1.4767945871632033e-10,1.429819248928283e-10,1.4675730169075835e-10,1.5127042636123764e-10
55,1.867879986762998,93.22960225320968,1.459838660198807e-10,1.4318820738108638e-10,1.443950117596676e-10,1.4764957620497677e-10
56,1.475649952888488,100.60502256166222,1.443649891561373e-10,1.4221410293825212e-10,1.4384610769708308e-10,1.457164053681175e-10
57,1.159975051879883,107.73082344928824,1.4302453770563083e-10,1.41705977354276e-10,1.4273843810225287e-10,1.4371623418920788e-10
58,0.9072870612144474,113.85502993179693,1.4474714199120281e-10,1.426955503811102e-10,1.4454946132336672e-10,1.462786418895611e-10
59,0.705956518650055,119.50150429056178,1.622974152983964e-10,1.522248781203094e-10,1.6112188370444789e-10,1.7018454493113236e-10
60,0.5462926030159002,124.26019209911512,2.193454004812618e-10,1.892450800330416e-10,2.1805985687576588e-10,2.474670722756955e-10
61,0.4204235970973968,129.0678850820543,2.4075749612394397e-10,2.0528431863938808e-10,2.380755937679954e-10,2.7258587507132434e-10
62,0.3217835724353792,134.07248354606006,1.5295501006615523e-10,1.1306575033730713e-10,1.4560201025776078e-10,1.853822631783328e-10
63,0.24493755400180758,139.49182341933508,6.449322566276656e-11,4.235837398336133e-11,5.942892149134049e-11,7.831181066577476e-11
64,0.18542200326919586,145.53657974798668,2.743413611709624e-11,1.5708508900250638e-11,2.415326748865421e-11,3.554771857569457e-11
65,0.13959898054599765,151.93939327345697,1.3850278342576988e-11,8.319246729685738e-12,1.1442056628278975e-11,1.8034431026750187e-11
66,0.10452400892972945,158.88929696286775,7.484546777076149e-12,4.4266087686113965e-12,5.958049442138664e-12,9.91752925385418e-12
67,0.07767251133918768,165.48256960765983,4.4859891156727036e-12,2.6684557481630404e-12,3.977138060991141e-12,5.916181721802583e-12
68,0.056792508810758584,171.42659336444058,2.8850340092809957e-12,1.7570285036752337e-12,2.893982873224965e-12,3.713698280553438e-12
69,0.04014250636100761,177.6333305500759,1.822980045347495e-12,1.115652586820916e-12,1.709794761200377e-12,2.130943287596866e-12
70,0.02635000087320806,187.62940859763327,8.591673734883844e-13,5.402598090371843e-13,7.858953647944931e-13,1.0921442485672897e-12
71,0.014999999664723887,209.86898406193973,2.380940851095587e-13,1.580505443320354e-13,2.1526673784058363e-13,2.780597616126798e-13
