time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,4.064245217796919e-11,1.9938406452734115e-12,1.713751074434992e-13,1.3288490546682049e-12
2022-07-20 01:00:00,4.065630822990801e-11,1.991505421621223e-12,1.238741778344571e-13,1.3371122133177377e-12
2022-07-20 02:00:00,4.0662852561111936e-11,1.9741233940504647e-12,9.125896589743146e-14,1.3454203440871728e-12
2022-07-20 03:00:00,4.061722467027224e-11,1.9568062978856964e-12,7.147467162904673e-14,1.351485848733769e-12
2022-07-20 04:00:00,4.0524745530668234e-11,1.9417841375837736e-12,5.914517628302345e-14,1.3558774700385972e-12
2022-07-20 05:00:00,4.041609778266036e-11,1.9247305724606883e-12,5.0620752506577734e-14,1.3604664643115867e-12
2022-07-20 06:00:00,4.0303469591084614e-11,1.911846639045975e-12,4.7175452366954294e-14,1.3648264675277426e-12
2022-07-20 07:00:00,4.019337297550793e-11,1.9056500942415023e-12,4.768739643417202e-14,1.3684881391339211e-12
2022-07-20 08:00:00,4.009120476367604e-11,1.904792329822038e-12,5.105066470757438e-14,1.3716032950196148e-12
2022-07-20 09:00:00,4.003104267521141e-11,1.900908450342656e-12,5.961116145347371e-14,1.3752991590652992e-12
2022-07-20 10:00:00,3.99975426681104e-11,1.894851457025022e-12,7.546384529770517e-14,1.3795631812092154e-12
2022-07-20 11:00:00,3.996146458061811e-11,1.8895535017825396e-12,9.336094968772991e-14,1.3836590578657388e-12
2022-07-20 12:00:00,3.991571808929284e-11,1.878724310680513e-12,1.0860332267423278e-13,1.3877391859021508e-12
2022-07-20 13:00:00,3.985921973367485e-11,1.8645515586339225e-12,1.2199718306947749e-13,1.3913667308734768e-12
2022-07-20 14:00:00,3.979951874773218e-11,1.849782918221175e-12,1.3526396524884632e-13,1.394558487611252e-12
2022-07-20 15:00:00,3.974052121156634e-11,1.8356907970066925e-12,1.4785371565464642e-13,1.3981686196183756e-12
2022-07-20 16:00:00,3.968824483812397e-11,1.8221480672366805e-12,1.6050328302401714e-13,1.4022043317336655e-12
2022-07-20 17:00:00,3.965719476212452e-11,1.8085330575019226e-12,1.7378996951134732e-13,1.406691115375e-12
2022-07-20 18:00:00,3.968329991273509e-11,1.792523485435019e-12,1.8545741361736757e-13,1.4126218533639036e-12
2022-07-20 19:00:00,3.9742524093470175e-11,1.7732511876763537e-12,1.95899262557186e-13,1.4187399732386478e-12
2022-07-20 20:00:00,3.980653663885249e-11,1.75228241336257e-12,2.0515009726751073e-13,1.424404525438069e-12
2022-07-20 21:00:00,3.9877902540674826e-11,1.736622561515051e-12,2.016603339302025e-13,1.4302513776961288e-12
