time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,3.1295445700444467e-10,3.1295889593100503e-10,7.316135773769312e-11,2.2648861702157464e-11
2022-07-20 01:00:00,3.118084115854368e-10,3.012085826053591e-10,6.851165556873662e-11,2.1651718258730706e-11
2022-07-20 02:00:00,3.13591011983776e-10,2.9277352262451967e-10,6.36415232522261e-11,2.0847627514107783e-11
2022-07-20 03:00:00,3.1759050990468215e-10,2.838871368525105e-10,5.961815970312036e-11,2.0333955795709067e-11
2022-07-20 04:00:00,3.2315248098065457e-10,2.765236544531971e-10,5.715696115721576e-11,2.0098303253291434e-11
2022-07-20 05:00:00,3.287215508556082e-10,2.713473714782339e-10,5.614525674537851e-11,1.9968311730055754e-11
2022-07-20 06:00:00,3.355576433898695e-10,2.666253170120874e-10,5.556381137929169e-11,2.046536407007426e-11
2022-07-20 07:00:00,3.414889263498824e-10,2.666678509595466e-10,5.6858004982625036e-11,2.1030290300774186e-11
2022-07-20 08:00:00,3.4515927785443806e-10,2.704885418352584e-10,5.897727991655447e-11,2.1151272753603023e-11
2022-07-20 09:00:00,3.459371305121484e-10,2.780995924590962e-10,6.069784545002288e-11,2.1131503152630983e-11
2022-07-20 10:00:00,3.462289914370896e-10,2.9506578632350613e-10,6.09617551867094e-11,2.1110845191920383e-11
2022-07-20 11:00:00,3.463147141215986e-10,3.09824046267915e-10,5.908273165404704e-11,2.1163588319783657e-11
2022-07-20 12:00:00,3.4842775320791277e-10,3.213699325190105e-10,5.798832744553236e-11,2.1883748628668376e-11
2022-07-20 13:00:00,3.4989073813175407e-10,3.325891735060944e-10,5.686947362607692e-11,2.2299988744961583e-11
2022-07-20 14:00:00,3.518464211609779e-10,3.426473609144577e-10,5.5559849219924296e-11,2.2590188780232696e-11
2022-07-20 15:00:00,3.5672842934142434e-10,3.47674493848812e-10,5.423588337513366e-11,2.375426883128983e-11
2022-07-20 16:00:00,3.6143029629382673e-10,3.514468709604344e-10,5.3530025737833813e-11,2.449116840401211e-11
2022-07-20 17:00:00,3.653662519595095e-10,3.5356350779035294e-10,5.332333968170821e-11,2.5081240540939667e-11
2022-07-20 18:00:00,3.709920121661702e-10,3.5031054213460696e-10,5.308582080163678e-11,2.6562341994618784e-11
2022-07-20 19:00:00,3.73659243335495e-10,3.4952727078537896e-10,5.3110793966336325e-11,2.7433019762770615e-11
2022-07-20 20:00:00,3.755819579794719e-10,3.52504888116832e-10,5.364272061199239e-11,2.81217813466348e-11
2022-07-20 21:00:00,3.746513230828543e-10,3.5068447743695815e-10,5.536397528656454e-11,2.792730160705583e-11
2022-07-20 22:00:00,3.7117872497756005e-10,3.4594858645714403e-10,5.61484942981346e-11,2.772295268352708e-11
2022-07-20 23:00:00,3.671201294094849e-10,3.4099540148556157e-10,5.4968927232927527e-11,2.447225038338111e-11
2022-07-21 00:00:00,3.6673938368631654e-10,3.234683841686791e-10,5.240729754091453e-11,2.2493863802113255e-11
