time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,4.047545179892705e-11,1.9999298967959517e-12,1.7609365112629016e-13,1.3373937920387703e-12
2022-07-20 01:00:00,4.048487458307551e-11,2.0007899012369387e-12,1.2785278403414173e-13,1.3464058822847686e-12
2022-07-20 02:00:00,4.049056570947037e-11,1.9879689495225858e-12,9.477495124888808e-14,1.355830815038326e-12
2022-07-20 03:00:00,4.044661071100694e-11,1.976772406874929e-12,7.46409666223808e-14,1.36326371300591e-12
2022-07-20 04:00:00,4.035785750577452e-11,1.9679041617369316e-12,6.196955842402982e-14,1.3690751382939634e-12
2022-07-20 05:00:00,4.025314169703752e-11,1.9552847268410456e-12,5.3145276701346555e-14,1.3750938230051467e-12
2022-07-20 06:00:00,4.014015926601315e-11,1.9456731160104175e-12,4.96843409280966e-14,1.3809251465698156e-12
2022-07-20 07:00:00,4.002709232732257e-11,1.941312857421392e-12,5.0210314949528693e-14,1.3862013663462718e-12
2022-07-20 08:00:00,3.992231443011899e-11,1.9404391306173052e-12,5.357123331294801e-14,1.3910762968234712e-12
2022-07-20 09:00:00,3.986248354880252e-11,1.9356053156013435e-12,6.245207473268871e-14,1.3967681715941683e-12
2022-07-20 10:00:00,3.983035769219681e-11,1.9285608885345106e-12,7.920541671671209e-14,1.4030780796050762e-12
2022-07-20 11:00:00,3.979520456795065e-11,1.9220986575148265e-12,9.797334747144494e-14,1.4090481901088678e-12
2022-07-20 12:00:00,3.975519765145308e-11,1.9094583438047513e-12,1.131966263982934e-13,1.4152261951674736e-12
2022-07-20 13:00:00,3.970590580248382e-11,1.892801780885389e-12,1.2601543213347513e-13,1.4208365625117064e-12
2022-07-20 14:00:00,3.9650291839190816e-11,1.8752576281267008e-12,1.3863002891306392e-13,1.4255335591043076e-12
2022-07-20 15:00:00,3.959198084588241e-11,1.8582948309417725e-12,1.504138109188218e-13,1.4298091939082963e-12
2022-07-20 16:00:00,3.953399103815439e-11,1.842480819245314e-12,1.6218479918952836e-13,1.433430051215402e-12
2022-07-20 17:00:00,3.948948751896596e-11,1.827513471720509e-12,1.7466587422085276e-13,1.4365782540379376e-12
2022-07-20 18:00:00,3.950228429876456e-11,1.81055936470146e-12,1.857483144865515e-13,1.4408918299137196e-12
2022-07-20 19:00:00,3.954992943977073e-11,1.7902870599690498e-12,1.95725034396355e-13,1.4453528334706955e-12
2022-07-20 20:00:00,3.9600806374008e-11,1.7681583548614809e-12,2.0459867893340527e-13,1.4491499781066779e-12
2022-07-20 21:00:00,3.9665421679588324e-11,1.7515111242083392e-12,2.0152287790411852e-13,1.4537327499236264e-12
2022-07-20 22:00:00,3.974542437512259e-11,1.7476285179216437e-12,1.7285777270674683e-13,1.4587102860386341e-12
2022-07-20 23:00:00,3.983284851114838e-11,1.7448769137881799e-12,1.3405781714710238e-13,1.4633386759916338e-12
2022-07-21 00:00:00,3.9895960762106714e-11,1.736497119054465e-12,1.0129802038155661e-13,1.4686816961074332e-12
2022-07-21 01:00:00,3.993977404195682e-11,1.722261811526201e-12,7.761246962121918e-14,1.4747006520725026e-12
2022-07-21 02:00:00,3.997809781716142e-11,1.7038156600249434e-12,6.156786654250438e-14,1.4803267129503457e-12
2022-07-21 03:00:00,3.9998377950884715e-11,1.6868170280264747e-12,5.168186053702902e-14,1.485613656997136e-12
2022-07-21 04:00:00,4.00039420286579e-11,1.6724866717805005e-12,4.4858980611072425e-14,1.490547098220615e-12
2022-07-21 05:00:00,4.000707350790423e-11,1.6588801364184831e-12,3.996862376496396e-14,1.4949586059447697e-12
2022-07-21 06:00:00,4.0019561653792305e-11,1.6453544802494406e-12,3.784042722009929e-14,1.498226123188554e-12
2022-07-21 07:00:00,4.002982053113656e-11,1.6343159782745075e-12,3.82546146846344e-14,1.5003570268421657e-12
2022-07-21 08:00:00,4.003293340552872e-11,1.6271432451126633e-12,4.1300248689652796e-14,1.5019052956122755e-12
2022-07-21 09:00:00,4.004387721165854e-11,1.616266581115789e-12,4.9467774674347944e-14,1.5015384618562691e-12
2022-07-21 10:00:00,4.0060774242513254e-11,1.6012850044712584e-12,6.431332591308342e-14,1.499260196617358e-12
2022-07-21 11:00:00,4.007582930624697e-11,1.5866294680382615e-12,7.935178469336854e-14,1.4960289853544787e-12
2022-07-21 12:00:00,4.009242058391722e-11,1.5712787060007682e-12,9.173742830503428e-14,1.4916299135036043e-12
2022-07-21 13:00:00,4.0121251396431205e-11,1.5561936334956121e-12,1.0212843820981855e-13,1.4865668632320863e-12
2022-07-21 14:00:00,4.0164678339640003e-11,1.5424201928675923e-12,1.1117617318072088e-13,1.4815381256861955e-12
