time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,3.1649815395320386e-10,3.134334290336767e-10,7.39657700149467e-11,2.2733629146689075e-11
2022-07-20 01:00:00,3.1563830123092957e-10,3.017911530999856e-10,6.9300553237141e-11,2.176925805821323e-11
2022-07-20 02:00:00,3.175729925952959e-10,2.934201107033998e-10,6.440489546143802e-11,2.099165545461484e-11
2022-07-20 03:00:00,3.2146260716169153e-10,2.845262462407841e-10,6.036397760050919e-11,2.047349313414213e-11
2022-07-20 04:00:00,3.2693744897937134e-10,2.7710467215250384e-10,5.7925782901946413e-11,2.0224588119994508e-11
2022-07-20 05:00:00,3.3235076534626653e-10,2.7185559312407323e-10,5.695380559273441e-11,2.008140435688366e-11
2022-07-20 06:00:00,3.388980393471089e-10,2.670603466042596e-10,5.65465417868221e-11,2.0548148917469124e-11
2022-07-20 07:00:00,3.444567892436311e-10,2.669469192669065e-10,5.806811041649526e-11,2.1079507403688928e-11
2022-07-20 08:00:00,3.47811646542656e-10,2.7070650399677646e-10,6.047585690744633e-11,2.1182886681481226e-11
2022-07-20 09:00:00,3.4820657891512186e-10,2.7815549096662726e-10,6.244343817353856e-11,2.114316872985449e-11
2022-07-20 10:00:00,3.4810671067459865e-10,2.9494949379658934e-10,6.289277066475859e-11,2.11041524416468e-11
2022-07-20 11:00:00,3.477794856971313e-10,3.0973709572919294e-10,6.102312550217282e-11,2.1137074452002672e-11
2022-07-20 12:00:00,3.4937344159926316e-10,3.2127683643271856e-10,6.00393960944555e-11,2.1820642587944952e-11
2022-07-20 13:00:00,3.5031503450124033e-10,3.3220431925670585e-10,5.915096852492519e-11,2.2210859107552135e-11
2022-07-20 14:00:00,3.5179332255728975e-10,3.419832449938792e-10,5.8127158627808615e-11,2.2481876911220276e-11
2022-07-20 15:00:00,3.5615485704922077e-10,3.4688053315787364e-10,5.719846644991517e-11,2.3621012198375218e-11
2022-07-20 16:00:00,3.6020432601331273e-10,3.5065027995178274e-10,5.684429753166208e-11,2.434114982918445e-11
