lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.155730691279904e-11,1.756710033595053e-11,2.1582806942188967e-11,2.4888417543995735e-11
1,971.6244310048473,0.36625663400749947,2.0500980743373123e-11,1.6702943600433996e-11,1.951147717038764e-11,2.407309947473284e-11
2,956.7542402749618,0.5001096160252074,2.033497802336075e-11,1.6475853371247636e-11,1.9472487608796287e-11,2.4153720921135642e-11
3,941.8841473755075,0.6358236496946832,2.030899408075064e-11,1.636559923638923e-11,1.9892991873286364e-11,2.4444502762552034e-11
4,927.0137936180281,0.7737023136984883,2.0389135680399308e-11,1.6461303305970257e-11,2.006737153779667e-11,2.454058267072931e-11
5,912.1431877107561,0.9140599557728831,2.042224770509218e-11,1.649760901332399e-11,2.0281844276065123e-11,2.465706963804786e-11
6,897.2725265381572,1.056517394691973,2.030995695570329e-11,1.6307589025943625e-11,2.0056061687141734e-11,2.4445894835368135e-11
7,882.4015480213002,1.200972749516894,1.9980872846185508e-11,1.590660878327207e-11,1.9698994948738808e-11,2.3914802920880438e-11
8,867.5303567964003,1.3475120190675405,1.9344883961780843e-11,1.541098272694622e-11,1.959614409970798e-11,2.298765244990382e-11
9,852.6592652163091,1.4962539028284811,1.829600978587836e-11,1.4597542921672584e-11,1.900486339959254e-11,2.1363086851820774e-11
10,837.7879949747113,1.6472308870137926,1.687406416508528e-11,1.3499122184819513e-11,1.777976607895624e-11,2.004519335545589e-11
11,822.9164001887356,1.8005751816165532,1.512780776393048e-11,1.2232597147435374e-11,1.5726569793397297e-11,1.759096558184104e-11
12,805.5656263644386,1.9827939680123745,1.3068142471134867e-11,1.067859556914234e-11,1.3300716353415733e-11,1.5041095481217432e-11
13,783.256871457526,2.2224936871622756,1.0606251634404757e-11,8.77236037197416e-12,1.0348308179322715e-11,1.2490479908852425e-11
14,758.4695103909143,2.4962949930620897,8.242921446289785e-12,6.977077521493509e-12,7.868487526820283e-12,9.58994136694416e-12
15,733.6809880795391,2.77814138452743,6.378918816227769e-12,5.4400961800670564e-12,5.86622134885477e-12,7.380310510327818e-12
16,708.8908488634015,3.067972755313559,4.9264634227665024e-12,4.157223682806497e-12,4.769830296468569e-12,5.617794327236707e-12
17,684.1004760822683,3.3661126328894038,3.838697981081454e-12,3.332721967863213e-12,3.764485225999874e-12,4.278492534893297e-12
18,653.1112285285492,3.753393324301299,2.965268314444288e-12,2.611767119048965e-12,2.917987756743975e-12,3.2706384611931663e-12
19,615.9205705120047,4.2379797038361025,2.2357508833438728e-12,1.957124438541154e-12,2.1967468467845928e-12,2.4351303282451973e-12
20,578.7272043823215,4.752775529501931,1.7852214138727736e-12,1.5560562024135938e-12,1.687616047843008e-12,1.9405697069983627e-12
21,541.5297974405477,5.293982624262083,1.5099157440348929e-12,1.3149262840972003e-12,1.4119163710373754e-12,1.6339874157312121e-12
22,504.3267976709419,5.866525051820845,1.3578967078788832e-12,1.176273256418266e-12,1.320135256888593e-12,1.4746675783450021e-12
23,467.1182254346348,6.4783499666903825,1.3232462801015784e-12,1.1270684390948138e-12,1.2714505539017337e-12,1.5237012005763558e-12
24,429.9018516259439,7.130616001171602,1.4044075698699883e-12,1.1884300514620555e-12,1.3046929167064568e-12,1.6982565229235312e-12
25,392.6748148107893,7.8276962056910495,1.5262701079550432e-12,1.2487728652672428e-12,1.3736523057255213e-12,1.8083891020935941e-12
26,355.4364121658684,8.582381437087088,1.5691632909529488e-12,1.2030302531027362e-12,1.429567391131598e-12,1.745368188176172e-12
27,312.2568471757569,9.510262026437415,1.4315061414612571e-12,1.0770853925368015e-12,1.4038290336232714e-12,1.6221340907810238e-12
28,266.2024287155883,10.602168136966553,1.23772923497544e-12,9.28399248251519e-13,1.2574432397379313e-12,1.4452224882464711e-12
29,226.40807678064118,11.660990898666412,1.0190369127465286e-12,7.499683326322988e-13,1.0374562485218175e-12,1.2220551229748023e-12
30,192.52002788560424,12.736811932907898,8.899773255404868e-13,6.536459938125875e-13,8.154176672568167e-13,1.086330355822769e-12
31,163.6614990234374,13.78656633117675,8.92334832181587e-13,7.001499203614667e-13,8.228278830740116e-13,1.024909255575104e-12
32,139.11500549316403,14.787671064298221,1.004982751767153e-12,8.380527002638763e-13,9.814597105109214e-13,1.1048176318957433e-12
33,118.25,15.906170270258151,1.1360276004110595e-12,1.0186619708917646e-12,1.1271962260701154e-12,1.1796284442348413e-12
34,100.51435089111324,17.24273064490245,1.1037310375866296e-12,1.0618357427348285e-12,1.1070498262102857e-12,1.133080746954757e-12
35,85.43901824951189,18.813372559902348,7.991146257681552e-13,7.577583399395248e-13,8.010092629135257e-13,8.349462715074896e-13
36,72.55786132812501,20.65052603534648,4.80743686550938e-13,4.552518550124321e-13,4.679479399395714e-13,4.950634901727212e-13
37,61.495662689209006,22.74331462627693,3.3235662756406767e-13,3.233106465118495e-13,3.3343101332273225e-13,3.4399540455731313e-13
38,52.015911102294844,24.86505040859316,2.6798787554380707e-13,2.6511003076455255e-13,2.679099198352551e-13,2.702615595526218e-13
39,43.90966415405282,27.052485734519244,2.4434585797748885e-13,2.4197235405665485e-13,2.442560993605819e-13,2.4652558613719973e-13
40,36.9927101135254,29.32647120258809,2.312085608144908e-13,2.300090184599504e-13,2.3114179601823515e-13,2.32138300526692e-13
41,31.08891105651863,31.748905700260213,2.2091003651720453e-13,2.198940292579282e-13,2.2061836199056477e-13,2.2121177457561362e-13
42,26.049108505249027,34.31199278898532,2.1218426393872626e-13,2.1107692263439556e-13,2.1194418072025907e-13,2.1335853061039816e-13
43,21.76100349426269,37.02114906529215,2.0588353398454152e-13,2.0396543606440427e-13,2.061986048536715e-13,2.0803321136298404e-13
44,18.124349594116172,40.00166859906441,2.0082415157672468e-13,1.999768255771822e-13,2.0088585334985812e-13,2.0207636146089134e-13
45,15.05025005340576,43.13537659190267,1.9719176598889563e-13,1.9672207240922953e-13,1.9727341356610725e-13,1.9762000462176764e-13
46,12.460150718688988,46.41231625206779,1.9539529878404545e-13,1.9521177348447665e-13,1.9534812092538262e-13,1.9559093775791674e-13
47,10.284920692443848,49.82768019095182,1.9453725006570908e-13,1.9436857243876768e-13,1.945524940538738e-13,1.9468742895052073e-13
48,8.45639133453367,53.56635280817698,1.9401240790969208e-13,1.9390573657019113e-13,1.9398611180226825e-13,1.941340892157189e-13
