lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.1637270222329524e-10,3.608943759756847e-10,4.116737932756939e-10,4.670795355962716e-10
1,971.6244310048473,0.36625663400749947,4.1246250131682197e-10,3.59185902176431e-10,4.073258566270435e-10,4.6499680702007047e-10
2,956.7542402749618,0.5001096160252074,4.156084258163939e-10,3.6768148695460805e-10,4.107591138354106e-10,4.671541773318264e-10
3,941.8841473755075,0.6358236496946832,4.1649516101731486e-10,3.6655176917557454e-10,4.0647137247925845e-10,4.71294633720911e-10
4,927.0137936180281,0.7737023136984883,4.1136643891515424e-10,3.5954039244665845e-10,4.012781016695711e-10,4.649103227673669e-10
5,912.1431877107561,0.9140599557728831,3.961101865647458e-10,3.446811779561783e-10,3.904100656635627e-10,4.388357334982678e-10
6,897.2725265381572,1.056517394691973,3.7471901726341274e-10,3.2916992659991743e-10,3.7498121037735607e-10,4.0767446862811383e-10
7,882.4015480213002,1.200972749516894,3.510593449963536e-10,3.1015153980746337e-10,3.49911687530314e-10,3.806712976256066e-10
8,867.5303567964003,1.3475120190675405,3.272281155532836e-10,2.909633887898201e-10,3.261170890573618e-10,3.525073635434669e-10
9,852.6592652163091,1.4962539028284811,3.006001557186308e-10,2.686759698238616e-10,2.995543050726898e-10,3.2358866484325265e-10
10,837.7879949747113,1.6472308870137926,2.717006845146431e-10,2.424570991967531e-10,2.704014317944115e-10,2.9189511896054517e-10
11,822.9164001887356,1.8005751816165532,2.4135212791249596e-10,2.1602692279099373e-10,2.3977020347190714e-10,2.6138264446004997e-10
12,805.5656263644386,1.9827939680123745,2.087822440966302e-10,1.8716749542293346e-10,2.0685258431460223e-10,2.277220708957997e-10
13,783.256871457526,2.2224936871622756,1.7197089225175332e-10,1.5506957247008927e-10,1.673048366630101e-10,1.8701426307536196e-10
14,758.4695103909143,2.4962949930620897,1.3816855799245638e-10,1.2387628105082136e-10,1.3432788546985855e-10,1.4956301538147532e-10
15,733.6809880795391,2.77814138452743,1.1240814512310765e-10,9.888114120621957e-11,1.0804839096986668e-10,1.1839352176574082e-10
16,708.8908488634015,3.067972755313559,9.375513753887627e-11,8.069416725357557e-11,9.152373532367011e-11,1.0035211489233388e-10
17,684.1004760822683,3.3661126328894038,8.017001553829882e-11,6.614310297422353e-11,7.988440355918172e-11,8.619365515392309e-11
18,653.1112285285492,3.753393324301299,6.935799241045167e-11,5.6884716866103464e-11,6.922207548290447e-11,7.535658449422301e-11
19,615.9205705120047,4.2379797038361025,5.915532527867756e-11,4.9613729337161924e-11,5.769920166685723e-11,6.548317031162057e-11
20,578.7272043823215,4.752775529501931,5.1695568212584274e-11,4.3980163591197025e-11,4.769155006753138e-11,5.845064670403962e-11
21,541.5297974405477,5.293982624262083,4.6306133374261e-11,3.827577213740673e-11,4.298136123322478e-11,5.322217737667596e-11
22,504.3267976709419,5.866525051820845,4.2676960001368937e-11,3.589064527551267e-11,4.0306390191881666e-11,4.910155030192679e-11
23,467.1182254346348,6.4783499666903825,4.1526321924831074e-11,3.6134745943061205e-11,4.0548883212510945e-11,4.6786241771415717e-11
24,429.9018516259439,7.130616001171602,4.2651016102116766e-11,3.7887947214595074e-11,4.203480827722585e-11,4.789862783402312e-11
25,392.6748148107893,7.8276962056910495,4.3472229663281896e-11,3.859065548164126e-11,4.3280263778760466e-11,4.9463659172488434e-11
26,355.4364121658684,8.582381437087088,4.1174957993166723e-11,3.5785011570568865e-11,4.162411064821366e-11,4.535461487482538e-11
27,312.2568471757569,9.510262026437415,3.6380239264879e-11,3.135236149824594e-11,3.7083778472507667e-11,4.062467523165238e-11
28,266.2024287155883,10.602168136966553,3.091198861946214e-11,2.7566249628969857e-11,3.080136431789511e-11,3.3821318642257243e-11
29,226.40807678064118,11.660990898666412,2.6197577687332816e-11,2.4059815458827126e-11,2.6209617732582736e-11,2.8287304703738247e-11
30,192.52002788560424,12.736811932907898,2.4320539023295165e-11,2.1583609885443125e-11,2.4295196398401666e-11,2.66014937799952e-11
31,163.6614990234374,13.78656633117675,2.6246714580100985e-11,2.339800281739954e-11,2.637152471890319e-11,2.8591741920867136e-11
32,139.11500549316403,14.787671064298221,3.252137069170354e-11,2.973110707107294e-11,3.275892530787508e-11,3.493761569451962e-11
33,118.25,15.906170270258151,4.290991334984718e-11,4.106015144830818e-11,4.3416694320377916e-11,4.4654906521071994e-11
34,100.51435089111324,17.24273064490245,5.7787385616473035e-11,5.7167472267109185e-11,5.756460315919613e-11,5.832341444528056e-11
35,85.43901824951189,18.813372559902348,7.927404708289637e-11,7.833945244393753e-11,7.945199659667215e-11,8.016756318801446e-11
36,72.55786132812501,20.65052603534648,1.0869421076725606e-10,1.0680497769336332e-10,1.0891102842073102e-10,1.1068248676436717e-10
37,61.495662689209006,22.74331462627693,1.4117227562572294e-10,1.4002161471762614e-10,1.41054369010088e-10,1.4243418780721745e-10
38,52.015911102294844,24.86505040859316,1.6837243343846002e-10,1.6664476940078685e-10,1.6887573674097537e-10,1.7007424097253163e-10
39,43.90966415405282,27.052485734519244,1.913780990269971e-10,1.8886298541373834e-10,1.9192714010147948e-10,1.9370111265725583e-10
40,36.9927101135254,29.32647120258809,2.1166026520199827e-10,2.1111541655343163e-10,2.1280380884991904e-10,2.1348595893557693e-10
41,31.08891105651863,31.748905700260213,2.3062191715018934e-10,2.2909754496910978e-10,2.3174345204380526e-10,2.3224392873828642e-10
42,26.049108505249027,34.31199278898532,2.491708127588668e-10,2.4773792252383466e-10,2.501928163257511e-10,2.508555907855487e-10
43,21.76100349426269,37.02114906529215,2.6773277218878695e-10,2.657540128394672e-10,2.679320648040179e-10,2.6952914799931297e-10
44,18.124349594116172,40.00166859906441,2.833260104176899e-10,2.792295365650852e-10,2.827368627508832e-10,2.8683712989229524e-10
45,15.05025005340576,43.13537659190267,2.9270709288366337e-10,2.882466380324703e-10,2.932097733388867e-10,2.9658294481590125e-10
46,12.460150718688988,46.41231625206779,2.9358496976401824e-10,2.8391227053718395e-10,2.957125184102676e-10,3.0341328887636175e-10
47,10.284920692443848,49.82768019095182,2.8207397701005257e-10,2.727843097680486e-10,2.8471405948154587e-10,2.922942248476584e-10
48,8.45639133453367,53.56635280817698,2.542542088650665e-10,2.451163130707749e-10,2.5958815445050183e-10,2.6412556259295693e-10
49,6.9183211326599094,57.94668908538693,2.1791173082426605e-10,2.0928869713121814e-10,2.19825222717518e-10,2.2980167432415016e-10
50,5.631801128387452,62.66958728955136,1.8282979948263075e-10,1.7387744702173508e-10,1.8437317160953518e-10,1.933553014521267e-10
51,4.561686038970957,67.91525438663359,1.6017225070361456e-10,1.5309121672886644e-10,1.6127265965688069e-10,1.6858700990405486e-10
52,3.6765010356903076,73.3631121633128,1.514189433831984e-10,1.4694278817226227e-10,1.5146324394684754e-10,1.5578552707003004e-10
53,2.948321104049681,79.34230382171329,1.4902067014263567e-10,1.4639733482539773e-10,1.4868411115637676e-10,1.5163870569488463e-10
54,2.352590560913084,86.018857705306,1.4783570020151069e-10,1.4628233749550322e-10,1.4788969909186764e-10,1.4966300204778947e-10
55,1.867879986762998,93.22960225320968,1.4690396476954527e-10,1.4559341754501378e-10,1.4692724845824637e-10,1.4783754637033723e-10
56,1.475649952888488,100.60502256166222,1.4552813481583827e-10,1.4451265085199998e-10,1.4539247114641835e-10,1.4638351326019276e-10
57,1.159975051879883,107.73082344928824,1.440596972398566e-10,1.4298694577539226e-10,1.43962369604445e-10,1.448573355219881e-10
58,0.9072870612144474,113.85502993179693,1.4563315075391256e-10,1.4401124399053586e-10,1.4550878878005272e-10,1.4710196465515637e-10
59,0.705956518650055,119.50150429056178,1.6131367224884742e-10,1.5687774889450688e-10,1.6218208320468248e-10,1.664061461950828e-10
60,0.5462926030159002,124.26019209911512,2.0761173050328874e-10,1.9574562667204167e-10,2.0798305485977846e-10,2.2239139789535768e-10
61,0.4204235970973968,129.0678850820543,2.3679691697562257e-10,2.2181173081954469e-10,2.3682307793539445e-10,2.5204974441255466e-10
62,0.3217835724353792,134.07248354606006,1.687589174793925e-10,1.4806743388360568e-10,1.6483792418104066e-10,1.8736480428022552e-10
63,0.24493755400180758,139.49182341933508,8.709275920763487e-11,7.041780012902616e-11,8.287604196448441e-11,1.073840246915326e-10
64,0.18542200326919586,145.53657974798668,4.4485726931250546e-11,3.191019144827415e-11,3.9361423431872046e-11,5.411704163608658e-11
65,0.13959898054599765,151.93939327345697,2.5117795861181022e-11,1.5705078569097132e-11,2.0643957775723803e-11,2.9981870688991764e-11
66,0.10452400892972945,158.88929696286775,1.4441818157946648e-11,8.313012371718146e-12,1.1470930776434692e-11,1.64788261612358e-11
67,0.07767251133918768,165.48256960765983,7.746609917901538e-12,4.884897746614111e-12,6.6122067213674625e-12,9.19427434985212e-12
68,0.056792508810758584,171.42659336444058,4.314291265597717e-12,3.1339312902832726e-12,4.196819086175062e-12,5.250987983114075e-12
69,0.04014250636100761,177.6333305500759,2.672222235205481e-12,2.072861696816855e-12,2.502960457948322e-12,3.2000474211632007e-12
70,0.02635000087320806,187.62940859763327,1.3739705848610848e-12,1.0940585819577274e-12,1.2557067155201881e-12,1.728309177606385e-12
71,0.014999999664723887,209.86898406193973,3.7730940125637455e-13,2.883842190409697e-13,3.4350492873639534e-13,4.915280841409108e-13
