lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,3.846807141896703e+17,4.091202934685919e+16,1.0989583179098426e+17,5.948305031730522e+17
1,971.6244310048473,0.36625663400749947,3.9396436351047206e+17,4.333649934866462e+16,1.1367083931553056e+17,6.024119427564941e+17
2,956.7542402749618,0.5001096160252074,4.3700616734697376e+17,4.6133858283770216e+16,1.2935011504498267e+17,6.47995352953703e+17
3,941.8841473755075,0.6358236496946832,5.304832702077691e+17,5.5555793304492136e+16,1.7108002885260765e+17,7.405157368068352e+17
4,927.0137936180281,0.7737023136984883,5.888458508296732e+17,6.584266494424013e+16,1.8737597923062426e+17,8.076069138875914e+17
5,912.1431877107561,0.9140599557728831,5.3879339561657325e+17,7.201255437806959e+16,1.7157476946189683e+17,7.68204833130591e+17
6,897.2725265381572,1.056517394691973,5.253456526648976e+17,8.291468217457258e+16,2.10460809145344e+17,7.568211296541396e+17
7,882.4015480213002,1.200972749516894,5.41569543662403e+17,9.745478204133582e+16,2.2848003132742502e+17,7.705028926891072e+17
8,867.5303567964003,1.3475120190675405,5.7156843849742106e+17,1.1617377745748896e+17,2.609155982531801e+17,7.601915632342445e+17
9,852.6592652163091,1.4962539028284811,5.560356205875433e+17,1.3771585713060323e+17,2.7648439241733824e+17,7.563622212154254e+17
10,837.7879949747113,1.6472308870137926,6.113190651540108e+17,1.6081672083042032e+17,3.242098745718582e+17,8.136780004238954e+17
11,822.9164001887356,1.8005751816165532,6.988047152923653e+17,1.837221565398069e+17,3.762356530267747e+17,9.406551996750121e+17
12,805.5656263644386,1.9827939680123745,6.98682369891445e+17,2.0535559606385888e+17,3.9995304622639994e+17,9.525525484903867e+17
13,783.256871457526,2.2224936871622756,6.495725337416797e+17,2.2496209992420406e+17,4.3369482014092966e+17,8.347002414045142e+17
14,758.4695103909143,2.4962949930620897,5.852478212868694e+17,2.244654823586788e+17,4.514731133827603e+17,6.715071672951132e+17
15,733.6809880795391,2.77814138452743,5.3755311523764224e+17,2.1692517914113507e+17,4.481454134938416e+17,6.871350220232867e+17
16,708.8908488634015,3.067972755313559,5.290343963894368e+17,2.1001485728894563e+17,4.206786975868321e+17,7.656450360240195e+17
17,684.1004760822683,3.3661126328894038,5.4381292164141715e+17,2.2555281434429466e+17,4.392851703860933e+17,8.186964121081823e+17
18,653.1112285285492,3.753393324301299,6.012367698249861e+17,2.5370713419861597e+17,5.0144569210707686e+17,8.800712786085367e+17
19,615.9205705120047,4.2379797038361025,7.126498178902144e+17,3.3762891026823123e+17,6.490836318066572e+17,9.806705693234285e+17
20,578.7272043823215,4.752775529501931,8.460871840231598e+17,4.4157315764812806e+17,7.691977155240114e+17,1.1073308865203671e+18
21,541.5297974405477,5.293982624262083,1.0607923405685821e+18,6.171082397888948e+17,9.53765003834764e+17,1.3773802684874028e+18
