lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,5.412469572317924e+18,4.979612545168384e+18,5.248443939098874e+18,5.941623316446455e+18
1,971.6244310048473,0.36625663400749947,5.292632486295169e+18,4.880200493205471e+18,5.074095822655041e+18,5.932955219140461e+18
2,956.7542402749618,0.5001096160252074,5.303952462285725e+18,4.852920538237159e+18,5.020263131795907e+18,5.945015078406812e+18
3,941.8841473755075,0.6358236496946832,5.276145340866159e+18,4.75154058584219e+18,4.989538109249157e+18,5.96362789132957e+18
4,927.0137936180281,0.7737023136984883,5.192208395268228e+18,4.633495174707849e+18,4.90901060198912e+18,5.889273019049219e+18
5,912.1431877107561,0.9140599557728831,5.047157626119185e+18,4.4588556699692964e+18,4.845584859624432e+18,5.742680157257545e+18
6,897.2725265381572,1.056517394691973,4.869331582228789e+18,4.2696434251798364e+18,4.706372392680075e+18,5.568385083176379e+18
7,882.4015480213002,1.200972749516894,4.672851587749426e+18,4.0812426804371195e+18,4.527611100510025e+18,5.354545468984989e+18
8,867.5303567964003,1.3475120190675405,4.4481730080748063e+18,3.858379815807236e+18,4.335210955277362e+18,5.085508501393231e+18
9,852.6592652163091,1.4962539028284811,4.1819184815186575e+18,3.600635149895215e+18,4.08127260340816e+18,4.787440878614429e+18
10,837.7879949747113,1.6472308870137926,3.885943483393111e+18,3.3344850427402455e+18,3.749002567087478e+18,4.469791833031934e+18
11,822.9164001887356,1.8005751816165532,3.5850274307020575e+18,3.0592864232538e+18,3.443463309869943e+18,4.15497660639591e+18
12,805.5656263644386,1.9827939680123745,3.279479005597772e+18,2.7907500592892017e+18,3.140471558303409e+18,3.8142457336090383e+18
13,783.256871457526,2.2224936871622756,2.945687509975723e+18,2.4898953937618463e+18,2.8139688096302474e+18,3.439249833252806e+18
14,758.4695103909143,2.4962949930620897,2.6327589095535273e+18,2.2415239600509773e+18,2.5331689536771845e+18,3.045029115759612e+18
15,733.6809880795391,2.77814138452743,2.3989096227505736e+18,2.0666387106285878e+18,2.3456053643086213e+18,2.7270924822125025e+18
16,708.8908488634015,3.067972755313559,2.244126736869515e+18,1.9471106537525658e+18,2.22694950359014e+18,2.5349217561546655e+18
17,684.1004760822683,3.3661126328894038,2.15026546669535e+18,1.863102413666206e+18,2.1497182225736955e+18,2.4150367990637286e+18
18,653.1112285285492,3.753393324301299,2.097662511513768e+18,1.816921295614888e+18,2.0973477628523443e+18,2.3620785328544205e+18
19,615.9205705120047,4.2379797038361025,2.0825401659844524e+18,1.807012049030912e+18,2.085027429949977e+18,2.3397741295140787e+18
20,578.7272043823215,4.752775529501931,2.0963518177199053e+18,1.8104761233494036e+18,2.0901732744030167e+18,2.2954689943788004e+18
21,541.5297974405477,5.293982624262083,2.139692223105887e+18,1.837567947796226e+18,2.112093199059754e+18,2.347508265962097e+18
22,504.3267976709419,5.866525051820845,2.2028378434378478e+18,1.8929712982850647e+18,2.1342867484826941e+18,2.476008388835226e+18
23,467.1182254346348,6.4783499666903825,2.3097953538684006e+18,1.9629873032016333e+18,2.1983866649157565e+18,2.7205308724174694e+18
24,429.9018516259439,7.130616001171602,2.4837794604194995e+18,2.0639532699588534e+18,2.2714586170687805e+18,3.0607635882483794e+18
25,392.6748148107893,7.8276962056910495,2.692029291510577e+18,2.1964343682827674e+18,2.349439540258087e+18,3.490427712397211e+18
26,355.4364121658684,8.582381437087088,2.8613650968024e+18,2.2329413372287293e+18,2.3471139836719575e+18,3.7585892528315904e+18
27,312.2568471757569,9.510262026437415,2.9627742714821745e+18,2.1731396205627617e+18,2.5082911121831357e+18,4.0501591048211564e+18
28,266.2024287155883,10.602168136966553,2.9431633362768937e+18,2.1383205888304804e+18,2.605203103105108e+18,4.0339046607773727e+18
29,226.40807678064118,11.660990898666412,2.873795408586581e+18,2.0117535671772152e+18,2.512856201956786e+18,3.877143234061429e+18
30,192.52002788560424,12.736811932907898,2.8361647984689014e+18,1.980594336595619e+18,2.49177903485697e+18,3.7706093650297364e+18
31,163.6614990234374,13.78656633117675,2.900566857378126e+18,2.1083068705689006e+18,2.5976739325810104e+18,3.7228559131953516e+18
32,139.11500549316403,14.787671064298221,2.934961324955891e+18,2.334295790106974e+18,2.733330569907382e+18,3.540923995431214e+18
