lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,8.946058855373162e+18,8.485238598588449e+18,9.018487798936881e+18,9.44598150929188e+18
1,971.6244310048473,0.36625663400749947,8.439945635118635e+18,7.695649059064494e+18,8.422834565611381e+18,9.07988302524897e+18
2,956.7542402749618,0.5001096160252074,8.391601475048337e+18,7.525870766430821e+18,8.280539917199726e+18,9.20306927300604e+18
3,941.8841473755075,0.6358236496946832,8.382263691058049e+18,7.348809857701261e+18,8.15461380140822e+18,9.28107451443864e+18
4,927.0137936180281,0.7737023136984883,8.248675340346235e+18,7.124914535490775e+18,8.01368156876302e+18,9.153368490876803e+18
5,912.1431877107561,0.9140599557728831,7.883087297763271e+18,6.888769367419628e+18,7.777993753840484e+18,8.81295155260859e+18
6,897.2725265381572,1.056517394691973,7.568710022034964e+18,6.603575396805935e+18,7.46264888703275e+18,8.462368436797807e+18
7,882.4015480213002,1.200972749516894,7.269519680953099e+18,6.316232751054646e+18,7.14774676793178e+18,8.025664497922735e+18
8,867.5303567964003,1.3475120190675405,6.965709355704018e+18,6.075198915250948e+18,6.850280330586182e+18,7.649361717176259e+18
9,852.6592652163091,1.4962539028284811,6.580605462201673e+18,5.724592512977217e+18,6.525043159287233e+18,7.140455773279193e+18
10,837.7879949747113,1.6472308870137926,6.256092915848966e+18,5.386634248209954e+18,6.144660536978433e+18,6.78576955440361e+18
11,822.9164001887356,1.8005751816165532,5.964947542980766e+18,5.107300061187375e+18,5.805108440149922e+18,6.493667924274911e+18
12,805.5656263644386,1.9827939680123745,5.570322494926038e+18,4.783181052164916e+18,5.461097480545878e+18,6.103127290737256e+18
13,783.256871457526,2.2224936871622756,5.096225657362249e+18,4.3182595994281405e+18,5.033709232906508e+18,5.580835481917764e+18
14,758.4695103909143,2.4962949930620897,4.636012360530043e+18,3.8749005976208415e+18,4.630473944683362e+18,5.073943287160021e+18
15,733.6809880795391,2.77814138452743,4.28538763579484e+18,3.5966515713061207e+18,4.3333981840152166e+18,4.750881247591516e+18
16,708.8908488634015,3.067972755313559,4.079945807471929e+18,3.384649976513993e+18,4.1959451511890176e+18,4.605036410400878e+18
17,684.1004760822683,3.3661126328894038,3.981983988943131e+18,3.2800945087900114e+18,4.1747117706365676e+18,4.53891459702748e+18
18,653.1112285285492,3.753393324301299,3.9800093900015744e+18,3.271936756693035e+18,4.131335843537625e+18,4.5010846970310267e+18
19,615.9205705120047,4.2379797038361025,4.085689880684817e+18,3.4106226875375437e+18,4.1100219293424835e+18,4.6020232049645015e+18
20,578.7272043823215,4.752775529501931,4.2839699157195044e+18,3.652611998129036e+18,4.2922429275987384e+18,4.706770192123784e+18
21,541.5297974405477,5.293982624262083,4.648551928383628e+18,4.140064889786e+18,4.5402246351432663e+18,4.938493527207163e+18
22,504.3267976709419,5.866525051820845,5.297071239740788e+18,4.824768123060934e+18,5.056685737241025e+18,5.559702948143661e+18
23,467.1182254346348,6.4783499666903825,6.19150355312292e+18,5.618083038444484e+18,5.965210545318988e+18,6.653077697786043e+18
24,429.9018516259439,7.130616001171602,7.293850410771925e+18,6.510308046387758e+18,7.112281464762301e+18,8.036345154394442e+18
25,392.6748148107893,7.8276962056910495,8.847738928472675e+18,7.524254190649174e+18,8.616053373627479e+18,9.873140428086671e+18
26,355.4364121658684,8.582381437087088,1.033628173019761e+19,8.242110212333591e+18,9.590798928810076e+18,1.1601887385337799e+19
27,312.2568471757569,9.510262026437415,1.1518831307849513e+19,8.144691531376816e+18,9.683970954099364e+18,1.2875191509842924e+19
28,266.2024287155883,10.602168136966553,1.6115438366741727e+19,7.924373601467614e+18,1.0337002503877427e+19,2.1695780699276165e+19
29,226.40807678064118,11.660990898666412,2.7381443003099927e+19,8.082937156482208e+18,1.5593434571472892e+19,3.90751110549276e+19
30,192.52002788560424,12.736811932907898,2.732139265052294e+19,7.209346674469223e+18,1.555315341491235e+19,4.231031403181725e+19
31,163.6614990234374,13.78656633117675,2.4126816247064154e+19,6.453147805702182e+18,1.036857462790339e+19,3.4942856251380396e+19
32,139.11500549316403,14.787671064298221,2.1414484685349597e+19,5.691696262636541e+18,7.809634194657686e+18,2.573770450612732e+19
33,118.25,15.906170270258151,1.2478405896663198e+19,4.16809738888228e+18,4.673111025857311e+18,1.3303147292148859e+19
34,100.51435089111324,17.24273064490245,4.2928908746548987e+18,2.7001963184362844e+18,2.92156409477474e+18,5.608486999676948e+18
35,85.43901824951189,18.813372559902348,1.994292079873284e+18,1.7907374994366897e+18,1.8989126339072773e+18,2.0713212638178813e+18
36,72.55786132812501,20.65052603534648,1.4725478444718638e+18,1.431417397328521e+18,1.469432373475563e+18,1.5115474405108357e+18
37,61.495662689209006,22.74331462627693,1.4500372572658248e+18,1.431700756847513e+18,1.4545283794452861e+18,1.4716101256487288e+18
