lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,6.213917904858713e+20,5.2337460193010273e+20,6.073658810212344e+20,7.257674849413275e+20
1,971.6244310048473,0.36625663400749947,6.22073067147548e+20,5.1750049716224066e+20,6.078178210619062e+20,7.331676882504548e+20
2,956.7542402749618,0.5001096160252074,6.32932576819937e+20,5.133026256502074e+20,6.147421877968005e+20,7.486438575932701e+20
3,941.8841473755075,0.6358236496946832,6.374044508562497e+20,5.041963152251296e+20,6.09070361700814e+20,7.478837448825999e+20
4,927.0137936180281,0.7737023136984883,6.099165886604681e+20,4.884871205993722e+20,5.869321115462674e+20,7.11407965025313e+20
5,912.1431877107561,0.9140599557728831,5.567107305049532e+20,4.612352895964582e+20,5.4943437622408013e+20,6.5656344116593e+20
6,897.2725265381572,1.056517394691973,5.101956751586866e+20,4.268319435798147e+20,4.9924323829461117e+20,5.917078894501353e+20
7,882.4015480213002,1.200972749516894,4.694134646258592e+20,3.9527548850620806e+20,4.577107844890855e+20,5.370040880098653e+20
8,867.5303567964003,1.3475120190675405,4.3405564135775e+20,3.698953784296917e+20,4.225425420086536e+20,4.945523741060281e+20
9,852.6592652163091,1.4962539028284811,3.9993821568435166e+20,3.401863136667977e+20,3.8917093969134846e+20,4.50747094014014e+20
10,837.7879949747113,1.6472308870137926,3.671631513707322e+20,3.159005966440707e+20,3.5996318781661617e+20,4.0778235899885984e+20
11,822.9164001887356,1.8005751816165532,3.381434571980587e+20,2.9304389042020227e+20,3.313099282477158e+20,3.722247759856266e+20
12,805.5656263644386,1.9827939680123745,3.110060427109951e+20,2.716167267377665e+20,3.0296174945542596e+20,3.414229822268121e+20
13,783.256871457526,2.2224936871622756,2.8225420561223555e+20,2.4928724707524277e+20,2.732060886382526e+20,3.089080443471264e+20
14,758.4695103909143,2.4962949930620897,2.5367091723503183e+20,2.29792913498039e+20,2.4634987368125406e+20,2.7006004013156598e+20
15,733.6809880795391,2.77814138452743,2.311782956985126e+20,2.142693612396897e+20,2.2542665416079213e+20,2.4165315533666497e+20
16,708.8908488634015,3.067972755313559,2.1729483225389246e+20,2.0069644377236062e+20,2.1574696157310714e+20,2.321373165825107e+20
17,684.1004760822683,3.3661126328894038,2.0955486555659597e+20,1.8931234755585065e+20,2.1140096559975832e+20,2.2793797575724833e+20
18,653.1112285285492,3.753393324301299,2.0520966654966714e+20,1.8589619534222954e+20,2.0696844242261485e+20,2.21885071704188e+20
19,615.9205705120047,4.2379797038361025,2.0177284162928466e+20,1.8356812555543016e+20,1.9974731209304565e+20,2.1998766022525662e+20
20,578.7272043823215,4.752775529501931,2.0011623790577916e+20,1.7699791592830763e+20,2.0294592420028573e+20,2.2241641164362606e+20
21,541.5297974405477,5.293982624262083,2.015558845738615e+20,1.6953626733863754e+20,2.0784303479930408e+20,2.2635626639531265e+20
22,504.3267976709419,5.866525051820845,2.0789388596593728e+20,1.685506538023681e+20,2.1640312975526402e+20,2.4049518806091255e+20
23,467.1182254346348,6.4783499666903825,2.213490310101413e+20,1.787091504592605e+20,2.2587466952197564e+20,2.5776646738461314e+20
24,429.9018516259439,7.130616001171602,2.3932080349263023e+20,1.917219445642615e+20,2.356762344984842e+20,2.8674587911879052e+20
25,392.6748148107893,7.8276962056910495,2.560953129893733e+20,1.985994071069796e+20,2.3331898285166448e+20,3.2313615011584855e+20
26,355.4364121658684,8.582381437087088,2.6271532115068862e+20,2.0001464692801313e+20,2.296521987277167e+20,3.35457013550178e+20
27,312.2568471757569,9.510262026437415,2.5771203989677854e+20,1.9554558364946924e+20,2.2349292297447545e+20,2.978409696648719e+20
28,266.2024287155883,10.602168136966553,2.4471415212724686e+20,1.9060764650404243e+20,2.0911743078512368e+20,2.826825593225646e+20
29,226.40807678064118,11.660990898666412,2.272234342931874e+20,1.7530042498327393e+20,1.9203207099857155e+20,2.7650997554825586e+20
30,192.52002788560424,12.736811932907898,2.085225991599243e+20,1.5687581252779524e+20,1.7640201976799216e+20,2.7941222609439588e+20
31,163.6614990234374,13.78656633117675,1.9468025835280515e+20,1.4202196200219979e+20,1.6770496628022896e+20,2.5615059730419732e+20
32,139.11500549316403,14.787671064298221,1.8022720225412845e+20,1.3809287945232946e+20,1.5374026001789803e+20,1.85695121298405e+20
33,118.25,15.906170270258151,1.4333451014888645e+20,1.1807283260720559e+20,1.281627952858026e+20,1.4023071231602583e+20
34,100.51435089111324,17.24273064490245,1.1358309923009657e+20,1.0610980886014755e+20,1.0856571950095815e+20,1.1309150481096235e+20
35,85.43901824951189,18.813372559902348,1.1646357126169826e+20,1.1091367022973834e+20,1.15589371064382e+20,1.2195210034445635e+20
36,72.55786132812501,20.65052603534648,1.5711963830908813e+20,1.4757064327397618e+20,1.5587887202996604e+20,1.666491017625725e+20
37,61.495662689209006,22.74331462627693,2.3190198479645105e+20,2.1819706415277015e+20,2.2964885606660302e+20,2.419335378066852e+20
38,52.015911102294844,24.86505040859316,3.245279413955938e+20,3.022026611670927e+20,3.22778611607328e+20,3.3982574708738235e+20
39,43.90966415405282,27.052485734519244,4.3290642263150146e+20,4.044678574137686e+20,4.360546255998233e+20,4.530877385434085e+20
40,36.9927101135254,29.32647120258809,6.109453923023332e+20,5.722544943340168e+20,6.217394716411501e+20,6.387990880040796e+20
41,31.08891105651863,31.748905700260213,7.912952062582905e+20,7.458784877856145e+20,7.892378950915124e+20,8.317533706329753e+20
42,26.049108505249027,34.31199278898532,9.92967573940874e+20,9.736893295947258e+20,1.0002586885000407e+21,1.016613157849982e+21
43,21.76100349426269,37.02114906529215,1.193787811395057e+21,1.154066979195952e+21,1.1987776401546617e+21,1.232000765990707e+21
44,18.124349594116172,40.00166859906441,1.4132455762690187e+21,1.286535246642001e+21,1.429996075112648e+21,1.4953312634213114e+21
45,15.05025005340576,43.13537659190267,1.6889082140339386e+21,1.530209382330654e+21,1.7053934792919223e+21,1.8005365160683241e+21
46,12.460150718688988,46.41231625206779,2.0674292567955984e+21,1.9042643476956711e+21,2.0858628336562817e+21,2.2140255842321055e+21
47,10.284920692443848,49.82768019095182,2.4898437929321386e+21,2.318761313097658e+21,2.5152960016282854e+21,2.664662249154806e+21
48,8.45639133453367,53.56635280817698,2.9178496262978126e+21,2.7488415500073954e+21,2.934694980271779e+21,3.101284546019048e+21
49,6.9183211326599094,57.94668908538693,3.4372660724606724e+21,3.2893438315330635e+21,3.4480030939762917e+21,3.570271140408733e+21
50,5.631801128387452,62.66958728955136,4.1198878026613077e+21,3.949461058205982e+21,4.1213060760963624e+21,4.303480697259802e+21
51,4.561686038970957,67.91525438663359,4.97630595014371e+21,4.735503271201028e+21,4.970433587845739e+21,5.185878863086692e+21
52,3.6765010356903076,73.3631121633128,5.856558782798335e+21,5.625529099864746e+21,5.831608381407792e+21,6.132065128268004e+21
53,2.948321104049681,79.34230382171329,6.683979585753027e+21,6.456506607307606e+21,6.660537662656171e+21,6.974084961480902e+21
54,2.352590560913084,86.018857705306,7.347663391645046e+21,7.148119660247918e+21,7.334632787682016e+21,7.575889488594862e+21
55,1.867879986762998,93.22960225320968,7.77196685056053e+21,7.583520197654484e+21,7.787359505589809e+21,7.929844117684432e+21
56,1.475649952888488,100.60502256166222,7.770282384400615e+21,7.640923271287558e+21,7.763007980986534e+21,7.890078359049844e+21
57,1.159975051879883,107.73082344928824,7.191746174854621e+21,7.079120995052578e+21,7.1760837293667e+21,7.299885320299179e+21
58,0.9072870612144474,113.85502993179693,5.99859562675848e+21,5.841562533926141e+21,6.023878182169857e+21,6.146034392621397e+21
59,0.705956518650055,119.50150429056178,5.556606738068495e+21,5.353627435456108e+21,5.581835982067288e+21,5.781365795390321e+21
60,0.5462926030159002,124.26019209911512,5.299686378123836e+21,5.111647487221163e+21,5.316397533331039e+21,5.531406610217859e+21
61,0.4204235970973968,129.0678850820543,4.985344130074129e+21,4.792366246586644e+21,4.981427423805513e+21,5.208786527938685e+21
62,0.3217835724353792,134.07248354606006,4.6565655976244753e+21,4.4120219518614325e+21,4.6187700379436843e+21,4.876116790836694e+21
63,0.24493755400180758,139.49182341933508,4.3820195878223856e+21,4.1167365227382246e+21,4.3238841896878494e+21,4.6106242916896997e+21
64,0.18542200326919586,145.53657974798668,4.158566489736587e+21,3.8508171443081797e+21,4.048991333339857e+21,4.525903800946021e+21
65,0.13959898054599765,151.93939327345697,3.9257383614716057e+21,3.577063290539709e+21,3.747796734081535e+21,4.325968589173985e+21
66,0.10452400892972945,158.88929696286775,3.6452801915815115e+21,3.2673252006691964e+21,3.491276359445427e+21,4.0367455788690204e+21
67,0.07767251133918768,165.48256960765983,3.3795468173795105e+21,3.0800549525614315e+21,3.2549493448911754e+21,3.7351748174116736e+21
68,0.056792508810758584,171.42659336444058,3.2577004486248324e+21,2.989358348074648e+21,3.1611432743814766e+21,3.4915053028644487e+21
69,0.04014250636100761,177.6333305500759,3.4935122854259594e+21,3.277223259593559e+21,3.476667065597284e+21,3.6856471541213267e+21
70,0.02635000087320806,187.62940859763327,4.0505936412132607e+21,3.8493617334590185e+21,4.0375510919647257e+21,4.320795482275549e+21
71,0.014999999664723887,209.86898406193973,4.848008607183345e+21,4.5145891986297434e+21,4.819523082327216e+21,5.103546827349402e+21
