lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,8.017853904212636e+17,1.3034856466627958e+17,3.24861657066549e+17,1.2293227094786132e+18
1,971.6244310048473,0.36625663400749947,8.220758473814452e+17,1.3720572266927046e+17,3.3702539939735424e+17,1.2481171402599777e+18
2,956.7542402749618,0.5001096160252074,9.076178236797198e+17,1.5151919419000192e+17,3.780460310166181e+17,1.3622880182412088e+18
3,941.8841473755075,0.6358236496946832,1.0823978946344433e+18,1.8541844769246106e+17,4.214474501383566e+17,1.5027188648136543e+18
4,927.0137936180281,0.7737023136984883,1.1776384613068372e+18,2.125510241284312e+17,4.8384819132521754e+17,1.642423647545653e+18
5,912.1431877107561,0.9140599557728831,1.0591126998145458e+18,2.2317291187562374e+17,5.493914764998917e+17,1.530193400424072e+18
6,897.2725265381572,1.056517394691973,1.0293157271848474e+18,2.6540064721078166e+17,5.669561600284595e+17,1.4800337239824369e+18
7,882.4015480213002,1.200972749516894,1.0490992577580412e+18,2.850184024343047e+17,6.324885310634076e+17,1.4490233205305078e+18
8,867.5303567964003,1.3475120190675405,1.0768249315648666e+18,3.383933432337385e+17,7.286796720699421e+17,1.458149491871207e+18
9,852.6592652163091,1.4962539028284811,1.061305051579796e+18,3.6555622182634746e+17,7.86869408702954e+17,1.5164181474590234e+18
10,837.7879949747113,1.6472308870137926,1.16025705473025e+18,4.099837131532053e+17,8.810448824854924e+17,1.5942773118423352e+18
11,822.9164001887356,1.8005751816165532,1.2804968149366958e+18,4.663933777101035e+17,9.720886221476786e+17,1.7681777170068467e+18
12,805.5656263644386,1.9827939680123745,1.2727846324749478e+18,4.822701665400816e+17,1.0163888603654254e+18,1.7235940116908457e+18
13,783.256871457526,2.2224936871622756,1.2104862210903201e+18,5.177897231848095e+17,9.84007053502454e+17,1.6035530499920502e+18
14,758.4695103909143,2.4962949930620897,1.12768081450092e+18,4.892333906489676e+17,9.183686669267981e+17,1.5538761549899213e+18
15,733.6809880795391,2.77814138452743,1.0440988436562794e+18,4.698347618833107e+17,7.895217183293394e+17,1.462751644106167e+18
16,708.8908488634015,3.067972755313559,1.0539398387719581e+18,4.07536871472493e+17,7.791745833298458e+17,1.5590671536952202e+18
