lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.83396905074354e+22,1.4868454736742266e+22,1.6933676471049769e+22,2.20274947603398e+22
1,971.6244310048473,0.36625663400749947,1.8261114297704612e+22,1.4590758832276706e+22,1.7255701799123808e+22,2.1968733665501913e+22
2,956.7542402749618,0.5001096160252074,1.8440514171563032e+22,1.4600617385447303e+22,1.7746247054453943e+22,2.246845551398972e+22
3,941.8841473755075,0.6358236496946832,1.8304016207035176e+22,1.4282982072089414e+22,1.7461850439551482e+22,2.2298093913402348e+22
4,927.0137936180281,0.7737023136984883,1.7695685741499487e+22,1.3816022180724554e+22,1.6618083481862552e+22,2.16789242957968e+22
5,912.1431877107561,0.9140599557728831,1.651156947474984e+22,1.3247678029240553e+22,1.5678701907239267e+22,1.983788696359844e+22
6,897.2725265381572,1.056517394691973,1.5050606480176697e+22,1.2245410059423375e+22,1.4749429246006852e+22,1.7480984298185178e+22
7,882.4015480213002,1.200972749516894,1.3694780639758208e+22,1.135121071890524e+22,1.364424761552756e+22,1.5596864695612387e+22
8,867.5303567964003,1.3475120190675405,1.2470475283842227e+22,1.0456910851606225e+22,1.2530367385965928e+22,1.4054997920882295e+22
9,852.6592652163091,1.4962539028284811,1.1252506738864398e+22,9.51334987344195e+21,1.144120260031644e+22,1.259457282013116e+22
10,837.7879949747113,1.6472308870137926,1.0083134236439781e+22,8.590930357315597e+21,1.033688875134005e+22,1.1191741120572843e+22
11,822.9164001887356,1.8005751816165532,8.981505085971623e+21,7.725359546477359e+21,9.219016059079712e+21,9.870751841896458e+21
12,805.5656263644386,1.9827939680123745,7.913186159731111e+21,6.998911505507401e+21,8.066821815969883e+21,8.669155843621874e+21
13,783.256871457526,2.2224936871622756,6.797480252229122e+21,6.155852948205436e+21,6.835745009291054e+21,7.378016336174596e+21
14,758.4695103909143,2.4962949930620897,5.826514218165043e+21,5.300137767374635e+21,5.665015801400755e+21,6.364910166925884e+21
15,733.6809880795391,2.77814138452743,5.116927109545418e+21,4.5452810664829046e+21,4.857909492594201e+21,5.633916926954782e+21
16,708.8908488634015,3.067972755313559,4.6536584001948704e+21,3.9388701826344923e+21,4.526572561061166e+21,5.197603689164478e+21
17,684.1004760822683,3.3661126328894038,4.342194203559024e+21,3.6362252365089693e+21,4.300186561455533e+21,4.842360832571994e+21
18,653.1112285285492,3.753393324301299,4.130168415343918e+21,3.478419900734626e+21,4.0930375022259177e+21,4.556050584742043e+21
19,615.9205705120047,4.2379797038361025,3.929805604167651e+21,3.363135556476892e+21,3.764267370466229e+21,4.3373663890976906e+21
20,578.7272043823215,4.752775529501931,3.761435252555392e+21,3.248845671424186e+21,3.594016940043614e+21,4.258189582735192e+21
21,541.5297974405477,5.293982624262083,3.642101462873567e+21,3.222474705031978e+21,3.527384747402013e+21,4.201178225197358e+21
22,504.3267976709419,5.866525051820845,3.57600598533444e+21,3.0702624513706447e+21,3.6373956416886643e+21,4.0478396252371236e+21
23,467.1182254346348,6.4783499666903825,3.634755639178724e+21,3.119107243832589e+21,3.7393730438133596e+21,4.0485912251751937e+21
24,429.9018516259439,7.130616001171602,3.816419802741738e+21,3.456515199242959e+21,3.839183285760277e+21,4.1703379046507327e+21
25,392.6748148107893,7.8276962056910495,3.9614205055572456e+21,3.6183194145160513e+21,3.922954534291707e+21,4.1734073883855117e+21
26,355.4364121658684,8.582381437087088,3.8691999713777256e+21,3.5112055164213595e+21,3.775314067822624e+21,4.059885889817392e+21
27,312.2568471757569,9.510262026437415,3.5780423235688816e+21,3.300338036621682e+21,3.579202214237811e+21,3.7110410118217733e+21
28,266.2024287155883,10.602168136966553,3.234040321956761e+21,3.0648194991255296e+21,3.2610523405100463e+21,3.4013360262546986e+21
29,226.40807678064118,11.660990898666412,2.9561351172339364e+21,2.760831069162292e+21,2.9657280072211046e+21,3.1148452649873194e+21
30,192.52002788560424,12.736811932907898,2.856447194866078e+21,2.6363688495215956e+21,2.8260019801188037e+21,3.0830112092510864e+21
31,163.6614990234374,13.78656633117675,3.07587750030485e+21,2.828911639786254e+21,3.0069179724665586e+21,3.373358725630412e+21
32,139.11500549316403,14.787671064298221,3.6140308268586217e+21,3.4223436090411933e+21,3.6229031849950383e+21,3.785090739319277e+21
33,118.25,15.906170270258151,4.227548934768175e+21,4.112581433500547e+21,4.214087464258121e+21,4.3054031735138843e+21
34,100.51435089111324,17.24273064490245,4.4751466563876044e+21,4.368073204780211e+21,4.482158148388208e+21,4.5490452497381154e+21
35,85.43901824951189,18.813372559902348,4.2487877739082427e+21,4.1684544086013635e+21,4.253219522829674e+21,4.332772478834777e+21
36,72.55786132812501,20.65052603534648,3.919522341821595e+21,3.871485212633707e+21,3.8890308257261866e+21,3.9512293146998646e+21
37,61.495662689209006,22.74331462627693,3.739546476268686e+21,3.701741272909668e+21,3.7358188769122063e+21,3.786151692803288e+21
38,52.015911102294844,24.86505040859316,3.837511528676779e+21,3.7906082621640063e+21,3.8203513086713665e+21,3.890442768281153e+21
39,43.90966415405282,27.052485734519244,4.3171236477527623e+21,4.2584764569208787e+21,4.3461360539373294e+21,4.369378219908137e+21
40,36.9927101135254,29.32647120258809,5.186243468292592e+21,5.151089168239943e+21,5.217680791584744e+21,5.240577110839199e+21
41,31.08891105651863,31.748905700260213,6.415687601825329e+21,6.351851474105533e+21,6.451402324524881e+21,6.516009810957771e+21
42,26.049108505249027,34.31199278898532,8.164089320077077e+21,8.036404151258568e+21,8.292043615987292e+21,8.408237724084648e+21
43,21.76100349426269,37.02114906529215,1.046680519020363e+22,1.0345843204572322e+22,1.0515342992198852e+22,1.063588239899822e+22
44,18.124349594116172,40.00166859906441,1.2538759801466922e+22,1.2262542107336218e+22,1.2427176309543934e+22,1.2864786460692628e+22
45,15.05025005340576,43.13537659190267,1.4144313084921734e+22,1.3615732003121303e+22,1.4193697970868917e+22,1.4566142993462207e+22
46,12.460150718688988,46.41231625206779,1.5345751103262238e+22,1.4369433533829083e+22,1.5568944139558214e+22,1.626274687128303e+22
47,10.284920692443848,49.82768019095182,1.593253394821986e+22,1.4809262287196793e+22,1.6176420131545236e+22,1.6911126057989687e+22
48,8.45639133453367,53.56635280817698,1.5754552534247374e+22,1.5078577928418682e+22,1.601859426167702e+22,1.6635863814632823e+22
49,6.9183211326599094,57.94668908538693,1.5078933770141052e+22,1.4295222764336161e+22,1.519500787506342e+22,1.5805293479736025e+22
50,5.631801128387452,62.66958728955136,1.430630486056349e+22,1.3688614338765705e+22,1.4387835647255026e+22,1.5022076457072707e+22
51,4.561686038970957,67.91525438663359,1.3745201451888223e+22,1.317566578375406e+22,1.3679997685447352e+22,1.4323995887187878e+22
52,3.6765010356903076,73.3631121633128,1.33267604828417e+22,1.296315738284554e+22,1.3236261454774694e+22,1.3747180943035366e+22
