lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,271491672062.52298,77756719228.14496,155820668403.52338,326820135171.03613
1,971.6244310048473,0.36625663400749947,215275654916.8449,50017124846.716644,97669410358.23428,231419399519.48477
2,956.7542402749618,0.5001096160252074,167511487552.6246,35896895209.80645,78132283238.58635,181684023567.86954
3,941.8841473755075,0.6358236496946832,169069244133.48526,29412402266.22078,57666738421.460594,150080033833.21722
4,927.0137936180281,0.7737023136984883,190898723126.05048,20995072284.07606,51949966350.07002,124168193995.07323
5,912.1431877107561,0.9140599557728831,174031711958.7138,18192821144.738197,47515470039.13098,128947235453.05533
6,897.2725265381572,1.056517394691973,156183784574.24756,19997362837.936127,39099619047.19417,122634886292.00284
7,882.4015480213002,1.200972749516894,194555793282.352,17177746033.897211,37085886226.93916,95648040142.16446
8,867.5303567964003,1.3475120190675405,303002296018.67334,15573044879.720633,34088082007.681763,99110897786.34161
9,852.6592652163091,1.4962539028284811,180327581606.5368,17580644083.687313,36067156096.55588,98216030133.32085
10,837.7879949747113,1.6472308870137926,197250826684.35608,16458130370.996273,35460309864.84973,136349071938.00641
11,822.9164001887356,1.8005751816165532,117159501774.29216,16121587282.6244,34188509330.846214,91059982388.21568
12,805.5656263644386,1.9827939680123745,82787882709.01474,14654435985.393995,25012958141.046314,51133320860.86543
13,783.256871457526,2.2224936871622756,65100050125.28875,11739549326.861471,18725311160.053665,32771493415.764404
14,758.4695103909143,2.4962949930620897,46919246703.29606,11544792103.53872,17298823759.332447,29370882788.717403
15,733.6809880795391,2.77814138452743,32111088460.49665,11438872775.263441,15866326161.861057,33172377032.265533
16,708.8908488634015,3.067972755313559,30778295126.56992,11197317473.348906,15036095649.669075,27618079063.819473
17,684.1004760822683,3.3661126328894038,33586481228.630535,9004961837.121471,13751502818.951868,19816311836.273045
18,653.1112285285492,3.753393324301299,57848358814.45908,9416030714.326252,13989855210.53407,23435869499.886726
19,615.9205705120047,4.2379797038361025,169267323326.97107,9939303496.188038,17590892116.628914,25580893564.935432
20,578.7272043823215,4.752775529501931,336922765746.7121,10464501152.987888,17755955323.909264,34988547138.738716
21,541.5297974405477,5.293982624262083,53264914577.97521,10346651434.122482,16769174354.267002,29080402128.4229
22,504.3267976709419,5.866525051820845,20120251013.956528,13093611930.540716,17235253589.14839,24026646734.685295
23,467.1182254346348,6.4783499666903825,31237447251.581913,13531223062.917528,18525106710.241604,27960239593.12106
24,429.9018516259439,7.130616001171602,48889636789.2636,15038195894.922476,20441904391.076004,31816315593.28878
25,392.6748148107893,7.8276962056910495,35801457757.57123,14147609841.154171,22825012331.046425,36191730992.24037
26,355.4364121658684,8.582381437087088,35643893372.12429,14523689059.080711,31912490151.385178,49203191157.678825
27,312.2568471757569,9.510262026437415,57636539156.045494,14231827872.448063,40286987138.23807,74078809452.80684
28,266.2024287155883,10.602168136966553,134686424545.748,17184392456.042324,49278853875.16339,160965695868.9921
29,226.40807678064118,11.660990898666412,292972437905.5491,21758329334.81998,42647746104.02753,204942693509.51657
30,192.52002788560424,12.736811932907898,435800868009.6198,21683017406.715775,42210761902.62199,172973499429.40222
31,163.6614990234374,13.78656633117675,516873642969.5877,14373635070.385859,35817675035.416725,263357729727.4341
32,139.11500549316403,14.787671064298221,542131493998.4792,7470568863.007465,16132534873.598255,456707624237.8644
33,118.25,15.906170270258151,284453755036.95306,3223713175.157099,7679822355.5807085,394921861904.3965
34,100.51435089111324,17.24273064490245,81922163665.4681,1270837894.8175035,2339403168.4996195,172738455821.67487
35,85.43901824951189,18.813372559902348,9819672383.58665,435496682.65026367,505432892.46275246,13601098903.027596
36,72.55786132812501,20.65052603534648,680265411.950822,232178211.0172114,264760136.4126427,984560208.1157861
37,61.495662689209006,22.74331462627693,244660281.5563918,187685862.87168106,210511577.85537237,263099981.01552355
38,52.015911102294844,24.86505040859316,277819653.74587244,180118596.48716974,208411903.30662048,380795861.4730182
39,43.90966415405282,27.052485734519244,343471324.9040178,210534524.7451272,316980626.105358,412809691.77935493
40,36.9927101135254,29.32647120258809,400317195.4208617,247476198.63651475,324145997.6209384,543493444.4157057
41,31.08891105651863,31.748905700260213,523638539.17015076,275292507.37926376,379712861.09956384,678858849.400922
42,26.049108505249027,34.31199278898532,1038856360.0314132,278442493.2095179,635306726.5509682,1216983372.0436966
43,21.76100349426269,37.02114906529215,1688462769.3448443,414870355.7517113,1077025740.7520099,2406596570.84993
44,18.124349594116172,40.00166859906441,1687078179.5704358,650366989.9845859,1400679492.753572,2185748796.404279
45,15.05025005340576,43.13537659190267,1176921354.0254023,492698071.81690437,1068545966.9427888,1615156006.7453525
46,12.460150718688988,46.41231625206779,602244967.2074925,221729197.70249403,402899007.23785377,968285721.9442401
47,10.284920692443848,49.82768019095182,228712894.7092313,82386837.7712511,129931187.48279603,328505348.07967997
48,8.45639133453367,53.56635280817698,77187014.5664471,37699911.24366572,57323692.7050142,83484188.5088058
49,6.9183211326599094,57.94668908538693,37832019.04259474,22344766.0003318,30456446.239212975,46485788.84359487
50,5.631801128387452,62.66958728955136,20959570.543058433,15047636.536195116,19122921.930124834,24155295.3777814
51,4.561686038970957,67.91525438663359,12308516.29991664,7877578.06244043,10622096.247060522,13889966.721559336
52,3.6765010356903076,73.3631121633128,6903831.573434804,3808303.6255582073,5307494.9613299,8358519.193353358
53,2.948321104049681,79.34230382171329,3087088.8053960092,1549852.5713848614,2198473.3766480302,4761796.0049631195
54,2.352590560913084,86.018857705306,1141735.3576516204,667920.6713536314,976373.4660294324,1434448.6750079836
55,1.867879986762998,93.22960225320968,610445.5722771619,326777.79324854654,484325.2474433967,695224.9652732515
56,1.475649952888488,100.60502256166222,612176.0663609316,213268.14534856347,276849.5900662448,372228.0927846357
57,1.159975051879883,107.73082344928824,573073.5973967907,157536.99078300718,196838.25947188016,237348.95065894525
58,0.9072870612144474,113.85502993179693,360972.03500729514,118512.50432980161,153791.97187032196,189231.80566610923
59,0.705956518650055,119.50150429056178,193380.64852877543,115456.84264351804,141175.0123445174,171770.20942021016
60,0.5462926030159002,124.26019209911512,133292.45836034272,113664.80400522641,130517.32965339882,152040.68055061984
61,0.4204235970973968,129.0678850820543,127330.63460229937,110869.37784154003,125360.82915040698,142961.58931471183
62,0.3217835724353792,134.07248354606006,135432.8506595042,109907.4998022026,127210.2249745272,145624.4373960041
63,0.24493755400180758,139.49182341933508,143140.58587891798,113541.36045515993,130360.91625943432,149149.82304775645
64,0.18542200326919586,145.53657974798668,136592.2060273697,116064.82295973883,124545.41719598408,146586.79013530622
65,0.13959898054599765,151.93939327345697,129368.91690583971,113408.07913137475,119412.51909951435,141428.09882534068
66,0.10452400892972945,158.88929696286775,126913.21981359473,110481.21188822061,115534.02815438766,130788.78766640552
67,0.07767251133918768,165.48256960765983,116120.20101510256,106544.31702132392,110427.29085590655,119058.02565952152
68,0.056792508810758584,171.42659336444058,104507.37027348271,99386.91455171558,103580.32439031091,107842.06104292584
