lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.4460900066064865e+22,1.160974981835273e+22,1.3356642931287228e+22,1.808255807275532e+22
1,971.6244310048473,0.36625663400749947,1.3252827956094773e+22,1.0191785719002739e+22,1.1742320428744333e+22,1.6757948120644203e+22
2,956.7542402749618,0.5001096160252074,1.2165122903302266e+22,9.225405589722004e+21,1.0622061407779122e+22,1.4844322058701394e+22
3,941.8841473755075,0.6358236496946832,1.0811366911834489e+22,8.354648675284697e+21,8.997299710343793e+21,1.2370514065878671e+22
4,927.0137936180281,0.7737023136984883,9.248623521456722e+21,6.658014319052285e+21,7.498251672939642e+21,1.1085353144502045e+22
5,912.1431877107561,0.9140599557728831,7.395625315732331e+21,4.98157871038649e+21,5.94560876701803e+21,9.381359063159285e+21
6,897.2725265381572,1.056517394691973,5.481814409213659e+21,3.4257459735225497e+21,4.285168637001885e+21,7.169478558439958e+21
7,882.4015480213002,1.200972749516894,3.922756256686127e+21,2.3633484795460253e+21,3.015098558698212e+21,5.199119301105959e+21
8,867.5303567964003,1.3475120190675405,2.7860717327564443e+21,1.7083463373477663e+21,2.2268104162015393e+21,3.791305477384079e+21
9,852.6592652163091,1.4962539028284811,2.0103006518912203e+21,1.3290546379752268e+21,1.6824179550428112e+21,2.67215901142126e+21
10,837.7879949747113,1.6472308870137926,1.4881087472776522e+21,1.0399584803344838e+21,1.2239264201018824e+21,1.8197918224203763e+21
11,822.9164001887356,1.8005751816165532,1.1390074394705979e+21,8.299246877857365e+20,9.453756048422459e+20,1.391758379135047e+21
12,805.5656263644386,1.9827939680123745,8.767810681755781e+20,6.481028662129776e+20,7.318170370996364e+20,1.0599556263804181e+21
13,783.256871457526,2.2224936871622756,6.47836249545685e+20,4.831362026346637e+20,5.440892297101051e+20,7.826838031180409e+20
14,758.4695103909143,2.4962949930620897,4.666805905316194e+20,3.4507332582820846e+20,3.873904589262205e+20,5.731680799950702e+20
15,733.6809880795391,2.77814138452743,3.3787238708044884e+20,2.4693249126469894e+20,2.70938759792397e+20,4.2960720497544194e+20
16,708.8908488634015,3.067972755313559,2.4832961473985944e+20,1.810668935936604e+20,1.9706963804065864e+20,3.179891384273227e+20
17,684.1004760822683,3.3661126328894038,1.8566810099236717e+20,1.3560542758895426e+20,1.5016813969889172e+20,2.3402839339371407e+20
18,653.1112285285492,3.753393324301299,1.3856415619701359e+20,1.0145138918682398e+20,1.1487271835608441e+20,1.757848357447376e+20
19,615.9205705120047,4.2379797038361025,9.824248458038469e+19,7.39559494610294e+19,8.701455239786001e+19,1.2428252943183862e+20
20,578.7272043823215,4.752775529501931,7.210584833687124e+19,5.474962259583763e+19,6.51162916010807e+19,8.987873152419445e+19
21,541.5297974405477,5.293982624262083,5.3465547479068566e+19,4.043986908649915e+19,5.190478565757886e+19,6.457962610307965e+19
22,504.3267976709419,5.866525051820845,3.974880893184807e+19,3.1591411539465507e+19,3.935403121219879e+19,4.560207333563562e+19
23,467.1182254346348,6.4783499666903825,3.1011548123531882e+19,2.64679494539212e+19,2.936787483193132e+19,3.6047476518532874e+19
