lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.115649599704506e+23,1.673096238501224e+23,1.944785676393585e+23,2.48008068441404e+23
1,971.6244310048473,0.36625663400749947,1.936343054450405e+23,1.499981340300905e+23,1.73789002669089e+23,2.2883994841524854e+23
2,956.7542402749618,0.5001096160252074,1.7660033127010803e+23,1.3562858184606446e+23,1.5718187553299668e+23,2.0659104710181507e+23
3,941.8841473755075,0.6358236496946832,1.541543933980954e+23,1.1649825756573436e+23,1.3274531560871379e+23,1.7293030492978525e+23
4,927.0137936180281,0.7737023136984883,1.2819040066822859e+23,8.821614620166872e+22,1.0329982167836296e+23,1.531141663816544e+23
5,912.1431877107561,0.9140599557728831,9.806436799777261e+22,6.0497963842118695e+22,7.701154282800449e+22,1.2702652510105681e+23
6,897.2725265381572,1.056517394691973,6.66218161598845e+22,3.526701400237115e+22,4.950738436838414e+22,9.157123602772673e+22
7,882.4015480213002,1.200972749516894,4.227711408613779e+22,2.0527900256339055e+22,2.9582950361161894e+22,5.831178167298057e+22
8,867.5303567964003,1.3475120190675405,2.6286603921512345e+22,1.221335569204159e+22,1.816621255290651e+22,3.54467241233197e+22
9,852.6592652163091,1.4962539028284811,1.6562197910445802e+22,8.376669635034448e+21,1.183736641500888e+22,2.175477255518794e+22
10,837.7879949747113,1.6472308870137926,1.0725709905327666e+22,6.230865396768305e+21,8.428158265422871e+21,1.3750407677339312e+22
11,822.9164001887356,1.8005751816165532,7.496014032725599e+21,4.666029334821338e+21,6.217799771881602e+21,9.799416577887186e+21
12,805.5656263644386,1.9827939680123745,5.432865178640841e+21,3.5153444872752904e+21,4.53320703654131e+21,6.859383973048678e+21
13,783.256871457526,2.2224936871622756,3.805820345888049e+21,2.60584984501262e+21,3.178652512566927e+21,4.434751418732919e+21
14,758.4695103909143,2.4962949930620897,2.6345662886689715e+21,1.8535569766403214e+21,2.2744294875026267e+21,2.924732549095673e+21
15,733.6809880795391,2.77814138452743,1.8434056903217963e+21,1.280751039506143e+21,1.5910665121675975e+21,1.999857677268876e+21
16,708.8908488634015,3.067972755313559,1.306429602916496e+21,9.313642333553855e+20,1.1262641150810286e+21,1.4126697021038458e+21
17,684.1004760822683,3.3661126328894038,9.412825879608893e+20,6.895945763437011e+20,8.041396025120761e+20,1.0436870127239079e+21
18,653.1112285285492,3.753393324301299,6.858845534118113e+20,4.998380038396175e+20,5.845778208383575e+20,8.190412737008636e+20
19,615.9205705120047,4.2379797038361025,4.864350041016724e+20,3.529417061725625e+20,4.06815912593907e+20,6.470593555266381e+20
20,578.7272043823215,4.752775529501931,3.702417198250237e+20,2.596135498534543e+20,3.2656322709941964e+20,5.009464269762694e+20
21,541.5297974405477,5.293982624262083,2.773725889931003e+20,1.9603898628812417e+20,2.579246416301284e+20,3.590238694327394e+20
22,504.3267976709419,5.866525051820845,2.1660346517519588e+20,1.5638230231883655e+20,2.125077459063621e+20,2.6800857946803667e+20
23,467.1182254346348,6.4783499666903825,1.764885268950756e+20,1.3269865834132626e+20,1.7474020475288175e+20,2.2315948560208976e+20
24,429.9018516259439,7.130616001171602,1.477003594552648e+20,1.1844005948930753e+20,1.4067913976450936e+20,1.7926156783803544e+20
25,392.6748148107893,7.8276962056910495,1.2783704470653895e+20,1.0989457551692635e+20,1.2362583936900047e+20,1.494116657236518e+20
26,355.4364121658684,8.582381437087088,1.1301048645486443e+20,1.0192147983999912e+20,1.1111599923547767e+20,1.2990007053636813e+20
27,312.2568471757569,9.510262026437415,9.431187440688177e+19,8.902279277814874e+19,9.385372287931564e+19,1.0588190351529542e+20
28,266.2024287155883,10.602168136966553,7.519657559649691e+19,6.656276473704106e+19,7.720673716458607e+19,8.225226108198502e+19
29,226.40807678064118,11.660990898666412,5.819046887043544e+19,5.262394120161578e+19,5.950134498271863e+19,6.3454838195462816e+19
30,192.52002788560424,12.736811932907898,4.747203735723693e+19,4.300195519206929e+19,4.6778642892771746e+19,5.2345192817987305e+19
31,163.6614990234374,13.78656633117675,4.343058682372836e+19,3.993241947473015e+19,4.349623775307851e+19,4.5999964274196414e+19
32,139.11500549316403,14.787671064298221,4.570835309390142e+19,4.3900911172760584e+19,4.571469103468178e+19,4.743222116056487e+19
33,118.25,15.906170270258151,4.624704215196505e+19,4.242602646806251e+19,4.459135246032229e+19,5.011740111386525e+19
34,100.51435089111324,17.24273064490245,3.525880880045247e+19,3.2986626747713106e+19,3.3996387639888732e+19,3.6546674994345734e+19
35,85.43901824951189,18.813372559902348,1.9760686364866855e+19,1.8798998061969977e+19,1.9756223075161965e+19,2.0538654939728073e+19
36,72.55786132812501,20.65052603534648,1.1574264420476692e+19,1.0602853456406974e+19,1.1727462454559035e+19,1.2455137271334822e+19
37,61.495662689209006,22.74331462627693,6.981374900770025e+18,6.67175069759965e+18,7.002797762877911e+18,7.325064613488591e+18
38,52.015911102294844,24.86505040859316,3.8511421738814213e+18,3.6022613193707735e+18,3.8457629115967165e+18,4.08634598685465e+18
39,43.90966415405282,27.052485734519244,1.9932476545302769e+18,1.8131094007889815e+18,1.9609021879630776e+18,2.1668829481447496e+18
40,36.9927101135254,29.32647120258809,9.36811760972226e+17,8.710355223910328e+17,9.170283272395656e+17,9.936499511997294e+17
41,31.08891105651863,31.748905700260213,4.127184420142831e+17,3.8150315785523706e+17,3.937006700862163e+17,4.2819044592492474e+17
42,26.049108505249027,34.31199278898532,1.9363658874986586e+17,1.7527597160668256e+17,1.920379441954764e+17,2.11450312569491e+17
