time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-20 00:00:00,1.6008583987353741e-12,5.789647281296272e-13,3.8959579888635804e-13,8.148938373475982e-15,-7.77524236690633e-15,2.0019104500809496e-12,468461951.43738556
2022-07-20 01:00:00,1.5263367973867283e-12,6.554878850374406e-13,3.078746352299255e-13,7.387062279325088e-15,-7.529950341863428e-15,1.912449242689468e-12,401558450.4736862
2022-07-20 02:00:00,1.4540179601234628e-12,7.010416894768011e-13,2.5386438105891814e-13,6.6330554536123674e-15,-7.241351509655155e-15,1.8355200960918033e-12,337682944.4075928
2022-07-20 03:00:00,1.3783766153693123e-12,7.431673071335208e-13,2.1790779362755702e-13,5.9026681132433224e-15,-6.9526325417673205e-15,1.7597040930679641e-12,263233533.21997833
2022-07-20 04:00:00,1.3026319123446774e-12,7.81085117161323e-13,1.8976569505815438e-13,5.138044039428394e-15,-6.7071613442324475e-15,1.6981803975101356e-12,216847489.74577332
2022-07-20 05:00:00,1.2283848449205246e-12,7.9815743226631e-13,1.6737360092374517e-13,4.2960865113552415e-15,-6.497534008918874e-15,1.6478574269435404e-12,195632553.90449524
2022-07-20 06:00:00,1.1445177466969329e-12,8.107460218100604e-13,1.6320519233997419e-13,3.390876738185306e-15,-6.270898120528263e-15,1.5819243791190294e-12,173712636.01387024
2022-07-20 07:00:00,1.0554582263625525e-12,8.029149649409279e-13,1.6436598624633457e-13,2.547410622382349e-15,-6.038650861875973e-15,1.5003241688961682e-12,100194674.92598724
2022-07-20 08:00:00,9.790543414206164e-13,7.66476141088137e-13,1.6762057713624651e-13,1.821380175367051e-15,-5.836038152179647e-15,1.4231398786254202e-12,4061524.8406295776
2022-07-20 09:00:00,9.0461987333949e-13,6.995467430868646e-13,1.9099620349102522e-13,1.201210654684381e-15,-5.658669568187989e-15,1.3518420356777708e-12,-70605209.90661621
2022-07-20 10:00:00,8.356377431600671e-13,6.255490573336518e-13,2.485020445871096e-13,6.754495627386683e-16,-5.497626564733418e-15,1.283722329247311e-12,-125187992.58352661
2022-07-20 11:00:00,7.797848819259337e-13,5.642924517293305e-13,3.0667266220671436e-13,1.9814822779833556e-16,-5.346348305900063e-15,1.2231157424053904e-12,-189421158.94728088
2022-07-20 12:00:00,7.224836547720785e-13,4.820513289674703e-13,3.210319833068055e-13,-1.9539965465785923e-16,-5.227968631154843e-15,1.171143655227381e-12,-258596821.69859314
2022-07-20 13:00:00,6.679333131854676e-13,3.8275976134746694e-13,3.0783102250879725e-13,-4.841144805615608e-16,-5.144318488263661e-15,1.1193581191230323e-12,-330440439.2835083
2022-07-20 14:00:00,6.185449282031272e-13,2.828377077496301e-13,2.909358821848358e-13,-7.017233861411134e-16,-5.064222967025573e-15,1.0756161540325657e-12,-375402509.54776
2022-07-20 15:00:00,5.888416862216347e-13,1.9026898737988229e-13,2.6625163591666714e-13,-7.752876630895111e-16,-5.0098061907499424e-15,1.0416639783867865e-12,-400882777.07943726
2022-07-20 16:00:00,5.706427271460228e-13,1.2352703276264483e-13,2.3826914575164457e-13,-7.578916691802006e-16,-4.949882099916948e-15,1.0025949690103457e-12,-418617863.2566223
2022-07-20 17:00:00,5.552895323062439e-13,8.736279643710505e-14,2.1429834332241274e-13,-7.24246124675845e-16,-4.838541404612298e-15,9.644467882945774e-13,-409118849.6447296
2022-07-20 18:00:00,5.599556221328808e-13,7.079479259017412e-14,1.9891084185332488e-13,-6.209358251290854e-16,-4.749744054385763e-15,9.542349136312055e-13,-396304844.93966675
2022-07-20 19:00:00,5.812513622821261e-13,6.098643621387883e-14,1.8784165150570316e-13,-4.699153456825023e-16,-4.707924762782383e-15,9.654722267730007e-13,-386515983.8295593
2022-07-20 20:00:00,6.043048294398557e-13,5.639856885831363e-14,1.7964839626989222e-13,-3.184312831472494e-16,-4.683511569159373e-15,9.79200846825373e-13,-372434758.8595581
2022-07-20 21:00:00,6.314576208968668e-13,7.199271530750545e-14,1.9530334095280964e-13,-1.4873479407757812e-16,-4.723950865783615e-15,1.0041393757252426e-12,-328950968.8393326
2022-07-20 22:00:00,6.636482966830285e-13,1.1651290711553156e-13,1.9820347231899007e-13,2.97523386482124e-17,-4.798201815022188e-15,1.0396186709486544e-12,-287480014.5617523
