time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-20 00:00:00,3.283721809898968e-11,7.861788169356147e-11,1.1036338767494105e-10,5.64583643766012e-13,-1.0366068563243012e-13,1.5046793814775145e-11,1417384367.3859406
2022-07-20 01:00:00,3.3267762599366974e-11,7.80384868309603e-11,1.0499617415118005e-10,6.287770092220399e-13,-1.0349417343810527e-13,1.4757118459743223e-11,1329961449.1324844
2022-07-20 02:00:00,3.317196616446616e-11,7.954495673518909e-11,9.894555401282484e-11,6.763319213550958e-13,-1.0140542353548102e-13,1.470033086624787e-11,1354369532.5255432
2022-07-20 03:00:00,3.367051257537596e-11,8.214611835068474e-11,9.411034801372676e-11,6.898329716427399e-13,-9.932741622333609e-14,1.5157294692609524e-11,1374729635.4906845
2022-07-20 04:00:00,3.472123123505082e-11,8.406447106187698e-11,9.271301912978584e-11,6.762398082448341e-13,-9.846300853260357e-14,1.5943918820494097e-11,1373770232.0625153
2022-07-20 05:00:00,3.5460136977816536e-11,8.454716808333617e-11,9.353859257033446e-11,6.551687434434745e-13,-1.0208606284986203e-13,1.6922053032452254e-11,1387323101.3457108
2022-07-20 06:00:00,3.638476403371838e-11,8.387950962780661e-11,1.0101260309342672e-10,6.458962347815506e-13,-1.1529583004309698e-13,1.7816242556680905e-11,1412627537.7601013
2022-07-20 07:00:00,3.6457858361618174e-11,8.112239704228103e-11,1.1282231563656876e-10,6.214275963673947e-13,-1.251136279091261e-13,1.841196563264268e-11,1455359517.0500183
2022-07-20 08:00:00,3.589802155962921e-11,7.688347910045844e-11,1.2828266927332956e-10,5.966692809977579e-13,-1.311566192047614e-13,1.853079005889034e-11,1428929644.7735825
2022-07-20 09:00:00,3.569794015539039e-11,7.371273726388589e-11,1.4142708665478036e-10,5.869997388768826e-13,-1.337872726215391e-13,1.8744211031475423e-11,1457159294.0305023
2022-07-20 10:00:00,3.556282799273961e-11,8.017672705990523e-11,1.5026632904147782e-10,5.86829892762774e-13,-1.35896998062603e-13,1.893950365795664e-11,1555367706.3644333
2022-07-20 11:00:00,3.5407983304406513e-11,9.783475924348237e-11,1.4882103136584075e-10,5.943719362472886e-13,-1.3879475292494576e-13,1.9070324413107567e-11,1572420631.431427
2022-07-20 12:00:00,3.5368439583821685e-11,1.121722480683545e-10,1.5284505631236106e-10,5.983930223398279e-13,-1.4439842292031362e-13,1.9478621570869283e-11,1549617164.4227066
2022-07-20 13:00:00,3.5298578996376856e-11,1.225892211954367e-10,1.6238283279361165e-10,6.019028496691517e-13,-1.5337627725835713e-13,1.975151764552402e-11,1541181736.1807709
2022-07-20 14:00:00,3.543326255545828e-11,1.2992528613167383e-10,1.7429140535228188e-10,6.055643666163736e-13,-1.612419634201691e-13,2.0013117908549594e-11,1583929081.3751678
2022-07-20 15:00:00,3.533926561521205e-11,1.364546294370376e-10,1.9124784522123757e-10,6.269825868461142e-13,-1.7077165058631175e-13,2.0189446004730013e-11,1574433913.065483
2022-07-20 16:00:00,3.457885110108337e-11,1.4160699391980016e-10,2.068066998770437e-10,6.568333825642235e-13,-1.7443600518286767e-13,2.009659375344646e-11,1569669223.5533981
2022-07-20 17:00:00,3.312065675270029e-11,1.4816853898273377e-10,2.1784493194791404e-10,6.748526191852741e-13,-1.7199980749710822e-13,1.965732676106521e-11,1738845857.7471924
2022-07-20 18:00:00,3.162438118117541e-11,1.5463853677108306e-10,2.2430295688910497e-10,6.969287014058928e-13,-1.5863235522021714e-13,1.902331597035897e-11,1829409690.3640594
2022-07-20 19:00:00,3.0107526888527526e-11,1.6012239005480757e-10,2.2118643396590737e-10,7.198737656295567e-13,-1.4309022224634328e-13,1.826405908729133e-11,1903458239.2123413
2022-07-20 20:00:00,2.912103542322875e-11,1.6548706712647225e-10,2.123242340764634e-10,7.615357625860462e-13,-1.2954156643119885e-13,1.7583551018464914e-11,1941751267.0307465
2022-07-20 21:00:00,2.847339150538474e-11,1.5081927409986328e-10,2.2054676824163724e-10,7.942527971653399e-13,-1.1609849612835713e-13,1.6947571527830803e-11,1950095500.6225739
2022-07-20 22:00:00,2.7832817850986832e-11,1.2783322670045895e-10,2.4643072870111296e-10,8.244360144087158e-13,-1.0743714904310931e-13,1.612172966215635e-11,1954785664.9783401
2022-07-20 23:00:00,2.7029009242058198e-11,1.1023431263110099e-10,2.6892405046356095e-10,8.366058107585461e-13,-9.746691758271894e-14,1.5122718943186413e-11,1958959061.8741379
2022-07-21 00:00:00,2.612123944721045e-11,1.0403555045390904e-10,2.72524676774885e-10,8.517907151835451e-13,-8.370636596731633e-14,1.3956621700075294e-11,1881959134.068161
2022-07-21 01:00:00,2.493398085073234e-11,1.0663198931735325e-10,2.5637730685069186e-10,8.580403803317264e-13,-6.977250288101902e-14,1.267161663373584e-11,1897238854.0435028
2022-07-21 02:00:00,2.2808497620247425e-11,1.1539675738058003e-10,1.9306548987142982e-10,8.45034832104452e-13,-5.783875896892447e-14,1.0475440557715752e-11,1804425900.6212463
2022-07-21 03:00:00,2.1276556897068022e-11,1.180313944963223e-10,1.580882220365036e-10,8.372431059046854e-13,-4.8156669197915034e-14,8.841119354654048e-12,1629500370.274109
2022-07-21 04:00:00,2.0130743519173535e-11,1.187594143301058e-10,1.261347001707451e-10,8.254033531496643e-13,-4.189442048656458e-14,7.768166204321473e-12,1460717671.1488037
2022-07-21 05:00:00,1.9414589476393962e-11,1.184687669921232e-10,1.1020363629426768e-10,8.226400803236503e-13,-3.974130496883187e-14,6.770964496235557e-12,1319336121.0870209
2022-07-21 06:00:00,1.855611259688941e-11,1.1631092426991123e-10,9.86825714085074e-11,8.291359022386487e-13,-3.830932719657133e-14,5.3286357459387485e-12,1160065360.377884
2022-07-21 07:00:00,1.703338289945184e-11,1.11171186657789e-10,9.184312904866886e-11,8.419808729586e-13,-3.513137951552611e-14,3.013007507308689e-12,926560086.9785156
2022-07-21 08:00:00,1.4798624548973326e-11,1.0395705807273178e-10,8.83985334795056e-11,8.489959519853783e-13,-3.113495439447104e-14,2.289255321424798e-13,598193949.7489014
2022-07-21 09:00:00,1.1891616827097118e-11,9.721883659219274e-11,8.903370460737657e-11,8.569679764420111e-13,-2.6512284634814948e-14,-2.8760499741378638e-12,127461841.1980896
2022-07-21 10:00:00,8.699121892932718e-12,1.0627385310301093e-10,7.504652045607032e-11,8.576675345840903e-13,-2.0191743764544055e-14,-6.141308173113286e-12,-377618388.0031738
2022-07-21 11:00:00,5.742475214753236e-12,1.2937944712467816e-10,4.506225675145595e-11,8.435143041532124e-13,-1.4444259958453362e-14,-9.191660268293341e-12,-914236352.6148987
2022-07-21 12:00:00,3.1072616847774812e-12,1.3968804347022224e-10,2.6802211285098594e-11,8.18554348603329e-13,-1.146057429017156e-14,-1.180302064726243e-11,-1407848901.195221
2022-07-21 13:00:00,9.747742268191026e-13,1.422772685303786e-10,1.715782799942717e-11,7.821057371344449e-13,-9.549218626730952e-15,-1.4000573423847182e-11,-1685985438.6710968
2022-07-21 14:00:00,-5.094645812270208e-13,1.4193701988136523e-10,1.1468733128083526e-11,7.372088293358376e-13,-9.230879352512557e-15,-1.5601425771761235e-11,-1876919424.674286
2022-07-21 15:00:00,-9.72106425176378e-13,1.386533299474189e-10,8.595565748357285e-12,7.001011830864846e-13,-9.115456660949496e-15,-1.651759121241773e-11,-1885057047.2500305
2022-07-21 16:00:00,-7.930060716565318e-13,1.3476338150686595e-10,6.912410461732994e-12,6.722491794458725e-13,-9.56859855113977e-15,-1.6757522251275194e-11,-1807359720.209732
2022-07-21 17:00:00,-1.6365684391873488e-14,1.3071097234206113e-10,6.077969839274663e-12,6.462505018758739e-13,-1.1698634513413166e-14,-1.6305902714627846e-11,-1690919679.3692017
2022-07-21 18:00:00,1.490122935726321e-12,1.238217553472267e-10,5.5109705779975735e-12,6.215466122112162e-13,-1.3226711459928276e-14,-1.513849503339848e-11,-1480754339.1997833
2022-07-21 19:00:00,2.7602201595375458e-12,1.1792737665134224e-10,5.267413465177418e-12,6.03953371925801e-13,-1.4111791320197192e-14,-1.4222893998222706e-11,-1354452611.1225586
