time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-20 00:00:00,2.289131355972293e-12,7.765680885684652e-13,1.713751074434992e-13,1.226617523085379e-14,-6.82344538275985e-15,2.5975897525825765e-12,2006652145.6259804
2022-07-20 01:00:00,2.2922174110379884e-12,7.824830345830906e-13,1.238741778344571e-13,1.2241475743151906e-14,-6.851347046139333e-15,2.604548271937647e-12,2110931077.2129288
2022-07-20 02:00:00,2.292721460415986e-12,7.765923493007611e-13,9.125896589743146e-14,1.2225006600106804e-14,-6.872347941208942e-15,2.6084429969258518e-12,2267875060.842865
2022-07-20 03:00:00,2.2901637737194995e-12,7.730369950941517e-13,7.147467162904673e-14,1.2194217763186235e-14,-6.887791857164202e-15,2.608782717856706e-12,2491616519.072525
2022-07-20 04:00:00,2.2847994650455823e-12,7.727759823431121e-13,5.914517628302345e-14,1.2148856187484704e-14,-6.897506547677963e-15,2.6064894844103764e-12,2775112778.9508667
2022-07-20 05:00:00,2.27759121526935e-12,7.699820310907084e-13,5.0620752506577734e-14,1.2108365303057309e-14,-6.912833048771225e-15,2.601004183514375e-12,3076446798.1091957
2022-07-20 06:00:00,2.264659959845928e-12,7.689260576159735e-13,4.7175452366954294e-14,1.203531934213282e-14,-6.9164077123007116e-15,2.590404759936446e-12,3353115045.1420364
2022-07-20 07:00:00,2.248108574679574e-12,7.70739082100242e-13,4.768739643417202e-14,1.1942971512113125e-14,-6.914279616367531e-15,2.577486808918541e-12,3571522881.794052
2022-07-20 08:00:00,2.2301453682845914e-12,7.727035626198056e-13,5.105066470757438e-14,1.1860593863793326e-14,-6.9104255994675045e-15,2.564046187063417e-12,3706716901.215969
2022-07-20 09:00:00,2.209751477641043e-12,7.649857805236806e-13,5.961116145347371e-14,1.1764815368630551e-14,-6.910881941738998e-15,2.546509546038648e-12,3679815933.768627
2022-07-20 10:00:00,2.1871981700764174e-12,7.485464270766192e-13,7.546384529770517e-14,1.1661636618948552e-14,-6.913680527780067e-15,2.52641412470418e-12,3546920409.3217163
2022-07-20 11:00:00,2.1652730728930125e-12,7.309107333837966e-13,9.336094968772991e-14,1.1579299934522916e-14,-6.9182771005395886e-15,2.50739038743203e-12,3392790341.532913
2022-07-20 12:00:00,2.1475758658544368e-12,7.087388764502163e-13,1.0860332267423278e-13,1.1540899246751163e-14,-6.942524551406395e-15,2.4920132532387028e-12,3196345434.8746033
2022-07-20 13:00:00,2.1374019075875158e-12,6.841160725730091e-13,1.2199718306947749e-13,1.1542828943592238e-14,-6.97383754466393e-15,2.4818598123992e-12,2975830369.9256783
2022-07-20 14:00:00,2.132576807881181e-12,6.602584271140517e-13,1.3526396524884632e-13,1.1551929460572046e-14,-7.003880551257544e-15,2.4745338388865544e-12,2760447837.7101326
2022-07-20 15:00:00,2.1322442924278884e-12,6.388004073391276e-13,1.4785371565464642e-13,1.1601131151160316e-14,-7.0384264815344355e-15,2.4726657410911176e-12,2567692394.7977448
2022-07-20 16:00:00,2.135745127505663e-12,6.188957682937145e-13,1.6050328302401714e-13,1.1688235424592045e-14,-7.0849778911223075e-15,2.4727985075805954e-12,2375377974.9939346
2022-07-20 17:00:00,2.1406278169758197e-12,5.987524450889995e-13,1.7378996951134732e-13,1.1761353229425308e-14,-7.13048784401855e-15,2.4724783992228136e-12,2173609323.1114197
2022-07-20 18:00:00,2.148988543973168e-12,5.788435387972486e-13,1.8545741361736757e-13,1.1851080459142444e-14,-7.184685027749056e-15,2.4762390440089176e-12,1973059268.2035103
2022-07-20 19:00:00,2.1591831467006325e-12,5.582428413409894e-13,1.95899262557186e-13,1.1956208941147216e-14,-7.241426418882122e-15,2.482442108398596e-12,1771939006.072258
