time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-20 00:00:00,2.542059606070333e-11,3.131485452154259e-11,7.316135773769312e-11,7.09490357464266e-13,-6.336797775228274e-14,7.842495196788124e-12,-886905837.0913162
2022-07-20 01:00:00,2.49910710251667e-11,3.382945332044676e-11,6.851165556873662e-11,6.878035660111567e-13,-6.07311719059024e-14,7.643715808941995e-12,-665562440.5118103
2022-07-20 02:00:00,2.4958189876767032e-11,3.5992150041044143e-11,6.36415232522261e-11,6.680820429407684e-13,-5.862916661966403e-14,7.719226339553718e-12,-364215505.46552277
2022-07-20 03:00:00,2.5303408270823387e-11,3.7477559741237635e-11,5.961815970312036e-11,6.504005065705743e-13,-5.785083675216237e-14,8.014426085702803e-12,-106570896.71299744
2022-07-20 04:00:00,2.586785438083602e-11,3.806353299079747e-11,5.715696115721576e-11,6.365188934126284e-13,-5.816302097420198e-14,8.438702971869506e-12,17655936.982711792
2022-07-20 05:00:00,2.6432602888984674e-11,3.7498533756210454e-11,5.614525674537851e-11,6.258973754911996e-13,-5.908885655057903e-14,8.83323921796023e-12,110105511.904068
2022-07-20 06:00:00,2.680506789128159e-11,3.5672671617305e-11,5.556381137929169e-11,6.223046862899686e-13,-5.960952410088468e-14,8.980094491188837e-12,115117236.239151
2022-07-20 07:00:00,2.7140608971852497e-11,3.33411936320463e-11,5.6858004982625036e-11,6.226172084787584e-13,-6.12266584372356e-14,9.037062826565241e-12,121157717.20752716
2022-07-20 08:00:00,2.7297039921739456e-11,3.074200343539028e-11,5.897727991655447e-11,6.206633809306195e-13,-6.265820291822921e-14,8.958473069580576e-12,150159124.2475586
2022-07-20 09:00:00,2.736031901998663e-11,2.850368949293746e-11,6.069784545002288e-11,6.213201599866756e-13,-6.371030367690558e-14,8.78420099738648e-12,201710656.7750244
2022-07-20 10:00:00,2.7464039926130995e-11,2.855997758036448e-11,6.09617551867094e-11,6.245851450799611e-13,-6.486458307755965e-14,8.662192305158532e-12,278072429.4460907
2022-07-20 11:00:00,2.7530873413053557e-11,3.085391695758663e-11,5.908273165404704e-11,6.292466396383754e-13,-6.539127872105494e-14,8.572485755733129e-12,340382456.6157913
2022-07-20 12:00:00,2.7584390529124934e-11,3.2466812353982314e-11,5.798832744553236e-11,6.444121576264175e-13,-6.582827240249389e-14,8.468704124993917e-12,395148663.2470398
2022-07-20 13:00:00,2.763877152201209e-11,3.352247604537888e-11,5.686947362607692e-11,6.578346743087764e-13,-6.598725693602074e-14,8.363675605458694e-12,447439238.71411896
2022-07-20 14:00:00,2.763770671749499e-11,3.443390564773973e-11,5.5559849219924296e-11,6.565713378992013e-13,-6.611794954464611e-14,8.234929230007679e-12,479445375.7141113
2022-07-20 15:00:00,2.7680454331909548e-11,3.502182031863146e-11,5.423588337513366e-11,6.569310683576887e-13,-6.560104117081454e-14,8.118389433759749e-12,512126267.3045807
2022-07-20 16:00:00,2.7797224747575953e-11,3.534941728567779e-11,5.3530025737833813e-11,6.625351442667778e-13,-6.567114390220216e-14,8.02106291080836e-12,542586903.8473358
2022-07-20 17:00:00,2.7839998802590126e-11,3.541442010499236e-11,5.332333968170821e-11,6.681132026663318e-13,-6.598592579231127e-14,7.93595942506219e-12,567276284.6306915
2022-07-20 18:00:00,2.7876998545476187e-11,3.5107709625664046e-11,5.308582080163678e-11,6.682654945342908e-13,-6.604506074487832e-14,7.850443062417376e-12,613718254.6519089
2022-07-20 19:00:00,2.7929451846749845e-11,3.445903450665893e-11,5.3110793966336325e-11,6.740998260352263e-13,-6.584562430999694e-14,7.757964893142652e-12,650120146.9094391
2022-07-20 20:00:00,2.7897735301024486e-11,3.294779994269556e-11,5.364272061199239e-11,6.798393706409905e-13,-6.563182680455331e-14,7.669230521187756e-12,687804641.788887
2022-07-20 21:00:00,2.769054261201827e-11,3.0669452156200524e-11,5.536397528656454e-11,6.617622407191453e-13,-6.555210515998564e-14,7.551630416568402e-12,715079003.1230621
2022-07-20 22:00:00,2.74014350881375e-11,2.941649698792402e-11,5.61484942981346e-11,6.454945991967617e-13,-6.574077033596203e-14,7.381084682642624e-12,342032872.9214859
2022-07-20 23:00:00,2.7080087164693757e-11,2.983862880390921e-11,5.4968927232927527e-11,6.354714693467451e-13,-6.362571180382225e-14,7.121546755077861e-12,-745766220.8711319
2022-07-21 00:00:00,2.6489411811993195e-11,3.1200572752477466e-11,5.240729754091453e-11,6.183840852548121e-13,-6.086684047740523e-14,6.725047417490181e-12,-1361082405.393074
