time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-20 00:00:00,2.274248963322294e-12,7.722953494348292e-13,1.7609365112629016e-13,1.2177149016907984e-14,-6.844025904328029e-15,2.5847094945685127e-12,1973392157.419876
2022-07-20 01:00:00,2.2756569230869092e-12,7.797370430977202e-13,1.2785278403414173e-13,1.2136509702434368e-14,-6.8660203535739046e-15,2.5895831488746993e-12,2073969644.4720383
2022-07-20 02:00:00,2.2745863373125247e-12,7.74958732037953e-13,9.477495124888808e-14,1.2104092925137815e-14,-6.880326833793636e-15,2.591730234965e-12,2226138891.1086464
2022-07-20 03:00:00,2.270448376853893e-12,7.723911286252036e-13,7.46409666223808e-14,1.2058176805478003e-14,-6.889193894710182e-15,2.5904232554487207e-12,2443432626.008976
2022-07-20 04:00:00,2.2635622465646157e-12,7.729556491535631e-13,6.196955842402982e-14,1.1997262756295112e-14,-6.893390750265379e-15,2.586849293209094e-12,2719795904.829216
2022-07-20 05:00:00,2.2549044294379033e-12,7.705912623251448e-13,5.3145276701346555e-14,1.1939441914091946e-14,-6.9038531181879816e-15,2.5803944760789745e-12,3014155510.498432
2022-07-20 06:00:00,2.240439342045043e-12,7.698303225899226e-13,4.96843409280966e-14,1.1848402236470679e-14,-6.902449983607447e-15,2.568598584276986e-12,3284367443.558296
2022-07-20 07:00:00,2.222320127536369e-12,7.714348149737485e-13,5.0210314949528693e-14,1.173981312145195e-14,-6.895346065655006e-15,2.554195530090655e-12,3496463025.31065
2022-07-20 08:00:00,2.203093269684879e-12,7.725689082919597e-13,5.357123331294801e-14,1.1643517893514808e-14,-6.8871943280938105e-15,2.53937659125769e-12,3626655102.2168655
2022-07-20 09:00:00,2.1815308701176682e-12,7.635708049103972e-13,6.245207473268871e-14,1.1536400592923418e-14,-6.883805596477074e-15,2.52067748219185e-12,3598721304.848301
2022-07-20 10:00:00,2.157973641127448e-12,7.458868788084726e-13,7.920541671671209e-14,1.1424084427223047e-14,-6.883061467609143e-15,2.499543641056017e-12,3467519121.6263504
2022-07-20 11:00:00,2.1353149304829353e-12,7.273079785985383e-13,9.797334747144494e-14,1.1333207498771252e-14,-6.8842875891198436e-15,2.4796207658934514e-12,3315332877.0997353
2022-07-20 12:00:00,2.116761373399409e-12,7.03837255581591e-13,1.131966263982934e-13,1.1287127532095984e-14,-6.905451041315395e-15,2.4634523461300498e-12,3121639888.616024
2022-07-20 13:00:00,2.105627873203658e-12,6.775999035094775e-13,1.2601543213347513e-13,1.1282772678798031e-14,-6.9342782089794284e-15,2.4523987025699924e-12,2904339517.5356674
2022-07-20 14:00:00,2.099839190223729e-12,6.520975321075504e-13,1.3863002891306392e-13,1.1286971101909461e-14,-6.961939711549066e-15,2.444285313135081e-12,2692641953.912369
2022-07-20 15:00:00,2.098871597247782e-12,6.291018994470093e-13,1.504138109188218e-13,1.1333518247794058e-14,-6.994562018478457e-15,2.4417234675476332e-12,2503503469.6708946
2022-07-20 16:00:00,2.101903221885659e-12,6.081845062120233e-13,1.6218479918952836e-13,1.1419115232620091e-14,-7.03881112897364e-15,2.4410085816415542e-12,2314963944.9349365
2022-07-20 17:00:00,2.1063483547545696e-12,5.876947659104744e-13,1.7466587422085276e-13,1.1491379536424855e-14,-7.080929530728259e-15,2.4398705242126877e-12,2117763492.803833
2022-07-20 18:00:00,2.1146291933289917e-12,5.678580993042519e-13,1.857483144865515e-13,1.1581400470225357e-14,-7.132034771387791e-15,2.443329043920986e-12,1921826967.5707245
2022-07-20 19:00:00,2.1250638337976535e-12,5.474907625457734e-13,1.95725034396355e-13,1.1687521265988281e-14,-7.186645003995483e-15,2.4496409628949216e-12,1725267152.501217
2022-07-20 20:00:00,2.134544882081691e-12,5.272607306798554e-13,2.0459867893340527e-13,1.1768306543742913e-14,-7.23503794798862e-15,2.4546473707377842e-12,1543992946.824501
2022-07-20 21:00:00,2.146293368615494e-12,5.163492921655445e-13,2.0152287790411852e-13,1.1847424949413668e-14,-7.286781755848129e-15,2.4629403778982008e-12,1413688163.0205688
2022-07-20 22:00:00,2.161136387423293e-12,5.232347171636419e-13,1.7285777270674683e-13,1.1928793428706814e-14,-7.343087628869541e-15,2.4735093007657225e-12,1339255119.0620918
2022-07-20 23:00:00,2.175967054914864e-12,5.352599040473548e-13,1.3405781714710238e-13,1.1990887732572189e-14,-7.380000537481924e-15,2.484197772989413e-12,1297816644.7199554
2022-07-21 00:00:00,2.186700760035631e-12,5.421069025595244e-13,1.0129802038155661e-13,1.2024531316998776e-14,-7.399699677521313e-15,2.4928352041024194e-12,1264235240.5187073
2022-07-21 01:00:00,2.193103025273937e-12,5.421169517011862e-13,7.761246962121918e-14,1.2025851410707186e-14,-7.402149250025649e-15,2.498205753336476e-12,1227586997.0652542
