time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-20 00:00:00,2.5580964240434616e-11,3.233767870271271e-11,7.39657700149467e-11,7.063570677015348e-13,-6.423921915883633e-14,7.998272348386744e-12,-837080616.9631958
2022-07-20 01:00:00,2.5170036321645482e-11,3.4785376676816506e-11,6.9300553237141e-11,6.8652724622309e-13,-6.16558279926227e-14,7.797527534673174e-12,-622413614.5178909
2022-07-20 02:00:00,2.5135794768209374e-11,3.693388393225157e-11,6.440489546143802e-11,6.682604284614916e-13,-5.9554109324053e-14,7.870177408609218e-12,-327054874.54307556
2022-07-20 03:00:00,2.5484328544233057e-11,3.844341931968759e-11,6.036397760050919e-11,6.512531471141061e-13,-5.874767678395655e-14,8.168874948087294e-12,-74541022.63311768
2022-07-20 04:00:00,2.605928923126487e-11,3.9058202351904244e-11,5.7925782901946413e-11,6.373777710493787e-13,-5.903441978536793e-14,8.600986798377242e-12,46978933.33969879
2022-07-20 05:00:00,2.662780350751635e-11,3.851585725023999e-11,5.695380559273441e-11,6.265303046026582e-13,-6.001857679996396e-14,9.008142070083398e-12,137722540.09859467
2022-07-20 06:00:00,2.7012207802795257e-11,3.6715038724923274e-11,5.65465417868221e-11,6.228148017669416e-13,-6.081361829209322e-14,9.171156806860999e-12,143173049.81080627
2022-07-20 07:00:00,2.7342074048140077e-11,3.4374357325263555e-11,5.806811041649526e-11,6.22591485726821e-13,-6.260807398763915e-14,9.239774531490967e-12,150006903.93032837
2022-07-20 08:00:00,2.748301727936254e-11,3.173971161363182e-11,6.047585690744633e-11,6.201445611619021e-13,-6.41393308898121e-14,9.165453423097518e-12,177809731.16970825
2022-07-20 09:00:00,2.754060178454857e-11,2.9481235963687444e-11,6.244343817353856e-11,6.205780561781404e-13,-6.522556438544429e-14,8.999564362409852e-12,228856979.13895416
2022-07-20 10:00:00,2.763915844957314e-11,2.9676076542257195e-11,6.289277066475859e-11,6.237687705825021e-13,-6.640050320795433e-14,8.884416615049436e-12,305691137.4618683
2022-07-20 11:00:00,2.7701198632310973e-11,3.230223071805733e-11,6.102312550217282e-11,6.284925506915999e-13,-6.697846780732299e-14,8.799478484755324e-12,367022579.0913162
2022-07-20 12:00:00,2.7752703511962448e-11,3.4190267529966805e-11,6.00393960944555e-11,6.434170947904573e-13,-6.752717953283768e-14,8.70676943433189e-12,420111511.71564484
2022-07-20 13:00:00,2.7804398053257316e-11,3.5448348999477856e-11,5.915096852492519e-11,6.566252713136909e-13,-6.787685276889674e-14,8.609912704990744e-12,471089020.58353424
2022-07-20 14:00:00,2.7806268509274498e-11,3.6498697245476336e-11,5.8127158627808615e-11,6.554684240529797e-13,-6.817479764496434e-14,8.489606719187925e-12,503327412.6448593
2022-07-20 15:00:00,2.7846059322708224e-11,3.7215082275271846e-11,5.719846644991517e-11,6.562834981510745e-13,-6.787512486759286e-14,8.379399548570333e-12,535096339.47302246
2022-07-20 16:00:00,2.794386253878562e-11,3.7647004254450446e-11,5.684429753166208e-11,6.624118561794548e-13,-6.802294538817449e-14,8.282169771927327e-12,564795305.6231155
2022-07-20 17:00:00,2.7954181445155875e-11,3.78524805465641e-11,5.688075815901923e-11,6.682589277624779e-13,-6.827824338867412e-14,8.189408277374462e-12,592608906.2608109
2022-07-20 18:00:00,2.7958027473327847e-11,3.76923015156294e-11,5.678801572425997e-11,6.688852734966829e-13,-6.80470578482006e-14,8.0920319261031e-12,640004914.7585602
2022-07-20 19:00:00,2.7976547940897003e-11,3.717622886874932e-11,5.674506092840708e-11,6.750895870523005e-13,-6.751586927601451e-14,7.985136130035248e-12,677220833.3692627
2022-07-20 20:00:00,2.7924186482283228e-11,3.581367080836201e-11,5.70738601981738e-11,6.816058758773591e-13,-6.701373470816029e-14,7.883605950219137e-12,714918486.4384003
2022-07-20 21:00:00,2.7707470001790278e-11,3.3267428450621754e-11,5.89356907781177e-11,6.646270583219746e-13,-6.664505997537803e-14,7.754797028686077e-12,741783525.2922821
2022-07-20 22:00:00,2.7410762793943435e-11,3.1544542844600287e-11,6.026293014357607e-11,6.493638147086059e-13,-6.664236303529527e-14,7.570081953611364e-12,376905113.7184067
2022-07-20 23:00:00,2.7078982716680313e-11,3.157700908094989e-11,5.959523736165805e-11,6.398205581970581e-13,-6.435745363747917e-14,7.294554549313597e-12,-687282470.7180252
2022-07-21 00:00:00,2.6481450892363678e-11,3.2775469347511194e-11,5.716685293591204e-11,6.234309915398746e-13,-6.136069510298541e-14,6.88141434549373e-12,-1290958747.2382355
2022-07-21 01:00:00,2.611080166702135e-11,3.478555485022224e-11,5.350095138640908e-11,6.15254505055845e-13,-5.962615329324191e-14,6.629327544935227e-12,-1277428953.6432724
2022-07-21 02:00:00,2.6029623775981398e-11,3.6696184912516346e-11,4.813918624804165e-11,6.050172801504904e-13,-5.79901954442066e-14,6.629134505877954e-12,-846810310.5478745
2022-07-21 03:00:00,2.625320671009329e-11,3.7824706130572625e-11,4.410075679974593e-11,5.921205298956878e-13,-5.705731193249576e-14,6.88229715789139e-12,-457872074.5104828
2022-07-21 04:00:00,2.6697491888696537e-11,3.8292272320860565e-11,4.1066116746220194e-11,5.784737916350591e-13,-5.754619001410411e-14,7.279166183148977e-12,-223084991.95106506
2022-07-21 05:00:00,2.717902029719703e-11,3.795218245188514e-11,3.949711901428486e-11,5.667911838431045e-13,-5.854945303224912e-14,7.699600950894661e-12,-95242278.68158722
2022-07-21 06:00:00,2.7512028710013837e-11,3.6749617260985986e-11,3.93235751060372e-11,5.617302901118664e-13,-5.960417746513985e-14,7.999779729164705e-12,-14900054.447257996
2022-07-21 07:00:00,2.768447716723795e-11,3.495868421227863e-11,4.049677149407765e-11,5.598359761206026e-13,-6.125769585565385e-14,8.133817550090128e-12,48891093.28121948
2022-07-21 08:00:00,2.774095209249175e-11,3.2820713764056664e-11,4.309813671130029e-11,5.594253953166685e-13,-6.291975031540598e-14,8.15678233259957e-12,116597257.1539917
2022-07-21 09:00:00,2.7656015960371495e-11,3.099629732386124e-11,4.545808092980701e-11,5.575921949769218e-13,-6.223419360997951e-14,8.049850556544323e-12,146105005.90293884
2022-07-21 10:00:00,2.7526316838635798e-11,3.1991095233185294e-11,4.539950771307482e-11,5.569396963106033e-13,-6.301411404281513e-14,7.919020639453691e-12,156830223.7445221
2022-07-21 11:00:00,2.739263388912766e-11,3.5461320863517454e-11,4.227021494750179e-11,5.578948195704039e-13,-6.329617699776856e-14,7.758692771795315e-12,170321651.7544632
2022-07-21 12:00:00,2.7279019732941907e-11,3.719626047330269e-11,4.0376109664884684e-11,5.659889773135498e-13,-6.345609506251933e-14,7.603109879342347e-12,195913771.12335205
2022-07-21 13:00:00,2.7107585215543692e-11,3.762189343026156e-11,3.921097020657195e-11,5.766302131873845e-13,-6.330264383954922e-14,7.426001240191025e-12,238777708.93286896
2022-07-21 14:00:00,2.692571464506783e-11,3.781001592029283e-11,3.856852466586747e-11,5.854824812706061e-13,-6.270376816496003e-14,7.254731653479351e-12,284581289.01428986
2022-07-21 15:00:00,2.6732382955640378e-11,3.760576098636451e-11,3.80253066853974e-11,5.964296642513384e-13,-6.23751065288998e-14,7.08134656564035e-12,339984078.6225891
2022-07-21 16:00:00,2.6538370658343455e-11,3.733330304303259e-11,3.7562816885147996e-11,6.027283424587233e-13,-6.257114520360984e-14,6.907642014454672e-12,405930922.8974457
2022-07-21 17:00:00,2.6283139524200815e-11,3.703643921160291e-11,3.7159559894257304e-11,6.036059157104545e-13,-6.328644831627366e-14,6.767581793276714e-12,466504753.3492813
2022-07-21 18:00:00,2.5993217554981963e-11,3.658328796117486e-11,3.703649590855413e-11,6.139465157090115e-13,-6.358959324568448e-14,6.61898686757985e-12,521287245.4474182
2022-07-21 19:00:00,2.56506667431959e-11,3.6045995501865615e-11,3.701094002640513e-11,6.142202194628537e-13,-6.216195209661864e-14,6.497575815602106e-12,557561937.2792511
2022-07-21 20:00:00,2.5345126074113896e-11,3.45116427839665e-11,3.8469649051452284e-11,6.087508564553267e-13,-6.113632774119272e-14,6.38747798057066e-12,588804029.0108032
2022-07-21 21:00:00,2.4957979284652688e-11,3.2099914996609755e-11,4.029866403642736e-11,5.779852211200565e-13,-6.001928025710434e-14,6.2801587253381136e-12,614335339.7670517
2022-07-21 22:00:00,2.448409191975393e-11,3.031108322709552e-11,4.194698052989104e-11,5.426199034140675e-13,-5.828807765803408e-14,6.130485655141441e-12,647887155.5818024
