time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,3.820120283560475e-11,1.2276345473611225e-12,2.3369289784208236e-32,1.3252166430218623e-12
2022-07-20 01:00:00,3.82092176599886e-11,1.2210528581392185e-12,1.604054981764867e-32,1.3342693725823342e-12
2022-07-20 02:00:00,3.821597937215785e-11,1.2130102174846328e-12,1.1076495703533892e-32,1.3437267221131882e-12
2022-07-20 03:00:00,3.817616233415305e-11,1.2043812782497255e-12,8.155195349883895e-33,1.351205536200432e-12
2022-07-20 04:00:00,3.8094295259209904e-11,1.1949485125833686e-12,6.548566808085406e-33,1.3570778755376683e-12
2022-07-20 05:00:00,3.799823726759962e-11,1.1846934645159008e-12,5.487442883563949e-33,1.3631543810910547e-12
2022-07-20 06:00:00,3.7899719923968104e-11,1.175842793420495e-12,4.719048209667047e-33,1.3690767443333449e-12
2022-07-20 07:00:00,3.78047721997862e-11,1.1698780424476436e-12,4.232629331762712e-33,1.3744615532248198e-12
2022-07-20 08:00:00,3.771922116043411e-11,1.1678702223253455e-12,3.9618338972211864e-33,1.3794327789299564e-12
2022-07-20 09:00:00,3.768095267868485e-11,1.1720345106909463e-12,3.843253337397854e-33,1.3852317710012449e-12
2022-07-20 10:00:00,3.767238405106936e-11,1.182674009726038e-12,4.0816466762733884e-33,1.3916539951778532e-12
2022-07-20 11:00:00,3.765988963746772e-11,1.1947906789162882e-12,4.422968458081148e-33,1.3977149826100965e-12
2022-07-20 12:00:00,3.763843627805367e-11,1.2056210882231603e-12,4.6203642183526764e-33,1.4039390676353776e-12
2022-07-20 13:00:00,3.7600277929280165e-11,1.2152018773759113e-12,4.7047684684074236e-33,1.4095537898329084e-12
2022-07-20 14:00:00,3.755045264896709e-11,1.2231600960191504e-12,4.700952762093672e-33,1.4142465880023981e-12
2022-07-20 15:00:00,3.749310924863463e-11,1.2291929314947633e-12,4.73295569666605e-33,1.4184756756605023e-12
2022-07-20 16:00:00,3.7432087816268733e-11,1.2342963130332906e-12,4.751616216403305e-33,1.422010935982782e-12
2022-07-20 17:00:00,3.738313916421139e-11,1.2398187058100345e-12,4.67695442888766e-33,1.4250868745015128e-12
2022-07-20 18:00:00,3.7387655105435565e-11,1.242701265397208e-12,4.566109707269529e-33,1.4293104294434942e-12
2022-07-20 19:00:00,3.7424865605973074e-11,1.2427962974232765e-12,4.417650073556986e-33,1.4336653122047072e-12
2022-07-20 20:00:00,3.746626149192631e-11,1.2408976241816255e-12,4.236243918253832e-33,1.437381671562935e-12
2022-07-20 21:00:00,3.751912831097283e-11,1.2351618320427947e-12,3.960944602378991e-33,1.4418853249742128e-12
2022-07-20 22:00:00,3.7584287987699296e-11,1.2243938007580017e-12,3.299856925817331e-33,1.4467814926099273e-12
2022-07-20 23:00:00,3.7656881456233514e-11,1.2096170097408251e-12,2.4786719008491656e-33,1.4513477882590616e-12
2022-07-21 00:00:00,3.7709260002071083e-11,1.1943902164949405e-12,1.8450536684694664e-33,1.4566571647904344e-12
2022-07-21 01:00:00,3.7746671016682885e-11,1.1801448598250149e-12,1.4154997857700566e-33,1.4626748006617954e-12
2022-07-21 02:00:00,3.778142137982139e-11,1.1663009335092992e-12,1.1540537637949979e-33,1.468310313296383e-12
2022-07-21 03:00:00,3.780234069807843e-11,1.154119180686123e-12,1.0446448517879121e-33,1.4736418081402489e-12
2022-07-21 04:00:00,3.7811829217672913e-11,1.1437404331447482e-12,1.0913818700980164e-33,1.4786504991503925e-12
2022-07-21 05:00:00,3.7821213973045436e-11,1.1346923917684095e-12,1.2405563613239708e-33,1.483142460947171e-12
2022-07-21 06:00:00,3.784013194765478e-11,1.125940808406381e-12,1.8228180913493713e-33,1.4864759500951757e-12
2022-07-21 07:00:00,3.7857722905434014e-11,1.119376316528097e-12,2.954273905481748e-33,1.4886621013294964e-12
2022-07-21 08:00:00,3.787109012939949e-11,1.1170798603427516e-12,4.972950631071738e-33,1.4902655825539694e-12
2022-07-21 09:00:00,3.78901897104575e-11,1.1156544082649923e-12,8.898467510806299e-33,1.489929004101011e-12
2022-07-21 10:00:00,3.7914597432430766e-11,1.1151117488213469e-12,1.536436344152293e-32,1.487649916661972e-12
2022-07-21 11:00:00,3.79380769218076e-11,1.115426765437118e-12,2.5064579601682546e-32,1.484407454304973e-12
2022-07-21 12:00:00,3.7957794169466686e-11,1.1143131309154126e-12,4.52293556417039e-32,1.4799886467709125e-12
2022-07-21 13:00:00,3.7984885562615815e-11,1.1124572828180153e-12,8.354856338297968e-32,1.474905130490281e-12
2022-07-21 14:00:00,3.80237471334214e-11,1.110974679730236e-12,1.4168380270024666e-31,1.469859416383713e-12
2022-07-21 15:00:00,3.807750169034091e-11,1.110846736891504e-12,2.3619283664996397e-31,1.4653560279128283e-12
2022-07-21 16:00:00,3.8145175560996184e-11,1.1117786306280524e-12,3.8810651260202703e-31,1.461130827606759e-12
2022-07-21 17:00:00,3.8223393465680376e-11,1.113803384581614e-12,6.4814382609334706e-31,1.4569834536488808e-12
2022-07-21 18:00:00,3.832164437754636e-11,1.1170908903495126e-12,1.0701884962955031e-30,1.4527833763076059e-12
2022-07-21 19:00:00,3.84378698974942e-11,1.1223894691770364e-12,1.870415765704439e-30,1.4485501542521862e-12
2022-07-21 20:00:00,3.8562918371118496e-11,1.1293944736308877e-12,3.2145160591546366e-30,1.4447257329232355e-12
2022-07-21 21:00:00,3.866844721094681e-11,1.1342287694264041e-12,5.0205034953838285e-30,1.4412712107419797e-12
2022-07-21 22:00:00,3.8757374684009026e-11,1.1349371504471561e-12,6.685836051267174e-30,1.4380399946496845e-12
2022-07-21 23:00:00,3.883602196118535e-11,1.1321237627647442e-12,7.478294500306662e-30,1.435219829889818e-12
2022-07-22 00:00:00,3.884583658383212e-11,1.126586723095596e-12,7.201876886806703e-30,1.4319540214573616e-12
2022-07-22 01:00:00,3.8796662739039823e-11,1.1199827420847596e-12,6.1691120900668126e-30,1.4280221003356778e-12
