time,SO4,SO2,DMS,HMS
2022-07-20 00:00:00,2.9091718971276924e-10,2.81095750330964e-10,6.271498964710718e-30,2.202727207898754e-11
2022-07-20 01:00:00,2.904682649092841e-10,2.670057764231691e-10,6.107912192685e-30,2.108273081199014e-11
2022-07-20 02:00:00,2.9243719782708655e-10,2.564862267711482e-10,5.750428375631771e-30,2.032339502615335e-11
2022-07-20 03:00:00,2.959782786174585e-10,2.4608282692109654e-10,5.380590826879243e-30,1.9822239987028024e-11
2022-07-20 04:00:00,3.0087815974810647e-10,2.380464698005996e-10,4.998273157413555e-30,1.958721034894513e-11
2022-07-20 05:00:00,3.057229618387502e-10,2.3333973587383324e-10,4.692522064430179e-30,1.9454874052281e-11
2022-07-20 06:00:00,3.1188583154431366e-10,2.3034530787933634e-10,4.380684514604963e-30,1.9925334115702183e-11
2022-07-20 07:00:00,3.17114715195491e-10,2.3257256194164295e-10,4.104058070901224e-30,2.0456915917962107e-11
2022-07-20 08:00:00,3.2032862926329347e-10,2.3896679238314464e-10,3.908245583692706e-30,2.0562742120319324e-11
2022-07-20 09:00:00,3.206659771305733e-10,2.486742550029398e-10,3.7627857717280136e-30,2.052259067367635e-11
2022-07-20 10:00:00,3.204675522250255e-10,2.6527341725433214e-10,3.62471130138862e-30,2.0480383671064297e-11
2022-07-20 11:00:00,3.2007828706482035e-10,2.774348650111356e-10,3.4230794432073345e-30,2.0508581901311073e-11
2022-07-20 12:00:00,3.216207380873007e-10,2.8708656890275175e-10,3.0524127697893584e-30,2.1177225493154495e-11
2022-07-20 13:00:00,3.22510636447983e-10,2.96755970257228e-10,2.6560487814493587e-30,2.1554233836238444e-11
2022-07-20 14:00:00,3.2398705404801525e-10,3.0548454774840286e-10,2.3440186781334913e-30,2.1826408487167296e-11
2022-07-20 15:00:00,3.2830879772651255e-10,3.096654508826018e-10,2.0553555191619248e-30,2.2964728700224143e-11
2022-07-20 16:00:00,3.322604634745271e-10,3.130032756973323e-10,1.782929778081139e-30,2.3678737973004994e-11
2022-07-20 17:00:00,3.353776724082824e-10,3.1481813581104896e-10,1.5545494486369057e-30,2.423276353946542e-11
2022-07-20 18:00:00,3.403187308881236e-10,3.119282050603197e-10,1.3590172469777888e-30,2.5676265961501258e-11
2022-07-20 19:00:00,3.426311244308891e-10,3.118110261004996e-10,1.1971055891214387e-30,2.6526597322790566e-11
2022-07-20 20:00:00,3.4438106654511914e-10,3.164047480868856e-10,1.087908051469109e-30,2.7177714091916993e-11
2022-07-20 21:00:00,3.4381250768121374e-10,3.168193831094006e-10,1.167021660236025e-30,2.6996784465733163e-11
2022-07-20 22:00:00,3.4090012127022367e-10,3.131894660819792e-10,1.2252252822706215e-30,2.6811911579240372e-11
2022-07-20 23:00:00,3.37404097869635e-10,3.076981175823173e-10,1.4719556065858463e-30,2.3641850798147485e-11
2022-07-21 00:00:00,3.378552519280478e-10,2.892156620094313e-10,2.236979987558464e-30,2.1734645059707404e-11
2022-07-21 01:00:00,3.422554853957892e-10,2.7691948489451265e-10,2.867153250662237e-30,2.1366548929274427e-11
2022-07-21 02:00:00,3.4626840202615166e-10,2.647273763023201e-10,3.190763547492363e-30,2.105288821426666e-11
2022-07-21 03:00:00,3.502453692648724e-10,2.5098418712185995e-10,3.301159375550622e-30,2.0904509599843336e-11
2022-07-21 04:00:00,3.564603778797841e-10,2.4048857034454317e-10,3.286104862282832e-30,2.1027515533515537e-11
2022-07-21 05:00:00,3.613536519890281e-10,2.3288776384452575e-10,3.2312010574141764e-30,2.1091194011862778e-11
2022-07-21 06:00:00,3.6627469093598673e-10,2.276467761414355e-10,3.190852491727507e-30,2.135664373851143e-11
2022-07-21 07:00:00,3.7148577567627875e-10,2.252969838984005e-10,3.187901857920514e-30,2.1724501030539393e-11
2022-07-21 08:00:00,3.7419849487834016e-10,2.2807736579780378e-10,3.219901434918782e-30,2.1886114033947994e-11
2022-07-21 09:00:00,3.7679296227515226e-10,2.3375535197927513e-10,3.28334753872085e-30,2.2074674190963832e-11
2022-07-21 10:00:00,3.787562832580063e-10,2.4148667699065087e-10,3.359236566112744e-30,2.231535802570196e-11
2022-07-21 11:00:00,3.804883262105356e-10,2.490062567900842e-10,3.327757039422996e-30,2.2531987444331742e-11
2022-07-21 12:00:00,3.8302341258291383e-10,2.517902627465718e-10,3.1063659668827047e-30,2.3174349783518965e-11
2022-07-21 13:00:00,3.8505771857290746e-10,2.583099811178701e-10,2.8803142024358385e-30,2.362260536739398e-11
2022-07-21 14:00:00,3.8638047407745437e-10,2.634923560082117e-10,2.733990379948372e-30,2.3922081601444693e-11
2022-07-21 15:00:00,3.8802679870553355e-10,2.6990449681646214e-10,2.5778337962465955e-30,2.453821831925048e-11
2022-07-21 16:00:00,3.889657173594385e-10,2.7537965374092843e-10,2.4586433542892875e-30,2.4972015132634794e-11
2022-07-21 17:00:00,3.892481275633225e-10,2.778974055174334e-10,2.3855626022511105e-30,2.5299931247603444e-11
2022-07-21 18:00:00,3.903463325197364e-10,2.789083250253952e-10,2.3259027136741665e-30,2.6482617886003006e-11
2022-07-21 19:00:00,3.917100946125577e-10,2.8715807327200665e-10,2.2698099281084003e-30,2.7278623401259478e-11
2022-07-21 20:00:00,3.9203291755766975e-10,2.9882932091284914e-10,2.2592602800083063e-30,2.796088127746364e-11
2022-07-21 21:00:00,3.8579449692017353e-10,3.181631384109013e-10,2.3001375126147012e-30,2.6295527989464487e-11
2022-07-21 22:00:00,3.859059606851404e-10,3.305900042021631e-10,2.322720390010036e-30,2.5754202851318787e-11
2022-07-21 23:00:00,3.848155298187308e-10,3.3178216450499387e-10,2.4003374968585323e-30,2.458225657958277e-11
2022-07-22 00:00:00,3.819838003800343e-10,3.153051166999119e-10,2.4870539854298497e-30,2.32340892761206e-11
2022-07-22 01:00:00,3.8329382028539405e-10,3.046622310357674e-10,2.496032199840671e-30,2.2513762887808543e-11
2022-07-22 02:00:00,3.847953323084444e-10,2.940373658139766e-10,2.462822723983325e-30,2.1730093028713088e-11
2022-07-22 03:00:00,3.876942284250534e-10,2.8195524517866376e-10,2.3838824939754918e-30,2.1316381683593082e-11
2022-07-22 04:00:00,3.9299627708850546e-10,2.744433215571319e-10,2.2747196065410454e-30,2.1174532445866224e-11
2022-07-22 05:00:00,3.982082303903583e-10,2.7063475704117633e-10,2.172740491499271e-30,2.107791938201296e-11
2022-07-22 06:00:00,4.035199378561327e-10,2.6586938599736546e-10,2.1294030117012874e-30,2.153102463085965e-11
2022-07-22 07:00:00,4.096657398215158e-10,2.6790116679330843e-10,2.185672706012317e-30,2.2183328598465454e-11
2022-07-22 08:00:00,4.136415636711348e-10,2.759248492923068e-10,2.3725302621103155e-30,2.2514091697079518e-11
2022-07-22 09:00:00,4.151282389197298e-10,2.889385637223613e-10,2.7350585894722742e-30,2.2701593377728093e-11
2022-07-22 10:00:00,4.151903984897346e-10,3.022210616961146e-10,3.3537445126650224e-30,2.2790438777309577e-11
2022-07-22 11:00:00,4.152982721652228e-10,3.1299652129657755e-10,4.2191125883490984e-30,2.2905071277636697e-11
2022-07-22 12:00:00,4.157406552215693e-10,3.2288919598700906e-10,5.43530523282945e-30,2.3267166242027257e-11
