lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.1041797192315618e-11,1.699373343562694e-11,2.1063674175808028e-11,2.4318988778889848e-11
1,971.6244310048473,0.36625663400749947,2.0001253899010688e-11,1.6192509756855913e-11,1.909978451043481e-11,2.357022586166703e-11
2,956.7542402749618,0.5001096160252074,1.985159159402039e-11,1.5960642102712495e-11,1.9073874533433092e-11,2.365575776928793e-11
3,941.8841473755075,0.6358236496946832,1.98408841584054e-11,1.5901472275184622e-11,1.9517944111382073e-11,2.3974599092902934e-11
4,927.0137936180281,0.7737023136984883,1.9939370838803983e-11,1.599047767989144e-11,1.9652492810951392e-11,2.4095944617334117e-11
5,912.1431877107561,0.9140599557728831,2.0002278369529143e-11,1.6063806886112288e-11,1.980078830157871e-11,2.4238023664450212e-11
6,897.2725265381572,1.056517394691973,1.992364911715945e-11,1.591447327266593e-11,1.953006993466334e-11,2.404080276850456e-11
7,882.4015480213002,1.200972749516894,1.963032209387634e-11,1.5562685232405797e-11,1.928346019602469e-11,2.3540307415614947e-11
8,867.5303567964003,1.3475120190675405,1.9031956371279775e-11,1.5126482215461213e-11,1.927065350085621e-11,2.2624487429143648e-11
9,852.6592652163091,1.4962539028284811,1.802125762927489e-11,1.438757458231647e-11,1.8667468009598023e-11,2.1102994892572507e-11
10,837.7879949747113,1.6472308870137926,1.663496435875916e-11,1.327529084617997e-11,1.749881662875853e-11,1.9796841042379414e-11
11,822.9164001887356,1.8005751816165532,1.492210479633421e-11,1.2069703732637565e-11,1.5528016792640186e-11,1.73430281129872e-11
12,805.5656263644386,1.9827939680123745,1.289239380203866e-11,1.0513633994826296e-11,1.3106049674162669e-11,1.4773792234781736e-11
13,783.256871457526,2.2224936871622756,1.0459675429466054e-11,8.670731448766013e-12,1.0204708678583559e-11,1.228743186298893e-11
14,758.4695103909143,2.4962949930620897,8.119640009363125e-12,6.865375174802033e-12,7.724793119647807e-12,9.413168909244304e-12
15,733.6809880795391,2.77814138452743,6.2722297804903016e-12,5.33018345552133e-12,5.7692721256455964e-12,7.290388345999646e-12
16,708.8908488634015,3.067972755313559,4.8325364939006375e-12,4.0661773519475204e-12,4.675554348523713e-12,5.539691600496592e-12
17,684.1004760822683,3.3661126328894038,3.754671921869771e-12,3.257094528563586e-12,3.669376196187483e-12,4.1605081828623325e-12
18,653.1112285285492,3.753393324301299,2.8884049787546606e-12,2.5229415646469306e-12,2.8348523055667715e-12,3.1808679070684005e-12
19,615.9205705120047,4.2379797038361025,2.166196079834365e-12,1.8976408728238183e-12,2.118839331965673e-12,2.3618451848835083e-12
20,578.7272043823215,4.752775529501931,1.7219242581197176e-12,1.4848153869746885e-12,1.6380597842736637e-12,1.8746747178099e-12
21,541.5297974405477,5.293982624262083,1.4512872178995004e-12,1.2518797434526338e-12,1.3700423725128543e-12,1.572665114278836e-12
22,504.3267976709419,5.866525051820845,1.3051291525267436e-12,1.1330789125311974e-12,1.274728505513503e-12,1.4317122275881345e-12
23,467.1182254346348,6.4783499666903825,1.2765178661718263e-12,1.0891876769620453e-12,1.246591671918917e-12,1.4855559376956586e-12
24,429.9018516259439,7.130616001171602,1.3644492987204846e-12,1.1161310685623702e-12,1.2714883981731871e-12,1.6623806781293745e-12
25,392.6748148107893,7.8276962056910495,1.4973499038244627e-12,1.2259202602377285e-12,1.341627626608e-12,1.7778880291580684e-12
26,355.4364121658684,8.582381437087088,1.5496738116001333e-12,1.1777471353177318e-12,1.3996992062678176e-12,1.7302767669515952e-12
27,312.2568471757569,9.510262026437415,1.4138841201230118e-12,1.0530222834476975e-12,1.389387116708873e-12,1.6078588663293787e-12
28,266.2024287155883,10.602168136966553,1.2211159897116447e-12,9.027995972062682e-13,1.2506459297643812e-12,1.4337572118596897e-12
29,226.40807678064118,11.660990898666412,1.0042512591849158e-12,7.246119035197153e-13,1.031234870617128e-12,1.2130622854083692e-12
30,192.52002788560424,12.736811932907898,8.754359255149202e-13,6.235582313282159e-13,8.064675880691006e-13,1.0773168599499152e-12
31,163.6614990234374,13.78656633117675,8.779557940504575e-13,6.817409028155648e-13,8.134409906273211e-13,1.0137022805061783e-12
32,139.11500549316403,14.787671064298221,9.901789669058438e-13,8.209858177460381e-13,9.68523391793188e-13,1.091357852439473e-12
33,118.25,15.906170270258151,1.1212398209588211e-12,1.0032760068491583e-12,1.1126985871940868e-12,1.1665549145890294e-12
34,100.51435089111324,17.24273064490245,1.091933297181123e-12,1.047960532576021e-12,1.0968795807635762e-12,1.1211109187690377e-12
35,85.43901824951189,18.813372559902348,7.939027377335595e-13,7.53222584335933e-13,7.959563916056e-13,8.285679725062435e-13
36,72.55786132812501,20.65052603534648,4.790707320611106e-13,4.549354511045913e-13,4.673729308079095e-13,4.91320834968219e-13
37,61.495662689209006,22.74331462627693,3.323110378857112e-13,3.234482643978105e-13,3.3290656495774215e-13,3.435867301659185e-13
38,52.015911102294844,24.86505040859316,2.681015562972873e-13,2.653480078270454e-13,2.6808421899449217e-13,2.7025968068073053e-13
39,43.90966415405282,27.052485734519244,2.443167532071273e-13,2.4198854805175795e-13,2.4423809158472973e-13,2.4650369541946184e-13
40,36.9927101135254,29.32647120258809,2.3121753088716946e-13,2.299893100171841e-13,2.311645220148392e-13,2.3217866788099725e-13
41,31.08891105651863,31.748905700260213,2.2091724445855558e-13,2.1990817522566246e-13,2.2063480227550685e-13,2.2122595226269117e-13
42,26.049108505249027,34.31199278898532,2.1218215087705494e-13,2.1107525539645213e-13,2.1194459456664096e-13,2.1336058850717777e-13
43,21.76100349426269,37.02114906529215,2.058826843117769e-13,2.0396593014950325e-13,2.0619858158864954e-13,2.0802905713683388e-13
44,18.124349594116172,40.00166859906441,2.0082413490879828e-13,1.9997694906014948e-13,2.008856198687618e-13,2.0207654129970474e-13
45,15.05025005340576,43.13537659190267,1.9719170069849156e-13,1.967219614634348e-13,1.9727337023039334e-13,1.976198712211698e-13
46,12.460150718688988,46.41231625206779,1.953953056757631e-13,1.9521181065186628e-13,1.9534812145496325e-13,1.9559090627427818e-13
