lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,3.867119613498737e-10,3.322436872354964e-10,3.8258814374996634e-10,4.3983146709080305e-10
1,971.6244310048473,0.36625663400749947,3.8285949681065244e-10,3.3043248947944644e-10,3.8031728902151824e-10,4.3815432795507846e-10
2,956.7542402749618,0.5001096160252074,3.8613787072214837e-10,3.344987910349956e-10,3.818245653182846e-10,4.405234216673983e-10
3,941.8841473755075,0.6358236496946832,3.8739204163650346e-10,3.324892497374275e-10,3.771143995690808e-10,4.455588975127869e-10
4,927.0137936180281,0.7737023136984883,3.8332357844267006e-10,3.26576714238738e-10,3.724373427260673e-10,4.3974802081985115e-10
5,912.1431877107561,0.9140599557728831,3.704893513976957e-10,3.164662421539131e-10,3.6252280881458464e-10,4.160721104409281e-10
6,897.2725265381572,1.056517394691973,3.522196094292933e-10,3.0306144617709643e-10,3.5113488032923446e-10,3.8649257294838603e-10
7,882.4015480213002,1.200972749516894,3.3154977696070854e-10,2.891731684450387e-10,3.3091995966041667e-10,3.6199060403689677e-10
8,867.5303567964003,1.3475120190675405,3.100183432312179e-10,2.719697323268409e-10,3.092667340627794e-10,3.3613906851199626e-10
9,852.6592652163091,1.4962539028284811,2.8519134821668436e-10,2.5100534392716473e-10,2.8381393972783716e-10,3.083867436318262e-10
10,837.7879949747113,1.6472308870137926,2.578237265320952e-10,2.2722053014336234e-10,2.571205785002691e-10,2.7852190881791565e-10
11,822.9164001887356,1.8005751816165532,2.288394483106027e-10,2.0305391138539777e-10,2.2825659997664871e-10,2.496570635980733e-10
12,805.5656263644386,1.9827939680123745,1.97563646945471e-10,1.7606121198351363e-10,1.9578773332014956e-10,2.1681741605887276e-10
13,783.256871457526,2.2224936871622756,1.6208937218245317e-10,1.440292864160426e-10,1.5755905303485565e-10,1.776744619103884e-10
14,758.4695103909143,2.4962949930620897,1.294977657227548e-10,1.1524590652656956e-10,1.2541450598831355e-10,1.4179423864793537e-10
15,733.6809880795391,2.77814138452743,1.0468297460795878e-10,9.118150642032445e-11,1.0061618206250314e-10,1.1106962752976903e-10
16,708.8908488634015,3.067972755313559,8.676734647952306e-11,7.207423774592524e-11,8.417932518827473e-11,9.393445905157064e-11
17,684.1004760822683,3.3661126328894038,7.37735463384209e-11,5.984534041672751e-11,7.292631355031209e-11,8.029098807963003e-11
18,653.1112285285492,3.753393324301299,6.345549021672166e-11,4.998610577119962e-11,6.249876938606714e-11,6.93422887577861e-11
19,615.9205705120047,4.2379797038361025,5.3815629094930464e-11,4.287739627507981e-11,5.167640408097174e-11,5.981056886036246e-11
20,578.7272043823215,4.752775529501931,4.691986446139455e-11,3.785968482379014e-11,4.284627860195652e-11,5.357333869224749e-11
21,541.5297974405477,5.293982624262083,4.198608548058383e-11,3.3484516728549095e-11,3.8415284034472803e-11,4.902905262124626e-11
22,504.3267976709419,5.866525051820845,3.879650355914705e-11,3.215367920622222e-11,3.669151556572961e-11,4.526458750776715e-11
23,467.1182254346348,6.4783499666903825,3.796321485843786e-11,3.246979452480518e-11,3.7193393552978243e-11,4.3443100535979666e-11
24,429.9018516259439,7.130616001171602,3.9293577259960013e-11,3.450444128924538e-11,3.8592009289381805e-11,4.45300114937115e-11
25,392.6748148107893,7.8276962056910495,4.0288962852906943e-11,3.506299272558409e-11,4.002237132192677e-11,4.664649212699645e-11
26,355.4364121658684,8.582381437087088,3.825917170538284e-11,3.252155568894725e-11,3.874542303962709e-11,4.271876079559887e-11
27,312.2568471757569,9.510262026437415,3.362189707529829e-11,2.8446714776714478e-11,3.358783512662547e-11,3.8302814435836193e-11
28,266.2024287155883,10.602168136966553,2.8325295620355744e-11,2.459117212176354e-11,2.7929871386080858e-11,3.1770451532004874e-11
29,226.40807678064118,11.660990898666412,2.3711408411695626e-11,2.1084183539520057e-11,2.3781357122348594e-11,2.6226836100760307e-11
30,192.52002788560424,12.736811932907898,2.1687107782863337e-11,1.8559194258928885e-11,2.1789904746389607e-11,2.447507510786722e-11
31,163.6614990234374,13.78656633117675,2.339669565780882e-11,2.0034907139914343e-11,2.3742503819160965e-11,2.6194867480593726e-11
32,139.11500549316403,14.787671064298221,2.9412892220424906e-11,2.631825717365843e-11,2.967211617067284e-11,3.2714566926923074e-11
33,118.25,15.906170270258151,3.9659474362294047e-11,3.708753647461677e-11,4.0207180319850784e-11,4.1885341139147394e-11
34,100.51435089111324,17.24273064490245,5.5177337150189275e-11,5.445764973902439e-11,5.499690114207511e-11,5.585685711218785e-11
35,85.43901824951189,18.813372559902348,7.812737042674536e-11,7.710491957409686e-11,7.822652747810948e-11,7.908610283441528e-11
36,72.55786132812501,20.65052603534648,1.085883429105184e-10,1.0661587872209837e-10,1.0877067390597658e-10,1.1071150745316152e-10
37,61.495662689209006,22.74331462627693,1.412358797171285e-10,1.4010463970836468e-10,1.411220052573057e-10,1.425329121610396e-10
38,52.015911102294844,24.86505040859316,1.6839260886566951e-10,1.6665395374965729e-10,1.6888756442799903e-10,1.701174096928667e-10
39,43.90966415405282,27.052485734519244,1.913559787677866e-10,1.8881749969340872e-10,1.919179816899958e-10,1.9368473837627544e-10
40,36.9927101135254,29.32647120258809,2.1164925336010643e-10,2.1111279573856294e-10,2.1279325253993277e-10,2.1347429893171094e-10
41,31.08891105651863,31.748905700260213,2.3062229340547243e-10,2.2909744149438585e-10,2.317439983869568e-10,2.3224448104780004e-10
42,26.049108505249027,34.31199278898532,2.4917017130239935e-10,2.477366687592856e-10,2.501926769500089e-10,2.508548411246394e-10
43,21.76100349426269,37.02114906529215,2.6773095895292216e-10,2.657523264588285e-10,2.6792991257545154e-10,2.695276014922535e-10
44,18.124349594116172,40.00166859906441,2.833243561214458e-10,2.7922746148585594e-10,2.8273511159140087e-10,2.8683558426516117e-10
45,15.05025005340576,43.13537659190267,2.927056902441788e-10,2.882452726189824e-10,2.932084074690509e-10,2.965813344418186e-10
46,12.460150718688988,46.41231625206779,2.935838087040544e-10,2.83911318711721e-10,2.9571136432825736e-10,3.034120036461585e-10
47,10.284920692443848,49.82768019095182,2.8207316413738796e-10,2.727836059500186e-10,2.8471321587705996e-10,2.922933136702338e-10
48,8.45639133453367,53.56635280817698,2.542538572552719e-10,2.451160002305252e-10,2.595877860366611e-10,2.6412516231374137e-10
49,6.9183211326599094,57.94668908538693,2.1791187251726734e-10,2.0928878957346152e-10,2.198253578180605e-10,2.298017651176305e-10
50,5.631801128387452,62.66958728955136,1.8283049300753329e-10,1.7387822846763912e-10,1.8437380776879163e-10,1.9335600140072633e-10
51,4.561686038970957,67.91525438663359,1.6017412679459116e-10,1.5309331040636248e-10,1.6127453430855387e-10,1.6858891440786005e-10
52,3.6765010356903076,73.3631121633128,1.5142205133034922e-10,1.469458771436148e-10,1.5146624212151264e-10,1.5578876156177706e-10
53,2.948321104049681,79.34230382171329,1.4902483409369602e-10,1.464014526585916e-10,1.4868846797932188e-10,1.5164261389948593e-10
54,2.352590560913084,86.018857705306,1.4784072869795226e-10,1.4628723489686415e-10,1.4789454378195763e-10,1.4966820383829827e-10
55,1.867879986762998,93.22960225320968,1.4690970958089063e-10,1.4559910844179093e-10,1.469332334286482e-10,1.4784335630474084e-10
56,1.475649952888488,100.60502256166222,1.4553454235045126e-10,1.4451873925135626e-10,1.4539869784199457e-10,1.4639001487993948e-10
57,1.159975051879883,107.73082344928824,1.440668233734744e-10,1.429937773727615e-10,1.4396938887791408e-10,1.4486469103416024e-10
58,0.9072870612144474,113.85502993179693,1.4564121970874992e-10,1.4401892441396973e-10,1.4551748152753037e-10,1.4710986384333987e-10
59,0.705956518650055,119.50150429056178,1.613237931343159e-10,1.568890067553951e-10,1.6219307922441757e-10,1.6641698415610795e-10
60,0.5462926030159002,124.26019209911512,2.0762586018838713e-10,1.957586724640879e-10,2.079955978337915e-10,2.2240690344743935e-10
61,0.4204235970973968,129.0678850820543,2.368118538814219e-10,2.2182562019668786e-10,2.3683974130967704e-10,2.520668428274388e-10
62,0.3217835724353792,134.07248354606006,1.6876723830569643e-10,1.480744379837836e-10,1.6484596137474915e-10,1.8737477132743463e-10
63,0.24493755400180758,139.49182341933508,8.709574885773057e-11,7.04203144771331e-11,8.287870994735246e-11,1.0738827806010272e-10
64,0.18542200326919586,145.53657974798668,4.4486797830623085e-11,3.191083551361728e-11,3.936211628822958e-11,5.411859144365369e-11
65,0.13959898054599765,151.93939327345697,2.5118260285699107e-11,1.5705340126268947e-11,2.0644313825989053e-11,2.9982307759331475e-11
66,0.10452400892972945,158.88929696286775,1.4442019695312227e-11,8.31307954497768e-12,1.1471019392437995e-11,1.6479033452190992e-11
67,0.07767251133918768,165.48256960765983,7.746680176101051e-12,4.8849226080900865e-12,6.612245569208895e-12,9.19436731490078e-12
68,0.056792508810758584,171.42659336444058,4.314314305416144e-12,3.1339428505579453e-12,4.19684203911585e-12,5.251022768863637e-12
69,0.04014250636100761,177.6333305500759,2.6722343577223335e-12,2.072867182534954e-12,2.5029682845999767e-12,3.2000595820848203e-12
70,0.02635000087320806,187.62940859763327,1.3739768395859703e-12,1.0940638001103741e-12,1.2557120505476072e-12,1.7283173699202812e-12
71,0.014999999664723887,209.86898406193973,3.7731110826442715e-13,2.883858671624839e-13,3.435067622092804e-13,4.915303512229822e-13
