lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,3.948850101725796e+17,2.290632300636479e+16,1.1117170561507342e+17,6.532964629154102e+17
1,971.6244310048473,0.36625663400749947,4.0570227622673005e+17,2.6360586133894772e+16,1.15552796573944e+17,6.637987412303823e+17
2,956.7542402749618,0.5001096160252074,4.5651014977069715e+17,3.223830337258703e+16,1.349580715899863e+17,7.268322803800056e+17
3,941.8841473755075,0.6358236496946832,5.518672815588093e+17,3.993098691555453e+16,1.584344966828352e+17,7.570092063847368e+17
4,927.0137936180281,0.7737023136984883,6.106910194711613e+17,4.65363048991163e+16,1.7917867060174618e+17,8.18081240208253e+17
5,912.1431877107561,0.9140599557728831,5.5164756526983936e+17,4.814006649707128e+16,1.6213777793372624e+17,8.277917588192465e+17
6,897.2725265381572,1.056517394691973,5.207032997774021e+17,5.058397904064179e+16,1.6807696730832768e+17,7.455762499331483e+17
7,882.4015480213002,1.200972749516894,5.2384032405679885e+17,5.326867505916243e+16,1.642720372514584e+17,7.70108698890613e+17
8,867.5303567964003,1.3475120190675405,5.4757333285078605e+17,6.706284730032835e+16,2.0152551423890618e+17,7.846410997562945e+17
9,852.6592652163091,1.4962539028284811,5.234148627845809e+17,8.17426446349295e+16,2.0995201547342525e+17,7.45934545989808e+17
10,837.7879949747113,1.6472308870137926,5.746631658450711e+17,9.906972922162096e+16,2.338861256597821e+17,8.153907102400623e+17
11,822.9164001887356,1.8005751816165532,6.58486499514618e+17,1.2177343924384336e+17,2.928315766634885e+17,9.385122689460398e+17
12,805.5656263644386,1.9827939680123745,6.476474593124384e+17,1.39759216722106e+17,3.0243781427634906e+17,9.625583034472736e+17
13,783.256871457526,2.2224936871622756,5.817543003374638e+17,1.519074748593602e+17,3.085925239423352e+17,7.75079872666723e+17
14,758.4695103909143,2.4962949930620897,4.9718801289391475e+17,1.444943678239708e+17,2.708773975079531e+17,5.941828932602186e+17
15,733.6809880795391,2.77814138452743,4.2449701951192826e+17,1.299204538203608e+17,2.6422070979126832e+17,5.116412720591264e+17
16,708.8908488634015,3.067972755313559,3.838984647134665e+17,1.3389264044700427e+17,2.5202521829320202e+17,4.794171106954833e+17
17,684.1004760822683,3.3661126328894038,3.5727854569753363e+17,1.477533289396781e+17,2.374355011795784e+17,4.086933417132941e+17
18,653.1112285285492,3.753393324301299,3.701940480602759e+17,1.5230748056908627e+17,2.556048636363212e+17,3.9059129410598694e+17
19,615.9205705120047,4.2379797038361025,4.083487822216596e+17,1.7126301785394454e+17,2.934167968395805e+17,4.940343597598975e+17
20,578.7272043823215,4.752775529501931,4.2775786115703955e+17,2.1193163665835658e+17,3.3182981078472384e+17,5.512548477062515e+17
21,541.5297974405477,5.293982624262083,4.9073488237958464e+17,2.361058922871638e+17,3.891646220417636e+17,6.671761477969661e+17
22,504.3267976709419,5.866525051820845,6.825571128290158e+17,2.991832763573663e+17,4.831581231191273e+17,9.139230674137482e+17
23,467.1182254346348,6.4783499666903825,9.387108313710181e+17,4.05594738106995e+17,6.750794486809014e+17,1.2663714187693489e+18
24,429.9018516259439,7.130616001171602,1.2170475604798054e+18,4.9310323096681197e+17,9.956502973580662e+17,1.7295195681216102e+18
25,392.6748148107893,7.8276962056910495,1.7255354043645558e+18,5.946750627230784e+17,1.2760489242739438e+18,2.654647067214037e+18
26,355.4364121658684,8.582381437087088,2.505567471635417e+18,7.47893148690065e+17,1.3808794452604014e+18,3.6140815418710866e+18
27,312.2568471757569,9.510262026437415,3.544245507082272e+18,9.919812830369948e+17,1.713803429159483e+18,4.799448939334508e+18
28,266.2024287155883,10.602168136966553,5.719646900900341e+18,1.2226676677576704e+18,2.69701802164519e+18,9.021279023906737e+18
29,226.40807678064118,11.660990898666412,1.0718632677086603e+19,1.2456840097846917e+18,4.054482297281588e+18,1.8246217932592239e+19
30,192.52002788560424,12.736811932907898,9.52367027573988e+18,6.938671763151334e+17,3.4925458004027935e+18,1.771406650455783e+19
31,163.6614990234374,13.78656633117675,7.325084370270314e+18,2.0878893265623347e+17,1.946336271950791e+18,1.3078267655474651e+19
32,139.11500549316403,14.787671064298221,6.545356330750641e+18,5.91285395304759e+16,6.407872936516257e+17,7.538448887434471e+18
33,118.25,15.906170270258151,2.550082436153477e+18,3.2446381157572504e+16,1.1824918682347405e+17,3.3615390481455155e+18
34,100.51435089111324,17.24273064490245,5.4174736286295245e+17,2.4774328735560416e+16,3.6778359913537304e+16,9.658457043068723e+17
35,85.43901824951189,18.813372559902348,8.05696714321225e+16,1.8743121379657444e+16,2.2837342253041336e+16,1.0376668492464205e+17
36,72.55786132812501,20.65052603534648,1.6204824688656378e+16,9214298994195644.0,1.3301561883586228e+16,2.0094645070380884e+16
37,61.495662689209006,22.74331462627693,8051733424011523.0,3578743850678671.5,5169091648318025.0,1.307261471047338e+16
38,52.015911102294844,24.86505040859316,7167029571176551.0,3637304916937011.0,4537989241013826.0,1.0791664592793392e+16
39,43.90966415405282,27.052485734519244,4229289129053718.0,3125784345478512.0,3973503703273294.0,5151597397870075.0
40,36.9927101135254,29.32647120258809,1396242098270644.5,1103462675475329.5,1301361496563450.5,1693663158282779.8
41,31.08891105651863,31.748905700260213,514233763455489.5,323987859446972.44,475233194326995.94,689417370648232.5
42,26.049108505249027,34.31199278898532,763817167766075.1,180018695362621.84,545725446409022.8,1455552846580844.2
43,21.76100349426269,37.02114906529215,697699750407404.4,184622559938191.16,318587341030558.6,1457237970876127.2
44,18.124349594116172,40.00166859906441,765366007023870.4,619998101878094.2,736437073436330.0,849965265310372.5
45,15.05025005340576,43.13537659190267,2126569044480926.5,1658725633966924.5,2149514821136076.5,2657653052616793.0
46,12.460150718688988,46.41231625206779,4917625749815998.0,3245928470703867.5,5314792758858388.0,6321914445716041.0
47,10.284920692443848,49.82768019095182,1.1809813211776676e+16,8471882159010986.0,1.0630901968730104e+16,1.4773436317073224e+16
48,8.45639133453367,53.56635280817698,3.0715923708688036e+16,2.52558027466208e+16,2.759904273206289e+16,3.682974199511972e+16
49,6.9183211326599094,57.94668908538693,7.559958511077106e+16,6.236476662022423e+16,7.21988655990127e+16,8.79907898984251e+16
50,5.631801128387452,62.66958728955136,1.5550046117814154e+17,1.2367023561657682e+17,1.5294023251834192e+17,1.7736859224634422e+17
51,4.561686038970957,67.91525438663359,2.914446398795406e+17,2.3713005766640176e+17,2.865302913229301e+17,3.2954376014911066e+17
52,3.6765010356903076,73.3631121633128,5.460835899013353e+17,4.5476653867362944e+17,5.3896741919398426e+17,6.456760582771988e+17
53,2.948321104049681,79.34230382171329,1.0527252675236986e+18,8.348966679327684e+17,1.045976814161151e+18,1.242226615754896e+18
54,2.352590560913084,86.018857705306,1.9578672366447153e+18,1.6687655869405742e+18,1.9462442831013632e+18,2.1560267461439857e+18
55,1.867879986762998,93.22960225320968,3.420414710071734e+18,2.98678069680193e+18,3.2698741058173194e+18,3.6281678257943194e+18
56,1.475649952888488,100.60502256166222,5.848441134278075e+18,4.819311435282829e+18,5.354950760295335e+18,6.287535576574924e+18
57,1.159975051879883,107.73082344928824,9.963594784217133e+18,8.229903397378727e+18,9.169376277623084e+18,1.1397871867204383e+19
58,0.9072870612144474,113.85502993179693,1.6645892754226743e+19,1.401860210159767e+19,1.6474187372685455e+19,1.9068497562819035e+19
59,0.705956518650055,119.50150429056178,3.080777895526646e+19,2.513592922648376e+19,3.0171076246886638e+19,3.4547250420562166e+19
