lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,5.3552833607359e+18,4.905357925257832e+18,5.213894493724234e+18,5.928195136106557e+18
1,971.6244310048473,0.36625663400749947,5.234997802787544e+18,4.829603667439952e+18,5.0313445102266e+18,5.897804604125481e+18
2,956.7542402749618,0.5001096160252074,5.248262153346393e+18,4.794471480144597e+18,4.965345215747381e+18,5.904918798681082e+18
3,941.8841473755075,0.6358236496946832,5.221267030942152e+18,4.687106317730384e+18,4.916833810333688e+18,5.91148298602641e+18
4,927.0137936180281,0.7737023136984883,5.133569746318805e+18,4.56363677891312e+18,4.846294606764004e+18,5.832902819323957e+18
5,912.1431877107561,0.9140599557728831,4.986592816425445e+18,4.4031584383335316e+18,4.785303231268343e+18,5.671487654882743e+18
6,897.2725265381572,1.056517394691973,4.808040431000253e+18,4.2078758104490045e+18,4.645916993033091e+18,5.490925736829476e+18
7,882.4015480213002,1.200972749516894,4.6097713107729807e+18,4.0093867351029724e+18,4.465817518125667e+18,5.279990642111953e+18
8,867.5303567964003,1.3475120190675405,4.381143547144272e+18,3.7789758422763274e+18,4.2895093816858783e+18,5.017016687203584e+18
9,852.6592652163091,1.4962539028284811,4.1109140688015017e+18,3.527870721303294e+18,4.027937861340014e+18,4.705553373243681e+18
10,837.7879949747113,1.6472308870137926,3.8105430187362396e+18,3.2568424287963085e+18,3.7039414362143805e+18,4.387302662148967e+18
11,822.9164001887356,1.8005751816165532,3.5063511277130563e+18,2.962890591406743e+18,3.386830965378609e+18,4.0686393061109125e+18
12,805.5656263644386,1.9827939680123745,3.199657393445447e+18,2.677910557361019e+18,3.08170748954039e+18,3.7497809557057546e+18
13,783.256871457526,2.2224936871622756,2.8652941228457303e+18,2.388877587513888e+18,2.74590486885208e+18,3.3735386945946465e+18
14,758.4695103909143,2.4962949930620897,2.554906972861726e+18,2.1513716868098588e+18,2.4687349419010924e+18,2.962347123359352e+18
15,733.6809880795391,2.77814138452743,2.3243774441686205e+18,1.9796758354444052e+18,2.2812606755238705e+18,2.6396779871895736e+18
16,708.8908488634015,3.067972755313559,2.1744595916101942e+18,1.8659460089715922e+18,2.1654503115720663e+18,2.4575495554995436e+18
17,684.1004760822683,3.3661126328894038,2.0857307754131356e+18,1.7850199687855834e+18,2.0944889958105364e+18,2.338965919015783e+18
18,653.1112285285492,3.753393324301299,2.037080246453245e+18,1.7505730065626068e+18,2.0399021144666465e+18,2.2977474267718625e+18
19,615.9205705120047,4.2379797038361025,2.0243736907704886e+18,1.740070471487047e+18,2.0302798802073068e+18,2.2625788523443407e+18
20,578.7272043823215,4.752775529501931,2.0417665928545902e+18,1.7420153971802716e+18,2.0379816372008755e+18,2.2450110405285673e+18
21,541.5297974405477,5.293982624262083,2.0874099790238036e+18,1.7732304928585288e+18,2.0610153265607767e+18,2.304413179754147e+18
22,504.3267976709419,5.866525051820845,2.1509962928022812e+18,1.8307677325733594e+18,2.0691858432619453e+18,2.448680646469331e+18
23,467.1182254346348,6.4783499666903825,2.2543335475584876e+18,1.9099351402253335e+18,2.1148289948053176e+18,2.6847516981583247e+18
24,429.9018516259439,7.130616001171602,2.425961859827741e+18,2.0156386389021112e+18,2.1791262599656637e+18,3.0176394516659635e+18
25,392.6748148107893,7.8276962056910495,2.635458018948126e+18,2.1382704137509e+18,2.274717301984303e+18,3.458039088092327e+18
26,355.4364121658684,8.582381437087088,2.8050840043091523e+18,2.1581998936369797e+18,2.2578786851902582e+18,3.7304084432777943e+18
27,312.2568471757569,9.510262026437415,2.9085731320672527e+18,2.102410038662448e+18,2.457890687715675e+18,4.024740330924662e+18
28,266.2024287155883,10.602168136966553,2.8910879108897347e+18,2.062370483951746e+18,2.552112865352729e+18,4.0084723009442463e+18
29,226.40807678064118,11.660990898666412,2.8200551985919406e+18,1.954213047164253e+18,2.45788028745055e+18,3.841289029927932e+18
30,192.52002788560424,12.736811932907898,2.7802956589335183e+18,1.902512251274749e+18,2.435414877899804e+18,3.730314732166685e+18
31,163.6614990234374,13.78656633117675,2.851715681328655e+18,2.0398756338188022e+18,2.5471534161726776e+18,3.6973921401243863e+18
32,139.11500549316403,14.787671064298221,2.8918007079595587e+18,2.290246888075009e+18,2.691551911156716e+18,3.505467641744391e+18
33,118.25,15.906170270258151,2.676436116022782e+18,2.4366215772718735e+18,2.610341684513658e+18,2.948123426282388e+18
34,100.51435089111324,17.24273064490245,2.153617121166332e+18,2.0541357420917169e+18,2.1436623839533988e+18,2.2289533089722783e+18
35,85.43901824951189,18.813372559902348,1.4833063168779717e+18,1.42613209780346e+18,1.4712466162185375e+18,1.5083704560465946e+18
36,72.55786132812501,20.65052603534648,1.1551077127965816e+18,1.1295816703008434e+18,1.1470274871190551e+18,1.1900993115035845e+18
37,61.495662689209006,22.74331462627693,1.1399369725192997e+18,1.1282863577423089e+18,1.1425650729184762e+18,1.150779123036804e+18
38,52.015911102294844,24.86505040859316,1.317441343012986e+18,1.3117908072649907e+18,1.315811416286529e+18,1.3210830890545377e+18
39,43.90966415405282,27.052485734519244,1.7533251718592924e+18,1.7131894552048466e+18,1.746525690263344e+18,1.79108045757e+18
40,36.9927101135254,29.32647120258809,2.3571466927086e+18,2.2839497322602883e+18,2.3725539188717036e+18,2.415697970362871e+18
41,31.08891105651863,31.748905700260213,2.9347543533124127e+18,2.8764416564762e+18,2.9423079444897367e+18,2.981021821245922e+18
42,26.049108505249027,34.31199278898532,3.508517743859995e+18,3.4442709762781143e+18,3.5249725207442755e+18,3.593005634859587e+18
43,21.76100349426269,37.02114906529215,4.0535347277162004e+18,3.9282870515532134e+18,4.0157114919746836e+18,4.191320855970319e+18
44,18.124349594116172,40.00166859906441,4.506877448106158e+18,4.400106468061665e+18,4.4776974824404884e+18,4.613245219698338e+18
45,15.05025005340576,43.13537659190267,4.98469583187976e+18,4.893151106349161e+18,4.958079956527399e+18,5.063030356064889e+18
46,12.460150718688988,46.41231625206779,5.5937882816339e+18,5.522715515265737e+18,5.591858633988893e+18,5.652144943620698e+18
47,10.284920692443848,49.82768019095182,6.307452489501879e+18,6.127047410232992e+18,6.279723737401356e+18,6.499217354087041e+18
48,8.45639133453367,53.56635280817698,6.992963142478567e+18,6.802838863893668e+18,6.907586877558213e+18,7.141643047387688e+18
49,6.9183211326599094,57.94668908538693,7.571647983128104e+18,7.382831941412947e+18,7.548318148284322e+18,7.725458825998197e+18
50,5.631801128387452,62.66958728955136,8.052240404368801e+18,7.871792904500325e+18,8.009376505919543e+18,8.239077453011302e+18
51,4.561686038970957,67.91525438663359,8.408076656189252e+18,8.214842794227678e+18,8.375320187041705e+18,8.534333264397326e+18
52,3.6765010356903076,73.3631121633128,8.499793082836677e+18,8.39295870796471e+18,8.490549385116676e+18,8.604841910881491e+18
53,2.948321104049681,79.34230382171329,8.274952684468112e+18,8.155403623286845e+18,8.29293893165399e+18,8.409856895048993e+18
54,2.352590560913084,86.018857705306,7.700722282655842e+18,7.554003752995695e+18,7.774476442617198e+18,7.874164728992336e+18
55,1.867879986762998,93.22960225320968,6.896086150542247e+18,6.837895774116042e+18,6.985256006692995e+18,7.096198700818768e+18
56,1.475649952888488,100.60502256166222,5.793370512614181e+18,5.618848344068477e+18,5.938675664996924e+18,6.107102265765192e+18
57,1.159975051879883,107.73082344928824,4.4637950073172516e+18,4.1293271219369897e+18,4.6071478496891295e+18,4.882487875214753e+18
58,0.9072870612144474,113.85502993179693,3.033076011606e+18,2.6801914490341586e+18,3.097643621376858e+18,3.424170855076779e+18
59,0.705956518650055,119.50150429056178,2.455751211062879e+18,2.0342718789117827e+18,2.4558905751393864e+18,2.878842663602513e+18
60,0.5462926030159002,124.26019209911512,2.1598715686216138e+18,1.7187859978386893e+18,2.1561727654396864e+18,2.4982853730760013e+18
61,0.4204235970973968,129.0678850820543,1.8965969856274506e+18,1.5467119888334868e+18,1.81683857366839e+18,2.1844321528348498e+18
62,0.3217835724353792,134.07248354606006,1.6864255643050516e+18,1.3247899557829873e+18,1.5902440526724127e+18,1.9269904410104648e+18
63,0.24493755400180758,139.49182341933508,1.5511302486006044e+18,1.194070158376075e+18,1.4098651757688586e+18,1.8962586857599465e+18
64,0.18542200326919586,145.53657974798668,1.4389507656750436e+18,1.0853298678149719e+18,1.2428619313099302e+18,1.815730171012677e+18
65,0.13959898054599765,151.93939327345697,1.2905186511257313e+18,9.562255843355241e+17,1.0940784857076178e+18,1.6664626513785846e+18
66,0.10452400892972945,158.88929696286775,1.0901066544359361e+18,7.779518685000082e+17,9.216190289583506e+17,1.4210078081971484e+18
67,0.07767251133918768,165.48256960765983,8.357779946095468e+17,5.706214974107458e+17,7.265671580649206e+17,1.0029136813153878e+18
68,0.056792508810758584,171.42659336444058,5.501821251661665e+17,3.7016817105519494e+17,4.842553576041028e+17,6.435014384060031e+17
69,0.04014250636100761,177.6333305500759,3.509263409996458e+17,2.361251666579707e+17,3.002305416664804e+17,4.385787197109876e+17
70,0.02635000087320806,187.62940859763327,2.5462925832294886e+17,1.5890372708744064e+17,2.649910271656391e+17,3.2923017274054016e+17
71,0.014999999664723887,209.86898406193973,2.0745958311229616e+17,1.378767950993513e+17,2.2674549500112474e+17,2.607315575302474e+17
