lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,8.811264270716009e+18,8.348379590459419e+18,8.915095455844336e+18,9.336650582438347e+18
1,971.6244310048473,0.36625663400749947,8.308806359378234e+18,7.470669217464756e+18,8.261590540630178e+18,8.978112316281696e+18
2,956.7542402749618,0.5001096160252074,8.273086129723951e+18,7.300692418643167e+18,8.113758547491461e+18,9.136536761073883e+18
3,941.8841473755075,0.6358236496946832,8.259908953324962e+18,7.135716731102852e+18,7.976627126086887e+18,9.266953788644133e+18
4,927.0137936180281,0.7737023136984883,8.108194633718506e+18,6.922859285926593e+18,7.865351243621927e+18,9.090239162643854e+18
5,912.1431877107561,0.9140599557728831,7.697364764231385e+18,6.665206760411265e+18,7.581600418203455e+18,8.667633309482364e+18
6,897.2725265381572,1.056517394691973,7.330855939966552e+18,6.309140049022866e+18,7.225322583197345e+18,8.247882412194906e+18
7,882.4015480213002,1.200972749516894,6.992033859915525e+18,6.022549265944152e+18,6.866634047689366e+18,7.798441039895565e+18
8,867.5303567964003,1.3475120190675405,6.662082264488786e+18,5.707832333068696e+18,6.521773134535413e+18,7.381844450463412e+18
9,852.6592652163091,1.4962539028284811,6.24799271276869e+18,5.349582574263866e+18,6.14319866003746e+18,6.868724678198486e+18
10,837.7879949747113,1.6472308870137926,5.90158581222189e+18,5.009576924772297e+18,5.805772404231101e+18,6.475690620783236e+18
11,822.9164001887356,1.8005751816165532,5.586945661074353e+18,4.691386664221157e+18,5.463292811203156e+18,6.11767945545045e+18
12,805.5656263644386,1.9827939680123745,5.156455892439893e+18,4.3487538615183114e+18,5.054504809976832e+18,5.682825362630394e+18
13,783.256871457526,2.2224936871622756,4.633459374635465e+18,3.942942354644725e+18,4.5441209399970294e+18,5.105719323214569e+18
14,758.4695103909143,2.4962949930620897,4.122238819849797e+18,3.4370627461942963e+18,3.931694249783154e+18,4.57716000852957e+18
15,733.6809880795391,2.77814138452743,3.722623465334279e+18,3.1204240054199736e+18,3.5405155678715566e+18,4.116449432437422e+18
16,708.8908488634015,3.067972755313559,3.468905471851884e+18,2.996487584745186e+18,3.2915557323136154e+18,3.887690253210271e+18
17,684.1004760822683,3.3661126328894038,3.3232097688292557e+18,2.9405716149482245e+18,3.17032009304679e+18,3.6597836187146834e+18
18,653.1112285285492,3.753393324301299,3.2797954235144704e+18,2.922964175158901e+18,3.189670185310893e+18,3.553251592006745e+18
19,615.9205705120047,4.2379797038361025,3.3303016485724206e+18,3.0129187270098744e+18,3.2713822165771356e+18,3.5659406441579674e+18
20,578.7272043823215,4.752775529501931,3.436858536811165e+18,3.267696436540054e+18,3.414171345081081e+18,3.6055466834789857e+18
21,541.5297974405477,5.293982624262083,3.668095024262337e+18,3.4920299011885015e+18,3.695628677694086e+18,3.864822155195842e+18
22,504.3267976709419,5.866525051820845,4.100517987506079e+18,3.8124071131019423e+18,4.122145092574671e+18,4.3257154071721856e+18
23,467.1182254346348,6.4783499666903825,4.689826274389902e+18,4.228709670791076e+18,4.6075266497236204e+18,5.148596897023719e+18
24,429.9018516259439,7.130616001171602,5.383942370527343e+18,4.746859770040942e+18,5.23815448313737e+18,5.951358214517619e+18
25,392.6748148107893,7.8276962056910495,6.355627023228601e+18,5.31354597317941e+18,5.94318205510879e+18,7.216441915081609e+18
26,355.4364121658684,8.582381437087088,7.542457912898332e+18,5.503705696874178e+18,6.664908338325014e+18,8.585497341345777e+18
27,312.2568471757569,9.510262026437415,8.872364693119839e+18,5.868983478009984e+18,7.049127147840671e+18,1.036047476819243e+19
28,266.2024287155883,10.602168136966553,1.1184387501172965e+19,6.43087031504467e+18,7.435763036388973e+18,1.4207576662159458e+19
29,226.40807678064118,11.660990898666412,1.6209221875469638e+19,6.386567695067909e+18,8.60567657010678e+18,2.469439447328482e+19
30,192.52002788560424,12.736811932907898,1.4955732604641518e+19,5.998478279161812e+18,7.986096088025626e+18,2.4417312558949376e+19
31,163.6614990234374,13.78656633117675,1.2607801126589737e+19,5.142929871499326e+18,6.172935967087622e+18,1.8965394982004515e+19
32,139.11500549316403,14.787671064298221,1.1466646668986728e+19,4.805658162754296e+18,5.553288689424088e+18,1.1893976918428566e+19
33,118.25,15.906170270258151,6.414948102030684e+18,3.524436523524046e+18,4.0254777588778516e+18,7.136356339930788e+18
34,100.51435089111324,17.24273064490245,3.261870945941201e+18,2.5583604996354903e+18,2.639298884854879e+18,3.8263411759377254e+18
35,85.43901824951189,18.813372559902348,1.867431282556544e+18,1.730956552047979e+18,1.7978207040616294e+18,1.914598110419642e+18
36,72.55786132812501,20.65052603534648,1.4389434670255962e+18,1.3969566449532434e+18,1.4392705120335933e+18,1.4843164334031478e+18
37,61.495662689209006,22.74331462627693,1.4308562989939136e+18,1.408853079822055e+18,1.4255598206006124e+18,1.4583776431796938e+18
38,52.015911102294844,24.86505040859316,1.5899155750461706e+18,1.567101016969952e+18,1.5823967021159245e+18,1.6093161034160602e+18
39,43.90966415405282,27.052485734519244,1.931472146831293e+18,1.8667104703204564e+18,1.9516412760213284e+18,1.9735027956779459e+18
40,36.9927101135254,29.32647120258809,2.451556147497356e+18,2.335408598636647e+18,2.484146256716069e+18,2.539935681514315e+18
41,31.08891105651863,31.748905700260213,3.0291465920024417e+18,2.924899907479273e+18,3.0548494907248753e+18,3.112115456983482e+18
42,26.049108505249027,34.31199278898532,3.671041767406547e+18,3.540540119966754e+18,3.708854230844692e+18,3.8032317384984986e+18
43,21.76100349426269,37.02114906529215,4.367996432919435e+18,4.1514826322950036e+18,4.3136139529311304e+18,4.591686972375558e+18
44,18.124349594116172,40.00166859906441,5.089637371699461e+18,4.938605613301652e+18,4.996262473826226e+18,5.210055367406675e+18
45,15.05025005340576,43.13537659190267,6.049011855379894e+18,5.910567754922028e+18,6.03665739407213e+18,6.128323354857314e+18
46,12.460150718688988,46.41231625206779,7.353055952385418e+18,7.006916152078713e+18,7.423271095111719e+18,7.642427123663915e+18
47,10.284920692443848,49.82768019095182,8.977477041824264e+18,8.441945097981662e+18,8.973717186343819e+18,9.580911159930739e+18
48,8.45639133453367,53.56635280817698,1.1003288863109108e+19,1.0430642852371421e+19,1.0747015850926645e+19,1.1566478026945608e+19
49,6.9183211326599094,57.94668908538693,1.3644730689028407e+19,1.2737705165506638e+19,1.356352981228496e+19,1.4278592907710013e+19
50,5.631801128387452,62.66958728955136,1.7119527852486662e+19,1.5908105098156704e+19,1.6880048969674945e+19,1.8485385454386794e+19
51,4.561686038970957,67.91525438663359,2.1579384092342833e+19,1.9752297997690094e+19,2.1425944553496314e+19,2.3229825657025778e+19
52,3.6765010356903076,73.3631121633128,2.7047421832277606e+19,2.5035835913526714e+19,2.6830781866072998e+19,2.89200588726775e+19
53,2.948321104049681,79.34230382171329,3.3798386769222697e+19,3.1080203825535832e+19,3.333264620830204e+19,3.6229139384127275e+19
54,2.352590560913084,86.018857705306,4.1369008572489376e+19,3.8792366913541956e+19,4.148401228837306e+19,4.355383030589034e+19
55,1.867879986762998,93.22960225320968,4.919321760378382e+19,4.618812542696458e+19,4.871438542247365e+19,5.1094147045318664e+19
56,1.475649952888488,100.60502256166222,5.673707578609664e+19,5.21400236304988e+19,5.467180961216659e+19,5.9975006835555344e+19
57,1.159975051879883,107.73082344928824,6.2553767696943194e+19,5.6603787648368345e+19,6.052789842259431e+19,6.7534725368525005e+19
58,0.9072870612144474,113.85502993179693,6.717333253192729e+19,6.065541566695292e+19,6.63207630458488e+19,7.271926569434941e+19
59,0.705956518650055,119.50150429056178,8.523164200959499e+19,7.735978039457122e+19,8.436159480447854e+19,9.123249627883351e+19
60,0.5462926030159002,124.26019209911512,1.1387389631677191e+20,1.0110346229067887e+20,1.1178463940605549e+20,1.2448804664042344e+20
61,0.4204235970973968,129.0678850820543,1.4593773955831892e+20,1.2859390151400766e+20,1.4637711938316203e+20,1.608602729976042e+20
62,0.3217835724353792,134.07248354606006,1.7459803540201233e+20,1.59076311395345e+20,1.7919431088875828e+20,1.9246238351001977e+20
63,0.24493755400180758,139.49182341933508,1.97906208619723e+20,1.8165282315777314e+20,2.0258991407501168e+20,2.185005926426767e+20
64,0.18542200326919586,145.53657974798668,2.1683764522822805e+20,1.9120894632349814e+20,2.2438701408334696e+20,2.3960464421204315e+20
65,0.13959898054599765,151.93939327345697,2.3611965045005782e+20,2.0797652757512362e+20,2.4766342135860776e+20,2.619938133645533e+20
66,0.10452400892972945,158.88929696286775,2.585290666244456e+20,2.3057080833226467e+20,2.6958395701087365e+20,2.861624241009514e+20
67,0.07767251133918768,165.48256960765983,2.8066810334569277e+20,2.553880888418696e+20,2.8987553533657953e+20,3.0263224124734656e+20
68,0.056792508810758584,171.42659336444058,2.9407693383954815e+20,2.7966375693319904e+20,2.998066762966735e+20,3.116552215076304e+20
69,0.04014250636100761,177.6333305500759,2.847604301919951e+20,2.702696494575724e+20,2.874398090346089e+20,2.980927444141529e+20
70,0.02635000087320806,187.62940859763327,2.546228745509167e+20,2.403527665944521e+20,2.5592343113007183e+20,2.6555775380637752e+20
71,0.014999999664723887,209.86898406193973,2.1489209574147935e+20,2.0406891952846583e+20,2.1768520203470058e+20,2.2624021444431567e+20
