lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,5.7505689960489504e+20,4.675529527215234e+20,5.607509291278295e+20,6.912414476512503e+20
1,971.6244310048473,0.36625663400749947,5.7635599178945174e+20,4.64694389128644e+20,5.6238570289378034e+20,6.974967495776056e+20
2,956.7542402749618,0.5001096160252074,5.883831261667232e+20,4.6075112797442356e+20,5.638328245195098e+20,7.083865821316304e+20
3,941.8841473755075,0.6358236496946832,5.929263211010237e+20,4.538823601162157e+20,5.610955078998163e+20,7.083163385579034e+20
4,927.0137936180281,0.7737023136984883,5.636192334320868e+20,4.3291136108263434e+20,5.3818961002968056e+20,6.739306369940234e+20
5,912.1431877107561,0.9140599557728831,5.074723296155104e+20,4.051278377330981e+20,4.9823209070899436e+20,6.149714722975734e+20
6,897.2725265381572,1.056517394691973,4.596701315855672e+20,3.697083970989775e+20,4.504875283469955e+20,5.4583677852291026e+20
7,882.4015480213002,1.200972749516894,4.178582607420006e+20,3.3813814841181694e+20,4.0935375049147023e+20,4.925876249384866e+20
8,867.5303567964003,1.3475120190675405,3.816401717450685e+20,3.144974009506322e+20,3.738489269463522e+20,4.4285939830652384e+20
9,852.6592652163091,1.4962539028284811,3.465001688011109e+20,2.863524528448013e+20,3.406608936442829e+20,3.999239975749398e+20
10,837.7879949747113,1.6472308870137926,3.129762010355283e+20,2.5996934153647807e+20,3.0750793210478055e+20,3.569678519501032e+20
11,822.9164001887356,1.8005751816165532,2.831731090280199e+20,2.3372318274503144e+20,2.7626372416067977e+20,3.2219193507181625e+20
12,805.5656263644386,1.9827939680123745,2.5546229768352183e+20,2.1287476872608566e+20,2.4599069338501474e+20,2.902610157176487e+20
13,783.256871457526,2.2224936871622756,2.272277474557602e+20,1.915717762796849e+20,2.1885664494031585e+20,2.584635436905806e+20
14,758.4695103909143,2.4962949930620897,1.9981649564324794e+20,1.729811901665789e+20,1.921164670827406e+20,2.2529051297079663e+20
15,733.6809880795391,2.77814138452743,1.7944606973109702e+20,1.5577880427123632e+20,1.775308971558486e+20,1.956851325546912e+20
16,708.8908488634015,3.067972755313559,1.677785840588281e+20,1.4663466809233565e+20,1.65794679931886e+20,1.8613932856513112e+20
17,684.1004760822683,3.3661126328894038,1.6207739877040066e+20,1.4184975920587109e+20,1.5589569162428344e+20,1.8244514369324758e+20
18,653.1112285285492,3.753393324301299,1.5990489246880868e+20,1.3667681183845864e+20,1.543216030061449e+20,1.7847084111899276e+20
19,615.9205705120047,4.2379797038361025,1.5978700397714892e+20,1.3471312731506337e+20,1.5449594154873992e+20,1.801529854573146e+20
20,578.7272043823215,4.752775529501931,1.6165424096344277e+20,1.3176871386956667e+20,1.6160571243943074e+20,1.872942486272187e+20
21,541.5297974405477,5.293982624262083,1.6556219214628097e+20,1.316599994875062e+20,1.7346082397718046e+20,1.9299948858512474e+20
22,504.3267976709419,5.866525051820845,1.721114319761681e+20,1.3592026660356445e+20,1.83118708482245e+20,2.0141308039861872e+20
23,467.1182254346348,6.4783499666903825,1.8264159939946725e+20,1.4503279589263688e+20,1.8848127710052798e+20,2.196615317312781e+20
24,429.9018516259439,7.130616001171602,1.9647425521905048e+20,1.5818611584824374e+20,1.9495649940252918e+20,2.3256667932025704e+20
25,392.6748148107893,7.8276962056910495,2.085430733415849e+20,1.7007761915880597e+20,1.946819270195646e+20,2.4519027677426562e+20
26,355.4364121658684,8.582381437087088,2.1000649890807536e+20,1.6785692723568532e+20,1.90760695535597e+20,2.498076826008603e+20
27,312.2568471757569,9.510262026437415,2.0120628805193325e+20,1.6355998998235814e+20,1.844329342864063e+20,2.4418142272978695e+20
28,266.2024287155883,10.602168136966553,1.8705732982958594e+20,1.581247327050797e+20,1.7052224088174857e+20,2.107016523205046e+20
29,226.40807678064118,11.660990898666412,1.7072071193177276e+20,1.438269624802301e+20,1.644543877605058e+20,1.905699735792381e+20
30,192.52002788560424,12.736811932907898,1.5300715491460894e+20,1.2993286930751749e+20,1.4871952267483172e+20,1.6990052059862424e+20
31,163.6614990234374,13.78656633117675,1.4311126420854918e+20,1.1773891083099333e+20,1.4044613752637155e+20,1.5830458077807935e+20
32,139.11500549316403,14.787671064298221,1.3580985253341386e+20,1.085412370250724e+20,1.282175287660058e+20,1.4486645912010052e+20
33,118.25,15.906170270258151,1.1265325008623842e+20,9.747297450492289e+19,1.0634914732830283e+20,1.1841865160787403e+20
34,100.51435089111324,17.24273064490245,9.676116934799181e+19,9.304460101633874e+19,9.47323626718165e+19,9.91320985722693e+19
35,85.43901824951189,18.813372559902348,1.0860711802697245e+20,1.0214247886453781e+20,1.07245306460779e+20,1.1487302597469043e+20
36,72.55786132812501,20.65052603534648,1.5446924195123777e+20,1.4409718081752469e+20,1.5246010203613607e+20,1.6469599879754662e+20
37,61.495662689209006,22.74331462627693,2.3128509043212812e+20,2.171885772362457e+20,2.2821729857103204e+20,2.4203149576766626e+20
38,52.015911102294844,24.86505040859316,3.2554260280213334e+20,3.0288171597486385e+20,3.243838164948238e+20,3.4068404913677926e+20
39,43.90966415405282,27.052485734519244,4.333480362590225e+20,4.032785502494255e+20,4.392659490516236e+20,4.537280111861558e+20
40,36.9927101135254,29.32647120258809,6.104755822379038e+20,5.723121128571599e+20,6.218303788485677e+20,6.383793458071017e+20
41,31.08891105651863,31.748905700260213,7.911708920234153e+20,7.447254946685482e+20,7.902296597075243e+20,8.312489913711408e+20
42,26.049108505249027,34.31199278898532,9.919767789343636e+20,9.725183235291304e+20,9.986056416659033e+20,1.015219309113303e+21
43,21.76100349426269,37.02114906529215,1.1913150921569332e+21,1.1483051415684076e+21,1.196898486335169e+21,1.2356989252281479e+21
44,18.124349594116172,40.00166859906441,1.4082863409180152e+21,1.2823824424751066e+21,1.431612842001397e+21,1.488065670036863e+21
45,15.05025005340576,43.13537659190267,1.6813533491532585e+21,1.5253234941413383e+21,1.6998123417570362e+21,1.795397563807796e+21
46,12.460150718688988,46.41231625206779,2.0621909926016613e+21,1.8893590050436814e+21,2.0866736217698248e+21,2.2088376149252154e+21
47,10.284920692443848,49.82768019095182,2.4863505975370863e+21,2.3130820824992535e+21,2.515754184708822e+21,2.662375167191903e+21
48,8.45639133453367,53.56635280817698,2.9141242979314806e+21,2.741515126989379e+21,2.9310108363822617e+21,3.101491410758305e+21
49,6.9183211326599094,57.94668908538693,3.434224663669963e+21,3.280450161593627e+21,3.445846993665859e+21,3.5688612322576695e+21
50,5.631801128387452,62.66958728955136,4.116204151168015e+21,3.946365704466417e+21,4.1203506199813046e+21,4.3000857656614e+21
51,4.561686038970957,67.91525438663359,4.972523263093968e+21,4.733755138097155e+21,4.968050675214394e+21,5.181987791492138e+21
52,3.6765010356903076,73.3631121633128,5.853786504345454e+21,5.622996823666855e+21,5.829690735643637e+21,6.129407404860816e+21
53,2.948321104049681,79.34230382171329,6.682300264949769e+21,6.454714708115181e+21,6.65998926030095e+21,6.973079231493095e+21
54,2.352590560913084,86.018857705306,7.348521498787697e+21,7.149626105363478e+21,7.33552470409349e+21,7.576530671350581e+21
55,1.867879986762998,93.22960225320968,7.777283469962873e+21,7.588531183841514e+21,7.792392871474579e+21,7.934965056042941e+21
56,1.475649952888488,100.60502256166222,7.785387647576788e+21,7.652914936610504e+21,7.777431579737395e+21,7.907908835934825e+21
57,1.159975051879883,107.73082344928824,7.218624973101553e+21,7.104356047903344e+21,7.200929867758496e+21,7.328135791455276e+21
58,0.9072870612144474,113.85502993179693,6.035400607369607e+21,5.880752829781363e+21,6.064170849265376e+21,6.186133299171316e+21
59,0.705956518650055,119.50150429056178,5.584312781078241e+21,5.38402744176885e+21,5.604695757017793e+21,5.809144262246279e+21
60,0.5462926030159002,124.26019209911512,5.318129514056055e+21,5.134178220877601e+21,5.334842555584653e+21,5.54931358942521e+21
61,0.4204235970973968,129.0678850820543,4.9987094320105e+21,4.802159665998568e+21,4.994202337182966e+21,5.222214831420272e+21
62,0.3217835724353792,134.07248354606006,4.665764948544821e+21,4.41931000139647e+21,4.626831139582235e+21,4.887280856126071e+21
63,0.24493755400180758,139.49182341933508,4.389029621129272e+21,4.121081572132807e+21,4.3302978682801074e+21,4.617576960698242e+21
64,0.18542200326919586,145.53657974798668,4.16502714434603e+21,3.8564666231281015e+21,4.054168547444328e+21,4.5338043980717233e+21
65,0.13959898054599765,151.93939327345697,3.931689481746586e+21,3.58190190282472e+21,3.752147877309683e+21,4.3332696269543356e+21
66,0.10452400892972945,158.88929696286775,3.650439824398044e+21,3.270952817913398e+21,3.4959058921213877e+21,4.0440310535345034e+21
67,0.07767251133918768,165.48256960765983,3.3842671032679263e+21,3.0836635866308883e+21,3.2588162429351813e+21,3.7415568160454004e+21
68,0.056792508810758584,171.42659336444058,3.263514008799513e+21,2.9929143874646106e+21,3.1678358162995203e+21,3.499327802027644e+21
69,0.04014250636100761,177.6333305500759,3.5031590934100716e+21,3.2843557606168094e+21,3.486572808267629e+21,3.6957354303873593e+21
70,0.02635000087320806,187.62940859763327,4.065691833089552e+21,3.8595394158413165e+21,4.055843810281202e+21,4.3376486728667145e+21
71,0.014999999664723887,209.86898406193973,4.869084957308038e+21,4.5282524366210644e+21,4.840802756770433e+21,5.128638669150104e+21
