lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,8.015549486589859e+17,6.771677742931704e+16,2.4258019297616106e+17,1.2518869213249352e+18
1,971.6244310048473,0.36625663400749947,8.253690641942688e+17,7.127493209589803e+16,2.4935645847216115e+17,1.280654389093611e+18
2,956.7542402749618,0.5001096160252074,9.256928566221407e+17,8.726629348516147e+16,3.134490716588643e+17,1.4031762055908767e+18
3,941.8841473755075,0.6358236496946832,1.1018078768757827e+18,1.0694999892871189e+17,3.731672265133334e+17,1.5775969681614523e+18
4,927.0137936180281,0.7737023136984883,1.1844154017960998e+18,1.2474156698793334e+17,4.2641635570618406e+17,1.7212192895143852e+18
5,912.1431877107561,0.9140599557728831,1.0289725534086738e+18,1.2908621947297333e+17,3.849348615024484e+17,1.5451962250410337e+18
6,897.2725265381572,1.056517394691973,9.402505585156929e+17,1.2858185986796435e+17,3.71597441052667e+17,1.4572676914187018e+18
7,882.4015480213002,1.200972749516894,9.161120854464876e+17,1.325111591218366e+17,3.612785727610963e+17,1.4294921092414134e+18
8,867.5303567964003,1.3475120190675405,9.08279757842352e+17,1.6464055014842394e+17,4.2771711809303104e+17,1.37456811800875e+18
9,852.6592652163091,1.4962539028284811,8.57118781782053e+17,1.8087010440394102e+17,4.566182886502022e+17,1.2824426422761114e+18
10,837.7879949747113,1.6472308870137926,9.251756923937024e+17,2.1159054715581162e+17,4.9576670852012045e+17,1.310705326670035e+18
11,822.9164001887356,1.8005751816165532,1.0176979650458673e+18,2.4819048312060144e+17,5.671122040095816e+17,1.4998684490280054e+18
12,805.5656263644386,1.9827939680123745,9.73797835653969e+17,2.7123144044242963e+17,5.78963033602025e+17,1.4058708316509588e+18
13,783.256871457526,2.2224936871622756,8.587233500477692e+17,2.8404586260415014e+17,5.455087836924897e+17,1.1106504070556596e+18
14,758.4695103909143,2.4962949930620897,6.99727705518541e+17,2.5630553775480474e+17,4.1997951802260666e+17,8.361908811980585e+17
15,733.6809880795391,2.77814138452743,5.303557699307151e+17,2.1956272689036166e+17,3.707435197258207e+17,6.767337141504364e+17
16,708.8908488634015,3.067972755313559,4.4128813793094176e+17,2.1582408194168422e+17,3.2320728186930906e+17,5.1495436753188397e+17
17,684.1004760822683,3.3661126328894038,3.8741938445778694e+17,2.0457533918430288e+17,2.8035755232778227e+17,4.252411513051454e+17
18,653.1112285285492,3.753393324301299,3.774152925690584e+17,1.858189426074267e+17,2.73661855230798e+17,4.013922975066729e+17
19,615.9205705120047,4.2379797038361025,3.7705480497751814e+17,1.936645547089465e+17,2.8644301028043302e+17,4.570003384488224e+17
20,578.7272043823215,4.752775529501931,3.726436491184195e+17,2.190201365649638e+17,3.175143000755427e+17,4.739702342498316e+17
21,541.5297974405477,5.293982624262083,4.2419346107932166e+17,2.1787423028983024e+17,3.386803501602832e+17,5.3967139305720845e+17
22,504.3267976709419,5.866525051820845,5.736298993068102e+17,2.6114069080685194e+17,4.147900458344599e+17,7.039240188244681e+17
23,467.1182254346348,6.4783499666903825,7.500236567508861e+17,2.8600047105825786e+17,5.443340043341426e+17,1.0137775718188972e+18
24,429.9018516259439,7.130616001171602,9.86108950712495e+17,3.223231978237019e+17,7.267054112595497e+17,1.3750115898564905e+18
25,392.6748148107893,7.8276962056910495,1.5061360735029368e+18,3.964470936072056e+17,9.62795151996867e+17,2.3326327918195036e+18
26,355.4364121658684,8.582381437087088,2.381583301131727e+18,5.037075568874512e+17,1.0371792457860442e+18,3.4360791294216806e+18
27,312.2568471757569,9.510262026437415,3.7841773050558956e+18,6.62319796079415e+17,1.206637240702317e+18,5.687895383650329e+18
28,266.2024287155883,10.602168136966553,5.823964253549701e+18,7.331122906544447e+17,2.3405143420366904e+18,8.683255078594017e+18
29,226.40807678064118,11.660990898666412,8.050572283033993e+18,5.979808846982828e+17,3.0431143827430323e+18,1.3401156385814774e+19
30,192.52002788560424,12.736811932907898,7.98350565872522e+18,3.8444681795261504e+17,2.7324752166887235e+18,1.521183770060474e+19
31,163.6614990234374,13.78656633117675,6.770657924049814e+18,2.055636493954341e+17,1.2255682317587446e+18,1.249557765580034e+19
32,139.11500549316403,14.787671064298221,6.000808867748995e+18,8.447424062161227e+16,3.631216643403904e+17,7.833322328622796e+18
33,118.25,15.906170270258151,2.514465336697458e+18,6.514500765054781e+16,1.6168590556229814e+17,4.0061602252444047e+18
34,100.51435089111324,17.24273064490245,6.5332362513849e+17,4.796822561625554e+16,6.317419433952314e+16,1.2509204364101714e+18
35,85.43901824951189,18.813372559902348,1.0048074177498622e+17,2.1716079068088044e+16,2.921888965353204e+16,1.393238711495753e+17
36,72.55786132812501,20.65052603534648,2.43802999432251e+16,1.3242260434102364e+16,1.8503380656074584e+16,2.420902897473008e+16
37,61.495662689209006,22.74331462627693,2.325078460359989e+16,1.079540954818036e+16,1.383606819456184e+16,3.7933540436150136e+16
38,52.015911102294844,24.86505040859316,2.4684343955448224e+16,1.3555442693884856e+16,1.6914756436245512e+16,3.5823662749614644e+16
39,43.90966415405282,27.052485734519244,1.645145176395455e+16,1.1952884341346898e+16,1.5942959818842084e+16,2.0532787863898732e+16
40,36.9927101135254,29.32647120258809,6193268095098081.0,4701648811850427.0,5989612768475522.0,7615459373948472.0
41,31.08891105651863,31.748905700260213,2685975713262795.5,1588694879337383.5,2516063801163121.0,3668720416967730.0
42,26.049108505249027,34.31199278898532,4302345006917307.0,962103454327810.0,3062053853826976.0,8236779322862324.0
43,21.76100349426269,37.02114906529215,3967588334692734.5,1034545647291517.0,1814240955158889.5,8250496999030834.0
44,18.124349594116172,40.00166859906441,4355700429119618.5,3553786628479171.5,4204592290929596.0,4762521948996627.0
45,15.05025005340576,43.13537659190267,1.2236319582948188e+16,9515885178083960.0,1.2389403838527894e+16,1.5237756569484312e+16
46,12.460150718688988,46.41231625206779,2.8448148107143188e+16,1.8939051119205988e+16,3.067420254740307e+16,3.640407956973026e+16
47,10.284920692443848,49.82768019095182,6.907396609493269e+16,4.973563606633712e+16,6.173386765211323e+16,8.66334679313639e+16
48,8.45639133453367,53.56635280817698,1.7995011253341606e+17,1.482773595905012e+17,1.616806360605213e+17,2.1556295984358486e+17
49,6.9183211326599094,57.94668908538693,4.4076779011779904e+17,3.6397854211470816e+17,4.2121028491063654e+17,5.119583035414738e+17
50,5.631801128387452,62.66958728955136,9.002899075075287e+17,7.177992953532945e+17,8.870036726062694e+17,1.0251149183585416e+18
51,4.561686038970957,67.91525438663359,1.668350485382311e+18,1.3607320568318886e+18,1.639963028164304e+18,1.882647049029313e+18
52,3.6765010356903076,73.3631121633128,3.0937310439231703e+18,2.579460595861123e+18,3.07659010072231e+18,3.6389133863374996e+18
53,2.948321104049681,79.34230382171329,5.871339802374647e+18,4.680170691368166e+18,5.831419777581305e+18,6.891260744287421e+18
54,2.352590560913084,86.018857705306,1.0751270623416273e+19,9.213246882650206e+18,1.0718765639915786e+19,1.1844310781674818e+19
55,1.867879986762998,93.22960225320968,1.8342919939638841e+19,1.6081794900523575e+19,1.759614123451383e+19,1.9519320166158217e+19
56,1.475649952888488,100.60502256166222,3.0063172052940935e+19,2.476681676921664e+19,2.7605174474807157e+19,3.2273129940059054e+19
57,1.159975051879883,107.73082344928824,4.763881660657963e+19,3.883387659016841e+19,4.3948371992209424e+19,5.431401464655281e+19
58,0.9072870612144474,113.85502993179693,7.122868339789514e+19,6.139351688470181e+19,7.009144191755431e+19,8.0644245429664e+19
59,0.705956518650055,119.50150429056178,1.1327745147674275e+20,9.337310848687695e+19,1.1147237999326092e+20,1.268183634080694e+20
60,0.5462926030159002,124.26019209911512,1.720049426812773e+20,1.4236961075777233e+20,1.6583089523977418e+20,1.959345238259126e+20
61,0.4204235970973968,129.0678850820543,2.3382760027468264e+20,1.9924925324212296e+20,2.3339004336807084e+20,2.656244999390464e+20
62,0.3217835724353792,134.07248354606006,2.8668273137312403e+20,2.558738950439988e+20,2.950502934399265e+20,3.227556823213553e+20
63,0.24493755400180758,139.49182341933508,3.2756792377031826e+20,2.971284698565718e+20,3.3808262974592745e+20,3.671856476291467e+20
64,0.18542200326919586,145.53657974798668,3.604669787655604e+20,3.122083418609999e+20,3.762184941156911e+20,4.039203067802535e+20
65,0.13959898054599765,151.93939327345697,3.9512656032316306e+20,3.4183179937712026e+20,4.1774138941453874e+20,4.439002950025818e+20
66,0.10452400892972945,158.88929696286775,4.3703418536953584e+20,3.852726748688256e+20,4.5724588252732745e+20,4.887186428457095e+20
67,0.07767251133918768,165.48256960765983,4.7992018128989985e+20,4.34360094145654e+20,4.9737279639706416e+20,5.2100350007699485e+20
68,0.056792508810758584,171.42659336444058,5.087535053864406e+20,4.815698474549731e+20,5.2011727227892964e+20,5.425995349914135e+20
69,0.04014250636100761,177.6333305500759,4.965220780976126e+20,4.671673596783719e+20,5.004536834782631e+20,5.2439119168021955e+20
70,0.02635000087320806,187.62940859763327,4.4579291732783255e+20,4.160797743073221e+20,4.457585329778416e+20,4.6983187126369885e+20
71,0.014999999664723887,209.86898406193973,3.7089926340644995e+20,3.4697162640957624e+20,3.737041496080343e+20,4.011554114836027e+20
