lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.7280863991181716e+22,1.3656241948740723e+22,1.5862492877900686e+22,2.1168485481929513e+22
1,971.6244310048473,0.36625663400749947,1.720159935662301e+22,1.3388124922541509e+22,1.6181736505860331e+22,2.110686680887914e+22
2,956.7542402749618,0.5001096160252074,1.740042151907163e+22,1.3416388288433434e+22,1.6736323092636406e+22,2.1486895632802757e+22
3,941.8841473755075,0.6358236496946832,1.7298174822325246e+22,1.3141448137769564e+22,1.6346903437781703e+22,2.1312900379909166e+22
4,927.0137936180281,0.7737023136984883,1.6745212805323285e+22,1.2711194814529065e+22,1.5574631104851936e+22,2.0799185615819654e+22
5,912.1431877107561,0.9140599557728831,1.5645669539694376e+22,1.2275958085143e+22,1.472090887860763e+22,1.9212048336926353e+22
6,897.2725265381572,1.056517394691973,1.428381662036277e+22,1.139153952617549e+22,1.3974283427568188e+22,1.6856208976427312e+22
7,882.4015480213002,1.200972749516894,1.3000804794681797e+22,1.0562833604220312e+22,1.3038631124894852e+22,1.5024561105683807e+22
8,867.5303567964003,1.3475120190675405,1.1827822759141423e+22,9.782290831691804e+21,1.1922934242301155e+22,1.3528109013468839e+22
9,852.6592652163091,1.4962539028284811,1.0650720486953849e+22,8.830477390986137e+21,1.0878183243589974e+22,1.2094042932088286e+22
10,837.7879949747113,1.6472308870137926,9.517894408795167e+21,7.931465841122373e+21,9.82548063237781e+21,1.0646683744101932e+22
11,822.9164001887356,1.8005751816165532,8.448253977106324e+21,7.072188971475058e+21,8.740074957563048e+21,9.389191268824094e+21
12,805.5656263644386,1.9827939680123745,7.411130550365425e+21,6.416651656125585e+21,7.618144991900386e+21,8.195266342726941e+21
13,783.256871457526,2.2224936871622756,6.329299811716854e+21,5.59812625909043e+21,6.426583125036783e+21,6.908490529052794e+21
14,758.4695103909143,2.4962949930620897,5.390729446693708e+21,4.82415757348361e+21,5.268810531023491e+21,5.89275451573937e+21
15,733.6809880795391,2.77814138452743,4.708788097865758e+21,4.191646603448106e+21,4.410769624242184e+21,5.208826587782765e+21
16,708.8908488634015,3.067972755313559,4.2680275336092173e+21,3.5768786265776377e+21,4.1051079027683544e+21,4.799597415498236e+21
17,684.1004760822683,3.3661126328894038,3.9767875282608047e+21,3.291340553960762e+21,3.883740037385231e+21,4.4700577033046867e+21
18,653.1112285285492,3.753393324301299,3.7824328860438957e+21,3.141217115042421e+21,3.7097995910274456e+21,4.207012480332395e+21
19,615.9205705120047,4.2379797038361025,3.6045513945522493e+21,3.04329915528639e+21,3.392633004477309e+21,4.0122576252178614e+21
20,578.7272043823215,4.752775529501931,3.459034943255772e+21,2.9628727522267365e+21,3.275717688277506e+21,3.949987425390491e+21
21,541.5297974405477,5.293982624262083,3.355490451303024e+21,2.926012006307561e+21,3.2288365963526186e+21,3.9116161761409027e+21
22,504.3267976709419,5.866525051820845,3.300136648381519e+21,2.7816902859238136e+21,3.3433004426548656e+21,3.7669655345362586e+21
23,467.1182254346348,6.4783499666903825,3.3621286765463376e+21,2.8500456285776013e+21,3.4589834926168306e+21,3.757835047743206e+21
24,429.9018516259439,7.130616001171602,3.539747618360983e+21,3.167978557611794e+21,3.5460683200170353e+21,3.869632308517497e+21
25,392.6748148107893,7.8276962056910495,3.673414501357263e+21,3.3029300548508435e+21,3.6015117782664054e+21,3.888428468113625e+21
26,355.4364121658684,8.582381437087088,3.574535623796415e+21,3.226091076125063e+21,3.458739476698858e+21,3.764794210788344e+21
27,312.2568471757569,9.510262026437415,3.2868246533409174e+21,2.993905384925394e+21,3.24019601618997e+21,3.469859319474137e+21
28,266.2024287155883,10.602168136966553,2.949942016007585e+21,2.697460348780497e+21,2.9403368302414943e+21,3.1634096615539045e+21
29,226.40807678064118,11.660990898666412,2.6708018095495876e+21,2.4049827343491085e+21,2.6866339512572224e+21,2.8516321515256194e+21
30,192.52002788560424,12.736811932907898,2.552936638976851e+21,2.2958193050903063e+21,2.554462739630879e+21,2.791660668531695e+21
31,163.6614990234374,13.78656633117675,2.745394965214458e+21,2.4364085317346604e+21,2.6996495938980927e+21,3.095443013073422e+21
32,139.11500549316403,14.787671064298221,3.2453428044892796e+21,3.029304076209837e+21,3.264203762190752e+21,3.459424661435905e+21
33,118.25,15.906170270258151,3.8447543072916914e+21,3.6989891267296284e+21,3.8314643019323524e+21,3.95119834646354e+21
34,100.51435089111324,17.24273064490245,4.180033664770928e+21,4.0832321725643447e+21,4.1944538810844206e+21,4.241663308272315e+21
35,85.43901824951189,18.813372559902348,4.0990328034479466e+21,4.038355948956701e+21,4.1130224276990675e+21,4.155310379918098e+21
36,72.55786132812501,20.65052603534648,3.871409708245214e+21,3.840947757285558e+21,3.8526031069679106e+21,3.8866071741291404e+21
37,61.495662689209006,22.74331462627693,3.7275348549142556e+21,3.690704772530574e+21,3.7211658276836506e+21,3.7698760680177627e+21
38,52.015911102294844,24.86505040859316,3.8400761245050287e+21,3.790200389102663e+21,3.821893491205722e+21,3.8927128991740036e+21
39,43.90966415405282,27.052485734519244,4.3155831856446943e+21,4.2545621595115844e+21,4.34584609306332e+21,4.3651526973652347e+21
