lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,421714990038.10547,77910798403.34476,157438225478.13016,321396934316.24335
1,971.6244310048473,0.36625663400749947,319001235114.47906,49420374298.22645,95851380342.89217,243911717330.48767
2,956.7542402749618,0.5001096160252074,300484349468.48486,34642229765.044754,74813544813.18826,170442128092.16415
3,941.8841473755075,0.6358236496946832,420957197964.21344,28373935241.96269,54835563213.67342,155991069219.87134
4,927.0137936180281,0.7737023136984883,311602835564.17633,26465093721.791946,44877835646.573654,143205846921.63684
5,912.1431877107561,0.9140599557728831,528292500285.93115,21823513008.200752,53289200586.14176,163207273992.38788
6,897.2725265381572,1.056517394691973,302593319040.22833,19895569896.835083,47973913043.4362,233023087764.8386
7,882.4015480213002,1.200972749516894,268284518654.2248,20051298636.797924,51661244162.715256,201412247743.371
8,867.5303567964003,1.3475120190675405,260389465281.8056,22917546934.053215,61700836654.87398,165069901611.67386
9,852.6592652163091,1.4962539028284811,301002560659.82623,26243476526.97261,57797921851.63991,168549007703.67242
10,837.7879949747113,1.6472308870137926,170564042561.66074,34177248999.656227,61550116558.07473,119748082198.43237
11,822.9164001887356,1.8005751816165532,217334964958.55933,23539505460.860573,52008876734.07368,128391345174.7221
12,805.5656263644386,1.9827939680123745,263118858298.46167,22322070355.28223,50334632034.20596,141315815161.9492
13,783.256871457526,2.2224936871622756,236131709212.58047,24451539055.57864,50017087658.81828,121287338239.69345
14,758.4695103909143,2.4962949930620897,127959794722.20357,20106352309.16153,50212273241.56201,119595092546.31046
15,733.6809880795391,2.77814138452743,143237489057.12634,16947873409.814913,38750319527.2953,88039216820.56184
16,708.8908488634015,3.067972755313559,106036737301.55342,15513340358.75337,33936860632.39083,62564538411.88322
17,684.1004760822683,3.3661126328894038,58673459465.84116,17506218521.832138,30610649321.64733,53588764837.1996
18,653.1112285285492,3.753393324301299,39711318522.59393,16235483508.05021,26792631891.759697,55619933769.254005
19,615.9205705120047,4.2379797038361025,42326027386.28272,16715961552.14909,29585921069.234043,51306986694.74497
20,578.7272043823215,4.752775529501931,51651762671.96493,15570896616.443401,24932583429.564926,47852819965.04048
21,541.5297974405477,5.293982624262083,162392430746.9472,14931558999.803308,21018330546.271904,41453358459.46816
22,504.3267976709419,5.866525051820845,49804333626.62763,15103991399.525862,25897365865.762993,37461988386.89249
23,467.1182254346348,6.4783499666903825,43204403578.71408,15517535487.667154,29341007804.87426,53162143201.405876
24,429.9018516259439,7.130616001171602,58113703358.313225,16233162476.05809,28455819620.319622,86998341440.10893
25,392.6748148107893,7.8276962056910495,90151680128.62694,14948108682.960667,27123592225.639137,145922386629.25287
26,355.4364121658684,8.582381437087088,148094876001.3737,14850930969.712963,32396150455.81663,197539996659.33456
27,312.2568471757569,9.510262026437415,218995670441.48532,16123277220.741463,41402481787.88556,253561255266.052
28,266.2024287155883,10.602168136966553,373757661460.6451,18740120479.977592,52065524753.7146,373868857455.0898
29,226.40807678064118,11.660990898666412,492165966379.1872,21625055326.956505,71045262633.53488,400659955670.7759
30,192.52002788560424,12.736811932907898,613227498078.8937,26034158468.53467,58964450938.73164,377030252819.45355
31,163.6614990234374,13.78656633117675,745085716110.9891,16913245401.743996,55290869904.52986,334818497885.333
32,139.11500549316403,14.787671064298221,789270168498.5774,9538594643.946213,32585299764.429836,323781561372.6618
33,118.25,15.906170270258151,361161211666.1601,3810736414.6080327,16532599686.905548,365624848045.31854
