lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.4464166732564682e+22,1.1612928093724116e+22,1.3359495528574154e+22,1.8086064395935535e+22
1,971.6244310048473,0.36625663400749947,1.325604848924494e+22,1.0194122680677781e+22,1.1744849090553252e+22,1.6761320710838585e+22
2,956.7542402749618,0.5001096160252074,1.2168249226049589e+22,9.228386886416832e+21,1.0624838227868281e+22,1.48476507335931e+22
3,941.8841473755075,0.6358236496946832,1.0814383011928073e+22,8.357200749468933e+21,8.999552494681113e+21,1.2373314421755239e+22
4,927.0137936180281,0.7737023136984883,9.251511389800545e+21,6.661431737742169e+21,7.500514687223919e+21,1.1087917509523876e+22
5,912.1431877107561,0.9140599557728831,7.398308589910446e+21,4.984105921521924e+21,5.948337349259846e+21,9.3837757998873e+21
6,897.2725265381572,1.056517394691973,5.484197969290647e+21,3.427751266920217e+21,4.2873179689022957e+21,7.1720699584332e+21
7,882.4015480213002,1.200972749516894,3.924920780272776e+21,2.3660361024663407e+21,3.016875124881665e+21,5.201348233883302e+21
8,867.5303567964003,1.3475120190675405,2.7880249615843894e+21,1.709841897420455e+21,2.2287076910875324e+21,3.7933887620477894e+21
9,852.6592652163091,1.4962539028284811,2.0120455085710904e+21,1.3304628161031562e+21,1.6840885994954603e+21,2.674018591971242e+21
10,837.7879949747113,1.6472308870137926,1.489712135135472e+21,1.0413757960813116e+21,1.2253887029734765e+21,1.8215092479398996e+21
11,822.9164001887356,1.8005751816165532,1.1405063109883371e+21,8.313040725114209e+20,9.466975253387027e+20,1.3935214581093237e+21
12,805.5656263644386,1.9827939680123745,8.781832499631113e+20,6.4926838772962e+20,7.330604733119435e+20,1.0616356155455365e+21
13,783.256871457526,2.2224936871622756,6.491357134050435e+20,4.84195798864039e+20,5.454418539434033e+20,7.842390869062808e+20
14,758.4695103909143,2.4962949930620897,4.678728476760751e+20,3.4598155284940037e+20,3.883643879895804e+20,5.7459176419506795e+20
15,733.6809880795391,2.77814138452743,3.3896728507804044e+20,2.4780517074620518e+20,2.7184796915615547e+20,4.3094182094032365e+20
16,708.8908488634015,3.067972755313559,2.4934355027382832e+20,1.81876036703885e+20,1.978285975871873e+20,3.1933558316713915e+20
17,684.1004760822683,3.3661126328894038,1.8661146049396697e+20,1.3639010129128048e+20,1.5100294683417818e+20,2.3523890433450056e+20
18,653.1112285285492,3.753393324301299,1.3944109299172337e+20,1.0212509342434309e+20,1.1563367273697595e+20,1.7684877735449785e+20
19,615.9205705120047,4.2379797038361025,9.904927578449876e+19,7.458152071392743e+19,8.781386463302867e+19,1.252450237132522e+20
20,578.7272043823215,4.752775529501931,7.285360642486155e+19,5.534058964091078e+19,6.576466240781399e+19,9.08357663859431e+19
21,541.5297974405477,5.293982624262083,5.418462234595246e+19,4.103360906696276e+19,5.266701412678397e+19,6.554007183098376e+19
22,504.3267976709419,5.866525051820845,4.045985479547264e+19,3.2151243486536913e+19,4.001494742660611e+19,4.6253756898278556e+19
23,467.1182254346348,6.4783499666903825,3.172939623079723e+19,2.7195847902236328e+19,3.012774589949426e+19,3.6737229709126074e+19
24,429.9018516259439,7.130616001171602,2.701136728582025e+19,2.399208177607231e+19,2.6963533615717876e+19,3.074565740427284e+19
25,392.6748148107893,7.8276962056910495,2.479933862506345e+19,2.2799935980118753e+19,2.611023367841832e+19,2.708640765060487e+19
26,355.4364121658684,8.582381437087088,2.3815145226417635e+19,2.1545787097389584e+19,2.440107426260973e+19,2.5975392221170135e+19
27,312.2568471757569,9.510262026437415,2.2061869027598004e+19,1.9385698753783103e+19,2.16814983850176e+19,2.4317229116198576e+19
28,266.2024287155883,10.602168136966553,1.992687427110873e+19,1.697285808249221e+19,1.920971901470807e+19,2.2161771017381315e+19
29,226.40807678064118,11.660990898666412,1.8017793520320539e+19,1.5587894052361122e+19,1.682105482281352e+19,1.9326535301072638e+19
30,192.52002788560424,12.736811932907898,1.8044190245144818e+19,1.539658852485043e+19,1.7026049796536517e+19,1.9269295177290306e+19
31,163.6614990234374,13.78656633117675,1.954533719767126e+19,1.6797965073195151e+19,1.8246124936507638e+19,2.1405301661559775e+19
32,139.11500549316403,14.787671064298221,2.2876457063082873e+19,2.0382805699374916e+19,2.1952424187768726e+19,2.4919727963555324e+19
33,118.25,15.906170270258151,2.5238672422212067e+19,2.3705619883794694e+19,2.4376574796552327e+19,2.640405724817393e+19
34,100.51435089111324,17.24273064490245,2.229806772936794e+19,2.1702193319771193e+19,2.22235578337571e+19,2.2860192309051216e+19
35,85.43901824951189,18.813372559902348,1.6265237286462593e+19,1.5668725679805125e+19,1.6213677997523276e+19,1.676966605527159e+19
36,72.55786132812501,20.65052603534648,1.0969979279257258e+19,1.0086894387075305e+19,1.1178653348669825e+19,1.178244570608824e+19
37,61.495662689209006,22.74331462627693,6.835763772907375e+18,6.510244520125109e+18,6.814255299549653e+18,7.179738893023834e+18
38,52.015911102294844,24.86505040859316,3.8195761384825887e+18,3.5691094373836396e+18,3.8127683657792594e+18,4.05190982851275e+18
39,43.90966415405282,27.052485734519244,1.9876427932519455e+18,1.8082343775134917e+18,1.95285163897999e+18,2.1608259962425638e+18
40,36.9927101135254,29.32647120258809,9.365115365132608e+17,8.708100456547092e+17,9.166932792243868e+17,9.917690141293197e+17
41,31.08891105651863,31.748905700260213,4.130434854780161e+17,3.818550156242908e+17,3.93933075751093e+17,4.284238168413019e+17
42,26.049108505249027,34.31199278898532,1.939235250567296e+17,1.7546514301656643e+17,1.9235932066313325e+17,2.1177049800543904e+17
43,21.76100349426269,37.02114906529215,1.0131171620979848e+17,8.682469915516387e+16,9.864150725481944e+16,1.144082951449632e+17
44,18.124349594116172,40.00166859906441,5.431068317567598e+16,5.071452568792928e+16,5.360250316724251e+16,6.086516160321048e+16
45,15.05025005340576,43.13537659190267,3.0613511241713776e+16,2.636498392222042e+16,3.0621631253285964e+16,3.3969022707416044e+16
46,12.460150718688988,46.41231625206779,1.8363499851707976e+16,1.3159869078624646e+16,1.8989337440237356e+16,2.2369559966461824e+16
47,10.284920692443848,49.82768019095182,1.1764511363260112e+16,8285695841441917.0,1.1907648842348264e+16,1.4802303702644536e+16
48,8.45639133453367,53.56635280817698,7829329018440256.0,6217273726451548.0,7532321671831873.0,1.0206914826396144e+16
49,6.9183211326599094,57.94668908538693,5113393922106464.0,4223128618173441.0,5070391887554920.0,6301491385745494.0
50,5.631801128387452,62.66958728955136,3162145494472352.5,2536388025052351.5,3251213757155247.0,3772982099625452.0
51,4.561686038970957,67.91525438663359,1902100640868785.0,1571662970615651.0,1830859143530166.5,2325118895713360.5
52,3.6765010356903076,73.3631121633128,1142544037167479.2,1000342058154142.6,1097184841235574.5,1286319145087974.0
53,2.948321104049681,79.34230382171329,649021925555224.1,518506276022572.6,634949077594650.5,765564265958217.1
54,2.352590560913084,86.018857705306,350692579158212.06,288754468837826.1,331458336834109.5,412808347879980.94
55,1.867879986762998,93.22960225320968,190414167561893.28,139738177737600.9,185777737708320.56,226791073901408.8
56,1.475649952888488,100.60502256166222,104913782606534.94,71690204083018.78,100187405976510.9,129729773406750.44
57,1.159975051879883,107.73082344928824,56381889240321.61,34589483679786.105,52403573880297.83,73179829759195.88
58,0.9072870612144474,113.85502993179693,27370623333204.004,15493359240772.371,26340263727549.58,36176878592032.98
