lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.1157123488270766e+23,1.6731494798719808e+23,1.944825905475332e+23,2.4801558964094058e+23
1,971.6244310048473,0.36625663400749947,1.936402961492157e+23,1.5000271118593927e+23,1.7379329724100073e+23,2.2884675966086622e+23
2,956.7542402749618,0.5001096160252074,1.766060094461413e+23,1.3563258037505789e+23,1.5718658820212172e+23,2.065969573257954e+23
3,941.8841473755075,0.6358236496946832,1.5415971674446607e+23,1.1650198939122068e+23,1.3275001017557415e+23,1.7293611694481427e+23
4,927.0137936180281,0.7737023136984883,1.2819520525304031e+23,8.822008438144237e+22,1.033030106362754e+23,1.531190986702426e+23
5,912.1431877107561,0.9140599557728831,9.806839929811579e+22,6.050138418324706e+22,7.701415284724475e+22,1.270297612141306e+23
6,897.2725265381572,1.056517394691973,6.662501547402646e+22,3.52694625241944e+22,4.950970095060103e+22,9.157509391887125e+22
7,882.4015480213002,1.200972749516894,4.2279684763277855e+22,2.053105496402996e+22,2.9585223341256877e+22,5.831446270965643e+22
8,867.5303567964003,1.3475120190675405,2.6288650710161505e+22,1.2215245471571652e+22,1.816814971825027e+22,3.544774204056313e+22
9,852.6592652163091,1.4962539028284811,1.6563848562055376e+22,8.378284027017572e+21,1.1838969171202227e+22,2.17566308005784e+22
10,837.7879949747113,1.6472308870137926,1.0727201527268165e+22,6.23222897098507e+21,8.429636893016972e+21,1.3752061053612144e+22
11,822.9164001887356,1.8005751816165532,7.497604181075643e+21,4.667420281678489e+21,6.219127837715343e+21,9.800948936847756e+21
12,805.5656263644386,1.9827939680123745,5.434302847067389e+21,3.5165994468738146e+21,4.5344689856734655e+21,6.861064320602083e+21
13,783.256871457526,2.2224936871622756,3.8071828006670607e+21,2.607015570671259e+21,3.1797418478770177e+21,4.436127856334679e+21
14,758.4695103909143,2.4962949930620897,2.635822090690141e+21,1.854746534488162e+21,2.275410307282598e+21,2.9262092239090085e+21
15,733.6809880795391,2.77814138452743,1.8445516991439886e+21,1.2817604031270827e+21,1.5921055708561639e+21,2.0013903778529673e+21
16,708.8908488634015,3.067972755313559,1.3074796098977168e+21,9.321768654313667e+20,1.1272262020983575e+21,1.413976975233504e+21
