lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,0.0006909927981577519,-0.008000139180831499,0.0010956783626509198,0.011579908698559514
1,971.6244310048473,0.36625663400749947,-0.00011971975083201892,-0.015836070316469338,0.0035230502916287843,0.017470085112164437
2,956.7542402749618,0.5001096160252074,-0.001326339552299589,-0.025447444258845604,0.006613063037898305,0.023184442636030176
3,941.8841473755075,0.6358236496946832,-0.0030042372111777314,-0.031047997632104012,0.008681765861308165,0.025829133193207992
4,927.0137936180281,0.7737023136984883,-0.004994981062551551,-0.03519802357543334,0.006403445818602627,0.029142247197080084
5,912.1431877107561,0.9140599557728831,-0.00725630470470119,-0.038048506482182665,0.006582178543643865,0.031183224250514972
6,897.2725265381572,1.056517394691973,-0.009516872225949971,-0.04024283312331221,0.003604084831079841,0.0357090450110744
7,882.4015480213002,1.200972749516894,-0.011593653802439612,-0.04230579977284351,0.0020733004544148236,0.036664970411940605
8,867.5303567964003,1.3475120190675405,-0.013379817334792609,-0.04299394152930735,0.00015492410234796807,0.03504269398357988
9,852.6592652163091,1.4962539028284811,-0.014772982781781262,-0.04624869372589667,-0.0020482124623756523,0.030925258808183104
10,837.7879949747113,1.6472308870137926,-0.015717344147052125,-0.04876416755137056,-0.003595407940533515,0.028394961351787373
11,822.9164001887356,1.8005751816165532,-0.01624057534766837,-0.05239743176789392,-0.002548510678379422,0.024939052131274175
12,805.5656263644386,1.9827939680123745,-0.016314942468430932,-0.052717174478981346,-0.0002778669790527658,0.022659696291649756
13,783.256871457526,2.2224936871622756,-0.01568677763457046,-0.05282783608907647,-0.001680170437326569,0.02393327239592775
14,758.4695103909143,2.4962949930620897,-0.01427427946545357,-0.04703145505038842,-0.005999646176807826,0.028461261599091132
15,733.6809880795391,2.77814138452743,-0.012142045839381183,-0.04074971220100114,-0.0070037790531029525,0.0296314103551105
16,708.8908488634015,3.067972755313559,-0.009424070965401677,-0.03576574457390785,-0.002529245343813696,0.03496172933203727
17,684.1004760822683,3.3661126328894038,-0.0064858683565556,-0.03771012397418451,-0.0009807493063439063,0.03717637049453432
18,653.1112285285492,3.753393324301299,-0.0030832359896680642,-0.033684205078600864,0.00641050835368301,0.04381633527374201
19,615.9205705120047,4.2379797038361025,-0.00021117076373821153,-0.032517818398315364,0.014804133094740709,0.04671037372957128
20,578.7272043823215,4.752775529501931,0.0013780032377128694,-0.032986141329206936,0.012759706225931753,0.04816122774109449
21,541.5297974405477,5.293982624262083,0.0026168368507318218,-0.03403518785583719,0.0073089529531722925,0.04641616024893659
22,504.3267976709419,5.866525051820845,0.004022522481570223,-0.034768120915579424,0.008684169908283702,0.047875953851722455
23,467.1182254346348,6.4783499666903825,0.004512972862719161,-0.02925735397694111,0.010469307792861322,0.04505950060626095
24,429.9018516259439,7.130616001171602,0.00493854458193952,-0.018124172833337275,0.013879739013800978,0.0404338581410265
25,392.6748148107893,7.8276962056910495,0.008647384464306827,-0.010366001768557691,0.019356383453375207,0.04387924756966408
26,355.4364121658684,8.582381437087088,0.013403346893765291,-0.009570744633700622,0.021498562838352622,0.055233955635375795
27,312.2568471757569,9.510262026437415,0.012745733154593956,-0.017385788354337503,0.022617042778288236,0.05498901664751621
28,266.2024287155883,10.602168136966553,0.008759897155741053,-0.01596470381473641,0.020459547493268948,0.04596584978458062
29,226.40807678064118,11.660990898666412,0.006173702398019962,-0.022912935494243964,0.01995089544196094,0.045032698768951974
30,192.52002788560424,12.736811932907898,0.0037615980893119603,-0.018916451310869824,0.00936557702688046,0.03590041179692843
31,163.6614990234374,13.78656633117675,0.0013156016122761736,-0.014762092261099001,0.0056174839527273765,0.021439242739306245
32,139.11500549316403,14.787671064298221,0.0017260322295909597,-0.01114205674175695,0.000811402769966869,0.01488137531898757
33,118.25,15.906170270258151,0.0031915410009761003,-0.004248584096252839,0.0031936652630693355,0.011123163247172094
