lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-0.00383306689818869,-0.012716727642903457,-0.0032568231487449303,0.0067811934513811855
1,971.6244310048473,0.36625663400749947,-0.004299688427461973,-0.012173417983074976,-0.0038001517987569454,0.003403472775906422
2,956.7542402749618,0.5001096160252074,-0.00414986290315408,-0.010915138510831004,-0.00314172456232432,0.0026789655232363177
3,941.8841473755075,0.6358236496946832,-0.0038773605075145532,-0.00957301330028564,-0.004124246589823499,0.0025634918831876153
4,927.0137936180281,0.7737023136984883,-0.003801590595100961,-0.009343194465270908,-0.0043261010316348394,0.002133151025187575
5,912.1431877107561,0.9140599557728831,-0.0038672716504332366,-0.009326113422681356,-0.004259102405718235,0.001449574266885489
6,897.2725265381572,1.056517394691973,-0.004066011322821538,-0.009158639886629481,-0.0047340426700692925,0.0007485993167386542
7,882.4015480213002,1.200972749516894,-0.0043673018458912265,-0.009064230834774818,-0.005170181761514245,0.0009406570639674105
8,867.5303567964003,1.3475120190675405,-0.004736221783434756,-0.01029818423372586,-0.005712194054353182,0.0006274888146256912
9,852.6592652163091,1.4962539028284811,-0.005155917930220466,-0.010782362313944494,-0.006235320795828296,0.0011130720379106903
10,837.7879949747113,1.6472308870137926,-0.005620468807106286,-0.01115908659042983,-0.0066231271139044565,0.0003159436737295813
11,822.9164001887356,1.8005751816165532,-0.006123858172646981,-0.011957118357506917,-0.007461443754404128,-0.0006186829413745415
12,805.5656263644386,1.9827939680123745,-0.006786871566581131,-0.013194925807853267,-0.008389643247760876,-0.0009398267666326458
13,783.256871457526,2.2224936871622756,-0.007776940288307895,-0.01508150734862809,-0.009641658946570297,-0.0017799327833921828
14,758.4695103909143,2.4962949930620897,-0.008914309279501431,-0.016994636112603323,-0.010474752706795468,-0.0026237417719925226
15,733.6809880795391,2.77814138452743,-0.00998735336723709,-0.018513416571683167,-0.011835285959941497,-0.00345085745923439
16,708.8908488634015,3.067972755313559,-0.010937455774437643,-0.01948978021591629,-0.012411106196959383,-0.00434524656493694
17,684.1004760822683,3.3661126328894038,-0.011752450590873171,-0.019981982445054083,-0.013086132358266642,-0.0038355374675721056
18,653.1112285285492,3.753393324301299,-0.012657223526548207,-0.02146005595534825,-0.013712037050966967,-0.004100251710625369
19,615.9205705120047,4.2379797038361025,-0.013552337270826059,-0.022629118290888595,-0.013639837473290098,-0.004380617717761732
20,578.7272043823215,4.752775529501931,-0.014167013967135397,-0.02397802432069817,-0.01498874432046074,-0.0057379276861917565
21,541.5297974405477,5.293982624262083,-0.014716441228898744,-0.024656382338312743,-0.015678812097627757,-0.0052903198427997344
22,504.3267976709419,5.866525051820845,-0.01525259856275676,-0.02518902551894564,-0.015402811072021093,-0.005734944464019245
23,467.1182254346348,6.4783499666903825,-0.015671811693437964,-0.026493004964447057,-0.015572249227992043,-0.005988301794694049
24,429.9018516259439,7.130616001171602,-0.015978165162759555,-0.027020943751566336,-0.01539531045147895,-0.005933340963264339
25,392.6748148107893,7.8276962056910495,-0.01638428699420044,-0.027428171724235968,-0.016097562268925763,-0.007214071332863113
26,355.4364121658684,8.582381437087088,-0.016684703066665987,-0.026967187736203747,-0.016578349497392814,-0.007590846227664746
27,312.2568471757569,9.510262026437415,-0.01666083554530018,-0.025651807760531928,-0.017644736534912317,-0.009281311429140649
28,266.2024287155883,10.602168136966553,-0.016206549273573127,-0.023234823163041114,-0.01719279693007055,-0.0109873688169626
29,226.40807678064118,11.660990898666412,-0.015024976266471507,-0.020303818790762422,-0.015894399807685054,-0.010901131185534079
30,192.52002788560424,12.736811932907898,-0.013127921198224608,-0.017299312783825724,-0.013299204212044969,-0.00993204749841553
31,163.6614990234374,13.78656633117675,-0.010890519130804811,-0.013777450230776983,-0.011024968582368315,-0.008276919806890744
32,139.11500549316403,14.787671064298221,-0.0083416195615876,-0.011400112698568578,-0.00888935831480879,-0.005664781374536835
33,118.25,15.906170270258151,-0.005805539491114932,-0.007963689328504189,-0.006423685221708882,-0.003450140957221139
34,100.51435089111324,17.24273064490245,-0.003836356981421224,-0.005496621308067981,-0.003807134234005685,-0.0021110373704085177
35,85.43901824951189,18.813372559902348,-0.0024122327744694736,-0.00355429049765803,-0.0023777918725972915,-0.0011751228505254062
36,72.55786132812501,20.65052603534648,-0.001469315512076816,-0.0023116504604631643,-0.0013432308413357913,-0.0005963827563134917
37,61.495662689209006,22.74331462627693,-0.0009300667498782516,-0.0015877658445198647,-0.0008789335448472269,-0.00019205236765059894
38,52.015911102294844,24.86505040859316,-0.0005950089669652596,-0.0010943307257579747,-0.0006317645548592583,-5.8433790558869434e-05
39,43.90966415405282,27.052485734519244,-0.000374857848987425,-0.0008908026865877821,-0.0003425866531353766,8.718757567762497e-05
40,36.9927101135254,29.32647120258809,-0.00025650685192061634,-0.0006450664461988843,-0.0002749763209855374,0.00012985616342814498
41,31.08891105651863,31.748905700260213,-0.00018611860150303684,-0.0005663788952334335,-0.00016726620918235493,0.00019047444863135978
42,26.049108505249027,34.31199278898532,-0.00012375025468109216,-0.0005372482018474372,-6.930706815580189e-05,0.0002547126621003407
43,21.76100349426269,37.02114906529215,-7.830475963601265e-05,-0.00045893181944432613,-4.55470728985074e-05,0.00028042024398023367
44,18.124349594116172,40.00166859906441,-5.692580044699371e-05,-0.00040707208584298574,-7.043498476267516e-05,0.00022814407324608748
45,15.05025005340576,43.13537659190267,-5.2028763428083144e-05,-0.00036218155504687255,-6.347045300067746e-05,0.00017652261659174292
46,12.460150718688988,46.41231625206779,-5.275545721817949e-05,-0.00029588324780465254,-5.926536687446665e-05,0.00014800744488497122
47,10.284920692443848,49.82768019095182,-5.2449309319512575e-05,-0.0002885888694839258,-3.316092493892427e-05,0.00014376910669709566
48,8.45639133453367,53.56635280817698,-4.790421747616678e-05,-0.00022522746527879918,-1.848877728859628e-05,0.0001602994362398815
49,6.9183211326599094,57.94668908538693,-3.9467639312123274e-05,-0.00024202864716485435,-3.69217936381552e-05,0.00013866372073242524
50,5.631801128387452,62.66958728955136,-2.929297789734035e-05,-0.0002364476764510385,-4.291861140253163e-05,0.00011588001381029833
51,4.561686038970957,67.91525438663359,-2.0725879765797717e-05,-0.0001863833886574713,-6.0166706352502035e-05,0.0001289255717541034
52,3.6765010356903076,73.3631121633128,-1.7206411888464732e-05,-0.00017150693870207897,-7.588104799372138e-05,0.00012186724310009561
53,2.948321104049681,79.34230382171329,-1.6868883012384408e-05,-0.0001649639654294902,-3.475643727629776e-05,9.436697310381908e-05
54,2.352590560913084,86.018857705306,-1.4921396070204694e-05,-0.0001081985357807933,-1.910016297136681e-05,8.287077962947349e-05
55,1.867879986762998,93.22960225320968,-9.449444519383558e-06,-8.981359900642369e-05,-9.635768565008636e-07,6.744131341156418e-05
56,1.475649952888488,100.60502256166222,-2.643983501090846e-06,-6.12922705884534e-05,-5.755097609553357e-06,6.419659024464012e-05
57,1.159975051879883,107.73082344928824,1.5012441058776525e-06,-4.928224062110035e-05,5.066351093681936e-06,6.771156026340588e-05
58,0.9072870612144474,113.85502993179693,2.2392758837763453e-06,-6.578315378225806e-05,1.354998438195938e-05,6.517855473248047e-05
59,0.705956518650055,119.50150429056178,1.7134843158359825e-06,-7.13688333253364e-05,2.3073118059700673e-06,6.814890839995295e-05
60,0.5462926030159002,124.26019209911512,5.450338994951399e-07,-7.64579086060754e-05,-2.6216814367035437e-06,6.657549072678931e-05
61,0.4204235970973968,129.0678850820543,-1.4771899634067454e-06,-7.000271475840486e-05,-8.890977571792183e-06,7.199284962279718e-05
62,0.3217835724353792,134.07248354606006,-3.5940688698259627e-06,-5.482292298581855e-05,-1.1238423119647726e-05,5.285371785042325e-05
63,0.24493755400180758,139.49182341933508,-5.11392505789622e-06,-4.987541599985291e-05,-1.1714400246851192e-05,4.32979318322588e-05
