time,HMS_UT1416_diff
2022-07-20 00:00:00,8.148938373475982e-15
2022-07-20 01:00:00,7.387062279324987e-15
2022-07-20 02:00:00,6.6330554536120645e-15
2022-07-20 03:00:00,5.902668113243726e-15
2022-07-20 04:00:00,5.138044039428394e-15
2022-07-20 05:00:00,4.2960865113554435e-15
2022-07-20 06:00:00,3.390876738185306e-15
2022-07-20 07:00:00,2.547410622382551e-15
2022-07-20 08:00:00,1.821380175367051e-15
2022-07-20 09:00:00,1.201210654684381e-15
2022-07-20 10:00:00,6.754495627388703e-16
2022-07-20 11:00:00,1.981482277985375e-16
2022-07-20 12:00:00,-1.9539965465765729e-16
2022-07-20 13:00:00,-4.841144805613588e-16
2022-07-20 14:00:00,-7.017233861415173e-16
2022-07-20 15:00:00,-7.752876630893091e-16
2022-07-20 16:00:00,-7.578916691799987e-16
2022-07-20 17:00:00,-7.242461246756431e-16
2022-07-20 18:00:00,-6.209358251288835e-16
2022-07-20 19:00:00,-4.699153456825023e-16
2022-07-20 20:00:00,-3.184312831476533e-16
2022-07-20 21:00:00,-1.4873479407757812e-16
2022-07-20 22:00:00,2.97523386486163e-17
2022-07-20 23:00:00,2.1833071099471299e-16
2022-07-21 00:00:00,3.571160494174275e-16
2022-07-21 01:00:00,4.747950902464936e-16
2022-07-21 02:00:00,5.862712766960515e-16
2022-07-21 03:00:00,6.603788419903356e-16
2022-07-21 04:00:00,6.919012840990031e-16
2022-07-21 05:00:00,7.102444123616881e-16
2022-07-21 06:00:00,7.866723155078428e-16
2022-07-21 07:00:00,9.223985220205327e-16
2022-07-21 08:00:00,1.0532530569640315e-15
2022-07-21 09:00:00,1.2766794729729724e-15
2022-07-21 10:00:00,1.6003320214837536e-15
2022-07-21 11:00:00,1.93637102022568e-15
2022-07-21 12:00:00,2.3095035496739743e-15
2022-07-21 13:00:00,2.717696927626737e-15
2022-07-21 14:00:00,3.085783808094039e-15
2022-07-21 15:00:00,3.4122914310257028e-15
2022-07-21 16:00:00,3.71770222786971e-15
2022-07-21 17:00:00,3.997807929611468e-15
2022-07-21 18:00:00,4.220219590370954e-15
2022-07-21 19:00:00,4.415679016312479e-15
2022-07-21 20:00:00,4.659190745129748e-15
2022-07-21 21:00:00,4.853732195274133e-15
2022-07-21 22:00:00,4.951554446813598e-15
2022-07-21 23:00:00,5.1550538505864575e-15
