lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,6.91330619730226e-13,3.6109763860419726e-13,5.502862622762259e-13,9.094544516310408e-13
1,971.6244310048473,0.36625663400749947,6.941058359846391e-13,3.652690012314501e-13,5.515453939753815e-13,9.028515984082929e-13
2,956.7542402749618,0.5001096160252074,6.924587682347963e-13,3.6688767921778277e-13,5.569173375980206e-13,9.045683801970123e-13
3,941.8841473755075,0.6358236496946832,6.723892344579303e-13,3.612273779101798e-13,5.527652393158226e-13,8.819072169555004e-13
4,927.0137936180281,0.7737023136984883,6.175120295337352e-13,2.8916149282340863e-13,5.172922746171723e-13,8.437461417400628e-13
5,912.1431877107561,0.9140599557728831,5.384945916532817e-13,1.767480409643036e-13,4.3763449316498645e-13,7.697745875332792e-13
6,897.2725265381572,1.056517394691973,4.561601596966436e-13,1.0646519511684276e-13,3.0948550540556336e-13,6.783694685642435e-13
7,882.4015480213002,1.200972749516894,3.9126980067535666e-13,9.25000671672211e-14,2.404077713507031e-13,5.699672589554318e-13
8,867.5303567964003,1.3475120190675405,3.4466325747980106e-13,6.881199099983744e-14,2.1536386817715593e-13,4.78135651503724e-13
9,852.6592652163091,1.4962539028284811,3.0366151901007894e-13,5.495189046480612e-14,1.9222526580664755e-13,4.251752770979542e-13
10,837.7879949747113,1.6472308870137926,2.672144551149171e-13,5.21647215369857e-14,1.7362682112854586e-13,3.9097986586649336e-13
11,822.9164001887356,1.8005751816165532,2.279015834947092e-13,3.7417638996247656e-14,1.6523706559371803e-13,3.5427099853430627e-13
12,805.5656263644386,1.9827939680123745,1.9806646100270243e-13,3.0946318962184025e-14,1.533815147069485e-13,3.2814868761907636e-13
13,783.256871457526,2.2224936871622756,1.7163260424569295e-13,2.7808259855789406e-14,1.3849988504382783e-13,2.7234630733373164e-13
14,758.4695103909143,2.4962949930620897,1.5043730612767004e-13,3.070128312107002e-14,1.1900410924642617e-13,2.2776556415505316e-13
15,733.6809880795391,2.77814138452743,1.3439654037290054e-13,2.908589076340632e-14,1.027678329165512e-13,1.9127097648475882e-13
16,708.8908488634015,3.067972755313559,1.225325130884208e-13,2.5916558892641508e-14,8.964576335627936e-14,1.7182600347673803e-13
17,684.1004760822683,3.3661126328894038,1.150077893937233e-13,2.3377945237677942e-14,8.292687673925235e-14,1.5570667206494463e-13
18,653.1112285285492,3.753393324301299,1.1251585609655332e-13,2.4901507002571977e-14,7.831491405721032e-14,1.6232673695888285e-13
19,615.9205705120047,4.2379797038361025,1.1055728044102384e-13,2.3904428327997575e-14,6.748784077916408e-14,1.7441270327939417e-13
20,578.7272043823215,4.752775529501931,1.074708086703655e-13,2.1626703578506612e-14,5.519435589292781e-14,1.7634391725055455e-13
21,541.5297974405477,5.293982624262083,1.0250720027228894e-13,1.657182632786888e-14,3.817500020807625e-14,1.88069633727789e-13
