time,SO4_UT1416_diff
2022-07-20 00:00:00,1.6008583987353757e-12
2022-07-20 01:00:00,1.5263367973867267e-12
2022-07-20 02:00:00,1.454017960123466e-12
2022-07-20 03:00:00,1.3783766153693107e-12
2022-07-20 04:00:00,1.302631912344679e-12
2022-07-20 05:00:00,1.2283848449205246e-12
2022-07-20 06:00:00,1.1445177466969313e-12
2022-07-20 07:00:00,1.0554582263625525e-12
2022-07-20 08:00:00,9.79054341420618e-13
2022-07-20 09:00:00,9.0461987333949e-13
2022-07-20 10:00:00,8.356377431600736e-13
2022-07-20 11:00:00,7.797848819259337e-13
2022-07-20 12:00:00,7.224836547720785e-13
2022-07-20 13:00:00,6.679333131854741e-13
2022-07-20 14:00:00,6.185449282031337e-13
2022-07-20 15:00:00,5.888416862216347e-13
2022-07-20 16:00:00,5.706427271460212e-13
2022-07-20 17:00:00,5.552895323062407e-13
2022-07-20 18:00:00,5.599556221328824e-13
2022-07-20 19:00:00,5.812513622821293e-13
2022-07-20 20:00:00,6.043048294398541e-13
2022-07-20 21:00:00,6.314576208968684e-13
2022-07-20 22:00:00,6.636482966830269e-13
2022-07-20 23:00:00,6.987813806417983e-13
2022-07-21 00:00:00,7.217077320354196e-13
2022-07-21 01:00:00,7.379231628581304e-13
2022-07-21 02:00:00,7.60944722429193e-13
2022-07-21 03:00:00,7.854656233499138e-13
2022-07-21 04:00:00,8.169642037468315e-13
2022-07-21 05:00:00,8.578729007803002e-13
2022-07-21 06:00:00,9.151415026943649e-13
2022-07-21 07:00:00,9.780087287990785e-13
2022-07-21 08:00:00,1.0311971449850348e-12
2022-07-21 09:00:00,1.082988352255391e-12
2022-07-21 10:00:00,1.1238944349363763e-12
2022-07-21 11:00:00,1.1524026782647241e-12
2022-07-21 12:00:00,1.1725884482734647e-12
2022-07-21 13:00:00,1.1886990243493067e-12
2022-07-21 14:00:00,1.2056426957000099e-12
2022-07-21 15:00:00,1.2269149717956902e-12
2022-07-21 16:00:00,1.2500964623606565e-12
2022-07-21 17:00:00,1.2719145503691562e-12
2022-07-21 18:00:00,1.284737734189794e-12
2022-07-21 19:00:00,1.2898940765035694e-12
2022-07-21 20:00:00,1.3019504042028364e-12
2022-07-21 21:00:00,1.312167567566551e-12
2022-07-21 22:00:00,1.3223164561389447e-12
2022-07-21 23:00:00,1.355631546381357e-12
2022-07-22 00:00:00,1.400964574590636e-12
2022-07-22 01:00:00,1.4729849591772782e-12
2022-07-22 02:00:00,1.5822241067782819e-12
