lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.347738411807504e-11,1.4374662024503818e-11,2.6139458947472536e-11,3.4925005080758155e-11
1,971.6244310048473,0.36625663400749947,2.3639994183523827e-11,1.45139475727178e-11,2.601385019859059e-11,3.4909360546414114e-11
2,956.7542402749618,0.5001096160252074,2.3862047694228207e-11,1.4657070138082636e-11,2.5973043900679327e-11,3.518497500596887e-11
3,941.8841473755075,0.6358236496946832,2.3812436327559814e-11,1.5222526294723765e-11,2.4893600710724117e-11,3.492114357829029e-11
4,927.0137936180281,0.7737023136984883,2.18703230732979e-11,1.506499863167972e-11,2.2821081334321306e-11,2.917220078880168e-11
5,912.1431877107561,0.9140599557728831,1.905695211944256e-11,1.373593724625034e-11,1.7298072092088524e-11,2.275618705087474e-11
6,897.2725265381572,1.056517394691973,1.731022172607202e-11,1.1472235464982108e-11,1.4963146488604123e-11,1.99469205240572e-11
7,882.4015480213002,1.200972749516894,1.5881715686166328e-11,1.0277490219993861e-11,1.2826489293791317e-11,1.7779901078092548e-11
8,867.5303567964003,1.3475120190675405,1.4686340959447352e-11,9.855754399993244e-12,1.180532783621316e-11,1.6700106212028816e-11
9,852.6592652163091,1.4962539028284811,1.3554653621430782e-11,9.212850637908186e-12,1.102181312135604e-11,1.5679486069239533e-11
10,837.7879949747113,1.6472308870137926,1.2547751364491584e-11,8.699759224533198e-12,1.0360698821231561e-11,1.4968750955047313e-11
11,822.9164001887356,1.8005751816165532,1.1396362687594111e-11,8.04565667604535e-12,9.711228769221247e-12,1.3875360490350035e-11
12,805.5656263644386,1.9827939680123745,1.033974074682563e-11,7.399970194333282e-12,8.940283651933513e-12,1.2841448466213989e-11
13,783.256871457526,2.2224936871622756,9.219731127700244e-12,5.922022251298318e-12,8.147873219264745e-12,1.1733007812834722e-11
14,758.4695103909143,2.4962949930620897,8.142430932938732e-12,5.1911774178379865e-12,7.540715203842475e-12,1.0056485563005816e-11
15,733.6809880795391,2.77814138452743,7.2103613839804854e-12,4.635278366565241e-12,7.212755731176905e-12,8.453430751419046e-12
16,708.8908488634015,3.067972755313559,6.5974179840583055e-12,4.150075159520787e-12,6.6271115170392684e-12,7.724462910878127e-12
17,684.1004760822683,3.3661126328894038,6.393784978365789e-12,4.029012360721464e-12,6.644938684234353e-12,7.787552272826967e-12
18,653.1112285285492,3.753393324301299,6.401439677084157e-12,3.956564860484509e-12,6.4252096495666345e-12,8.021489089276885e-12
19,615.9205705120047,4.2379797038361025,6.419254276849714e-12,4.023127080313197e-12,5.888275803233808e-12,7.577812903396666e-12
20,578.7272043823215,4.752775529501931,6.106385150041762e-12,3.712957869700571e-12,5.385229488605913e-12,6.7898627472751886e-12
21,541.5297974405477,5.293982624262083,5.64035447669117e-12,3.283312933279265e-12,4.722094275727819e-12,6.4808605521457435e-12
22,504.3267976709419,5.866525051820845,4.940401099223622e-12,3.216873513772983e-12,4.180069791077355e-12,5.7647933930795534e-12
23,467.1182254346348,6.4783499666903825,4.292751558239926e-12,2.9353182224630106e-12,3.6212230730801836e-12,4.947539451467693e-12
24,429.9018516259439,7.130616001171602,3.820776119384061e-12,2.725714580429192e-12,3.3256741800340026e-12,4.372766847328975e-12
25,392.6748148107893,7.8276962056910495,3.4746602529788343e-12,2.5302678781708517e-12,3.0930222128054107e-12,3.973758359739656e-12
26,355.4364121658684,8.582381437087088,3.0246213954719177e-12,2.092156255701987e-12,2.69357890134432e-12,4.025738061365603e-12
27,312.2568471757569,9.510262026437415,2.96977614791809e-12,1.5147968316717736e-12,2.237098700548895e-12,4.196973564083897e-12
