lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,0.0006078658126341329,-0.0009087396281031029,0.0005117043085917893,0.0017610779983020471
1,971.6244310048473,0.36625663400749947,0.0005862564564655227,-0.000905044975104333,0.0004114921437646142,0.0017221822191904668
2,956.7542402749618,0.5001096160252074,0.0005081149465587225,-0.0011560493845001601,0.0003772527995512774,0.0016255521244809574
3,941.8841473755075,0.6358236496946832,0.0003606081407815901,-0.0013015132353555812,0.0003196099883501953,0.001578577231518964
4,927.0137936180281,0.7737023136984883,0.00019380908619350657,-0.0013221388299837896,0.00013345059023681279,0.0016021254681754904
5,912.1431877107561,0.9140599557728831,8.177827891874712e-05,-0.0012933724903799806,-0.0003224404306991398,0.0015155142688835746
6,897.2725265381572,1.056517394691973,-0.00015347924293596064,-0.001279851681705372,-0.0005056704488027447,0.0011855555501807582
7,882.4015480213002,1.200972749516894,-0.0003695963015810423,-0.0015132555264168145,-0.0006756642940365203,0.001051082670349924
8,867.5303567964003,1.3475120190675405,-0.0009084542431245314,-0.0018472468543852955,-0.0009634757840580703,0.00010167573092969683
9,852.6592652163091,1.4962539028284811,-0.0013498572215959695,-0.002381312674886147,-0.0012246037939409038,-0.0005985472569979902
10,837.7879949747113,1.6472308870137926,-0.0017428851320345795,-0.0028074912767766446,-0.0014829820605906652,-0.0006249020747986916
11,822.9164001887356,1.8005751816165532,-0.002029171239928442,-0.0032504181418284523,-0.0016691786659425167,-0.0006160986390488891
12,805.5656263644386,1.9827939680123745,-0.0021628840604488693,-0.003846177323895278,-0.0016859748384184248,-0.0006387416914798924
13,783.256871457526,2.2224936871622756,-0.002497987915142229,-0.004316921523517998,-0.001959861227255985,-0.0011215650370983345
14,758.4695103909143,2.4962949930620897,-0.003177020785775317,-0.00562212468094389,-0.0022728607818194215,-0.0013817582705830042
15,733.6809880795391,2.77814138452743,-0.0036036240273853134,-0.006044970959120158,-0.0023824113248466783,-0.0010802168059392825
16,708.8908488634015,3.067972755313559,-0.00381681645985388,-0.006304921639976012,-0.002497572095041936,-0.0012167902816026567
17,684.1004760822683,3.3661126328894038,-0.003945330431957321,-0.0060961136404969205,-0.002607393856265565,-0.0009899159869922979
18,653.1112285285492,3.753393324301299,-0.003948353792698776,-0.005923322424970882,-0.0026287916978146725,-0.0007146317989056355
19,615.9205705120047,4.2379797038361025,-0.003743025062695542,-0.00569361138476376,-0.0026395785339416097,-0.0008675904575687022
20,578.7272043823215,4.752775529501931,-0.0034127017523560964,-0.005420721991929108,-0.002802461092684996,-0.0010963081701842754
21,541.5297974405477,5.293982624262083,-0.002936183270651249,-0.005027932083403055,-0.0028970400509152963,-0.0011460279054081226
22,504.3267976709419,5.866525051820845,-0.002605712256170254,-0.0048357588324339645,-0.0034576177117465676,-0.001492165380254826
23,467.1182254346348,6.4783499666903825,-0.002704957453634821,-0.004730525348946159,-0.003469552444971713,-0.0014762380463886858
24,429.9018516259439,7.130616001171602,-0.0031373365735360686,-0.0041871865858015885,-0.00322234151616628,-0.0018054096163542012
25,392.6748148107893,7.8276962056910495,-0.00406307377090065,-0.004778653424843361,-0.003245392038307846,-0.0021627119808992623
26,355.4364121658684,8.582381437087088,-0.004282556102812345,-0.004985347046080093,-0.003761051511175492,-0.0027753641845210467
27,312.2568471757569,9.510262026437415,-0.004647027575057025,-0.006286338839310421,-0.0044373954494499185,-0.0026303056291188103
28,266.2024287155883,10.602168136966553,-0.004744227705775715,-0.005654850327864612,-0.004336400318861722,-0.0027291454636561956
29,226.40807678064118,11.660990898666412,-0.004995782568863874,-0.0065447634802641005,-0.004227297457825834,-0.0024759200055897938
30,192.52002788560424,12.736811932907898,-0.005062145218990459,-0.006529727433805227,-0.0048633855153206,-0.002639136930466036
31,163.6614990234374,13.78656633117675,-0.005015025576374362,-0.0058416126736370744,-0.005135624922459243,-0.002683460684718246
32,139.11500549316403,14.787671064298221,-0.004529113489950499,-0.005315200547422316,-0.004396536402115972,-0.002583749017425639
33,118.25,15.906170270258151,-0.0038208020041141833,-0.004119384206869293,-0.0030547127049951606,-0.002487534404883007
34,100.51435089111324,17.24273064490245,-0.0015257552808310274,-0.001715504910259254,-0.0014500182146437429,-0.001279506879851509
35,85.43901824951189,18.813372559902348,-0.0002314703662200902,-0.0002963828080739142,-0.0001742720213064883,-0.00013553199544429247
36,72.55786132812501,20.65052603534648,2.875649414707448e-06,-2.60762881028765e-06,1.4615773953623352e-06,7.139110834707054e-06
37,61.495662689209006,22.74331462627693,1.0601373835775893e-07,-6.464461809665024e-07,7.318054457599102e-08,6.750867230814099e-07
38,52.015911102294844,24.86505040859316,-8.986239744716448e-08,-2.547430608635867e-07,1.109118764009917e-07,2.3042595118067484e-07
39,43.90966415405282,27.052485734519244,-1.5273003593617103e-07,-2.6878659146941384e-07,-1.5991544893270617e-07,-6.282969663366344e-08
40,36.9927101135254,29.32647120258809,-4.986803415902124e-08,-8.085421255318945e-08,-3.407935755112262e-08,8.738203142186554e-09
41,31.08891105651863,31.748905700260213,-3.1470796183882243e-09,-1.304353191422655e-08,-4.974548652668907e-09,9.073394549504463e-09
42,26.049108505249027,34.31199278898532,-4.4655210995972e-09,-7.6095279447476e-09,-4.001647856664587e-09,-1.2220522375343355e-09
43,21.76100349426269,37.02114906529215,-3.4792019765956793e-09,-4.498164641220277e-09,-3.0524168279782993e-09,-2.424602246894284e-09
44,18.124349594116172,40.00166859906441,-4.39869758748585e-09,-4.612795621167232e-09,-4.147488969397008e-09,-3.485140080716244e-09
45,15.05025005340576,43.13537659190267,-3.300564536825057e-09,-3.9771678862321035e-09,-3.3373783004742377e-09,-2.7405295309295124e-09
46,12.460150718688988,46.41231625206779,-2.485968364975657e-09,-2.742553682121224e-09,-2.4662272930776018e-09,-2.163404868010116e-09
47,10.284920692443848,49.82768019095182,-1.7913492400527544e-09,-2.040951456504323e-09,-1.784680430294474e-09,-1.5702980008425356e-09
48,8.45639133453367,53.56635280817698,-1.0614264254281847e-09,-1.4206574466899945e-09,-1.1047999554591147e-09,-8.051440429353383e-10
49,6.9183211326599094,57.94668908538693,3.4618736285758393e-10,-6.507198851751685e-10,-7.122142377810961e-11,1.0289546684041483e-09
50,5.631801128387452,62.66958728955136,4.565271269627228e-09,1.4459406105988334e-09,4.1770877754962465e-09,6.613158757748632e-09
51,4.561686038970957,67.91525438663359,1.4563744615734703e-08,1.0633343202584751e-08,1.4019369042289447e-08,1.872029919573531e-08
52,3.6765010356903076,73.3631121633128,2.498937346490606e-08,2.0668501822735438e-08,2.5073482944515564e-08,2.9643331351375795e-08
53,2.948321104049681,79.34230382171329,3.330199651662004e-08,3.0333047983436244e-08,3.3470768996354296e-08,3.6366526318326944e-08
54,2.352590560913084,86.018857705306,4.00940703286422e-08,3.5525727992073534e-08,3.9213146717036705e-08,4.440728859650021e-08
55,1.867879986762998,93.22960225320968,4.715342701667796e-08,4.332527688450131e-08,4.709813630570346e-08,5.103112368976979e-08
56,1.475649952888488,100.60502256166222,5.4916386793624454e-08,5.144535445393431e-08,5.44824251853945e-08,5.821710373699789e-08
57,1.159975051879883,107.73082344928824,6.417896087350454e-08,5.9479110453303924e-08,6.454672909291144e-08,6.746902565595795e-08
58,0.9072870612144474,113.85502993179693,7.120151742442861e-08,6.409249163097678e-08,6.987558187816247e-08,7.766192719807757e-08
59,0.705956518650055,119.50150429056178,7.477022998236348e-08,6.741809961831975e-08,7.313180510096998e-08,8.148973515106125e-08
60,0.5462926030159002,124.26019209911512,6.567430610614459e-08,5.3552477948665134e-08,6.367867041258196e-08,7.661781537579397e-08
61,0.4204235970973968,129.0678850820543,5.5025989528841155e-08,4.334654614041619e-08,5.367795387860438e-08,6.473712945090772e-08
62,0.3217835724353792,134.07248354606006,6.140055079905902e-08,4.924374516441848e-08,5.923343214932295e-08,7.14851786763485e-08
63,0.24493755400180758,139.49182341933508,9.511393124366123e-08,6.989189237560298e-08,8.766383754977777e-08,1.1446443327076464e-07
64,0.18542200326919586,145.53657974798668,1.631157202787333e-07,1.002227180200814e-07,1.3763361648901767e-07,2.0488411471434112e-07
65,0.13959898054599765,151.93939327345697,2.0750029911751507e-07,1.211273890791651e-07,1.7772008042461762e-07,2.5867710978094705e-07
66,0.10452400892972945,158.88929696286775,1.8952109154949265e-07,1.2811272818383929e-07,1.8026086197071162e-07,2.5049570860028597e-07
67,0.07767251133918768,165.48256960765983,2.2691124967802612e-07,1.3658604023237403e-07,2.180406741339458e-07,2.994998261167392e-07
68,0.056792508810758584,171.42659336444058,2.569023878342463e-07,1.8392649466306144e-07,2.384781266247249e-07,3.245781505199774e-07
69,0.04014250636100761,177.6333305500759,4.0646918340539014e-07,2.7369753184854073e-07,3.8166642416653795e-07,4.934924796792806e-07
70,0.02635000087320806,187.62940859763327,9.178981634870684e-07,5.26732336747493e-07,7.141873195753989e-07,9.929958841928266e-07
71,0.014999999664723887,209.86898406193973,2.9200482043479268e-06,1.7903927559959065e-06,2.8528512786007987e-06,3.91405007435508e-06
