lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-3.580119077751338e+16,-1.4069663536126296e+16,-1386693458531520.0,5034516646388298.0
1,971.6244310048473,0.36625663400749947,-3.59986851085214e+16,-1.396147063825721e+16,-1247485082546992.0,5071686458872791.0
2,956.7542402749618,0.5001096160252074,-3.612541209029722e+16,-9049334459608656.0,-993920651269956.0,5211202365002604.0
3,941.8841473755075,0.6358236496946832,-3.669573849885283e+16,-6103263363326648.0,-914074583845432.0,5418125669181436.0
4,927.0137936180281,0.7737023136984883,-3.3093273607393136e+16,-5139881841676032.0,-576363408512456.0,7407038206982496.0
5,912.1431877107561,0.9140599557728831,-2.5106549722903612e+16,-2725064618109692.0,522692862179824.0,8866145496623172.0
6,897.2725265381572,1.056517394691973,-1.5120878089128772e+16,-2070162724561696.0,900849469983202.0,1.0464079429300464e+16
7,882.4015480213002,1.200972749516894,-4671616214323157.0,-1082152406152612.0,2022325652754296.0,1.5170703648580458e+16
8,867.5303567964003,1.3475120190675405,1145598427727710.5,-1447484424672982.0,2732837173587336.0,1.7631261035915898e+16
9,852.6592652163091,1.4962539028284811,5212502516043388.0,-1333277060831442.0,4014037570373256.0,1.7326690505897048e+16
10,837.7879949747113,1.6472308870137926,7078777279051753.0,-403111216403000.0,5794735616919952.0,1.7002950326933104e+16
11,822.9164001887356,1.8005751816165532,8346874918103332.0,748434749240092.0,7869840970447824.0,1.6759532807380084e+16
12,805.5656263644386,1.9827939680123745,1.046866797433966e+16,2894196674997064.0,1.1095103495235064e+16,1.7787174764436994e+16
13,783.256871457526,2.2224936871622756,1.4671834033036946e+16,5766174361882854.0,1.3197626970751976e+16,1.946334300057416e+16
14,758.4695103909143,2.4962949930620897,1.9837558042551264e+16,1.0118168881310488e+16,1.4580770890900914e+16,2.4964011547117812e+16
15,733.6809880795391,2.77814138452743,2.4287941185028036e+16,1.1330255399042256e+16,1.7163365052800624e+16,3.058009276680248e+16
16,708.8908488634015,3.067972755313559,2.9067652122463384e+16,1.152888263368942e+16,2.01980019418032e+16,3.786905601686418e+16
17,684.1004760822683,3.3661126328894038,3.40301797507971e+16,1.1602073704041504e+16,2.181896750680336e+16,3.964180205309659e+16
18,653.1112285285492,3.753393324301299,3.9137880844337416e+16,1.1113246593791426e+16,2.5762230477856004e+16,4.488711000469827e+16
19,615.9205705120047,4.2379797038361025,4.441230420154568e+16,1.0862870899096168e+16,2.804475862678068e+16,4.522924644153872e+16
20,578.7272043823215,4.752775529501931,4.697106312643719e+16,1.0330224013574538e+16,2.810844629923995e+16,4.519082484799091e+16
21,541.5297974405477,5.293982624262083,4.630435255663649e+16,1.231857161041348e+16,3.1402123623486876e+16,4.9557441619227464e+16
22,504.3267976709419,5.866525051820845,4.218533230993732e+16,1.363450962305958e+16,3.174672660814425e+16,5.0464317560429256e+16
23,467.1182254346348,6.4783499666903825,3.68317966442921e+16,1.3665541715711772e+16,3.237304474890883e+16,4.917894407080935e+16
24,429.9018516259439,7.130616001171602,3.306380604063833e+16,1.3192078292633172e+16,2.886251523279053e+16,4.774918399438806e+16
25,392.6748148107893,7.8276962056910495,3.4818133173885124e+16,8699790974344176.0,2.8891233651282384e+16,4.758326557266739e+16
26,355.4364121658684,8.582381437087088,5.3569284675727016e+16,6008215568013800.0,1.6633951333421816e+16,5.958146688469318e+16
27,312.2568471757569,9.510262026437415,9.87995873819907e+16,4289677090874204.0,1.1867049877643856e+16,1.0642244033282261e+17
28,266.2024287155883,10.602168136966553,1.4183695329207014e+17,4847293631507402.0,1.06786810125848e+16,1.426135850841025e+17
29,226.40807678064118,11.660990898666412,1.4471305066989008e+17,4985471159435896.0,1.222391687135868e+16,1.1572697976971162e+17
30,192.52002788560424,12.736811932907898,1.1479494854289944e+17,5091601946707400.0,1.3866566559412792e+16,8.529814101190266e+16
31,163.6614990234374,13.78656633117675,9.608962699496312e+16,7031801046510680.0,1.2946408992519316e+16,5.676523993277651e+16
32,139.11500549316403,14.787671064298221,5.550710403433775e+16,7487959189862624.0,1.2633477226685044e+16,2.967837715019964e+16
