lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-1.2841592667426426e+16,-3603599117601491.0,-3626228614736.699,16168443094999.97
1,971.6244310048473,0.36625663400749947,-1.321620936312707e+16,-3848942835447086.0,-3623809655694.6562,16090311242728.928
2,956.7542402749618,0.5001096160252074,-1.452922912214866e+16,-4442734271561588.0,-22473579017881.72,10325614996220.463
3,941.8841473755075,0.6358236496946832,-1.527338698062764e+16,-4689410019060954.0,-13530521836044.32,10958341350758.717
4,927.0137936180281,0.7737023136984883,-1.3641143792192856e+16,-3769563894635172.0,-11924853744371.617,20112425648675.92
5,912.1431877107561,0.9140599557728831,-1.0990163977797192e+16,-2735754900774748.5,-29322520554127.57,28449388125090.92
6,897.2725265381572,1.056517394691973,-7541897468007731.0,-2243570235738202.5,-7531806908995.371,50767151204081.16
7,882.4015480213002,1.200972749516894,-4420398707359258.5,-1027506176480701.8,-19678164311867.383,29672989990415.188
8,867.5303567964003,1.3475120190675405,-3244177799778979.0,-719635022656832.0,-33937735858139.65,42644154156062.79
9,852.6592652163091,1.4962539028284811,-1812452971394297.0,-780712471316649.2,-88078824935091.0,21990845293732.402
10,837.7879949747113,1.6472308870137926,-1454296188298137.0,-795272768667521.5,-134503404465690.62,39335261524881.17
11,822.9164001887356,1.8005751816165532,-1511890982767670.5,-906010890463971.9,-137561770828649.25,50594966768243.47
12,805.5656263644386,1.9827939680123745,-1171861121428650.8,-823873263233441.0,-106031365944049.44,43708031219746.81
13,783.256871457526,2.2224936871622756,-897206035155246.8,-821013734117473.5,-65285515237667.34,93023325273072.16
14,758.4695103909143,2.4962949930620897,-573580605497427.4,-752226744947581.0,-91659209009802.0,282904142732773.8
15,733.6809880795391,2.77814138452743,405246096844323.8,-620126957715357.5,3416952124209.582,436542923847245.75
16,708.8908488634015,3.067972755313559,1515413750886855.2,-310715379389945.94,144616557963538.03,805961855825509.4
17,684.1004760822683,3.3661126328894038,3753139492811877.0,-38107194357808.69,562271873490691.1,3580509222301002.0
18,653.1112285285492,3.753393324301299,7335082527591315.0,132718893570886.72,1105011227311675.0,8557156455850363.0
19,615.9205705120047,4.2379797038361025,1.2288269727028434e+16,358059257826277.75,2134800684268046.8,1.2530545505795868e+16
20,578.7272043823215,4.752775529501931,1.5285512526831024e+16,744053047186921.1,3591223873488018.0,1.4149109123435276e+16
21,541.5297974405477,5.293982624262083,2.0213244373415972e+16,1564036292910349.0,5948806059999403.0,1.888870206880077e+16
22,504.3267976709419,5.866525051820845,3.3446905924621296e+16,1587146217857748.2,8696560784548668.0,3.54947222471106e+16
23,467.1182254346348,6.4783499666903825,5.1916476019528504e+16,971887320891665.0,1.0844113250543214e+16,6.241715985866916e+16
24,429.9018516259439,7.130616001171602,8.106410058473227e+16,2028762986717346.2,2.2404816513678692e+16,1.1046962698440882e+17
25,392.6748148107893,7.8276962056910495,1.1659159916376216e+17,1517920207301482.0,2.926236314189397e+16,1.2157173495876314e+17
26,355.4364121658684,8.582381437087088,1.2523336834823829e+17,1223321562643880.2,3.860108918974549e+16,1.61388162916145e+17
27,312.2568471757569,9.510262026437415,1.1326442860168286e+17,377812989929279.5,2.598038667943682e+16,1.8462993441492563e+17
28,266.2024287155883,10.602168136966553,4.7400157563138e+17,9003116528234960.0,4.034535324732587e+16,8.266392152688886e+17
29,226.40807678064118,11.660990898666412,1.2364983749087903e+18,8403268827342296.0,4.757439813233321e+16,2.1266544115996027e+18
30,192.52002788560424,12.736811932907898,1.4091316649846758e+18,4806768235395329.0,3.4026250504105344e+16,2.2842492315279355e+18
31,163.6614990234374,13.78656633117675,1.3016008389698947e+18,2336808695458394.5,2.376341338929623e+16,1.8929724542246042e+18
32,139.11500549316403,14.787671064298221,1.203645680730445e+18,1025242996893718.2,7068903607517128.0,1.0592081326948056e+18
33,118.25,15.906170270258151,1.529316530639915e+18,324837853793774.7,1714507663947983.2,3.3974895821460774e+17
34,100.51435089111324,17.24273064490245,1.2578033160624678e+17,221461925823679.16,524485578934004.75,7.746662646040896e+16
35,85.43901824951189,18.813372559902348,5144982634887240.0,132177694078611.28,285010580764513.1,705827244461444.8
36,72.55786132812501,20.65052603534648,493480378336159.1,25020070847743.234,53389341184115.95,113423014673499.47
37,61.495662689209006,22.74331462627693,4206270514863.0024,-4989425633618.441,5491435931491.047,18297077889812.047
38,52.015911102294844,24.86505040859316,26696439136612.848,4946492403826.246,14265278310314.188,32800881470026.297
39,43.90966415405282,27.052485734519244,21612333100043.59,-2638208260494.9023,10870897692131.93,36405485405583.39
40,36.9927101135254,29.32647120258809,3648023996155.4565,-2174217218304.3584,1861100306306.3242,9222115628957.738
41,31.08891105651863,31.748905700260213,230062425757.57315,-724371927465.8086,177304110757.69922,1386204434560.4521
42,26.049108505249027,34.31199278898532,562056115519.2622,-196342352347.20505,98529075491.32452,957578354978.5559
43,21.76100349426269,37.02114906529215,-121136022175.99498,-237406454292.17383,-28757149304.100098,178897347538.65558
44,18.124349594116172,40.00166859906441,-304914321370.8378,-562346207784.5448,26457071255.921875,449434877932.5722
45,15.05025005340576,43.13537659190267,128177339524.09918,-2199409879639.8643,481075613008.48047,2359667650602.843
46,12.460150718688988,46.41231625206779,519755880760.96246,-1361399105610.5938,660692339354.125,3104362759591.75
