lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-5.0460557458946824e+16,-3.164319603438139e+16,248003106210624.0,1.3088037333559588e+16
1,971.6244310048473,0.36625663400749947,-5.092928610328033e+16,-3.159311642218168e+16,310036397412864.0,1.2967511899117168e+16
2,956.7542402749618,0.5001096160252074,-5.218997004551494e+16,-2.331758855928736e+16,502342962584320.0,1.2484969929902336e+16
3,941.8841473755075,0.6358236496946832,-5.320959529265338e+16,-1.8263677242736544e+16,677276993454720.0,1.1912313375187392e+16
4,927.0137936180281,0.7737023136984883,-4.703014934214679e+16,-1.5152807390920736e+16,1850722495006656.0,1.0859153536291744e+16
5,912.1431877107561,0.9140599557728831,-3.504273834413639e+16,-5171406514637968.0,4200798740410048.0,1.2353660850258928e+16
6,897.2725265381572,1.056517394691973,-2.010146244007468e+16,-634996710279520.0,5943229989045568.0,1.4011447057249936e+16
7,882.4015480213002,1.200972749516894,-5750541653716476.0,2038055679502400.0,7729326408863104.0,1.8168296425293812e+16
8,867.5303567964003,1.3475120190675405,2171418118301659.5,3829057835753072.0,9130784081644608.0,1.968843208174341e+16
9,852.6592652163091,1.4962539028284811,8415706569996639.0,5161742805176128.0,1.0481754289306176e+16,1.9450321145499696e+16
10,837.7879949747113,1.6472308870137926,1.0895004251116304e+16,5561778596082784.0,1.2601897116831136e+16,1.904877378109063e+16
11,822.9164001887356,1.8005751816165532,1.220409427963022e+16,6812778661374560.0,1.4687739911503712e+16,1.977819509788947e+16
12,805.5656263644386,1.9827939680123745,1.4812658843827544e+16,8004172177784928.0,1.576843208531172e+16,2.1760993281020864e+16
13,783.256871457526,2.2224936871622756,1.977061361858455e+16,1.0465029820719392e+16,1.6948938071851216e+16,2.6208944322674972e+16
14,758.4695103909143,2.4962949930620897,2.4954062744760532e+16,1.342127214690467e+16,1.8876144586050784e+16,3.1372593367047124e+16
15,733.6809880795391,2.77814138452743,2.9783565163665764e+16,1.3068282028900508e+16,2.0704341514335296e+16,3.930522039800478e+16
16,708.8908488634015,3.067972755313559,3.4911314988401876e+16,1.3468068191069524e+16,2.520575685680132e+16,4.353258947388532e+16
17,684.1004760822683,3.3661126328894038,4.141559076951929e+16,1.4763692150761166e+16,2.6901073184991744e+16,4.856485315145898e+16
18,653.1112285285492,3.753393324301299,4.954050120246902e+16,1.5787296028619704e+16,3.153690524811195e+16,6.308113359145153e+16
19,615.9205705120047,4.2379797038361025,5.976551948231635e+16,1.672558877443624e+16,3.3257625544068216e+16,6.664867310689108e+16
20,578.7272043823215,4.752775529501931,6.5110504008145224e+16,1.6502031505277952e+16,3.4642703806222256e+16,5.68941042774741e+16
21,541.5297974405477,5.293982624262083,6.879245675086979e+16,1.8104724100778096e+16,4.448371652600982e+16,6.005616282206958e+16
22,504.3267976709419,5.866525051820845,7.80732589319088e+16,2.334536965353436e+16,5.620759829070336e+16,8.86424293656879e+16
23,467.1182254346348,6.4783499666903825,9.15032797579074e+16,2.1693847123495024e+16,5.866680738572392e+16,1.1130913618564667e+17
24,429.9018516259439,7.130616001171602,1.1669196201674446e+17,2.6974696826544864e+16,6.375715673722365e+16,1.4755383346797434e+17
25,392.6748148107893,7.8276962056910495,1.5351313751587622e+17,2.402702713443221e+16,7.199356703249149e+16,1.6288166236406394e+17
26,355.4364121658684,8.582381437087088,1.8044666474222992e+17,2.613903770480799e+16,7.95063489325481e+16,2.2663398294127923e+17
27,312.2568471757569,9.510262026437415,2.1376781451435328e+17,2.296797382977841e+16,5.988087299151258e+16,3.336487162991029e+17
28,266.2024287155883,10.602168136966553,6.179388546379622e+17,2.4948676967701064e+16,6.853591509886952e+16,1.1699080828924175e+18
29,226.40807678064118,11.660990898666412,1.383432962298308e+18,2.2108528003607184e+16,1.205996265126254e+17,2.474612025952288e+18
30,192.52002788560424,12.736811932907898,1.5259280721720038e+18,1.85876228794588e+16,8.3544078565612e+16,2.7729145511449836e+18
31,163.6614990234374,13.78656633117675,1.3991380857591014e+18,1.816948471717955e+16,3.742580571856235e+16,2.3003096581614267e+18
32,139.11500549316403,14.787671064298221,1.260293365354344e+18,1.1283853978258648e+16,2.219092971096901e+16,1.3324519083302203e+18
33,118.25,15.906170270258151,1.5523180926239972e+18,8352553365658032.0,1.5000274543078896e+16,3.7525107503212397e+17
34,100.51435089111324,17.24273064490245,1.3799454386213194e+17,5959519232606716.0,9514934353309152.0,1.0397848197778384e+17
35,85.43901824951189,18.813372559902348,1.0046267190418188e+16,2893745756517632.0,3649725328867848.0,5543502326362028.0
36,72.55786132812501,20.65052603534648,1163615050894964.8,339450732553108.0,549561521585152.0,1001156911291532.0
37,61.495662689209006,22.74331462627693,55072991173997.3,-53805199150276.0,92189667718192.0,190045966153220.0
38,52.015911102294844,24.86505040859316,195065709192416.3,-63092188812688.0,109046149199704.0,376655906137344.0
39,43.90966415405282,27.052485734519244,-123790383065500.98,-527335464809280.0,27707689254088.0,435185261960096.0
40,36.9927101135254,29.32647120258809,114587418037192.28,-529339519441300.0,222110945385832.0,740467884525844.0
41,31.08891105651863,31.748905700260213,120649462956439.53,-464704143295824.0,93387419933104.0,726153126266976.0
42,26.049108505249027,34.31199278898532,-41662959143122.12,-538409696588672.0,-56040762331568.0,507143101299904.0
43,21.76100349426269,37.02114906529215,89937555117314.67,-730696584737640.0,113476837474000.0,952443289372656.0
44,18.124349594116172,40.00166859906441,-9271637110358.902,-808759498943832.0,-78771437557552.0,785532276724336.0
45,15.05025005340576,43.13537659190267,145893192288923.6,-744037979428768.0,31277429432192.0,884339323068128.0
46,12.460150718688988,46.41231625206779,102084497596172.86,-549070810494240.0,75453780504160.0,756075963563552.0
47,10.284920692443848,49.82768019095182,285940408601978.8,-207513227034496.0,243149680375008.0,683910512005136.0
48,8.45639133453367,53.56635280817698,262676186953601.25,-2174838327552.0,284543708411584.0,553741656142272.0
49,6.9183211326599094,57.94668908538693,382400918918389.0,150347181847840.0,387711240557504.0,640883861748176.0
50,5.631801128387452,62.66958728955136,515297963219169.44,266492753413728.0,464437634481472.0,723651335301216.0
51,4.561686038970957,67.91525438663359,757101855715398.2,448791497524480.0,701874569239744.0,1027084650741504.0
52,3.6765010356903076,73.3631121633128,1051220680234603.0,578152632760064.0,977628743286336.0,1483222402668160.0
53,2.948321104049681,79.34230382171329,1662334379732443.2,985487504658688.0,1556186664896128.0,2302734049529344.0
54,2.352590560913084,86.018857705306,1311889186599182.5,574348367009664.0,1302291157113600.0,2168883713457792.0
55,1.867879986762998,93.22960225320968,1198168745065187.2,11012376438144.0,1186621666720000.0,2566776608269440.0
56,1.475649952888488,100.60502256166222,-1347968944440363.2,-3714462208016000.0,-1133564403112192.0,1098766439553792.0
57,1.159975051879883,107.73082344928824,-5837541297036772.0,-8531533340809984.0,-5427982056546304.0,-2745290485211776.0
58,0.9072870612144474,113.85502993179693,-1.1857293947707408e+16,-1.4472726994685952e+16,-1.072789903522816e+16,-8530474800777600.0
59,0.705956518650055,119.50150429056178,-1.2673696092087574e+16,-1.5855790390900992e+16,-1.2164290631782144e+16,-8665166822868480.0
60,0.5462926030159002,124.26019209911512,-1.0021345101199942e+16,-1.1968277491406848e+16,-9787251962771968.0,-7438499287968256.0
61,0.4204235970973968,129.0678850820543,-7038831537499501.0,-8464639795948032.0,-6816485297873408.0,-5563817718060544.0
62,0.3217835724353792,134.07248354606006,-4337508798856342.5,-5579208274853888.0,-4115973869130752.0,-2669588827503872.0
63,0.24493755400180758,139.49182341933508,-2985726082402003.0,-4017872177242880.0,-3154973220951040.0,-1999716451280896.0
64,0.18542200326919586,145.53657974798668,-2396809437682467.0,-3212784811553792.0,-2513532003332096.0,-1564098474670592.0
65,0.13959898054599765,151.93939327345697,-2096173025505714.2,-2898130753363968.0,-2020095502855168.0,-1123945315041280.0
66,0.10452400892972945,158.88929696286775,-1953079078693915.5,-2832524820256256.0,-1685966513828864.0,-807332294148608.0
67,0.07767251133918768,165.48256960765983,-2120354658733718.5,-2966348328248320.0,-1962776543744000.0,-1193521306747392.0
68,0.056792508810758584,171.42659336444058,-3238391659350573.0,-4310580926500864.0,-2993858817013760.0,-2009718662463488.0
69,0.04014250636100761,177.6333305500759,-6067608238137158.0,-7691046347260928.0,-5192863999972352.0,-3108727760334848.0
