lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-5.150943018043825e+18,-1.1830287843692954e+18,1.4092458630223913e+18,5.095202516468255e+18
1,971.6244310048473,0.36625663400749947,-5.164039873235644e+18,-1.0948658449572198e+18,1.4153056368181617e+18,5.218776759151407e+18
2,956.7542402749618,0.5001096160252074,-5.246882473261062e+18,-1.4636224857884856e+18,1.4350560442013266e+18,5.181703464720415e+18
3,941.8841473755075,0.6358236496946832,-4.985354815627073e+18,-8.008899051629937e+17,1.7606950252931912e+18,4.782270917352554e+18
4,927.0137936180281,0.7737023136984883,-4.1722301861325297e+18,-2.295847183497262e+17,1.6024932810211e+18,4.87750865268729e+18
5,912.1431877107561,0.9140599557728831,-2.6615013723891113e+18,-4.900146111915674e+16,1.4467701721866926e+18,4.512040152220151e+18
6,897.2725265381572,1.056517394691973,-9.664463119721243e+17,2.4074180673918157e+17,1.3720001145650867e+18,4.470262068897778e+18
7,882.4015480213002,1.200972749516894,9.039701399699116e+17,7.587293167202038e+17,1.930147153057428e+18,4.700838433757322e+18
8,867.5303567964003,1.3475120190675405,1.9624443098666685e+18,9.381491476490834e+17,1.9684670764289618e+18,4.527788854669205e+18
9,852.6592652163091,1.4962539028284811,2.565436257481553e+18,1.076595736881579e+18,2.3010840092612413e+18,4.382019701374942e+18
10,837.7879949747113,1.6472308870137926,2.9491373065747656e+18,1.2338662402068157e+18,2.975106628637949e+18,4.2626817628338145e+18
11,822.9164001887356,1.8005751816165532,3.195029536665133e+18,1.2372777641781238e+18,3.1493577776616914e+18,4.127050511677134e+18
12,805.5656263644386,1.9827939680123745,3.468881750913457e+18,1.8356055903500337e+18,3.2244166133728164e+18,4.288793474360032e+18
13,783.256871457526,2.2224936871622756,3.565306556677003e+18,1.9992283089212544e+18,3.0702253562581555e+18,4.5300970811904696e+18
14,758.4695103909143,2.4962949930620897,3.513851162945432e+18,1.8700883428379448e+18,2.762459629347605e+18,4.392759581340939e+18
15,733.6809880795391,2.77814138452743,3.3689822207721144e+18,1.8951236257945508e+18,2.474861235353713e+18,4.157390690162214e+18
16,708.8908488634015,3.067972755313559,3.3020168706641377e+18,1.907243550228224e+18,2.327702122632662e+18,4.1210225388767027e+18
17,684.1004760822683,3.3661126328894038,3.253980933204493e+18,1.735847380935729e+18,2.2843572109336722e+18,3.9879268136157225e+18
18,653.1112285285492,3.753393324301299,3.2642115048864497e+18,1.7581527680978708e+18,2.356338989519506e+18,4.1400375088024694e+18
19,615.9205705120047,4.2379797038361025,3.201043223409392e+18,1.7038260623724178e+18,2.2437629135587628e+18,4.258063371762074e+18
20,578.7272043823215,4.752775529501931,2.989753857921009e+18,1.7259926445400082e+18,2.263516085319382e+18,4.011058578024503e+18
21,541.5297974405477,5.293982624262083,2.7920470842288497e+18,1.691395440229018e+18,2.166937254096021e+18,3.304690095416653e+18
22,504.3267976709419,5.866525051820845,2.4849816985041044e+18,1.6280254127803246e+18,1.945379455532666e+18,2.7888373777514916e+18
23,467.1182254346348,6.4783499666903825,2.2533675337656758e+18,1.2549889624997821e+18,1.7064588746166879e+18,3.274054745977599e+18
24,429.9018516259439,7.130616001171602,2.159215233573792e+18,1.0836861692933161e+18,1.521169380788452e+18,3.3619695874989036e+18
25,392.6748148107893,7.8276962056910495,2.1983818099673234e+18,1.0234817163162926e+18,1.429937772558703e+18,3.302245298528727e+18
26,355.4364121658684,8.582381437087088,2.581065767148651e+18,8.419301041365312e+17,1.2887484520644874e+18,4.238366014251349e+18
27,312.2568471757569,9.510262026437415,3.886801336448537e+18,7.038456601696993e+17,1.195364075640558e+18,5.121630549385901e+18
28,266.2024287155883,10.602168136966553,5.028423389928722e+18,6.450679819306642e+17,1.0093874240777108e+18,4.712309580170812e+18
29,226.40807678064118,11.660990898666412,3.7264728165762596e+18,6.388475963908378e+17,9.049844492561562e+17,3.827380848664823e+18
30,192.52002788560424,12.736811932907898,2.9176488885117967e+18,6.623326415064325e+17,9.321233326266092e+17,3.5776223524884664e+18
31,163.6614990234374,13.78656633117675,2.5221972105059323e+18,7.314185889247468e+17,1.1844016938987901e+18,3.445738970434639e+18
32,139.11500549316403,14.787671064298221,2.0958734005242025e+18,6.85541947245087e+17,1.3921267143919104e+18,3.0632871103886633e+18
33,118.25,15.906170270258151,1.516587643612163e+18,8.296818930146698e+17,1.239936142202925e+18,2.296167796534216e+18
