lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-3.738501786241625e+16,-1.2946560076949044e+16,-19080869298425.625,45899202188399.695
1,971.6244310048473,0.36625663400749947,-3.813824164690546e+16,-1.34813753622375e+16,-25188249167875.86,47704007748515.984
2,956.7542402749618,0.5001096160252074,-4.016089566181114e+16,-1.4461117024566672e+16,-90862009335400.81,19327142909205.227
3,941.8841473755075,0.6358236496946832,-4.1758318298163704e+16,-1.477874920077032e+16,-64223062059844.25,31310322331900.227
4,927.0137936180281,0.7737023136984883,-3.7527108927206504e+16,-1.2335805024260452e+16,-43587526779772.84,49747257411983.04
5,912.1431877107561,0.9140599557728831,-3.0493229993410292e+16,-7237165502310772.0,-62365577776215.375,181714343571494.06
6,897.2725265381572,1.056517394691973,-2.1506423637029224e+16,-5360804375055938.0,-12241110638984.445,496112785626486.25
7,882.4015480213002,1.200972749516894,-1.3082898563812826e+16,-1860953965703866.0,-7945023544634.855,776074471014755.9
8,867.5303567964003,1.3475120190675405,-8490346438618043.0,-1026462282276820.0,11400023530821.328,892121820680147.8
9,852.6592652163091,1.4962539028284811,-3931562250062815.5,-999401943246173.0,-1913384685410.7266,861944849802503.0
10,837.7879949747113,1.6472308870137926,-1289785837876697.8,-816360993179062.0,40766444418556.58,1019038051275073.6
11,822.9164001887356,1.8005751816165532,-1061370095462386.9,-914883470414448.8,49160573839622.91,1292485947195685.0
12,805.5656263644386,1.9827939680123745,378185628651130.25,-897693274070881.0,56840005350823.59,1045937222801090.4
13,783.256871457526,2.2224936871622756,2042248865105825.0,-899997687125422.0,51495933699075.875,1426586838333251.5
14,758.4695103909143,2.4962949930620897,3390887870147150.0,-687175494726704.5,89338841354703.1,1743107513013309.0
15,733.6809880795391,2.77814138452743,5410172044881717.0,-214410683528928.62,669546176031408.2,2148601109968513.5
16,708.8908488634015,3.067972755313559,9072160530957762.0,-66881578922803.125,1418872909665568.2,4901536898929470.0
17,684.1004760822683,3.3661126328894038,1.5992291687268412e+16,75344157960306.72,2354430702584442.0,1.4572113634186432e+16
18,653.1112285285492,3.753393324301299,2.665334269734394e+16,290378239811757.9,2883706126377882.0,2.080611737015249e+16
19,615.9205705120047,4.2379797038361025,4.131191474867082e+16,310616479561692.25,3552149442379827.0,2.311694025970331e+16
20,578.7272043823215,4.752775529501931,5.16225298964768e+16,214215100896583.72,3294989489995325.0,1.6665113519206874e+16
21,541.5297974405477,5.293982624262083,6.246668989875872e+16,520527101534979.1,6400588125043276.0,1.7737766471565452e+16
22,504.3267976709419,5.866525051820845,7.685569601747142e+16,227565463313123.38,6386143350322302.0,3.1843878715699268e+16
23,467.1182254346348,6.4783499666903825,9.531382708935686e+16,206939160198640.5,6347239422622848.0,5.889451584133185e+16
24,429.9018516259439,7.130616001171602,1.1725142169207058e+17,591965058462313.5,1.1897734930533296e+16,1.14326655042017e+17
25,392.6748148107893,7.8276962056910495,1.4380713335898488e+17,1775881341678005.5,1.953385743984811e+16,2.2017813245024874e+17
26,355.4364121658684,8.582381437087088,1.970383021766584e+17,7287626414597232.0,4.041360322769107e+16,3.0075578569896826e+17
27,312.2568471757569,9.510262026437415,3.363855045084025e+17,6914821378936655.0,4.865449105093526e+16,4.4995972403468e+17
28,266.2024287155883,10.602168136966553,6.666048358842591e+17,6677594128872068.0,3.848478689281857e+16,1.292687099566015e+18
29,226.40807678064118,11.660990898666412,1.0473701111886632e+18,4495996931406194.5,3.0975434211533304e+16,1.9544103029559516e+18
30,192.52002788560424,12.736811932907898,1.0548361413917925e+18,2970748523551980.5,3.1933454560117784e+16,1.7942000962690452e+18
31,163.6614990234374,13.78656633117675,8.753619980328284e+17,2962641169608340.5,1.6943728525530464e+16,1.2468544637572716e+18
32,139.11500549316403,14.787671064298221,6.977989515178015e+17,1332185577359980.0,9362261822468744.0,8.069363630557005e+17
33,118.25,15.906170270258151,7.843910027106659e+17,1234231743711988.0,3147705058788025.5,2.1846314181916397e+17
34,100.51435089111324,17.24273064490245,8.756712884438531e+16,1045099761806284.4,2341388218558335.0,6.1709545295367896e+16
35,85.43901824951189,18.813372559902348,5154232883403904.0,809556412425590.2,1242759625829761.8,2191160761469193.5
36,72.55786132812501,20.65052603534648,729165142897342.4,200703096473579.5,319410629450540.9,532139922893606.0
