lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,4.030449423195347e+19,1.5071225299054625e+19,5.694397640275126e+19,9.059751524445494e+19
1,971.6244310048473,0.36625663400749947,4.100766424848116e+19,1.705679262723824e+19,5.647005349958307e+19,8.95772573470851e+19
2,956.7542402749618,0.5001096160252074,4.137575469188019e+19,1.7808227131851506e+19,5.879021629539916e+19,8.545926990620905e+19
3,941.8841473755075,0.6358236496946832,4.06103676376735e+19,2.1398545817197404e+19,5.814098704516009e+19,8.311166447194433e+19
4,927.0137936180281,0.7737023136984883,3.5454020613612687e+19,1.7710448842360832e+19,5.118114590283661e+19,6.51873926379193e+19
5,912.1431877107561,0.9140599557728831,3.351275442220039e+19,2.0813125805934723e+19,4.369798643391521e+19,5.380643868657919e+19
6,897.2725265381572,1.056517394691973,3.435569171385942e+19,2.3800406628002103e+19,3.644519525410944e+19,4.76971947962954e+19
7,882.4015480213002,1.200972749516894,3.4739998168658158e+19,2.6508501869862978e+19,3.336272960790705e+19,4.458468950008907e+19
8,867.5303567964003,1.3475120190675405,3.4189270583651734e+19,2.6883563877190038e+19,3.1500788008689517e+19,4.3377483108711105e+19
9,852.6592652163091,1.4962539028284811,3.274509188338484e+19,2.6036840563146064e+19,3.0403174191234384e+19,4.062096695432043e+19
10,837.7879949747113,1.6472308870137926,3.0708476278830174e+19,2.482064928421652e+19,2.9218088043363254e+19,3.813217590148599e+19
11,822.9164001887356,1.8005751816165532,2.8657083817596735e+19,2.310651912531292e+19,2.8325957001977213e+19,3.4814937855743492e+19
12,805.5656263644386,1.9827939680123745,2.692583413878366e+19,2.264726525855788e+19,2.7153591191060906e+19,3.2078273990364307e+19
13,783.256871457526,2.2224936871622756,2.4409552511240032e+19,2.0876770595321815e+19,2.521778034821691e+19,2.8735186950982218e+19
14,758.4695103909143,2.4962949930620897,2.2838335189032452e+19,1.974497024749422e+19,2.4692370877907206e+19,2.6742380695244943e+19
15,733.6809880795391,2.77814138452743,2.126522260935985e+19,1.7550434356579082e+19,2.3385195324881797e+19,2.5951826448495882e+19
16,708.8908488634015,3.067972755313559,2.0700047442311483e+19,1.7409659500688237e+19,2.1666941066619142e+19,2.5218939786816184e+19
17,684.1004760822683,3.3661126328894038,2.1020998643239494e+19,1.7890851796260876e+19,2.172141001230119e+19,2.5110928410689167e+19
18,653.1112285285492,3.753393324301299,2.147109782247868e+19,1.78116015325988e+19,2.1417132583883833e+19,2.5501684361694364e+19
19,615.9205705120047,4.2379797038361025,2.145199926756879e+19,1.8131956340326662e+19,2.1419692046929773e+19,2.5951384325241836e+19
20,578.7272043823215,4.752775529501931,2.026252646559859e+19,1.697508095883165e+19,1.9898160074139025e+19,2.47261630728508e+19
21,541.5297974405477,5.293982624262083,1.8997569495466656e+19,1.6109945965565219e+19,1.8728345959906898e+19,2.2801064286694195e+19
22,504.3267976709419,5.866525051820845,1.7877452100834933e+19,1.4952427734154535e+19,1.8432038293304508e+19,2.0625169074077876e+19
23,467.1182254346348,6.4783499666903825,1.6957237906386735e+19,1.4572643723571036e+19,1.7029083884906086e+19,2.0102345983500124e+19
24,429.9018516259439,7.130616001171602,1.7013711954379706e+19,1.4206615055654527e+19,1.7305269748255515e+19,1.9854014431012286e+19
25,392.6748148107893,7.8276962056910495,1.7816167324675482e+19,1.62596617130709e+19,1.735635498801501e+19,2.0274429589056184e+19
26,355.4364121658684,8.582381437087088,1.838069408178506e+19,1.4841400035136627e+19,1.7824507109202166e+19,2.2526597456580854e+19
27,312.2568471757569,9.510262026437415,1.8907310054066827e+19,1.1391017337248678e+19,1.4700929901097452e+19,2.311540526330777e+19
28,266.2024287155883,10.602168136966553,1.9257212038941856e+19,9.677262714667938e+18,1.2943854973851173e+19,2.03801208915223e+19
29,226.40807678064118,11.660990898666412,1.6547546994485789e+19,9.030598711717499e+18,1.1985043422649491e+19,1.791566697548052e+19
30,192.52002788560424,12.736811932907898,1.4730942905825309e+19,9.709258897225376e+18,1.2241037950111457e+19,1.6337123442921325e+19
31,163.6614990234374,13.78656633117675,1.529044417623043e+19,1.0658006225120408e+19,1.538810747796154e+19,1.93126689759469e+19
32,139.11500549316403,14.787671064298221,1.827712897844663e+19,1.1366887123354886e+19,2.004391842889587e+19,2.3490235588278043e+19
33,118.25,15.906170270258151,2.3533653537735975e+19,1.907127880030417e+19,2.4177943823531696e+19,2.7840865621362246e+19
34,100.51435089111324,17.24273064490245,1.995255065574416e+19,1.7491534773407998e+19,1.9242988292238213e+19,2.114900804226623e+19
35,85.43901824951189,18.813372559902348,1.0832133504077926e+19,9.484238778888487e+18,1.0361173019991966e+19,1.2032295688750064e+19
36,72.55786132812501,20.65052603534648,2.502535033323215e+18,1.728292365139837e+18,2.3770527234160394e+18,3.477038999535534e+18
37,61.495662689209006,22.74331462627693,-4.8863557830965165e+17,-8.179248277163704e+17,-4.476608593541366e+17,-2.7506699663629517e+17
38,52.015911102294844,24.86505040859316,-1.7273760918318944e+16,-2.677634163138396e+17,2.7350963729301504e+16,1.735470896380969e+17
39,43.90966415405282,27.052485734519244,3.124481999750156e+16,-2.8169537974770074e+17,4.014484230404506e+16,4.2091370808211866e+17
40,36.9927101135254,29.32647120258809,3.044331409631439e+17,3.515579273446195e+16,3.160032904702689e+17,6.398174347406049e+17
41,31.08891105651863,31.748905700260213,2.8565470755516032e+17,-2.982168323234038e+17,2.5027113835249664e+17,9.162301720485396e+17
42,26.049108505249027,34.31199278898532,-1.508176051192139e+17,-1.0261372557791724e+18,1.3753393212588032e+16,8.399315398524109e+17
43,21.76100349426269,37.02114906529215,7.77633449145175e+17,-2.625290032640819e+16,8.347663567827436e+17,1.7368478293597225e+18
44,18.124349594116172,40.00166859906441,-1.1899178288934446e+17,-1.1130768487691059e+18,-2.2838310469035622e+17,8.028968684358042e+17
45,15.05025005340576,43.13537659190267,-1.0939251560281237e+17,-8.401442052527882e+17,-4.66285731774464e+16,7.483807602966528e+17
46,12.460150718688988,46.41231625206779,1.587247625277774e+17,-6.261424106148004e+17,2.2684195064348672e+17,1.035217421153239e+18
47,10.284920692443848,49.82768019095182,1.0724981042807362e+17,-4.3283694314389504e+17,1.8828531560762573e+17,6.075221747590758e+17
48,8.45639133453367,53.56635280817698,-4.7580079207799194e+17,-9.657896149695201e+17,-4.849988182531113e+17,6.546462172676096e+16
49,6.9183211326599094,57.94668908538693,-7.028886948857729e+17,-1.1370631839192515e+18,-7.08951950744748e+17,-1.659562680138793e+17
50,5.631801128387452,62.66958728955136,-7.882830545197722e+17,-1.0997641682408571e+18,-7.418450788057743e+17,-3.624480902361907e+17
51,4.561686038970957,67.91525438663359,-6.713070220664408e+17,-1.0625262901552415e+18,-6.807743765345075e+17,-3.3498615731103334e+17
52,3.6765010356903076,73.3631121633128,-7.676117337618684e+17,-1.132134682439123e+18,-7.400785733562532e+17,-4.8373616244647526e+17
53,2.948321104049681,79.34230382171329,-8.262320322507195e+17,-1.162323060509573e+18,-8.388140749581844e+17,-5.222612958180475e+17
54,2.352590560913084,86.018857705306,-1.030934492789393e+18,-1.3376201664744653e+18,-1.0357882001378509e+18,-7.104507764499415e+17
55,1.867879986762998,93.22960225320968,-9.973125652755075e+17,-1.4292984190227907e+18,-9.994856520378614e+17,-5.493271555900375e+17
56,1.475649952888488,100.60502256166222,-1.7048132240160914e+18,-2.1971478036132004e+18,-1.6858362404675912e+18,-1.1228173416544338e+18
57,1.159975051879883,107.73082344928824,-2.224723327137771e+18,-2.8364473916904735e+18,-2.197244064279167e+18,-1.550219333566972e+18
58,0.9072870612144474,113.85502993179693,-2.710770694584447e+18,-3.3173568230751273e+18,-2.8076713976327373e+18,-2.147230855564329e+18
59,0.705956518650055,119.50150429056178,-2.090252884326701e+18,-2.536197763162882e+18,-2.1130565599605228e+18,-1.7012660776140472e+18
60,0.5462926030159002,124.26019209911512,-1.3418767476914135e+18,-1.7367679774028595e+18,-1.2924859957412495e+18,-9.443965310606213e+17
61,0.4204235970973968,129.0678850820543,-9.323233629117539e+17,-1.2282206729315942e+18,-8.787418772596654e+17,-5.97555879007871e+17
62,0.3217835724353792,134.07248354606006,-5.909741275357015e+17,-8.029726550506373e+17,-5.6287233047679795e+17,-3.4534649776389325e+17
63,0.24493755400180758,139.49182341933508,-4.293652036369384e+17,-5.50310742806356e+17,-4.024687965253304e+17,-2.5811071267568845e+17
64,0.18542200326919586,145.53657974798668,-3.652881687243224e+17,-4.5069166008469914e+17,-3.54269200276652e+17,-2.2613222411768627e+17
65,0.13959898054599765,151.93939327345697,-3.18934915110935e+17,-4.314146677132411e+17,-3.034203301065523e+17,-1.9916730501372314e+17
66,0.10452400892972945,158.88929696286775,-2.825437436672355e+17,-3.83390667528577e+17,-2.6467407918628864e+17,-1.581978436397056e+17
67,0.07767251133918768,165.48256960765983,-2.604285573621413e+17,-3.334062095907717e+17,-2.3940094367955354e+17,-1.5486881402548224e+17
68,0.056792508810758584,171.42659336444058,-3.1005798715588045e+17,-4.2585007457416806e+17,-2.885844417978204e+17,-1.9100200280584192e+17
69,0.04014250636100761,177.6333305500759,-4.984586243628961e+17,-6.35730334084481e+17,-4.252837408209633e+17,-2.4938633685608858e+17
70,0.02635000087320806,187.62940859763327,-8.340011011672627e+17,-9.746912912022405e+17,-7.401313094799196e+17,-4.455873742749614e+17
71,0.014999999664723887,209.86898406193973,-1.3161546928370688e+18,-1.7440612549479793e+18,-1.248453815899521e+18,-7.739051597015286e+17
