lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1933160042410871.0,-1342681577788224.0,-72398267270407.0,2930500341279326.0
1,971.6244310048473,0.36625663400749947,1685339552682597.2,-2069961486895993.0,-132235421990373.5,2685523088348533.0
2,956.7542402749618,0.5001096160252074,1637632929942466.8,-1853975344664604.0,-111816989576860.5,2221655507560890.0
3,941.8841473755075,0.6358236496946832,1836523266182457.0,-1155536860882808.0,14085823264393.0,2153743872074030.0
4,927.0137936180281,0.7737023136984883,1781228776542223.8,-529845376621184.0,91089131653913.5,1906959337570372.0
5,912.1431877107561,0.9140599557728831,1405085039372571.2,-441118941217199.0,-18118995975855.5,1211717757333580.0
6,897.2725265381572,1.056517394691973,657527123591848.1,-616059931479333.2,-27021997329306.25,432881529484698.25
7,882.4015480213002,1.200972749516894,55735538564779.42,-716345150613272.8,-34910541625767.875,123545089850805.12
8,867.5303567964003,1.3475120190675405,-288670563062088.6,-651801764480243.5,-89938300244684.06,19418752180784.97
9,852.6592652163091,1.4962539028284811,-438020127510084.25,-622281360542724.2,-106686785228580.69,11116001519627.0
10,837.7879949747113,1.6472308870137926,-587617238692903.2,-681000807090394.9,-132249300632669.81,-8871746775362.39
11,822.9164001887356,1.8005751816165532,-658411443322581.0,-693797289690980.4,-194749738297213.84,-23674854273734.062
12,805.5656263644386,1.9827939680123745,-671944298326113.1,-660540618217844.8,-206441450939872.8,-35723422060059.25
13,783.256871457526,2.2224936871622756,-653864586187814.2,-655928144700539.0,-223588572036773.97,-50505298395994.37
14,758.4695103909143,2.4962949930620897,-554566962872712.7,-608911750040903.1,-211558245232378.88,-73727758972393.06
15,733.6809880795391,2.77814138452743,-455851162248639.1,-550452993679320.06,-249196310262668.75,-79231358584986.44
16,708.8908488634015,3.067972755313559,-393181477998911.44,-552394736507440.0,-265664844228049.16,-96937679989431.3
17,684.1004760822683,3.3661126328894038,-413372427494065.56,-559342161819584.75,-276451916087523.56,-122588925621863.19
18,653.1112285285492,3.753393324301299,-464169130542189.56,-544245822309513.0,-274436186591259.7,-128067751789254.27
19,615.9205705120047,4.2379797038361025,-536723332636976.94,-456508040160859.44,-256910873945876.56,-135581851132070.02
20,578.7272043823215,4.752775529501931,-591705232658480.4,-393356359366006.3,-220230523264337.66,-129339187698174.25
21,541.5297974405477,5.293982624262083,-604745059071444.1,-360367183898694.4,-200396344418322.2,-93208857700082.83
22,504.3267976709419,5.866525051820845,-518412043090889.0,-396211525724888.5,-147914012730325.88,-81527432594066.22
23,467.1182254346348,6.4783499666903825,-441689124310237.56,-412006769553036.75,-129388902088180.89,-55569705610574.58
24,429.9018516259439,7.130616001171602,-323971173925706.8,-353460481299296.6,-131992495662592.22,-56384204912263.51
25,392.6748148107893,7.8276962056910495,-217348461057358.97,-317981358671232.44,-138722994054654.14,-58774480498261.61
26,355.4364121658684,8.582381437087088,-72308249541446.98,-222263837715563.66,-145498279541711.28,-27551370999524.188
27,312.2568471757569,9.510262026437415,193882864504345.28,-236491610171698.3,-131327061856822.45,258637002995856.0
28,266.2024287155883,10.602168136966553,281331275944348.25,-237008599747873.62,-117469245741027.45,624694867377325.5
29,226.40807678064118,11.660990898666412,-158121094633507.12,-298540719514443.1,-139429856174461.08,-78056339839039.66
30,192.52002788560424,12.736811932907898,-524540356240604.8,-380464988839080.8,-194602527680507.97,-121178201748782.16
31,163.6614990234374,13.78656633117675,-913710384563480.8,-1331262842481772.5,-287144885439475.9,-136207401010617.0
32,139.11500549316403,14.787671064298221,-777228028732684.8,-1488429377700228.0,-384212733117845.9,-189812134421962.12
33,118.25,15.906170270258151,-1670079608490059.5,-999381991875879.2,-379936236703433.4,-260734543382714.44
34,100.51435089111324,17.24273064490245,-467499265606446.56,-350788041576297.44,-271960772791203.12,-204372438302970.28
35,85.43901824951189,18.813372559902348,-132615535027487.4,-151001657012878.62,-118737852534393.38,-92954384672367.5
36,72.55786132812501,20.65052603534648,-31062041888527.89,-45695013014418.44,-26829713432856.375,-12762061023131.688
37,61.495662689209006,22.74331462627693,3557971478928.1113,-2899734730952.6562,2242999763767.375,10629141470069.844
38,52.015911102294844,24.86505040859316,-206615607818.27634,-1510497650756.9375,-610170726915.625,753031362773.25
39,43.90966415405282,27.052485734519244,-1428963690470.2412,-2110934710667.4062,-1491437617154.5,-755926259875.625
40,36.9927101135254,29.32647120258809,-244197020020.54028,-507215385939.25,-230382779965.78125,-1499162999.265625
41,31.08891105651863,31.748905700260213,-141074852741.97818,-338342376110.3047,-218143475849.65625,-16686851395.328125
42,26.049108505249027,34.31199278898532,-1312300590.9090838,-260896733244.85938,-58557799828.03906,143282895315.77734
43,21.76100349426269,37.02114906529215,-12007816708.40853,-289542848333.0371,-81768675171.28906,82158591801.86133
44,18.124349594116172,40.00166859906441,132884533680.24898,-284885348150.4082,-55854307940.08594,280791204478.64844
45,15.05025005340576,43.13537659190267,194702361249.77866,-206081870020.21875,32763975026.984375,361207840218.99023
46,12.460150718688988,46.41231625206779,58258536488.75778,-119871703530.56152,8629413033.68164,182013394210.79395
47,10.284920692443848,49.82768019095182,-13000345144.39468,-122386754988.30566,-24245188729.50586,56214772088.25488
48,8.45639133453367,53.56635280817698,2317664075.9295607,-42060697940.336426,-13143474794.573242,22330104310.854492
49,6.9183211326599094,57.94668908538693,-2074024761.8654833,-37393070488.85449,-16859382675.86621,5236327324.367676
50,5.631801128387452,62.66958728955136,-10728235891.947395,-27676299456.304688,-14547235936.3125,1246871110.7263184
51,4.561686038970957,67.91525438663359,-10229508516.576588,-17213448762.07959,-9526039954.81836,-1998570631.335083
52,3.6765010356903076,73.3631121633128,-12247740737.74337,-16126676690.094727,-10851417650.24121,-6067421342.897949
53,2.948321104049681,79.34230382171329,-11165861507.506292,-14631030661.998169,-10072538866.324951,-6622178312.667114
54,2.352590560913084,86.018857705306,-10376414451.666496,-14210565036.83368,-8486095935.858154,-5603683458.290405
55,1.867879986762998,93.22960225320968,-8176011986.000164,-10944408607.096924,-6612539353.543396,-3938095163.7763367
56,1.475649952888488,100.60502256166222,-5282487543.640976,-6944535565.022736,-4317631659.894836,-2882235411.8579254
57,1.159975051879883,107.73082344928824,-3698701738.012254,-4359714229.530792,-3125088463.0710754,-2280246829.528511
58,0.9072870612144474,113.85502993179693,-2582282011.1202345,-3382553354.726715,-1928512802.6992035,-1242513070.5231133
59,0.705956518650055,119.50150429056178,-1519883040.613545,-1768671017.032486,-988562040.217186,-643325832.8249454
60,0.5462926030159002,124.26019209911512,-815184591.3870533,-885051645.9600525,-460685119.2662468,-294637381.6358471
61,0.4204235970973968,129.0678850820543,-532858347.06877255,-471732116.6516304,-261712596.12185287,-129050441.43667889
62,0.3217835724353792,134.07248354606006,-404061085.1351602,-376967000.9261379,-188003682.66835976,-77372699.038486
63,0.24493755400180758,139.49182341933508,-280587571.90417576,-271156979.67957306,-143259896.4385109,-56531167.91290188
64,0.18542200326919586,145.53657974798668,-203107785.80127612,-245462598.3225422,-107723997.55603409,-47108322.57528353
65,0.13959898054599765,151.93939327345697,-153952039.63065815,-205728945.42494202,-80104586.0358429,-39325305.841073036
66,0.10452400892972945,158.88929696286775,-111190240.28885396,-123193958.80477715,-56116072.56300831,-29218804.649754286
67,0.07767251133918768,165.48256960765983,-70169682.63117784,-78157159.40833569,-35511856.11019039,-16142190.24959135
68,0.056792508810758584,171.42659336444058,-40625547.10144108,-48888022.80649567,-18575112.801938534,-8229660.541097522
69,0.04014250636100761,177.6333305500759,-18041637.21005086,-21947239.497317314,-8293201.8427808285,-3044329.4470580816
70,0.02635000087320806,187.62940859763327,-6756390.866522077,-8932531.780000687,-2705224.2167251706,-1329905.1277709007
71,0.014999999664723887,209.86898406193973,-1975273.2186457526,-2728029.7818331122,-1480091.9198004901,-772126.3557392284
