lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-112850270026.53558,-3457889920.679062,-144406366.2542039,591213855.4858663
1,971.6244310048473,0.36625663400749947,-119050932729.64539,-2469666350.929663,-138107338.3872506,419711627.86873806
2,956.7542402749618,0.5001096160252074,-116432353125.62483,-2248123469.147564,-105680517.41019194,513134462.0935838
3,941.8841473755075,0.6358236496946832,-117240797635.87807,-2123727357.6462092,-147646677.86736578,323018582.90095943
4,927.0137936180281,0.7737023136984883,-93232760774.31017,-1175235450.5409925,-105140808.05764346,144524873.49046943
5,912.1431877107561,0.9140599557728831,-51743853374.04158,-1743197257.3782969,-115686253.62801686,109306283.73702575
6,897.2725265381572,1.056517394691973,-22535509254.385025,-1861364114.8475144,-153570489.370879,70871292.05600008
7,882.4015480213002,1.200972749516894,-29626065412.545452,-2399285814.8788457,-185962470.04856658,19224583.603056762
8,867.5303567964003,1.3475120190675405,-22646361681.635727,-2152996343.6851525,-207566170.23500332,-3710395.902313136
9,852.6592652163091,1.4962539028284811,-27820054307.49792,-2121611669.0972116,-279988452.9195827,-3265500.0315825846
10,837.7879949747113,1.6472308870137926,-14531007418.775692,-2228480223.8836184,-136908635.400968,51247394.61188577
11,822.9164001887356,1.8005751816165532,-49549007334.94483,-1646691206.8540082,-107897867.26284702,103390394.63883711
12,805.5656263644386,1.9827939680123745,-141352476873.30402,-1747733760.7051795,-142735088.01897234,124822517.25782686
13,783.256871457526,2.2224936871622756,-108900984836.84967,-1869750689.5191004,-173236463.47189462,20741956.466032386
14,758.4695103909143,2.4962949930620897,-5058285814.282174,-1852958918.1498156,-245313504.21988285,846709.5367451624
15,733.6809880795391,2.77814138452743,-3524103059.0351744,-1650907822.2492762,-310465541.11091274,11416204.100983124
16,708.8908488634015,3.067972755313559,-4791310517.349353,-1381795194.699662,-260239079.70458406,24484974.98395168
17,684.1004760822683,3.3661126328894038,-4268640715.07647,-1218364850.7784588,-207370032.24938154,20415571.115241725
18,653.1112285285492,3.753393324301299,-5132683863.505386,-1367788005.9959846,-305960240.9989333,21990076.402414925
19,615.9205705120047,4.2379797038361025,-4748582455.213245,-1896312115.4332073,-512509746.0701723,6694517.232558369
20,578.7272043823215,4.752775529501931,-3701632338.524689,-1838179757.0216165,-467036457.20759314,-12352749.084103836
21,541.5297974405477,5.293982624262083,-2612819217.3104615,-1256131342.0525718,-437856307.09003156,-23577865.88380503
22,504.3267976709419,5.866525051820845,-4124703551.26874,-1375840632.17433,-241645796.02090776,-25658213.765861582
