lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-2.68337811657405e+17,-5.299526089278751e+17,-9.579864174467482e+16,-5.980031024811213e+16
1,971.6244310048473,0.36625663400749947,-2.609500998054219e+17,-4.9408317025419264e+17,-1.019502573607977e+17,-6.355611222540288e+16
2,956.7542402749618,0.5001096160252074,-2.5890999630387418e+17,-4.864208456772485e+17,-1.3742352213999616e+17,-6.570951936783155e+16
3,941.8841473755075,0.6358236496946832,-2.5210483340550947e+17,-4.3978978247049216e+17,-1.2895771110984909e+17,-6.625776560557261e+16
4,927.0137936180281,0.7737023136984883,-2.1481479051432467e+17,-3.502176002606367e+17,-8.39701415517225e+16,-5.325338056523776e+16
5,912.1431877107561,0.9140599557728831,-1.8225075234145926e+17,-3.00291538751062e+17,-6.596741498955366e+16,-3.291778721284096e+16
6,897.2725265381572,1.056517394691973,-1.6012339774593885e+17,-2.6514710390348186e+17,-6.667895484396339e+16,-3.1839399529414656e+16
7,882.4015480213002,1.200972749516894,-1.58375982564973e+17,-1.8420337758149018e+17,-6.285490787896525e+16,-3.053000320863437e+16
8,867.5303567964003,1.3475120190675405,-1.5426563521265296e+17,-1.6208141420344115e+17,-6.097257343903334e+16,-3.777326709270118e+16
9,852.6592652163091,1.4962539028284811,-1.4307234884659762e+17,-1.588828308667433e+17,-5.991055573481882e+16,-3.630158178093466e+16
10,837.7879949747113,1.6472308870137926,-1.2500337786278984e+17,-1.2909193450212557e+17,-5.417225155982131e+16,-3.542482741190656e+16
11,822.9164001887356,1.8005751816165532,-1.3508423611339486e+17,-1.3003830152527872e+17,-5.228118297153536e+16,-3.581191558365184e+16
12,805.5656263644386,1.9827939680123745,-1.2958471595741496e+17,-9.90652605112361e+16,-5.13511035728896e+16,-3.3435255780040704e+16
13,783.256871457526,2.2224936871622756,-1.2224144206846438e+17,-9.42788556557271e+16,-5.193931619398042e+16,-3.2795492173963264e+16
14,758.4695103909143,2.4962949930620897,-1.1235938520633618e+17,-8.98863813775278e+16,-4.956670731998822e+16,-3.0682359824656384e+16
15,733.6809880795391,2.77814138452743,-9.549564703775326e+16,-7.413019265756774e+16,-4.610850211929907e+16,-2.610614415318221e+16
16,708.8908488634015,3.067972755313559,-8.01799507511502e+16,-7.377012155757773e+16,-4.162708309351936e+16,-2.1430609145573376e+16
17,684.1004760822683,3.3661126328894038,-7.41237177877049e+16,-7.704570508956877e+16,-3.92207717161513e+16,-1.9762630997776384e+16
18,653.1112285285492,3.753393324301299,-7.279234231997582e+16,-7.262359930026086e+16,-3.96650602389504e+16,-2.4033101831996416e+16
19,615.9205705120047,4.2379797038361025,-6.821257158708256e+16,-5.922191808177869e+16,-3.847655993960858e+16,-2.2539738258028544e+16
20,578.7272043823215,4.752775529501931,-6.458727989748744e+16,-4.797746633362483e+16,-3.457975616475443e+16,-2.1524658800475136e+16
21,541.5297974405477,5.293982624262083,-6.331804202778206e+16,-4.686060202546893e+16,-3.3916633310198784e+16,-2.3686904012971264e+16
22,504.3267976709419,5.866525051820845,-5.992571615474676e+16,-4.587922213490278e+16,-3.085623553973555e+16,-2.4834001218638336e+16
23,467.1182254346348,6.4783499666903825,-5.7236064243488104e+16,-4.589377007447142e+16,-3.3709988127873536e+16,-2.5634377618110464e+16
24,429.9018516259439,7.130616001171602,-5.715860136434809e+16,-5.095620404477082e+16,-3.730355271779123e+16,-2.8931293581218816e+16
25,392.6748148107893,7.8276962056910495,-6.117392683474991e+16,-6.088114947154842e+16,-4.425190272854989e+16,-3.2904097695268096e+16
