lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.0644124030377687e+18,1.0231056053288073e+18,1.0644124030377687e+18,1.10571920074673e+18
1,971.6244310048473,0.36625663400749947,1.0623606906827715e+18,1.02081803660383e+18,1.0623606906827715e+18,1.1039033447617128e+18
2,956.7542402749618,0.5001096160252074,1.0749785802724938e+18,1.032825989926219e+18,1.0749785802724938e+18,1.1171311706187686e+18
3,941.8841473755075,0.6358236496946832,1.1238987263656376e+18,1.080762737866394e+18,1.1238987263656376e+18,1.1670347148648812e+18
4,927.0137936180281,0.7737023136984883,1.0862640103532268e+18,1.0462611325810783e+18,1.0862640103532268e+18,1.1262668881253752e+18
5,912.1431877107561,0.9140599557728831,9.779351814001522e+17,9.457395907870047e+17,9.779351814001522e+17,1.0101307720132997e+18
6,897.2725265381572,1.056517394691973,8.208824013064113e+17,7.993485955878934e+17,8.208824013064113e+17,8.42416207024929e+17
7,882.4015480213002,1.200972749516894,6.57169557977165e+17,6.436111021862112e+17,6.57169557977165e+17,6.707280137681189e+17
8,867.5303567964003,1.3475120190675405,5.1226331507039424e+17,5.047682487556074e+17,5.1226331507039424e+17,5.1975838138518106e+17
9,852.6592652163091,1.4962539028284811,3.964772123849912e+17,3.9483680530995405e+17,3.964772123849912e+17,3.9811761946002835e+17
10,837.7879949747113,1.6472308870137926,3.235028675482881e+17,3.225326739097349e+17,3.235028675482881e+17,3.2447306118684134e+17
11,822.9164001887356,1.8005751816165532,2.5290303348588877e+17,2.5016771681169843e+17,2.5290303348588877e+17,2.5563835016007907e+17
12,805.5656263644386,1.9827939680123745,1.8606883062230106e+17,1.8130261881477238e+17,1.8606883062230106e+17,1.9083504242982976e+17
13,783.256871457526,2.2224936871622756,1.413109883387445e+17,1.3464927051939827e+17,1.413109883387445e+17,1.4797270615809072e+17
14,758.4695103909143,2.4962949930620897,1.2222760941229408e+17,1.1464091387259701e+17,1.2222760941229408e+17,1.2981430495199115e+17
15,733.6809880795391,2.77814138452743,1.1557397101718832e+17,1.0742316432264475e+17,1.1557397101718832e+17,1.2372477771173189e+17
16,708.8908488634015,3.067972755313559,1.0955093867648144e+17,1.0025296647938062e+17,1.0955093867648144e+17,1.1884891087358227e+17
17,684.1004760822683,3.3661126328894038,1.0569174386859357e+17,9.445383003258874e+16,1.0569174386859357e+17,1.169296577045984e+17
18,653.1112285285492,3.753393324301299,1.0365014912119069e+17,8.946539517363754e+16,1.0365014912119069e+17,1.1783490306874382e+17
19,615.9205705120047,4.2379797038361025,1.0292791908483994e+17,8.42453416204821e+16,1.0292791908483994e+17,1.216104965491978e+17
20,578.7272043823215,4.752775529501931,1.0976636199496736e+17,8.786700034613074e+16,1.0976636199496736e+17,1.3166572364380398e+17
21,541.5297974405477,5.293982624262083,1.1422014309343565e+17,8.830136303910944e+16,1.1422014309343565e+17,1.4013892314776184e+17
22,504.3267976709419,5.866525051820845,1.3138802958878605e+17,9.877684247475957e+16,1.3138802958878605e+17,1.6399921670281254e+17
23,467.1182254346348,6.4783499666903825,1.7424058266826106e+17,1.2801472965447798e+17,1.7424058266826106e+17,2.204664356820441e+17
24,429.9018516259439,7.130616001171602,2.6503567693102608e+17,1.9584122468537443e+17,2.6503567693102608e+17,3.3423012917667776e+17
25,392.6748148107893,7.8276962056910495,4.756211893813848e+17,3.696538239412849e+17,4.756211893813848e+17,5.815885548214847e+17
26,355.4364121658684,8.582381437087088,8.88491517379646e+17,7.630969292509016e+17,8.88491517379646e+17,1.0138861055083904e+18
27,312.2568471757569,9.510262026437415,1.5066161943562788e+18,1.3698062047786225e+18,1.5066161943562788e+18,1.6434261839339354e+18
28,266.2024287155883,10.602168136966553,2.642963424036113e+18,2.192469394440947e+18,2.642963424036113e+18,3.093457453631279e+18
29,226.40807678064118,11.660990898666412,4.328844798106526e+18,3.309314199213607e+18,4.328844798106526e+18,5.348375396999446e+18
30,192.52002788560424,12.736811932907898,4.5588074528251274e+18,3.4227656631297393e+18,4.5588074528251274e+18,5.694849242520516e+18
31,163.6614990234374,13.78656633117675,5.171145402500383e+18,4.082092983722272e+18,5.171145402500383e+18,6.260197821278493e+18
32,139.11500549316403,14.787671064298221,7.836013349525899e+18,6.750951152741165e+18,7.836013349525899e+18,8.921075546310634e+18
33,118.25,15.906170270258151,4.3597982316406564e+18,2.9415418277856737e+18,4.3597982316406564e+18,5.778054635495639e+18
34,100.51435089111324,17.24273064490245,3.707725210111303e+17,2.9208963330758054e+17,3.707725210111303e+17,4.4945540871468006e+17
35,85.43901824951189,18.813372559902348,1.1703448206176878e+17,1.1597247127174285e+17,1.1703448206176878e+17,1.1809649285179472e+17
36,72.55786132812501,20.65052603534648,7.587903382475408e+16,7.572013542161347e+16,7.587903382475408e+16,7.603793222789469e+16
37,61.495662689209006,22.74331462627693,7.686586215653683e+16,7.681548514630171e+16,7.686586215653683e+16,7.691623916677195e+16
38,52.015911102294844,24.86505040859316,9.063451748734674e+16,9.052714270401683e+16,9.063451748734674e+16,9.074189227067664e+16
39,43.90966415405282,27.052485734519244,1.0814528579897171e+17,1.0806346477530144e+17,1.0814528579897171e+17,1.0822710682264197e+17
40,36.9927101135254,29.32647120258809,1.3310758837734902e+17,1.3303896979586026e+17,1.3310758837734902e+17,1.3317620695883781e+17
41,31.08891105651863,31.748905700260213,1.684636950213109e+17,1.6841295695485558e+17,1.684636950213109e+17,1.685144330877662e+17
42,26.049108505249027,34.31199278898532,2.0634961196947043e+17,2.062981625501445e+17,2.0634961196947043e+17,2.0640106138879635e+17
43,21.76100349426269,37.02114906529215,2.336883145422172e+17,2.3362417735702058e+17,2.336883145422172e+17,2.3375245172741382e+17
44,18.124349594116172,40.00166859906441,2.6419231545001146e+17,2.6416528035754893e+17,2.6419231545001146e+17,2.6421935054247402e+17
45,15.05025005340576,43.13537659190267,3.2950139828930566e+17,3.294488775523358e+17,3.2950139828930566e+17,3.295539190262755e+17
46,12.460150718688988,46.41231625206779,4.0140697157116115e+17,4.0133823512001216e+17,4.0140697157116115e+17,4.0147570802231014e+17
47,10.284920692443848,49.82768019095182,4.687753442918266e+17,4.687137759342986e+17,4.687753442918266e+17,4.688369126493546e+17
48,8.45639133453367,53.56635280817698,5.464505302537495e+17,5.464486544003338e+17,5.464505302537495e+17,5.464524061071652e+17
49,6.9183211326599094,57.94668908538693,6.526363812174682e+17,6.525786487527291e+17,6.526363812174682e+17,6.526941136822071e+17
50,5.631801128387452,62.66958728955136,7.837760233431839e+17,7.836882029246125e+17,7.837760233431839e+17,7.838638437617554e+17
51,4.561686038970957,67.91525438663359,1.065699965312886e+18,1.065462751256578e+18,1.065699965312886e+18,1.065937179369194e+18
52,3.6765010356903076,73.3631121633128,1.3924054993427988e+18,1.392091344794208e+18,1.3924054993427988e+18,1.39271965389139e+18
53,2.948321104049681,79.34230382171329,1.5840354739224888e+18,1.583749495797132e+18,1.5840354739224888e+18,1.5843214520478454e+18
54,2.352590560913084,86.018857705306,1.7708896909129674e+18,1.7705443199702702e+18,1.7708896909129674e+18,1.7712350618556646e+18
55,1.867879986762998,93.22960225320968,2.22060959904009e+18,2.22007170967415e+18,2.22060959904009e+18,2.22114748840603e+18
56,1.475649952888488,100.60502256166222,2.83588843435669e+18,2.835743006774305e+18,2.83588843435669e+18,2.836033861939075e+18
57,1.159975051879883,107.73082344928824,3.469052098437204e+18,3.4678231446766495e+18,3.469052098437204e+18,3.470281052197759e+18
58,0.9072870612144474,113.85502993179693,3.9447782210778783e+18,3.9413604088589967e+18,3.9447782210778783e+18,3.94819603329676e+18
59,0.705956518650055,119.50150429056178,4.898675928073573e+18,4.895120550201586e+18,4.898675928073573e+18,4.902231305945561e+18
60,0.5462926030159002,124.26019209911512,6.307514871009706e+18,6.30476305315432e+18,6.307514871009706e+18,6.310266688865092e+18
61,0.4204235970973968,129.0678850820543,7.994073661724819e+18,7.991913369502875e+18,7.994073661724819e+18,7.996233953946763e+18
