lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-1.6522719083584525e+17,-1.6522719083584525e+17,-1.6522719083584525e+17,-1.6522719083584525e+17
1,971.6244310048473,0.36625663400749947,-1.6617061631576538e+17,-1.6617061631576538e+17,-1.6617061631576538e+17,-1.6617061631576538e+17
2,956.7542402749618,0.5001096160252074,-1.6861036138509926e+17,-1.6861036138509926e+17,-1.6861036138509926e+17,-1.6861036138509926e+17
3,941.8841473755075,0.6358236496946832,-1.725439539969746e+17,-1.725439539969746e+17,-1.725439539969746e+17,-1.725439539969746e+17
4,927.0137936180281,0.7737023136984883,-1.6001151108859392e+17,-1.6001151108859392e+17,-1.6001151108859392e+17,-1.6001151108859392e+17
5,912.1431877107561,0.9140599557728831,-1.2878236245259008e+17,-1.2878236245259008e+17,-1.2878236245259008e+17,-1.2878236245259008e+17
6,897.2725265381572,1.056517394691973,-8.613522287407117e+16,-8.613522287407117e+16,-8.613522287407117e+16,-8.613522287407117e+16
7,882.4015480213002,1.200972749516894,-5.423382316381542e+16,-5.423382316381542e+16,-5.423382316381542e+16,-5.423382316381542e+16
8,867.5303567964003,1.3475120190675405,-2.998026525914739e+16,-2.998026525914739e+16,-2.998026525914739e+16,-2.998026525914739e+16
9,852.6592652163091,1.4962539028284811,-6561628300148544.0,-6561628300148544.0,-6561628300148544.0,-6561628300148544.0
10,837.7879949747113,1.6472308870137926,3880774554212864.0,3880774554212864.0,3880774554212864.0,3880774554212864.0
11,822.9164001887356,1.8005751816165532,1.0941266696761312e+16,1.0941266696761312e+16,1.0941266696761312e+16,1.0941266696761312e+16
12,805.5656263644386,1.9827939680123745,1.9064847230114784e+16,1.9064847230114784e+16,1.9064847230114784e+16,1.9064847230114784e+16
13,783.256871457526,2.2224936871622756,2.664687127738493e+16,2.664687127738493e+16,2.664687127738493e+16,2.664687127738493e+16
14,758.4695103909143,2.4962949930620897,3.034678215878829e+16,3.034678215878829e+16,3.034678215878829e+16,3.034678215878829e+16
15,733.6809880795391,2.77814138452743,3.260322677817427e+16,3.260322677817427e+16,3.260322677817427e+16,3.260322677817427e+16
16,708.8908488634015,3.067972755313559,3.719188878840331e+16,3.719188878840331e+16,3.719188878840331e+16,3.719188878840331e+16
17,684.1004760822683,3.3661126328894038,4.495165534401933e+16,4.495165534401933e+16,4.495165534401933e+16,4.495165534401933e+16
18,653.1112285285492,3.753393324301299,5.673901579021259e+16,5.673901579021259e+16,5.673901579021259e+16,5.673901579021259e+16
19,615.9205705120047,4.2379797038361025,7.473030985743141e+16,7.473030985743141e+16,7.473030985743141e+16,7.473030985743141e+16
20,578.7272043823215,4.752775529501931,8.75974465953465e+16,8.75974465953465e+16,8.75974465953465e+16,8.75974465953465e+16
21,541.5297974405477,5.293982624262083,1.0367512021730478e+17,1.0367512021730478e+17,1.0367512021730478e+17,1.0367512021730478e+17
22,504.3267976709419,5.866525051820845,1.3044474845610597e+17,1.3044474845610597e+17,1.3044474845610597e+17,1.3044474845610597e+17
23,467.1182254346348,6.4783499666903825,1.849034120551322e+17,1.849034120551322e+17,1.849034120551322e+17,1.849034120551322e+17
24,429.9018516259439,7.130616001171602,2.7677780898260666e+17,2.7677780898260666e+17,2.7677780898260666e+17,2.7677780898260666e+17
25,392.6748148107893,7.8276962056910495,4.238694617603994e+17,4.238694617603994e+17,4.238694617603994e+17,4.238694617603994e+17
26,355.4364121658684,8.582381437087088,5.015783525149774e+17,5.015783525149774e+17,5.015783525149774e+17,5.015783525149774e+17
27,312.2568471757569,9.510262026437415,5.4723995831062605e+17,5.4723995831062605e+17,5.4723995831062605e+17,5.4723995831062605e+17
28,266.2024287155883,10.602168136966553,1.8019761183806638e+18,1.8019761183806638e+18,1.8019761183806638e+18,1.8019761183806638e+18
29,226.40807678064118,11.660990898666412,4.078122395571678e+18,4.078122395571678e+18,4.078122395571678e+18,4.078122395571678e+18
30,192.52002788560424,12.736811932907898,4.5441671587815537e+18,4.5441671587815537e+18,4.5441671587815537e+18,4.5441671587815537e+18
31,163.6614990234374,13.78656633117675,4.356209675112441e+18,4.356209675112441e+18,4.356209675112441e+18,4.356209675112441e+18
32,139.11500549316403,14.787671064298221,4.34024878713894e+18,4.34024878713894e+18,4.34024878713894e+18,4.34024878713894e+18
33,118.25,15.906170270258151,5.673025615419932e+18,5.673025615419932e+18,5.673025615419932e+18,5.673025615419932e+18
34,100.51435089111324,17.24273064490245,3.147315508141989e+17,3.147315508141989e+17,3.147315508141989e+17,3.147315508141989e+17
35,85.43901824951189,18.813372559902348,4248043160103712.0,4248043160103712.0,4248043160103712.0,4248043160103712.0
36,72.55786132812501,20.65052603534648,635593612562400.0,635593612562400.0,635593612562400.0,635593612562400.0
37,61.495662689209006,22.74331462627693,-201508040940480.0,-201508040940480.0,-201508040940480.0,-201508040940480.0
38,52.015911102294844,24.86505040859316,429499133319648.0,429499133319648.0,429499133319648.0,429499133319648.0
39,43.90966415405282,27.052485734519244,-327284094681072.0,-327284094681072.0,-327284094681072.0,-327284094681072.0
40,36.9927101135254,29.32647120258809,274474325955088.0,274474325955088.0,274474325955088.0,274474325955088.0
41,31.08891105651863,31.748905700260213,202952265821280.0,202952265821280.0,202952265821280.0,202952265821280.0
42,26.049108505249027,34.31199278898532,205797677303680.0,205797677303680.0,205797677303680.0,205797677303680.0
43,21.76100349426269,37.02114906529215,256548740786464.0,256548740786464.0,256548740786464.0,256548740786464.0
44,18.124349594116172,40.00166859906441,-108140369850144.0,-108140369850144.0,-108140369850144.0,-108140369850144.0
45,15.05025005340576,43.13537659190267,210082947879424.0,210082947879424.0,210082947879424.0,210082947879424.0
46,12.460150718688988,46.41231625206779,274945804595840.0,274945804595840.0,274945804595840.0,274945804595840.0
47,10.284920692443848,49.82768019095182,246273430111872.0,246273430111872.0,246273430111872.0,246273430111872.0
48,8.45639133453367,53.56635280817698,7503413662592.0,7503413662592.0,7503413662592.0,7503413662592.0
49,6.9183211326599094,57.94668908538693,230929858955904.0,230929858955904.0,230929858955904.0,230929858955904.0
50,5.631801128387452,62.66958728955136,351281674285952.0,351281674285952.0,351281674285952.0,351281674285952.0
51,4.561686038970957,67.91525438663359,948856225231872.0,948856225231872.0,948856225231872.0,948856225231872.0
52,3.6765010356903076,73.3631121633128,1256618194364160.0,1256618194364160.0,1256618194364160.0,1256618194364160.0
53,2.948321104049681,79.34230382171329,1143912501426432.0,1143912501426432.0,1143912501426432.0,1143912501426432.0
54,2.352590560913084,86.018857705306,1381483770789376.0,1381483770789376.0,1381483770789376.0,1381483770789376.0
55,1.867879986762998,93.22960225320968,2151557463760640.0,2151557463760640.0,2151557463760640.0,2151557463760640.0
56,1.475649952888488,100.60502256166222,581710329540608.0,581710329540608.0,581710329540608.0,581710329540608.0
57,1.159975051879883,107.73082344928824,-4915815042218496.0,-4915815042218496.0,-4915815042218496.0,-4915815042218496.0
58,0.9072870612144474,113.85502993179693,-1.3671248875527168e+16,-1.3671248875527168e+16,-1.3671248875527168e+16,-1.3671248875527168e+16
59,0.705956518650055,119.50150429056178,-1.4221511487952896e+16,-1.4221511487952896e+16,-1.4221511487952896e+16,-1.4221511487952896e+16
60,0.5462926030159002,124.26019209911512,-1.10072714215424e+16,-1.10072714215424e+16,-1.10072714215424e+16,-1.10072714215424e+16
61,0.4204235970973968,129.0678850820543,-8641168887776256.0,-8641168887776256.0,-8641168887776256.0,-8641168887776256.0
62,0.3217835724353792,134.07248354606006,-6089137966194688.0,-6089137966194688.0,-6089137966194688.0,-6089137966194688.0
63,0.24493755400180758,139.49182341933508,-4362667734134784.0,-4362667734134784.0,-4362667734134784.0,-4362667734134784.0
64,0.18542200326919586,145.53657974798668,-3346276881637376.0,-3346276881637376.0,-3346276881637376.0,-3346276881637376.0
65,0.13959898054599765,151.93939327345697,-2733570226368512.0,-2733570226368512.0,-2733570226368512.0,-2733570226368512.0
66,0.10452400892972945,158.88929696286775,-2435349739366400.0,-2435349739366400.0,-2435349739366400.0,-2435349739366400.0
67,0.07767251133918768,165.48256960765983,-2311775851280384.0,-2311775851280384.0,-2311775851280384.0,-2311775851280384.0
68,0.056792508810758584,171.42659336444058,-3372155989188608.0,-3372155989188608.0,-3372155989188608.0,-3372155989188608.0
69,0.04014250636100761,177.6333305500759,-6598521135781888.0,-6598521135781888.0,-6598521135781888.0,-6598521135781888.0
70,0.02635000087320806,187.62940859763327,-1.1085595041558528e+16,-1.1085595041558528e+16,-1.1085595041558528e+16,-1.1085595041558528e+16
71,0.014999999664723887,209.86898406193973,-1.8404028900796416e+16,-1.8404028900796416e+16,-1.8404028900796416e+16,-1.8404028900796416e+16
