lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,1.722055233297739e+17,1.7150347629943882e+17,1.722055233297739e+17,1.7290757036010896e+17
1,971.6244310048473,0.36625663400749947,1.668063898248735e+17,1.6619941354800973e+17,1.668063898248735e+17,1.6741336610173728e+17
2,956.7542402749618,0.5001096160252074,1.647531561556546e+17,1.6443326353879488e+17,1.647531561556546e+17,1.6507304877251427e+17
3,941.8841473755075,0.6358236496946832,1.6493026449385658e+17,1.6453345242340102e+17,1.6493026449385658e+17,1.653270765643121e+17
4,927.0137936180281,0.7737023136984883,1.622339631657943e+17,1.6111168820028854e+17,1.622339631657943e+17,1.6335623813130003e+17
5,912.1431877107561,0.9140599557728831,1.5181237389095206e+17,1.499905061638224e+17,1.5181237389095206e+17,1.5363424161808173e+17
6,897.2725265381572,1.056517394691973,1.3713423664727434e+17,1.3402379556874683e+17,1.3713423664727434e+17,1.4024467772580184e+17
7,882.4015480213002,1.200972749516894,1.232604256337659e+17,1.182101069959582e+17,1.232604256337659e+17,1.283107442715736e+17
8,867.5303567964003,1.3475120190675405,1.2394719918727062e+17,1.1882479414844672e+17,1.2394719918727062e+17,1.2906960422609454e+17
9,852.6592652163091,1.4962539028284811,1.2656387402132346e+17,1.217093392225008e+17,1.2656387402132346e+17,1.3141840882014613e+17
10,837.7879949747113,1.6472308870137926,1.270253808419032e+17,1.2239288591332747e+17,1.270253808419032e+17,1.3165787577047893e+17
11,822.9164001887356,1.8005751816165532,1.2459304812425565e+17,1.2010716644341346e+17,1.2459304812425565e+17,1.2907892980509784e+17
12,805.5656263644386,1.9827939680123745,1.1486610782330741e+17,1.1050669344735648e+17,1.1486610782330741e+17,1.1922552219925834e+17
13,783.256871457526,2.2224936871622756,9.191560784353312e+16,8.763633824065998e+16,9.191560784353312e+16,9.619487744640626e+16
14,758.4695103909143,2.4962949930620897,7.270424856506307e+16,6.862486562729389e+16,7.270424856506307e+16,7.678363150283227e+16
15,733.6809880795391,2.77814138452743,6.780141364489259e+16,6.404527258141553e+16,6.780141364489259e+16,7.155755470836966e+16
16,708.8908488634015,3.067972755313559,7.150217718345077e+16,6.774332152686254e+16,7.150217718345077e+16,7.526103284003899e+16
17,684.1004760822683,3.3661126328894038,7.973373668832814e+16,7.557708576476002e+16,7.973373668832814e+16,8.389038761189627e+16
18,653.1112285285492,3.753393324301299,9.223143404143806e+16,8.763780043178734e+16,9.223143404143806e+16,9.682506765108878e+16
19,615.9205705120047,4.2379797038361025,1.1219749785683189e+17,1.0740762856401389e+17,1.1219749785683189e+17,1.1698736714964989e+17
20,578.7272043823215,4.752775529501931,1.3618237117652243e+17,1.3105194189040346e+17,1.3618237117652243e+17,1.413128004626414e+17
21,541.5297974405477,5.293982624262083,1.6853093839252864e+17,1.6179992018116032e+17,1.6853093839252864e+17,1.75261956603897e+17
22,504.3267976709419,5.866525051820845,2.2311910820907027e+17,2.124929556000825e+17,2.2311910820907027e+17,2.3374526081805808e+17
23,467.1182254346348,6.4783499666903825,3.00304505259284e+17,2.8593178265956374e+17,3.00304505259284e+17,3.1467722785900416e+17
24,429.9018516259439,7.130616001171602,3.774903625993173e+17,3.6158010952552614e+17,3.774903625993173e+17,3.934006156731085e+17
25,392.6748148107893,7.8276962056910495,4.551093823092934e+17,4.402801851323698e+17,4.551093823092934e+17,4.6993857948621696e+17
26,355.4364121658684,8.582381437087088,6.03183548755321e+17,5.75252381456892e+17,6.03183548755321e+17,6.3111471605375e+17
27,312.2568471757569,9.510262026437415,1.0670909482791348e+18,1.011594672395016e+18,1.0670909482791348e+18,1.1225872241632538e+18
28,266.2024287155883,10.602168136966553,1.4856935585333468e+18,1.327278786891486e+18,1.4856935585333468e+18,1.644108330175208e+18
29,226.40807678064118,11.660990898666412,2.081949419224651e+18,1.697715468820144e+18,2.081949419224651e+18,2.466183369629158e+18
30,192.52002788560424,12.736811932907898,2.1508632157772032e+18,1.7047807864605363e+18,2.1508632157772032e+18,2.5969456450938706e+18
31,163.6614990234374,13.78656633117675,1.7481134104376497e+18,1.3688824915029632e+18,1.7481134104376497e+18,2.127344329372336e+18
32,139.11500549316403,14.787671064298221,1.0228078341077046e+18,7.792796839300951e+17,1.0228078341077046e+18,1.266335984285314e+18
33,118.25,15.906170270258151,6.950851741908493e+17,4.700070149383188e+17,6.950851741908493e+17,9.201633334433797e+17
34,100.51435089111324,17.24273064490245,4.3782630883935296e+17,3.7429143361183974e+17,4.3782630883935296e+17,5.013611840668662e+17
35,85.43901824951189,18.813372559902348,2.1430164227950208e+17,2.0699336609736317e+17,2.1430164227950208e+17,2.2160991846164102e+17
36,72.55786132812501,20.65052603534648,9.002284974006822e+16,8.928851992923464e+16,9.002284974006822e+16,9.07571795509018e+16
37,61.495662689209006,22.74331462627693,7.713971118441115e+16,7.705183386409576e+16,7.713971118441115e+16,7.722758850472654e+16
38,52.015911102294844,24.86505040859316,8.287898919793333e+16,8.287824594257408e+16,8.287898919793333e+16,8.287973245329258e+16
39,43.90966415405282,27.052485734519244,9.590834653501648e+16,9.589413843038027e+16,9.590834653501648e+16,9.592255463965267e+16
40,36.9927101135254,29.32647120258809,1.277307083715938e+17,1.277200850314445e+17,1.277307083715938e+17,1.277413317117431e+17
41,31.08891105651863,31.748905700260213,1.7095597292252608e+17,1.7090967074378986e+17,1.7095597292252608e+17,1.7100227510126234e+17
42,26.049108505249027,34.31199278898532,1.98531996671467e+17,1.984888322021961e+17,1.98531996671467e+17,1.985751611407379e+17
43,21.76100349426269,37.02114906529215,2.2637681363165446e+17,2.262631164532719e+17,2.2637681363165446e+17,2.26490510810037e+17
44,18.124349594116172,40.00166859906441,2.717307485766848e+17,2.716773758008274e+17,2.717307485766848e+17,2.7178412135254224e+17
45,15.05025005340576,43.13537659190267,3.3073471882108646e+17,3.3070146044296525e+17,3.3073471882108646e+17,3.307679771992076e+17
46,12.460150718688988,46.41231625206779,3.9001615935864026e+17,3.898851598589569e+17,3.9001615935864026e+17,3.901471588583236e+17
47,10.284920692443848,49.82768019095182,4.6182685117426195e+17,4.617033018542948e+17,4.6182685117426195e+17,4.619504004942291e+17
48,8.45639133453367,53.56635280817698,5.6811844369771475e+17,5.680122375373193e+17,5.6811844369771475e+17,5.682246498581102e+17
49,6.9183211326599094,57.94668908538693,6.702316357091469e+17,6.701261213870258e+17,6.702316357091469e+17,6.703371500312681e+17
50,5.631801128387452,62.66958728955136,8.869678478051023e+17,8.867827462513795e+17,8.869678478051023e+17,8.871529493588253e+17
51,4.561686038970957,67.91525438663359,1.0711002485910646e+18,1.0709119872726104e+18,1.0711002485910646e+18,1.0712885099095187e+18
52,3.6765010356903076,73.3631121633128,1.277830487902107e+18,1.277529701770262e+18,1.277830487902107e+18,1.2781312740339517e+18
53,2.948321104049681,79.34230382171329,1.63544674636695e+18,1.635029866267689e+18,1.63544674636695e+18,1.635863626466211e+18
54,2.352590560913084,86.018857705306,2.1431937862512497e+18,2.1428032641279892e+18,2.1431937862512497e+18,2.14358430837451e+18
55,1.867879986762998,93.22960225320968,2.7334314437815777e+18,2.733262129819161e+18,2.7334314437815777e+18,2.733600757743995e+18
56,1.475649952888488,100.60502256166222,3.22480346643567e+18,3.2242590431864996e+18,3.22480346643567e+18,3.22534788968484e+18
57,1.159975051879883,107.73082344928824,3.45394997357338e+18,3.4519123801194435e+18,3.45394997357338e+18,3.455987567027317e+18
58,0.9072870612144474,113.85502993179693,3.5442474850203336e+18,3.5406698359205156e+18,3.5442474850203336e+18,3.5478251341201516e+18
59,0.705956518650055,119.50150429056178,4.622007209673587e+18,4.618817362173027e+18,4.622007209673587e+18,4.625197057174146e+18
60,0.5462926030159002,124.26019209911512,6.67100620747808e+18,6.668750469538678e+18,6.67100620747808e+18,6.67326194541748e+18
61,0.4204235970973968,129.0678850820543,8.516003452690797e+18,8.514352874645864e+18,8.516003452690797e+18,8.517654030735728e+18
62,0.3217835724353792,134.07248354606006,9.916932896879008e+18,9.915779681267737e+18,9.916932896879008e+18,9.918086112490279e+18
63,0.24493755400180758,139.49182341933508,1.1451082994830655e+19,1.1450205709379863e+19,1.1451082994830655e+19,1.145196028028145e+19
64,0.18542200326919586,145.53657974798668,1.2340948857903817e+19,1.2340190582431977e+19,1.2340948857903817e+19,1.2341707133375658e+19
65,0.13959898054599765,151.93939327345697,1.2786316702911967e+19,1.2785515438402275e+19,1.2786316702911967e+19,1.2787117967421661e+19
66,0.10452400892972945,158.88929696286775,1.3571250213512315e+19,1.3570409655446417e+19,1.3571250213512315e+19,1.3572090771578212e+19
67,0.07767251133918768,165.48256960765983,1.530775099213097e+19,1.5306862548188826e+19,1.530775099213097e+19,1.5308639436073114e+19
68,0.056792508810758584,171.42659336444058,1.6638043269716437e+19,1.6636935773845545e+19,1.6638043269716437e+19,1.663915076558733e+19
69,0.04014250636100761,177.6333305500759,1.658943513287275e+19,1.65874035294882e+19,1.658943513287275e+19,1.6591466736257296e+19
70,0.02635000087320806,187.62940859763327,1.4093403246920905e+19,1.4089553302514332e+19,1.4093403246920905e+19,1.4097253191327476e+19
71,0.014999999664723887,209.86898406193973,1.0881999842092048e+19,1.0875861679737459e+19,1.0881999842092048e+19,1.088813800444664e+19
