lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-2808188121340288.0,-2808188121340288.0,-2808188121340288.0,-2808188121340288.0
1,971.6244310048473,0.36625663400749947,-2427905107455168.0,-2427905107455168.0,-2427905107455168.0,-2427905107455168.0
2,956.7542402749618,0.5001096160252074,-1279570467438752.0,-1279570467438752.0,-1279570467438752.0,-1279570467438752.0
3,941.8841473755075,0.6358236496946832,1587248281822112.0,1587248281822112.0,1587248281822112.0,1587248281822112.0
4,927.0137936180281,0.7737023136984883,4489099862022944.0,4489099862022944.0,4489099862022944.0,4489099862022944.0
5,912.1431877107561,0.9140599557728831,7287470908518592.0,7287470908518592.0,7287470908518592.0,7287470908518592.0
6,897.2725265381572,1.056517394691973,1.2441764314110016e+16,1.2441764314110016e+16,1.2441764314110016e+16,1.2441764314110016e+16
7,882.4015480213002,1.200972749516894,2.020127455123075e+16,2.020127455123075e+16,2.020127455123075e+16,2.020127455123075e+16
8,867.5303567964003,1.3475120190675405,2.0489620155295664e+16,2.0489620155295664e+16,2.0489620155295664e+16,2.0489620155295664e+16
9,852.6592652163091,1.4962539028284811,1.941813919529067e+16,1.941813919529067e+16,1.941813919529067e+16,1.941813919529067e+16
10,837.7879949747113,1.6472308870137926,1.852997971430291e+16,1.852997971430291e+16,1.852997971430291e+16,1.852997971430291e+16
11,822.9164001887356,1.8005751816165532,1.7943526723368768e+16,1.7943526723368768e+16,1.7943526723368768e+16,1.7943526723368768e+16
12,805.5656263644386,1.9827939680123745,1.743765750380368e+16,1.743765750380368e+16,1.743765750380368e+16,1.743765750380368e+16
13,783.256871457526,2.2224936871622756,1.7117078411492544e+16,1.7117078411492544e+16,1.7117078411492544e+16,1.7117078411492544e+16
14,758.4695103909143,2.4962949930620897,1.6317531751076784e+16,1.6317531751076784e+16,1.6317531751076784e+16,1.6317531751076784e+16
15,733.6809880795391,2.77814138452743,1.502456425390828e+16,1.502456425390828e+16,1.502456425390828e+16,1.502456425390828e+16
16,708.8908488634015,3.067972755313559,1.5035422626352896e+16,1.5035422626352896e+16,1.5035422626352896e+16,1.5035422626352896e+16
17,684.1004760822683,3.3661126328894038,1.6626603694272512e+16,1.6626603694272512e+16,1.6626603694272512e+16,1.6626603694272512e+16
18,653.1112285285492,3.753393324301299,1.837453443860288e+16,1.837453443860288e+16,1.837453443860288e+16,1.837453443860288e+16
19,615.9205705120047,4.2379797038361025,1.915947717127197e+16,1.915947717127197e+16,1.915947717127197e+16,1.915947717127197e+16
20,578.7272043823215,4.752775529501931,2.0521717144475904e+16,2.0521717144475904e+16,2.0521717144475904e+16,2.0521717144475904e+16
21,541.5297974405477,5.293982624262083,2.692407284547331e+16,2.692407284547331e+16,2.692407284547331e+16,2.692407284547331e+16
22,504.3267976709419,5.866525051820845,4.250461043595114e+16,4.250461043595114e+16,4.250461043595114e+16,4.250461043595114e+16
23,467.1182254346348,6.4783499666903825,5.74908903988808e+16,5.74908903988808e+16,5.74908903988808e+16,5.74908903988808e+16
24,429.9018516259439,7.130616001171602,6.364101229516454e+16,6.364101229516454e+16,6.364101229516454e+16,6.364101229516454e+16
25,392.6748148107893,7.8276962056910495,5.931678870769421e+16,5.931678870769421e+16,5.931678870769421e+16,5.931678870769421e+16
26,355.4364121658684,8.582381437087088,1.117246691937159e+17,1.117246691937159e+17,1.117246691937159e+17,1.117246691937159e+17
27,312.2568471757569,9.510262026437415,2.219851035364754e+17,2.219851035364754e+17,2.219851035364754e+17,2.219851035364754e+17
28,266.2024287155883,10.602168136966553,6.336590865674442e+17,6.336590865674442e+17,6.336590865674442e+17,6.336590865674442e+17
29,226.40807678064118,11.660990898666412,1.536935801618028e+18,1.536935801618028e+18,1.536935801618028e+18,1.536935801618028e+18
30,192.52002788560424,12.736811932907898,1.7843297172666683e+18,1.7843297172666683e+18,1.7843297172666683e+18,1.7843297172666683e+18
31,163.6614990234374,13.78656633117675,1.5169236757387464e+18,1.5169236757387464e+18,1.5169236757387464e+18,1.5169236757387464e+18
32,139.11500549316403,14.787671064298221,9.741126007104374e+17,9.741126007104374e+17,9.741126007104374e+17,9.741126007104374e+17
33,118.25,15.906170270258151,9.003126370101219e+17,9.003126370101219e+17,9.003126370101219e+17,9.003126370101219e+17
34,100.51435089111324,17.24273064490245,2.5413950091005274e+17,2.5413950091005274e+17,2.5413950091005274e+17,2.5413950091005274e+17
35,85.43901824951189,18.813372559902348,2.9233104728555744e+16,2.9233104728555744e+16,2.9233104728555744e+16,2.9233104728555744e+16
36,72.55786132812501,20.65052603534648,2937319243334320.0,2937319243334320.0,2937319243334320.0,2937319243334320.0
37,61.495662689209006,22.74331462627693,351509281261568.0,351509281261568.0,351509281261568.0,351509281261568.0
38,52.015911102294844,24.86505040859316,-2973021437024.0,-2973021437024.0,-2973021437024.0,-2973021437024.0
39,43.90966415405282,27.052485734519244,56832418544816.0,56832418544816.0,56832418544816.0,56832418544816.0
40,36.9927101135254,29.32647120258809,42493360597200.0,42493360597200.0,42493360597200.0,42493360597200.0
41,31.08891105651863,31.748905700260213,185208714944928.0,185208714944928.0,185208714944928.0,185208714944928.0
42,26.049108505249027,34.31199278898532,-172657877083616.0,-172657877083616.0,-172657877083616.0,-172657877083616.0
43,21.76100349426269,37.02114906529215,454788713530144.0,454788713530144.0,454788713530144.0,454788713530144.0
44,18.124349594116172,40.00166859906441,-213491103429664.0,-213491103429664.0,-213491103429664.0,-213491103429664.0
45,15.05025005340576,43.13537659190267,-133033512484672.0,-133033512484672.0,-133033512484672.0,-133033512484672.0
46,12.460150718688988,46.41231625206779,523997998733184.0,523997998733184.0,523997998733184.0,523997998733184.0
47,10.284920692443848,49.82768019095182,494197279868544.0,494197279868544.0,494197279868544.0,494197279868544.0
48,8.45639133453367,53.56635280817698,424824641581952.0,424824641581952.0,424824641581952.0,424824641581952.0
49,6.9183211326599094,57.94668908538693,422057288484480.0,422057288484480.0,422057288484480.0,422057288484480.0
50,5.631801128387452,62.66958728955136,740406214891904.0,740406214891904.0,740406214891904.0,740406214891904.0
51,4.561686038970957,67.91525438663359,753045273816576.0,753045273816576.0,753045273816576.0,753045273816576.0
52,3.6765010356903076,73.3631121633128,1203144527379968.0,1203144527379968.0,1203144527379968.0,1203144527379968.0
53,2.948321104049681,79.34230382171329,1667520397043968.0,1667520397043968.0,1667520397043968.0,1667520397043968.0
54,2.352590560913084,86.018857705306,1562088493041664.0,1562088493041664.0,1562088493041664.0,1562088493041664.0
55,1.867879986762998,93.22960225320968,677255849668096.0,677255849668096.0,677255849668096.0,677255849668096.0
56,1.475649952888488,100.60502256166222,-2177692996680192.0,-2177692996680192.0,-2177692996680192.0,-2177692996680192.0
57,1.159975051879883,107.73082344928824,-8150373815747072.0,-8150373815747072.0,-8150373815747072.0,-8150373815747072.0
58,0.9072870612144474,113.85502993179693,-1.4310596399271936e+16,-1.4310596399271936e+16,-1.4310596399271936e+16,-1.4310596399271936e+16
59,0.705956518650055,119.50150429056178,-1.275939000223744e+16,-1.275939000223744e+16,-1.275939000223744e+16,-1.275939000223744e+16
60,0.5462926030159002,124.26019209911512,-9022951757605888.0,-9022951757605888.0,-9022951757605888.0,-9022951757605888.0
61,0.4204235970973968,129.0678850820543,-6602312179725312.0,-6602312179725312.0,-6602312179725312.0,-6602312179725312.0
62,0.3217835724353792,134.07248354606006,-4612862445080576.0,-4612862445080576.0,-4612862445080576.0,-4612862445080576.0
63,0.24493755400180758,139.49182341933508,-3509141803173888.0,-3509141803173888.0,-3509141803173888.0,-3509141803173888.0
64,0.18542200326919586,145.53657974798668,-3033101887358976.0,-3033101887358976.0,-3033101887358976.0,-3033101887358976.0
65,0.13959898054599765,151.93939327345697,-3205058038773760.0,-3205058038773760.0,-3205058038773760.0,-3205058038773760.0
66,0.10452400892972945,158.88929696286775,-3362232263593984.0,-3362232263593984.0,-3362232263593984.0,-3362232263593984.0
67,0.07767251133918768,165.48256960765983,-3553775768576000.0,-3553775768576000.0,-3553775768576000.0,-3553775768576000.0
68,0.056792508810758584,171.42659336444058,-4429983483568128.0,-4429983483568128.0,-4429983483568128.0,-4429983483568128.0
69,0.04014250636100761,177.6333305500759,-8126413538191360.0,-8126413538191360.0,-8126413538191360.0,-8126413538191360.0
70,0.02635000087320806,187.62940859763327,-1.539977762628608e+16,-1.539977762628608e+16,-1.539977762628608e+16,-1.539977762628608e+16
71,0.014999999664723887,209.86898406193973,-2.455264941836493e+16,-2.455264941836493e+16,-2.455264941836493e+16,-2.455264941836493e+16
