lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,9.152081275031278e+17,9.029129774998156e+17,9.152081275031278e+17,9.275032775064402e+17
1,971.6244310048473,0.36625663400749947,9.183397432899436e+17,9.056747625866496e+17,9.183397432899436e+17,9.310047239932375e+17
2,956.7542402749618,0.5001096160252074,9.295124282574552e+17,9.160262788949568e+17,9.295124282574552e+17,9.429985776199537e+17
3,941.8841473755075,0.6358236496946832,9.475760982987657e+17,9.334272825612787e+17,9.475760982987657e+17,9.617249140362527e+17
4,927.0137936180281,0.7737023136984883,8.747417541528443e+17,8.633337598846417e+17,8.747417541528443e+17,8.861497484210468e+17
5,912.1431877107561,0.9140599557728831,7.996058512454364e+17,7.918330786157087e+17,7.996058512454364e+17,8.073786238751643e+17
6,897.2725265381572,1.056517394691973,6.94342432506368e+17,6.902344563008402e+17,6.94342432506368e+17,6.984504087118958e+17
7,882.4015480213002,1.200972749516894,5.849064537321725e+17,5.838728126117859e+17,5.849064537321725e+17,5.859400948525594e+17
8,867.5303567964003,1.3475120190675405,5.2443521555250266e+17,5.211029845891596e+17,5.2443521555250266e+17,5.277674465158456e+17
9,852.6592652163091,1.4962539028284811,4.877042302771131e+17,4.8355141887140224e+17,4.877042302771131e+17,4.918570416828239e+17
10,837.7879949747113,1.6472308870137926,4.667709900389668e+17,4.621327507125755e+17,4.667709900389668e+17,4.71409229365358e+17
11,822.9164001887356,1.8005751816165532,4.526787362131777e+17,4.477619275805215e+17,4.526787362131777e+17,4.5759554484583405e+17
12,805.5656263644386,1.9827939680123745,4.345415314553492e+17,4.2920484216341114e+17,4.345415314553492e+17,4.3987822074728723e+17
13,783.256871457526,2.2224936871622756,4.030066900073487e+17,3.968548503654364e+17,4.030066900073487e+17,4.091585296492609e+17
14,758.4695103909143,2.4962949930620897,3.652955133582313e+17,3.579149167637032e+17,3.652955133582313e+17,3.726761099527595e+17
15,733.6809880795391,2.77814138452743,3.2919215508351e+17,3.207839615078064e+17,3.2919215508351e+17,3.3760034865921363e+17
16,708.8908488634015,3.067972755313559,3.0429232647911866e+17,2.9540282239724026e+17,3.0429232647911866e+17,3.131818305609971e+17
17,684.1004760822683,3.3661126328894038,3.0307132605162214e+17,2.935266258988805e+17,3.0307132605162214e+17,3.126160262043638e+17
18,653.1112285285492,3.753393324301299,3.131960987439246e+17,3.024649396758537e+17,3.131960987439246e+17,3.2392725781199546e+17
19,615.9205705120047,4.2379797038361025,3.2474631653715e+17,3.1132136188799014e+17,3.2474631653715e+17,3.381712711863099e+17
20,578.7272043823215,4.752775529501931,3.572941253990281e+17,3.42512263760731e+17,3.572941253990281e+17,3.7207598703732525e+17
21,541.5297974405477,5.293982624262083,3.9593607330122624e+17,3.796847324732723e+17,3.9593607330122624e+17,4.121874141291801e+17
22,504.3267976709419,5.866525051820845,3.7283470742879616e+17,3.508834802661695e+17,3.7283470742879616e+17,3.947859345914228e+17
23,467.1182254346348,6.4783499666903825,3.8894283252946835e+17,3.6343717338853005e+17,3.8894283252946835e+17,4.1444849167040666e+17
24,429.9018516259439,7.130616001171602,4.072324576042105e+17,3.7711497492160934e+17,4.072324576042105e+17,4.3734994028681165e+17
25,392.6748148107893,7.8276962056910495,3.814982438086821e+17,3.510176686783498e+17,3.814982438086821e+17,4.1197881893901446e+17
26,355.4364121658684,8.582381437087088,3.411258938270603e+17,3.174250472194601e+17,3.411258938270603e+17,3.648267404346605e+17
27,312.2568471757569,9.510262026437415,2.890522513118599e+17,2.7190409646909005e+17,2.890522513118599e+17,3.0620040615462976e+17
28,266.2024287155883,10.602168136966553,2.8160743425052534e+17,2.694481026483156e+17,2.8160743425052534e+17,2.937667658527351e+17
29,226.40807678064118,11.660990898666412,3.684253300432232e+17,3.4860597004144986e+17,3.684253300432232e+17,3.8824469004499654e+17
30,192.52002788560424,12.736811932907898,2.703929522843475e+17,2.57932234402182e+17,2.703929522843475e+17,2.8285367016651296e+17
31,163.6614990234374,13.78656633117675,2.2659625810458643e+17,2.1921844895997312e+17,2.2659625810458643e+17,2.3397406724919978e+17
32,139.11500549316403,14.787671064298221,2.1788738374497834e+17,2.128508138472167e+17,2.1788738374497834e+17,2.2292395364273997e+17
33,118.25,15.906170270258151,1.9570059138756077e+17,1.9220810338921747e+17,1.9570059138756077e+17,1.9919307938590403e+17
34,100.51435089111324,17.24273064490245,1.524310246122645e+17,1.5046874447071626e+17,1.524310246122645e+17,1.5439330475381274e+17
35,85.43901824951189,18.813372559902348,1.0665085901881766e+17,1.0590553094653109e+17,1.0665085901881766e+17,1.0739618709110422e+17
36,72.55786132812501,20.65052603534648,7.703719207830291e+16,7.69559860701789e+16,7.703719207830291e+16,7.711839808642693e+16
37,61.495662689209006,22.74331462627693,7.847533556683118e+16,7.845965700269997e+16,7.847533556683118e+16,7.84910141309624e+16
38,52.015911102294844,24.86505040859316,8.94893284420473e+16,8.943676230774115e+16,8.94893284420473e+16,8.954189457635346e+16
39,43.90966415405282,27.052485734519244,1.1269363381735656e+17,1.1267454916515733e+17,1.1269363381735656e+17,1.1271271846955579e+17
40,36.9927101135254,29.32647120258809,1.4270985159636306e+17,1.4266297728955558e+17,1.4270985159636306e+17,1.4275672590317053e+17
41,31.08891105651863,31.748905700260213,1.7725434692044378e+17,1.7723454950901312e+17,1.7725434692044378e+17,1.7727414433187443e+17
42,26.049108505249027,34.31199278898532,2.176699469660592e+17,2.175965225191477e+17,2.176699469660592e+17,2.1774337141297072e+17
43,21.76100349426269,37.02114906529215,2.4966047470446003e+17,2.4954631792600957e+17,2.4966047470446003e+17,2.497746314829105e+17
44,18.124349594116172,40.00166859906441,2.749515537861067e+17,2.7489900633446022e+17,2.749515537861067e+17,2.7500410123775312e+17
45,15.05025005340576,43.13537659190267,3.299705857611295e+17,3.2976934905119475e+17,3.299705857611295e+17,3.301718224710641e+17
46,12.460150718688988,46.41231625206779,4.243856039937459e+17,4.243624913722153e+17,4.243856039937459e+17,4.244087166152765e+17
47,10.284920692443848,49.82768019095182,5.325806910119025e+17,5.325368287471144e+17,5.325806910119025e+17,5.326245532766907e+17
48,8.45639133453367,53.56635280817698,6.488909533330657e+17,6.488305926658989e+17,6.488909533330657e+17,6.489513140002324e+17
49,6.9183211326599094,57.94668908538693,7.832158000969398e+17,7.83123138726871e+17,7.832158000969398e+17,7.833084614670084e+17
50,5.631801128387452,62.66958728955136,9.302820473030207e+17,9.301388426118172e+17,9.302820473030207e+17,9.304252519942241e+17
