lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,-4.918060001324915e+16,-4.918060001324915e+16,-4.918060001324915e+16,-4.918060001324915e+16
1,971.6244310048473,0.36625663400749947,-5.065992281317581e+16,-5.065992281317581e+16,-5.065992281317581e+16,-5.065992281317581e+16
2,956.7542402749618,0.5001096160252074,-5.394459744999347e+16,-5.394459744999347e+16,-5.394459744999347e+16,-5.394459744999347e+16
3,941.8841473755075,0.6358236496946832,-5.659526294994765e+16,-5.659526294994765e+16,-5.659526294994765e+16,-5.659526294994765e+16
4,927.0137936180281,0.7737023136984883,-4.563197707281011e+16,-4.563197707281011e+16,-4.563197707281011e+16,-4.563197707281011e+16
5,912.1431877107561,0.9140599557728831,-3.109109051891136e+16,-3.109109051891136e+16,-3.109109051891136e+16,-3.109109051891136e+16
6,897.2725265381572,1.056517394691973,-1.6431904822111488e+16,-1.6431904822111488e+16,-1.6431904822111488e+16,-1.6431904822111488e+16
7,882.4015480213002,1.200972749516894,4134564481546880.0,4134564481546880.0,4134564481546880.0,4134564481546880.0
8,867.5303567964003,1.3475120190675405,1.3328923853372096e+16,1.3328923853372096e+16,1.3328923853372096e+16,1.3328923853372096e+16
9,852.6592652163091,1.4962539028284811,1.66112456228432e+16,1.66112456228432e+16,1.66112456228432e+16,1.66112456228432e+16
10,837.7879949747113,1.6472308870137926,1.855295730556512e+16,1.855295730556512e+16,1.855295730556512e+16,1.855295730556512e+16
11,822.9164001887356,1.8005751816165532,1.966723453062509e+16,1.966723453062509e+16,1.966723453062509e+16,1.966723453062509e+16
12,805.5656263644386,1.9827939680123745,2.134675716775219e+16,2.134675716775219e+16,2.134675716775219e+16,2.134675716775219e+16
13,783.256871457526,2.2224936871622756,2.4607358567648896e+16,2.4607358567648896e+16,2.4607358567648896e+16,2.4607358567648896e+16
14,758.4695103909143,2.4962949930620897,2.9522386378112576e+16,2.9522386378112576e+16,2.9522386378112576e+16,2.9522386378112576e+16
15,733.6809880795391,2.77814138452743,3.3632774302814464e+16,3.3632774302814464e+16,3.3632774302814464e+16,3.3632774302814464e+16
16,708.8908488634015,3.067972755313559,3.5558016327513696e+16,3.5558016327513696e+16,3.5558016327513696e+16,3.5558016327513696e+16
17,684.1004760822683,3.3661126328894038,3.81788006109665e+16,3.81788006109665e+16,3.81788006109665e+16,3.81788006109665e+16
18,653.1112285285492,3.753393324301299,4.292463627228346e+16,4.292463627228346e+16,4.292463627228346e+16,4.292463627228346e+16
19,615.9205705120047,4.2379797038361025,5.369981859663936e+16,5.369981859663936e+16,5.369981859663936e+16,5.369981859663936e+16
20,578.7272043823215,4.752775529501931,5.912744655318854e+16,5.912744655318854e+16,5.912744655318854e+16,5.912744655318854e+16
21,541.5297974405477,5.293982624262083,6.500536331181549e+16,6.500536331181549e+16,6.500536331181549e+16,6.500536331181549e+16
22,504.3267976709419,5.866525051820845,8.780490865050656e+16,8.780490865050656e+16,8.780490865050656e+16,8.780490865050656e+16
23,467.1182254346348,6.4783499666903825,1.0202263656375322e+17,1.0202263656375322e+17,1.0202263656375322e+17,1.0202263656375322e+17
24,429.9018516259439,7.130616001171602,1.2046993073040474e+17,1.2046993073040474e+17,1.2046993073040474e+17,1.2046993073040474e+17
25,392.6748148107893,7.8276962056910495,1.2192230052132922e+17,1.2192230052132922e+17,1.2192230052132922e+17,1.2192230052132922e+17
26,355.4364121658684,8.582381437087088,9.480338643040064e+16,9.480338643040064e+16,9.480338643040064e+16,9.480338643040064e+16
27,312.2568471757569,9.510262026437415,6.859261937107942e+16,6.859261937107942e+16,6.859261937107942e+16,6.859261937107942e+16
28,266.2024287155883,10.602168136966553,4.863732640883898e+16,4.863732640883898e+16,4.863732640883898e+16,4.863732640883898e+16
29,226.40807678064118,11.660990898666412,7.927744000709344e+16,7.927744000709344e+16,7.927744000709344e+16,7.927744000709344e+16
30,192.52002788560424,12.736811932907898,4.984287152866182e+16,4.984287152866182e+16,4.984287152866182e+16,4.984287152866182e+16
31,163.6614990234374,13.78656633117675,2.951123657845328e+16,2.951123657845328e+16,2.951123657845328e+16,2.951123657845328e+16
32,139.11500549316403,14.787671064298221,2.014627959104653e+16,2.014627959104653e+16,2.014627959104653e+16,2.014627959104653e+16
33,118.25,15.906170270258151,1.3969951993373088e+16,1.3969951993373088e+16,1.3969951993373088e+16,1.3969951993373088e+16
34,100.51435089111324,17.24273064490245,7849120566192992.0,7849120566192992.0,7849120566192992.0,7849120566192992.0
35,85.43901824951189,18.813372559902348,2981312289146288.0,2981312289146288.0,2981312289146288.0,2981312289146288.0
36,72.55786132812501,20.65052603534648,324824032496064.0,324824032496064.0,324824032496064.0,324824032496064.0
37,61.495662689209006,22.74331462627693,62714256524864.0,62714256524864.0,62714256524864.0,62714256524864.0
38,52.015911102294844,24.86505040859316,210264537224592.0,210264537224592.0,210264537224592.0,210264537224592.0
39,43.90966415405282,27.052485734519244,76338608796928.0,76338608796928.0,76338608796928.0,76338608796928.0
40,36.9927101135254,29.32647120258809,-187497227229888.0,-187497227229888.0,-187497227229888.0,-187497227229888.0
41,31.08891105651863,31.748905700260213,-79189645722560.0,-79189645722560.0,-79189645722560.0,-79189645722560.0
42,26.049108505249027,34.31199278898532,-293697787645984.0,-293697787645984.0,-293697787645984.0,-293697787645984.0
43,21.76100349426269,37.02114906529215,-456627113801856.0,-456627113801856.0,-456627113801856.0,-456627113801856.0
44,18.124349594116172,40.00166859906441,-210189806585824.0,-210189806585824.0,-210189806585824.0,-210189806585824.0
45,15.05025005340576,43.13537659190267,804946839738816.0,804946839738816.0,804946839738816.0,804946839738816.0
46,12.460150718688988,46.41231625206779,92450486122304.0,92450486122304.0,92450486122304.0,92450486122304.0
47,10.284920692443848,49.82768019095182,175449059152768.0,175449059152768.0,175449059152768.0,175449059152768.0
48,8.45639133453367,53.56635280817698,241442668667264.0,241442668667264.0,241442668667264.0,241442668667264.0
49,6.9183211326599094,57.94668908538693,370645480274816.0,370645480274816.0,370645480274816.0,370645480274816.0
50,5.631801128387452,62.66958728955136,572818764813568.0,572818764813568.0,572818764813568.0,572818764813568.0
51,4.561686038970957,67.91525438663359,688261110989568.0,688261110989568.0,688261110989568.0,688261110989568.0
52,3.6765010356903076,73.3631121633128,1171085342018816.0,1171085342018816.0,1171085342018816.0,1171085342018816.0
53,2.948321104049681,79.34230382171329,1566159946211328.0,1566159946211328.0,1566159946211328.0,1566159946211328.0
54,2.352590560913084,86.018857705306,922238617552640.0,922238617552640.0,922238617552640.0,922238617552640.0
55,1.867879986762998,93.22960225320968,1309057505876992.0,1309057505876992.0,1309057505876992.0,1309057505876992.0
56,1.475649952888488,100.60502256166222,-579207791004672.0,-579207791004672.0,-579207791004672.0,-579207791004672.0
57,1.159975051879883,107.73082344928824,-4762393755357184.0,-4762393755357184.0,-4762393755357184.0,-4762393755357184.0
58,0.9072870612144474,113.85502993179693,-1.0237654639094784e+16,-1.0237654639094784e+16,-1.0237654639094784e+16,-1.0237654639094784e+16
59,0.705956518650055,119.50150429056178,-1.3094141895081984e+16,-1.3094141895081984e+16,-1.3094141895081984e+16,-1.3094141895081984e+16
60,0.5462926030159002,124.26019209911512,-1.1328303465044992e+16,-1.1328303465044992e+16,-1.1328303465044992e+16,-1.1328303465044992e+16
61,0.4204235970973968,129.0678850820543,-7644627896625152.0,-7644627896625152.0,-7644627896625152.0,-7644627896625152.0
62,0.3217835724353792,134.07248354606006,-3812233322432512.0,-3812233322432512.0,-3812233322432512.0,-3812233322432512.0
63,0.24493755400180758,139.49182341933508,-2233139320811520.0,-2233139320811520.0,-2233139320811520.0,-2233139320811520.0
64,0.18542200326919586,145.53657974798668,-1927110780987392.0,-1927110780987392.0,-1927110780987392.0,-1927110780987392.0
65,0.13959898054599765,151.93939327345697,-1495930336987136.0,-1495930336987136.0,-1495930336987136.0,-1495930336987136.0
66,0.10452400892972945,158.88929696286775,-1372249401708544.0,-1372249401708544.0,-1372249401708544.0,-1372249401708544.0
67,0.07767251133918768,165.48256960765983,-1763393547622400.0,-1763393547622400.0,-1763393547622400.0,-1763393547622400.0
68,0.056792508810758584,171.42659336444058,-3468342875770880.0,-3468342875770880.0,-3468342875770880.0,-3468342875770880.0
69,0.04014250636100761,177.6333305500759,-5941912986966016.0,-5941912986966016.0,-5941912986966016.0,-5941912986966016.0
70,0.02635000087320806,187.62940859763327,-1.0456554927259648e+16,-1.0456554927259648e+16,-1.0456554927259648e+16,-1.0456554927259648e+16
71,0.014999999664723887,209.86898406193973,-1.6073679815010304e+16,-1.6073679815010304e+16,-1.6073679815010304e+16,-1.6073679815010304e+16
