lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,8.961440355180666e+20,8.893517435566479e+20,8.961440355180666e+20,9.029363274794853e+20
1,971.6244310048473,0.36625663400749947,8.940261548256664e+20,8.871701653205995e+20,8.940261548256664e+20,9.008821443307333e+20
2,956.7542402749618,0.5001096160252074,8.917878546525313e+20,8.849079033671394e+20,8.917878546525313e+20,8.986678059379231e+20
3,941.8841473755075,0.6358236496946832,8.937299157971733e+20,8.872424913012937e+20,8.937299157971733e+20,9.002173402930529e+20
4,927.0137936180281,0.7737023136984883,8.520346311916612e+20,8.459158241543971e+20,8.520346311916612e+20,8.581534382289254e+20
5,912.1431877107561,0.9140599557728831,7.288844533083246e+20,7.215702350607314e+20,7.288844533083246e+20,7.361986715559179e+20
6,897.2725265381572,1.056517394691973,5.8740197708098784e+20,5.7849968710743805e+20,5.8740197708098784e+20,5.963042670545376e+20
7,882.4015480213002,1.200972749516894,4.73147538467953e+20,4.634370316168519e+20,4.73147538467953e+20,4.828580453190541e+20
8,867.5303567964003,1.3475120190675405,3.768899505840044e+20,3.6689921606828006e+20,3.768899505840044e+20,3.868806850997287e+20
9,852.6592652163091,1.4962539028284811,2.995161853324914e+20,2.8971445736429384e+20,2.995161853324914e+20,3.0931791330068896e+20
10,837.7879949747113,1.6472308870137926,2.3794790120518255e+20,2.2848520572390333e+20,2.3794790120518255e+20,2.4741059668646176e+20
11,822.9164001887356,1.8005751816165532,1.8536123076280792e+20,1.76455882836607e+20,1.8536123076280792e+20,1.9426657868900883e+20
12,805.5656263644386,1.9827939680123745,1.4625359465955877e+20,1.3792963484089706e+20,1.4625359465955877e+20,1.5457755447822048e+20
13,783.256871457526,2.2224936871622756,1.1758292780801792e+20,1.0989221054053348e+20,1.1758292780801792e+20,1.2527364507550237e+20
14,758.4695103909143,2.4962949930620897,9.61137807054016e+19,8.913780322539414e+19,9.61137807054016e+19,1.0308975818540907e+20
15,733.6809880795391,2.77814138452743,8.045894456778559e+19,7.40965146165032e+19,8.045894456778559e+19,8.682137451906798e+19
16,708.8908488634015,3.067972755313559,6.856790486454973e+19,6.265273740061922e+19,6.856790486454973e+19,7.448307232848024e+19
17,684.1004760822683,3.3661126328894038,6.038882738920201e+19,5.467707052025576e+19,6.038882738920201e+19,6.610058425814826e+19
18,653.1112285285492,3.753393324301299,5.439357753219852e+19,4.8706246927475294e+19,5.439357753219852e+19,6.008090813692174e+19
19,615.9205705120047,4.2379797038361025,4.880197449172942e+19,4.306641968010029e+19,4.880197449172942e+19,5.4537529303358554e+19
20,578.7272043823215,4.752775529501931,4.302802481459612e+19,3.776101556567402e+19,4.302802481459612e+19,4.829503406351822e+19
21,541.5297974405477,5.293982624262083,4.0529324984783405e+19,3.551109951567046e+19,4.0529324984783405e+19,4.554755045389635e+19
22,504.3267976709419,5.866525051820845,3.966233278706213e+19,3.5182404494502978e+19,3.966233278706213e+19,4.414226107962129e+19
23,467.1182254346348,6.4783499666903825,4.254144737898369e+19,3.84067420073986e+19,4.254144737898369e+19,4.667615275056878e+19
24,429.9018516259439,7.130616001171602,5.171321738102422e+19,4.750748591999268e+19,5.171321738102422e+19,5.591894884205575e+19
25,392.6748148107893,7.8276962056910495,6.891379239728433e+19,6.422285606413838e+19,6.891379239728433e+19,7.360472873043027e+19
26,355.4364121658684,8.582381437087088,7.291640550901031e+19,6.771525950084466e+19,7.291640550901031e+19,7.811755151717597e+19
27,312.2568471757569,9.510262026437415,6.399437483571402e+19,5.828721602181495e+19,6.399437483571402e+19,6.9701533649613095e+19
28,266.2024287155883,10.602168136966553,6.157784694090344e+19,5.559693530640825e+19,6.157784694090344e+19,6.755875857539863e+19
29,226.40807678064118,11.660990898666412,6.080073319194484e+19,5.529405788125656e+19,6.080073319194484e+19,6.630740850263312e+19
30,192.52002788560424,12.736811932907898,5.540981726666796e+19,5.084427893978637e+19,5.540981726666796e+19,5.997535559354956e+19
31,163.6614990234374,13.78656633117675,5.714108254890566e+19,5.29066190654586e+19,5.714108254890566e+19,6.137554603235271e+19
32,139.11500549316403,14.787671064298221,8.320415724933484e+19,7.841881264612381e+19,8.320415724933484e+19,8.798950185254588e+19
