lev,p_hPa,z_km,mean,p25,p50,p75
0,986.5142019716236,0.23374999121664047,2.716916784567445e+19,2.716916784567445e+19,2.716916784567445e+19,2.716916784567445e+19
1,971.6244310048473,0.36625663400749947,2.7423958020267966e+19,2.7423958020267966e+19,2.7423958020267966e+19,2.7423958020267966e+19
2,956.7542402749618,0.5001096160252074,2.7519805141567406e+19,2.7519805141567406e+19,2.7519805141567406e+19,2.7519805141567406e+19
3,941.8841473755075,0.6358236496946832,2.594969798351808e+19,2.594969798351808e+19,2.594969798351808e+19,2.594969798351808e+19
4,927.0137936180281,0.7737023136984883,2.44752281490568e+19,2.44752281490568e+19,2.44752281490568e+19,2.44752281490568e+19
5,912.1431877107561,0.9140599557728831,2.9256872990373052e+19,2.9256872990373052e+19,2.9256872990373052e+19,2.9256872990373052e+19
6,897.2725265381572,1.056517394691973,3.5609159894199304e+19,3.5609159894199304e+19,3.5609159894199304e+19,3.5609159894199304e+19
7,882.4015480213002,1.200972749516894,3.884202740440433e+19,3.884202740440433e+19,3.884202740440433e+19,3.884202740440433e+19
8,867.5303567964003,1.3475120190675405,3.996293806289722e+19,3.996293806289722e+19,3.996293806289722e+19,3.996293806289722e+19
9,852.6592652163091,1.4962539028284811,3.92069118727903e+19,3.92069118727903e+19,3.92069118727903e+19,3.92069118727903e+19
10,837.7879949747113,1.6472308870137926,3.785078192511687e+19,3.785078192511687e+19,3.785078192511687e+19,3.785078192511687e+19
11,822.9164001887356,1.8005751816165532,3.562139170480364e+19,3.562139170480364e+19,3.562139170480364e+19,3.562139170480364e+19
12,805.5656263644386,1.9827939680123745,3.32958392746468e+19,3.32958392746468e+19,3.32958392746468e+19,3.32958392746468e+19
13,783.256871457526,2.2224936871622756,3.076286906993777e+19,3.076286906993777e+19,3.076286906993777e+19,3.076286906993777e+19
14,758.4695103909143,2.4962949930620897,2.790390992002987e+19,2.790390992002987e+19,2.790390992002987e+19,2.790390992002987e+19
15,733.6809880795391,2.77814138452743,2.544971980512954e+19,2.544971980512954e+19,2.544971980512954e+19,2.544971980512954e+19
16,708.8908488634015,3.067972755313559,2.3660669855722045e+19,2.3660669855722045e+19,2.3660669855722045e+19,2.3660669855722045e+19
17,684.1004760822683,3.3661126328894038,2.2847027475785015e+19,2.2847027475785015e+19,2.2847027475785015e+19,2.2847027475785015e+19
18,653.1112285285492,3.753393324301299,2.274932241889288e+19,2.274932241889288e+19,2.274932241889288e+19,2.274932241889288e+19
19,615.9205705120047,4.2379797038361025,2.2942219246516535e+19,2.2942219246516535e+19,2.2942219246516535e+19,2.2942219246516535e+19
